
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0202"
"0.0500","0.0001","-0.0276"
"0.1000","0.0008","-0.1699"
"0.1500","0.0010","0.0291"
"0.2000","0.0029","0.1592"
"0.2500","0.0057","0.0328"
"0.3000","0.0077","-0.0774"
"0.3500","0.0092","-0.1066"
"0.4000","0.0111","-0.0123"
"0.4500","0.0125","0.0457"
"0.5000","0.0144","0.1774"
"0.5500","0.0161","0.0234"
"0.6000","0.0177","0.0376"
"0.6500","0.0194","-0.0202"
"0.7000","0.0210","-0.1035"
"0.7500","0.0229","-0.0560"
"0.8000","0.0242","0.1005"
"0.8500","0.0261","0.0789"
"0.9000","0.0278","0.1965"
"0.9500","0.0294","0.1812"
"1.0000","0.0311","0.0255"
"1.0500","0.0328","-0.3103"
"1.1000","0.0345","-0.0508"
"1.1500","0.0358","0.0571"
"1.2000","0.0378","0.2113"
"1.2500","0.0394","0.0175"
"1.3000","0.0411","0.2593"
"1.3500","0.0428","0.0753"
"1.4000","0.0444","0.1367"
"1.4500","0.0461","-0.2512"
"1.5000","0.0475","-0.0400"
"1.5500","0.0496","-0.0691"
"1.6000","0.0510","-0.0270"
"1.6500","0.0527","0.0087"
"1.7000","0.0544","0.0076"
"1.7500","0.0561","0.0074"
"1.8000","0.0578","0.1296"
"1.8500","0.0592","-0.1098"
"1.9000","0.0612","-0.0120"
"1.9500","0.0626","0.1103"
"2.0000","0.0644","0.0398"
"2.0500","0.0660","0.1256"
"2.1000","0.0678","-0.0162"
"2.1500","0.0693","0.0356"
"2.2000","0.0708","0.1145"
"2.2500","0.0728","0.0306"
"2.3000","0.0743","0.1915"
"2.3500","0.0762","0.0581"
"2.4000","0.0777","0.1711"
"2.4500","0.0795","0.0886"
"2.5000","0.0810","-0.0505"
"2.5500","0.0826","0.0927"
"2.6000","0.0846","0.0772"
"2.6500","0.0860","0.2373"
"2.7000","0.0878","-0.0067"
"2.7500","0.0893","0.1810"
"2.8000","0.0912","0.2779"
"2.8500","0.0926","0.1097"
"2.9000","0.0944","0.1346"
"2.9500","0.0962","0.1287"
"3.0000","0.0976","-0.0019"
"3.0500","0.0995","0.1406"
"3.1000","0.1010","0.0410"
"3.1500","0.1030","0.2018"
"3.2000","0.1042","0.0182"
"3.2500","0.1060","-0.1341"
"3.3000","0.1079","0.2082"
"3.3500","0.1093","0.0722"
"3.4000","0.1112","0.1903"
"3.4500","0.1127","-0.0645"
"3.5000","0.1146","0.1343"
"3.5500","0.1158","0.1139"
"3.6000","0.1177","0.0094"
"3.6500","0.1195","0.3152"
"3.7000","0.1211","0.0937"
"3.7500","0.1228","0.2594"
"3.8000","0.1243","-0.0953"
"3.8500","0.1262","0.1664"
"3.9000","0.1275","0.0584"
"3.9500","0.1295","0.2681"
"4.0000","0.1311","0.1072"
"4.0500","0.1327","0.2150"
"4.1000","0.1344","-0.0435"
"4.1500","0.1360","0.1431"
"4.2000","0.1378","0.1830"
"4.2500","0.1392","0.0747"
"4.3000","0.1412","0.2100"
"4.3500","0.1427","0.1229"
"4.4000","0.1444","0.1835"
"4.4500","0.1460","0.0015"
"4.5000","0.1478","-0.0221"
"4.5500","0.1495","0.1412"
"4.6000","0.1508","0.1627"
"4.6500","0.1529","-0.0286"
"4.7000","0.1544","0.1321"
"4.7500","0.1562","0.2571"
"4.8000","0.1577","0.1369"
"4.8500","0.1595","0.0569"
"4.9000","0.1610","0.3052"
"4.9500","0.1625","0.0167"
"5.0000","0.1646","0.0405"
"5.0500","0.1660","0.2534"
"5.1000","0.1679","0.1056"
"5.1500","0.1694","0.0021"
"5.2000","0.1711","0.1174"
"5.2500","0.1726","-0.0336"
"5.3000","0.1743","0.1343"
"5.3500","0.1762","0.0974"
"5.4000","0.1776","0.2213"
"5.4500","0.1795","0.1800"
"5.5000","0.1810","0.1414"
"5.5500","0.1829","0.3459"
"5.6000","0.1843","0.1869"
"5.6500","0.1859","0.0249"
"5.7000","0.1878","0.2542"
"5.7500","0.1893","0.0478"
"5.8000","0.1912","0.0819"
"5.8500","0.1927","0.1627"
"5.9000","0.1945","0.0324"
"5.9500","0.1959","0.1972"
"6.0000","0.1977","0.0580"
"6.0500","0.1995","-0.0401"
"6.1000","0.2010","0.1447"
"6.1500","0.2029","0.2443"
"6.2000","0.2043","0.2024"
"6.2500","0.2061","0.2335"
"6.3000","0.2075","0.2830"
"6.3500","0.2095","0.0981"
"6.4000","0.2112","0.0761"
"6.4500","0.2127","0.2290"
"6.5000","0.2145","0.2699"
"6.5500","0.2160","0.1829"
"6.6000","0.2178","0.0533"
"6.6500","0.2192","0.2963"
"6.7000","0.2211","0.2770"
"6.7500","0.2228","0.2321"
"6.8000","0.2244","0.0285"
"6.8500","0.2262","0.2029"
"6.9000","0.2278","0.0767"
"6.9500","0.2295","0.0410"
"7.0000","0.2308","0.2837"
"7.0500","0.2327","0.1568"
"7.1000","0.2344","0.0277"
"7.1500","0.2361","0.1946"
"7.2000","0.2378","0.1017"
"7.2500","0.2394","0.0042"
"7.3000","0.2411","0.2262"
"7.3500","0.2425","0.0933"
"7.4000","0.2445","-0.0459"
"7.4500","0.2461","0.1015"
"7.5000","0.2477","0.1287"
"7.5500","0.2494","0.0578"
"7.6000","0.2511","0.1767"
"7.6500","0.2527","0.0784"
"7.7000","0.2542","0.1529"
"7.7500","0.2562","0.2427"
"7.8000","0.2577","0.1137"
"7.8500","0.2594","0.1031"
"7.9000","0.2610","0.1834"
"7.9500","0.2628","0.1777"
"8.0000","0.2644","0.2014"
"8.0500","0.2658","-0.0061"
"8.1000","0.2678","0.1739"
"8.1500","0.2694","0.1051"
"8.2000","0.2711","0.1054"
"8.2500","0.2727","0.0333"
"8.3000","0.2745","0.1217"
"8.3500","0.2760","0.1236"
"8.4000","0.2775","0.2005"
"8.4500","0.2795","0.3144"
"8.5000","0.2811","0.0645"
"8.5500","0.2828","0.1767"
"8.6000","0.2844","0.1416"
"8.6500","0.2862","0.0015"
"8.7000","0.2876","0.1487"
"8.7500","0.2893","0.1654"
"8.8000","0.2912","0.0106"
"8.8500","0.2926","0.0999"
"8.9000","0.2945","0.0911"
"8.9500","0.2960","0.1924"
"9.0000","0.2979","0.1599"
"9.0500","0.2993","-0.0354"
"9.1000","0.3010","0.1585"
"9.1500","0.3028","0.2307"
"9.2000","0.3043","-0.1456"
"9.2500","0.3061","0.0196"
"9.3000","0.3077","0.0315"
"9.3500","0.3095","0.2200"
"9.4000","0.3108","0.1595"
"9.4500","0.3127","0.0689"
"9.5000","0.3145","0.0834"
"9.5500","0.3160","0.1106"
"9.6000","0.3178","0.0692"
"9.6500","0.3193","-0.0432"
"9.7000","0.3212","0.0325"
"9.7500","0.3225","0.0734"
"9.8000","0.3244","0.2313"
"9.8500","0.3261","0.1386"
"9.9000","0.3276","-0.0034"
"9.9500","0.3295","0.0228"
"10.0000","0.3310","0.1425"
"10.0500","0.3328","0.0732"
"10.1000","0.3342","0.1533"
"10.1500","0.3361","-0.0549"
"10.2000","0.3378","0.0897"
"10.2500","0.3394","0.0722"
"10.3000","0.3411","0.0910"
"10.3500","0.3428","0.2517"
"10.4000","0.3445","0.1084"
"10.4500","0.3458","0.0959"
"10.5000","0.3479","0.0753"
"10.5500","0.3495","0.1384"
"10.6000","0.3511","-0.0527"
"10.6500","0.3527","0.0981"
"10.7000","0.3544","0.0500"
"10.7500","0.3561","0.1583"
"10.8000","0.3575","0.1418"
"10.8500","0.3595","-0.0531"
"10.9000","0.3611","0.1399"
"10.9500","0.3628","0.1917"
"11.0000","0.3643","0.0792"
