
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1042"
"0.2500","0.0149","13.5174"
"0.5000","0.0357","43.9661"
"0.7500","0.0566","96.5102"
"1.0000","0.0774","161.9730"
"1.2500","0.0982","236.7953"
"1.5000","0.1190","319.8854"
"1.7500","0.1399","404.4132"
"2.0000","0.1607","480.8521"
"2.2500","0.1816","552.5376"
"2.5000","0.2024","624.0240"
"2.7500","0.2231","695.9095"
"3.0000","0.2440","769.5378"
"3.2500","0.2650","844.0815"
"3.5000","0.2858","918.8647"
"3.7500","0.3066","991.5676"
"4.0000","0.3273","1064.9957"
"4.2500","0.3482","1138.3459"
"4.5000","0.3690","1210.5767"
"4.7500","0.3899","1282.9098"
"5.0000","0.4108","1354.1111"
"5.2500","0.4315","1422.9763"
"5.5000","0.4522","1489.9440"
"5.7500","0.4732","1559.3964"
"6.0000","0.4942","1626.5734"
"6.2500","0.5149","1691.5677"
"6.5000","0.5357","1755.4575"
"6.7500","0.5565","1817.4976"
"7.0000","0.5773","1879.5977"
"7.2500","0.5982","1942.6495"
"7.5000","0.6192","2005.0878"
"7.7500","0.6399","2063.1414"
"8.0000","0.6607","2123.3828"
"8.2500","0.6815","2181.8669"
"8.5000","0.7023","2241.7380"
"8.7500","0.7234","2305.2183"
"9.0000","0.7441","2363.1196"
"9.2500","0.7648","2421.2800"
"9.5000","0.7857","2478.9768"
"9.7500","0.8065","2535.7654"
"10.0000","0.8274","2593.5093"
"10.2500","0.8483","2651.5725"
"10.5000","0.8691","2706.3777"
"10.7500","0.8898","2760.3440"
"11.0000","0.9107","2814.0459"
"11.2500","0.9316","2867.7305"
"11.5000","0.9525","2922.0144"
"11.7500","0.9733","2974.2212"
"12.0000","0.9940","3024.4543"
"12.2500","1.0148","3075.1611"
"12.5000","1.0357","3126.3198"
"12.7500","1.0566","3174.5110"
"13.0000","1.0774","3223.6975"
"13.2500","1.0983","3271.9072"
"13.5000","1.1190","3316.2009"
"13.7500","1.1398","3362.6406"
"14.0000","1.1608","3410.6204"
"14.2500","1.1816","3455.7273"
"14.5000","1.2025","3495.0320"
"14.7500","1.2232","3522.4651"
"15.0000","1.2439","3565.4988"
"15.2500","1.2649","3609.1321"
"15.5000","1.2858","3651.6995"
"15.7500","1.3065","3690.7810"
"16.0000","1.3275","3730.9636"
"16.2500","1.3482","3764.3738"
"16.5000","1.3690","3800.0378"
"16.7500","1.3900","3838.8625"
"17.0000","1.4108","3872.9575"
"17.2500","1.4316","3905.1953"
"17.5000","1.4523","3936.9851"
"17.7500","1.4732","3966.8557"
"18.0000","1.4941","3998.7087"
"18.2500","1.5150","4027.0281"
"18.5000","1.5357","4055.6089"
"18.7500","1.5566","4084.4717"
"19.0000","1.5773","4110.1641"
"19.2500","1.5982","4132.9263"
"19.5000","1.6191","4160.5347"
"19.7500","1.6399","4183.3379"
"20.0000","1.6607","4207.3589"
"20.2500","1.6815","4227.3486"
"20.5000","1.7024","4249.4478"
"20.7500","1.7233","4268.5435"
"21.0000","1.7441","4289.7310"
"21.2500","1.7649","4307.3784"
"21.5000","1.7857","4324.2568"
"21.7500","1.8065","4341.8062"
"22.0000","1.8274","4358.0396"
"22.2500","1.8483","4375.0898"
"22.5000","1.8692","4390.6328"
"22.7500","1.8899","4403.8774"
"23.0000","1.9106","4413.9390"
"23.2500","1.9316","4425.9741"
"23.5000","1.9525","4438.9429"
"23.7500","1.9733","4451.2109"
"24.0000","1.9941","4461.4775"
"24.2500","2.0148","4469.6250"
