
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1053"
"0.1000","0.0005","0.6238"
"0.2000","0.0017","2.2976"
"0.3000","0.0067","9.2009"
"0.4000","0.0101","12.3975"
"0.5000","0.0135","15.0264"
"0.6000","0.0168","16.3827"
"0.7000","0.0200","17.1392"
"0.8000","0.0237","18.4907"
"0.9000","0.0270","20.0147"
"1.0000","0.0304","20.9751"
"1.1000","0.0336","22.3310"
"1.2000","0.0369","23.5551"
"1.3000","0.0402","24.7206"
"1.4000","0.0434","25.6242"
"1.5000","0.0470","27.0615"
"1.6000","0.0503","28.1956"
"1.7000","0.0537","29.4069"
"1.8000","0.0570","30.7747"
"1.9000","0.0604","31.6395"
"2.0000","0.0636","32.7162"
"2.1000","0.0667","33.4235"
"2.2000","0.0703","34.4667"
"2.3000","0.0736","35.5071"
"2.4000","0.0769","36.3777"
"2.5000","0.0804","37.4935"
"2.6000","0.0837","38.4172"
"2.7000","0.0871","39.3615"
"2.8000","0.0901","40.0606"
"2.9000","0.0935","40.9383"
"3.0000","0.0969","41.6422"
"3.1000","0.1001","42.5084"
"3.2000","0.1037","43.3129"
"3.3000","0.1071","44.3580"
"3.4000","0.1103","44.9498"
"3.5000","0.1136","45.9959"
"3.6000","0.1168","46.4204"
"3.7000","0.1202","47.2196"
"3.8000","0.1234","47.9455"
"3.9000","0.1270","49.0904"
"4.0000","0.1304","50.0001"
"4.1000","0.1337","50.6416"
"4.2000","0.1369","51.4844"
"4.3000","0.1403","52.1246"
"4.4000","0.1436","53.2095"
"4.5000","0.1467","54.2192"
"4.6000","0.1503","56.2508"
"4.7000","0.1536","58.3785"
"4.8000","0.1570","60.2104"
"4.9000","0.1604","61.9385"
"5.0000","0.1636","63.3433"
"5.1000","0.1670","64.8976"
"5.2000","0.1700","65.5656"
"5.3000","0.1736","67.5458"
"5.4000","0.1769","68.6326"
"5.5000","0.1803","69.7786"
"5.6000","0.1837","71.3239"
"5.7000","0.1870","72.2196"
"5.8000","0.1904","73.5687"
"5.9000","0.1935","74.5749"
"6.0000","0.1968","75.5153"
"6.1000","0.2002","76.7169"
"6.2000","0.2035","77.4616"
"6.3000","0.2071","79.0073"
"6.4000","0.2103","79.8631"
"6.5000","0.2137","80.9669"
"6.6000","0.2168","81.5177"
"6.7000","0.2202","82.3057"
"6.8000","0.2235","83.2042"
"6.9000","0.2267","83.7127"
"7.0000","0.2304","84.6082"
"7.1000","0.2337","85.5614"
"7.2000","0.2371","86.4626"
"7.3000","0.2403","86.9261"
"7.4000","0.2435","87.3064"
