
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0929"
"0.1000","0.0006","0.8357"
"0.2000","0.0022","3.1484"
"0.3000","0.0071","8.3779"
"0.4000","0.0106","10.7731"
"0.5000","0.0139","12.7267"
"0.6000","0.0173","14.1131"
"0.7000","0.0205","14.8981"
"0.8000","0.0238","15.7059"
"0.9000","0.0271","16.1367"
"1.0000","0.0305","16.6404"
"1.1000","0.0340","17.5194"
"1.2000","0.0373","18.0844"
"1.3000","0.0406","18.7960"
"1.4000","0.0440","19.6774"
"1.5000","0.0473","20.4217"
"1.6000","0.0503","20.9870"
"1.7000","0.0539","22.0690"
"1.8000","0.0572","22.8595"
"1.9000","0.0606","23.7028"
"2.0000","0.0641","24.5886"
"2.1000","0.0672","25.3536"
"2.2000","0.0707","26.4002"
"2.3000","0.0737","27.0230"
"2.4000","0.0772","28.1269"
"2.5000","0.0806","28.9896"
"2.6000","0.0838","29.7453"
"2.7000","0.0874","30.7021"
"2.8000","0.0907","31.5126"
"2.9000","0.0940","32.6727"
"3.0000","0.0972","33.5525"
"3.1000","0.1005","34.4996"
"3.2000","0.1038","35.1403"
"3.3000","0.1071","36.1097"
"3.4000","0.1106","37.2833"
"3.5000","0.1140","38.2488"
"3.6000","0.1174","39.4550"
"3.7000","0.1205","40.2328"
"3.8000","0.1238","41.0875"
"3.9000","0.1272","42.1410"
"4.0000","0.1303","42.7178"
"4.1000","0.1340","43.8983"
"4.2000","0.1373","44.9459"
"4.3000","0.1406","46.0174"
"4.4000","0.1441","46.6904"
"4.5000","0.1472","47.8679"
"4.6000","0.1506","48.8322"
"4.7000","0.1536","49.5940"
"4.8000","0.1572","50.5192"
"4.9000","0.1606","51.4857"
"5.0000","0.1639","52.4814"
"5.1000","0.1674","53.8092"
"5.2000","0.1707","54.7541"
"5.3000","0.1739","55.5223"
"5.4000","0.1770","56.2231"
"5.5000","0.1805","57.2958"
"5.6000","0.1838","58.1837"
"5.7000","0.1872","59.5497"
"5.8000","0.1907","60.6844"
"5.9000","0.1940","61.6683"
"6.0000","0.1974","62.6503"
"6.1000","0.2005","63.9237"
"6.2000","0.2039","65.0767"
"6.3000","0.2072","66.0561"
"6.4000","0.2103","66.8968"
"6.5000","0.2140","68.2543"
"6.6000","0.2173","69.5022"
"6.7000","0.2206","70.9321"
"6.8000","0.2240","72.6425"
"6.9000","0.2272","73.7211"
"7.0000","0.2306","74.7641"
"7.1000","0.2336","75.2545"
"7.2000","0.2372","75.0156"
"7.3000","0.2407","74.5459"
"7.4000","0.2439","75.7840"
"7.5000","0.2473","78.4766"
"7.6000","0.2506","79.7058"
"7.7000","0.2539","81.1257"
"7.8000","0.2571","82.1224"
"7.9000","0.2605","83.1815"
"8.0000","0.2639","84.2889"
"8.1000","0.2672","85.0395"
"8.2000","0.2707","86.6612"
"8.3000","0.2740","87.3318"
"8.4000","0.2774","88.2506"
"8.5000","0.2804","88.6224"
"8.6000","0.2839","89.6797"
"8.7000","0.2872","90.4793"
"8.8000","0.2904","91.0110"
"8.9000","0.2940","92.2829"
"9.0000","0.2973","92.8896"
"9.1000","0.3007","93.7980"
"9.2000","0.3038","94.4280"
"9.3000","0.3071","94.8533"
"9.4000","0.3105","95.6388"
"9.5000","0.3137","95.7793"
"9.6000","0.3173","97.1568"
"9.7000","0.3207","98.0304"
"9.8000","0.3240","98.4714"
"9.9000","0.3272","99.3806"
"10.0000","0.3305","99.9615"
"10.1000","0.3339","100.5278"
"10.2000","0.3371","101.0071"
"10.3000","0.3406","101.8274"
"10.4000","0.3440","102.6656"
"10.5000","0.3473","103.1724"
"10.6000","0.3507","104.1350"
"10.7000","0.3539","104.2989"
"10.8000","0.3573","105.0486"
"10.9000","0.3603","105.1249"
"11.0000","0.3639","105.7835"
"11.1000","0.3672","106.5878"
"11.2000","0.3706","106.7027"
"11.3000","0.3741","107.6145"
"11.4000","0.3773","107.5465"
"11.5000","0.3807","108.0414"
"11.6000","0.3837","108.2479"
"11.7000","0.3871","108.6339"
"11.8000","0.3905","109.3742"
"11.9000","0.3938","109.5032"
"12.0000","0.3974","110.8530"
"12.1000","0.4007","111.0473"
"12.2000","0.4041","111.6670"
"12.3000","0.4071","112.0433"
"12.4000","0.4106","112.4412"
"12.5000","0.4138","112.5280"
"12.6000","0.4170","112.8823"
"12.7000","0.4207","113.7624"
"12.8000","0.4240","114.2193"
"12.9000","0.4274","114.5921"
"13.0000","0.4306","115.1047"
"13.1000","0.4339","115.3165"
"13.2000","0.4372","115.5233"
"13.3000","0.4403","115.5551"
"13.4000","0.4439","116.1380"
"13.5000","0.4473","116.4833"
"13.6000","0.4507","116.8782"
"13.7000","0.4540","117.4558"
"13.8000","0.4573","117.3459"
"13.9000","0.4606","117.4500"
"14.0000","0.4637","117.3760"
"14.1000","0.4672","117.6867"
"14.2000","0.4706","118.0103"
"14.3000","0.4738","117.9487"
"14.4000","0.4773","118.5525"
"14.5000","0.4806","118.6872"
"14.6000","0.4840","118.5556"
"14.7000","0.4871","118.3038"
"14.8000","0.4905","118.4060"
"14.9000","0.4939","118.3694"
"15.0000","0.4971","118.2385"
"15.1000","0.5007","118.7561"
"15.2000","0.5040","118.4776"
"15.3000","0.5074","118.5982"
"15.4000","0.5105","118.2970"
"15.5000","0.5139","117.6624"
"15.6000","0.5173","117.9720"
"15.7000","0.5203","117.4077"
"15.8000","0.5240","118.0900"
"15.9000","0.5274","117.8658"
"16.0000","0.5306","117.7337"
"16.1000","0.5339","118.0371"
"16.2000","0.5372","117.8101"
"16.3000","0.5405","118.0146"
"16.4000","0.5437","117.6875"
"16.5000","0.5472","118.0392"
"16.6000","0.5506","118.1448"
"16.7000","0.5540","118.0782"
"16.8000","0.5573","118.2981"
"16.9000","0.5606","117.9663"
"17.0000","0.5639","118.2086"
"17.1000","0.5670","117.4948"
"17.2000","0.5706","117.5531"
"17.3000","0.5739","117.5905"
"17.4000","0.5772","117.5109"
"17.5000","0.5807","117.9882"
"17.6000","0.5839","117.6213"
"17.7000","0.5873","117.5851"
"17.8000","0.5904","117.0244"
"17.9000","0.5938","117.3279"
"18.0000","0.5972","117.3479"
"18.1000","0.6004","117.4531"
"18.2000","0.6040","118.1756"
"18.3000","0.6073","118.1673"
"18.4000","0.6107","118.2108"
"18.5000","0.6138","118.2049"
"18.6000","0.6171","118.1166"
"18.7000","0.6205","118.5721"
"18.8000","0.6237","118.5191"
"18.9000","0.6273","119.6879"
"19.0000","0.6307","120.1208"
"19.1000","0.6341","120.4059"
"19.2000","0.6373","120.4552"
"19.3000","0.6406","120.7175"
"19.4000","0.6438","120.8013"
"19.5000","0.6470","120.4653"
"19.6000","0.6506","121.2323"
"19.7000","0.6539","121.1661"
"19.8000","0.6573","121.0870"
"19.9000","0.6607","121.7485"
"20.0000","0.6639","121.3617"
"20.1000","0.6672","121.2283"
"20.2000","0.6703","120.4260"
"20.3000","0.6739","120.3579"
"20.4000","0.6772","119.9910"
"20.5000","0.6806","119.7372"
"20.6000","0.6840","119.9143"
"20.7000","0.6874","119.0861"
"20.8000","0.6907","118.5462"
"20.9000","0.6938","117.7111"
"21.0000","0.6972","117.1537"
"21.1000","0.7005","116.6152"
"21.2000","0.7037","116.1095"
"21.3000","0.7074","116.4588"
"21.4000","0.7107","116.1510"
"21.5000","0.7140","115.6361"
"21.6000","0.7171","115.4398"
"21.7000","0.7205","115.1376"
"21.8000","0.7239","114.8426"
"21.9000","0.7270","114.3461"
"22.0000","0.7306","114.5896"
"22.1000","0.7340","114.6913"
"22.2000","0.7373","114.3442"
"22.3000","0.7407","114.7356"
"22.4000","0.7439","113.9267"
"22.5000","0.7472","114.1003"
"22.6000","0.7504","113.7409"
"22.7000","0.7539","114.1843"
"22.8000","0.7573","114.3523"
"22.9000","0.7606","114.3836"
"23.0000","0.7640","114.8098"
"23.1000","0.7673","114.8654"
"23.2000","0.7706","114.7724"
