
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1572"
"0.1000","0.0008","1.2186"
"0.2000","0.0027","2.0848"
"0.3000","0.0076","3.2194"
"0.4000","0.0109","4.0279"
"0.5000","0.0143","4.7664"
"0.6000","0.0174","5.4044"
"0.7000","0.0210","5.7692"
"0.8000","0.0244","5.8053"
"0.9000","0.0277","6.0531"
"1.0000","0.0312","6.3852"
"1.1000","0.0344","6.2052"
"1.2000","0.0377","6.3044"
"1.3000","0.0408","6.2875"
"1.4000","0.0443","6.2897"
"1.5000","0.0477","6.2590"
"1.6000","0.0510","6.2764"
"1.7000","0.0546","6.3132"
"1.8000","0.0578","6.2363"
"1.9000","0.0612","6.0592"
"2.0000","0.0642","6.1999"
"2.1000","0.0677","6.3995"
"2.2000","0.0709","6.2911"
"2.3000","0.0742","6.3384"
"2.4000","0.0778","6.4484"
"2.5000","0.0811","6.1985"
"2.6000","0.0845","6.2820"
"2.7000","0.0877","6.2828"
"2.8000","0.0910","6.3113"
"2.9000","0.0943","6.2383"
"3.0000","0.0975","6.1154"
"3.1000","0.1011","6.1172"
"3.2000","0.1045","6.1245"
"3.3000","0.1078","6.2757"
"3.4000","0.1111","6.1681"
"3.5000","0.1144","6.3312"
"3.6000","0.1177","6.1830"
"3.7000","0.1208","6.4296"
"3.8000","0.1243","6.3114"
"3.9000","0.1277","6.1817"
"4.0000","0.1310","6.3138"
"4.1000","0.1344","6.2532"
"4.2000","0.1377","6.4951"
"4.3000","0.1411","6.4972"
"4.4000","0.1442","6.3096"
"4.5000","0.1476","6.1851"
"4.6000","0.1510","6.5416"
"4.7000","0.1542","6.4129"
"4.8000","0.1579","6.6565"
"4.9000","0.1611","6.7133"
"5.0000","0.1645","6.6680"
"5.1000","0.1676","6.7505"
"5.2000","0.1710","6.5304"
"5.3000","0.1744","6.6976"
"5.4000","0.1775","6.7617"
"5.5000","0.1811","6.7911"
"5.6000","0.1845","6.9139"
"5.7000","0.1878","6.7230"
"5.8000","0.1910","6.8264"
"5.9000","0.1943","6.9809"
"6.0000","0.1976","7.0051"
"6.1000","0.2008","7.0786"
"6.2000","0.2044","7.0741"
"6.3000","0.2077","7.0230"
"6.4000","0.2112","7.1343"
"6.5000","0.2144","6.8788"
"6.6000","0.2177","7.0600"
"6.7000","0.2211","7.0217"
"6.8000","0.2241","6.9862"
"6.9000","0.2278","6.9845"
"7.0000","0.2311","6.7824"
"7.1000","0.2344","6.9893"
"7.2000","0.2379","7.0497"
"7.3000","0.2410","6.9970"
"7.4000","0.2444","7.1382"
"7.5000","0.2475","6.7707"
"7.6000","0.2509","7.0431"
"7.7000","0.2543","7.1026"
"7.8000","0.2576","7.1297"
"7.9000","0.2611","6.8389"
"8.0000","0.2645","6.9821"
"8.1000","0.2678","7.1283"
"8.2000","0.2709","7.1324"
"8.3000","0.2743","7.1290"
"8.4000","0.2777","7.0086"
"8.5000","0.2809","6.8732"
"8.6000","0.2845","7.0487"
"8.7000","0.2878","7.2070"
"8.8000","0.2913","7.1017"
"8.9000","0.2943","6.9085"
"9.0000","0.2977","7.0021"
"9.1000","0.3009","7.0505"
"9.2000","0.3041","6.9121"
"9.3000","0.3078","6.9711"
"9.4000","0.3111","7.1772"
"9.5000","0.3144","7.1189"
"9.6000","0.3178","6.9955"
"9.7000","0.3210","7.1856"
"9.8000","0.3243","7.2372"
"9.9000","0.3275","7.5231"
"10.0000","0.3311","7.1185"
"10.1000","0.3343","7.5304"
"10.2000","0.3377","7.3108"
"10.3000","0.3412","7.5176"
"10.4000","0.3445","7.4676"
"10.5000","0.3478","7.6902"
"10.6000","0.3509","7.6831"
"10.7000","0.3543","8.1428"
"10.8000","0.3577","8.4037"
"10.9000","0.3609","9.0019"
"11.0000","0.3645","10.7192"
"11.1000","0.3678","12.9010"
"11.2000","0.3712","15.0649"
"11.3000","0.3742","17.8524"
"11.4000","0.3776","21.8966"
"11.5000","0.3810","28.4480"
"11.6000","0.3842","35.6665"
"11.7000","0.3878","44.2078"
"11.8000","0.3912","52.7125"
"11.9000","0.3944","61.4588"
"12.0000","0.3978","70.5556"
"12.1000","0.4010","79.0879"
"12.2000","0.4043","87.9871"
"12.3000","0.4075","96.4278"
"12.4000","0.4111","105.7417"
"12.5000","0.4145","114.6064"
"12.6000","0.4178","123.0582"
"12.7000","0.4211","131.3501"
"12.8000","0.4244","139.6437"
"12.9000","0.4277","147.5428"
"13.0000","0.4308","154.6878"
"13.1000","0.4344","162.7971"
"13.2000","0.4377","170.2017"
"13.3000","0.4410","177.1697"
"13.4000","0.4445","184.0698"
"13.5000","0.4477","190.0044"
"13.6000","0.4511","196.2849"
"13.7000","0.4542","200.9230"
"13.8000","0.4577","206.7398"
"13.9000","0.4610","212.0852"
"14.0000","0.4643","216.8370"
"14.1000","0.4678","222.7017"
"14.2000","0.4711","227.2545"
"14.3000","0.4745","232.2442"
"14.4000","0.4776","236.1535"
"14.5000","0.4809","240.6202"
"14.6000","0.4843","245.5525"
"14.7000","0.4875","249.6950"
"14.8000","0.4912","255.2000"
"14.9000","0.4945","259.3556"
"15.0000","0.4978","264.0097"
"15.1000","0.5010","267.8858"
"15.2000","0.5043","271.9404"
