
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0668"
"0.2500","0.0148","4.4155"
"0.5000","0.0358","6.2645"
"0.7500","0.0568","8.9989"
"1.0000","0.0775","12.7562"
"1.2500","0.0983","20.3837"
"1.5000","0.1191","31.5937"
"1.7500","0.1400","50.4354"
"2.0000","0.1609","81.6826"
"2.2500","0.1817","128.8013"
"2.5000","0.2025","193.0165"
"2.7500","0.2233","271.0557"
"3.0000","0.2441","361.0564"
"3.2500","0.2650","459.3381"
"3.5000","0.2860","565.0602"
"3.7500","0.3067","677.1805"
"4.0000","0.3274","796.5455"
"4.2500","0.3483","921.9415"
"4.5000","0.3692","1051.4814"
"4.7500","0.3901","1185.6398"
"5.0000","0.4109","1321.7104"
"5.2500","0.4317","1460.0870"
"5.5000","0.4525","1598.4330"
"5.7500","0.4733","1734.5793"
"6.0000","0.4942","1868.9144"
"6.2500","0.5151","1999.1500"
"6.5000","0.5359","2118.7366"
"6.7500","0.5566","2232.6440"
"7.0000","0.5774","2342.1934"
"7.2500","0.5984","2448.3860"
"7.5000","0.6193","2550.1694"
"7.7500","0.6400","2643.1897"
"8.0000","0.6608","2733.5449"
"8.2500","0.6816","2820.6338"
"8.5000","0.7025","2906.8342"
"8.7500","0.7234","2989.8765"
"9.0000","0.7442","3069.6941"
"9.2500","0.7651","3148.5818"
"9.5000","0.7858","3220.6523"
"9.7500","0.8066","3293.2979"
"10.0000","0.8277","3370.1382"
"10.2500","0.8484","3438.1863"
"10.5000","0.8691","3503.5745"
"10.7500","0.8900","3571.3948"
"11.0000","0.9108","3634.2844"
"11.2500","0.9316","3697.5869"
"11.5000","0.9526","3761.6472"
"11.7500","0.9733","3819.0339"
"12.0000","0.9942","3876.6003"
"12.2500","1.0150","3931.7219"
"12.5000","1.0358","3985.3938"
"12.7500","1.0568","4041.0508"
"13.0000","1.0776","4090.4626"
"13.2500","1.0983","4138.6855"
"13.5000","1.1191","4187.2832"
"13.7500","1.1400","4233.9189"
"14.0000","1.1608","4278.7832"
"14.2500","1.1817","4324.3311"
"14.5000","1.2025","4365.6392"
"14.7500","1.2233","4404.9868"
"15.0000","1.2441","4443.3462"
"15.2500","1.2650","4479.9844"
"15.5000","1.2859","4516.3945"
"15.7500","1.3068","4552.6875"
"16.0000","1.3275","4583.1406"
"16.2500","1.3482","4613.4619"
"16.5000","1.3692","4647.0781"
"16.7500","1.3901","4675.0107"
"17.0000","1.4108","4703.9844"
"17.2500","1.4318","4733.4863"
"17.5000","1.4525","4759.3452"
"17.7500","1.4732","4784.8823"
"18.0000","1.4942","4813.4888"
"18.2500","1.5151","4837.9004"
"18.5000","1.5358","4861.3291"
"18.7500","1.5567","4883.6147"
"19.0000","1.5774","4905.2544"
"19.2500","1.5983","4924.9043"
"19.5000","1.6193","4947.2300"
"19.7500","1.6400","4966.6792"
"20.0000","1.6609","4988.2808"
"20.2500","1.6816","5005.1318"
"20.5000","1.7025","5022.5933"
"20.7500","1.7233","5040.4551"
"21.0000","1.7443","5059.8926"
"21.2500","1.7650","5075.7715"
"21.5000","1.7858","5088.6011"
"21.7500","1.8066","5098.6338"
"22.0000","1.8275","5113.8921"
"22.2500","1.8485","5127.6772"
"22.5000","1.8693","5135.2588"
"22.7500","1.8900","5146.3496"
"23.0000","1.9108","5157.0327"
"23.2500","1.9317","5166.0688"
"23.5000","1.9525","5174.3081"
"23.7500","1.9735","5182.3511"
"24.0000","1.9942","5188.1104"
"24.2500","2.0149","5196.5400"
"24.5000","2.0358","5207.1357"
"24.7500","2.0567","5211.9126"
"25.0000","2.0776","5219.4917"
"25.2500","2.0984","5225.8687"
"25.5000","2.1192","5230.2432"
"25.7500","2.1400","5230.8008"
"26.0000","2.1608","5235.9185"
"26.2500","2.1817","5237.7759"
"26.5000","2.2026","5245.9863"
"26.7500","2.2234","5249.1548"
"27.0000","2.2441","5252.6567"
"27.2500","2.2650","5263.7437"
"27.5000","2.2859","5272.6382"
"27.7500","2.3067","5284.0498"
"28.0000","2.3275","5293.5615"
"28.2500","2.3483","5302.5493"
"28.5000","2.3691","5310.8843"
"28.7500","2.3900","5320.1216"
"29.0000","2.4109","5325.3574"
"29.2500","2.4317","5328.0586"
"29.5000","2.4526","5335.3984"
"29.7500","2.4733","5334.5620"
"30.0000","2.4941","5337.0488"
"30.2500","2.5151","5345.6108"
"30.5000","2.5359","5346.5342"
"30.7500","2.5566","5347.2300"
"31.0000","2.5775","5343.2134"
"31.2500","2.5983","5341.9932"
"31.5000","2.6191","5338.8579"
"31.7500","2.6401","5335.9961"
"32.0000","2.6608","5325.1670"
"32.2500","2.6817","5322.7520"
"32.5000","2.7024","5317.0513"
"32.7500","2.7233","5309.8833"
"33.0000","2.7443","5294.9722"
"33.2500","2.7651","5286.1343"
"33.5000","2.7858","5275.9731"
"33.7500","2.8066","5268.6328"
"34.0000","2.8275","5258.6636"
"34.2500","2.8484","5247.8989"
"34.5000","2.8692","5227.1333"
"34.7500","2.8901","5200.3877"
"35.0000","2.9108","5175.6396"
"35.2500","2.9316","5145.8237"
"35.5000","2.9525","5117.5542"
"35.7500","2.9734","5096.3232"
"36.0000","2.9943","5076.7397"
"36.2500","3.0150","5048.0366"
"36.5000","3.0358","5019.7539"
"36.7500","3.0567","4994.9932"
"37.0000","3.0775","4970.1245"
"37.2500","3.0984","4942.4272"
"37.5000","3.1193","4910.1411"
"37.7500","3.1400","4840.9800"
"38.0000","3.1607","4799.6948"
"38.2500","3.1818","4760.1343"
"38.5000","3.2026","4716.3257"
"38.7500","3.2234","4670.3833"
"39.0000","3.2442","4621.5015"
"39.2500","3.2649","4560.9448"
"39.5000","3.2858","4494.0869"
"39.7500","3.3068","4414.7144"
"40.0000","3.3275","4333.2661"
"40.2500","3.3484","4239.4458"
"40.5000","3.3692","4094.9773"
"40.7500","3.3900","3927.4834"
"41.0000","3.4108","3790.5044"
"41.2500","3.4318","3647.3757"
"41.5000","3.4526","3503.8225"
"41.7500","3.4733","3370.6890"
"42.0000","3.4942","3258.7134"
"42.2500","3.5150","3127.2451"
"42.5000","3.5360","2961.7878"
"42.7500","3.5567","2796.5781"
"43.0000","3.5775","2680.4050"
"43.2500","3.5983","2581.9275"
"43.5000","3.6192","2499.0083"
"43.7500","3.6400","2450.8694"
"44.0000","3.6609","2405.5854"
"44.2500","3.6817","2362.2632"
"44.2900","3.6851","2353.2185"

