
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3589"
"0.1000","0.0007","3.5730"
"0.2000","0.0026","11.7938"
"0.3000","0.0075","34.8021"
"0.4000","0.0110","50.0923"
"0.5000","0.0140","63.8225"
"0.6000","0.0175","78.7545"
"0.7000","0.0209","93.5126"
"0.8000","0.0241","107.0477"
"0.9000","0.0277","122.4408"
"1.0000","0.0310","136.4508"
"1.1000","0.0344","149.9139"
"1.2000","0.0376","162.7308"
"1.3000","0.0408","174.9451"
"1.4000","0.0442","186.6229"
"1.5000","0.0474","196.3294"
"1.6000","0.0509","204.8418"
"1.7000","0.0543","214.7346"
"1.8000","0.0577","225.7565"
"1.9000","0.0609","236.7620"
"2.0000","0.0642","247.8787"
"2.1000","0.0676","259.8211"
"2.2000","0.0706","270.4424"
"2.3000","0.0742","282.9717"
"2.4000","0.0776","294.7588"
"2.5000","0.0809","305.9532"
"2.6000","0.0844","317.9620"
"2.7000","0.0876","328.7585"
"2.8000","0.0910","340.0622"
"2.9000","0.0940","349.2585"
"3.0000","0.0975","361.2313"
"3.1000","0.1008","371.6443"
"3.2000","0.1042","382.4213"
"3.3000","0.1077","393.6359"
"3.4000","0.1111","403.5784"
"3.5000","0.1143","413.5605"
"3.6000","0.1175","422.6487"
"3.7000","0.1208","432.3948"
"3.8000","0.1241","442.1275"
"3.9000","0.1274","451.4569"
"4.0000","0.1310","462.0397"
"4.1000","0.1343","471.1436"
"4.2000","0.1378","480.7788"
"4.3000","0.1409","488.8346"
"4.4000","0.1442","497.6432"
"4.5000","0.1475","506.1485"
"4.6000","0.1507","514.1476"
"4.7000","0.1543","523.7822"
"4.8000","0.1576","532.1999"
"4.9000","0.1609","540.4689"
"5.0000","0.1644","549.0759"
"5.1000","0.1676","556.3909"
"5.2000","0.1709","564.2225"
"5.3000","0.1740","570.9555"
"5.4000","0.1775","579.4401"
"5.5000","0.1809","587.4436"
"5.6000","0.1842","594.4974"
"5.7000","0.1877","602.7770"
"5.8000","0.1910","609.6414"
"5.9000","0.1942","616.1939"
"6.0000","0.1974","622.5305"
"6.1000","0.2009","629.1672"
"6.2000","0.2042","635.8411"
"6.3000","0.2075","642.1325"
"6.4000","0.2110","649.3032"
"6.5000","0.2143","655.5798"
"6.6000","0.2178","661.8422"
"6.7000","0.2208","666.2772"
"6.8000","0.2242","672.7549"
"6.9000","0.2276","678.6729"
"7.0000","0.2307","684.1465"
"7.1000","0.2344","690.8029"
"7.2000","0.2376","696.0381"
"7.3000","0.2410","701.8547"
"7.4000","0.2443","707.2101"
"7.5000","0.2475","712.0300"
"7.6000","0.2509","717.6075"
"7.7000","0.2541","721.8358"
"7.8000","0.2576","727.8820"
"7.9000","0.2610","733.5356"
"8.0000","0.2643","738.7894"
"8.1000","0.2676","743.9484"
"8.2000","0.2709","749.0323"
"8.3000","0.2742","753.4961"
"8.4000","0.2774","749.2326"
"8.5000","0.2809","756.2257"
"8.6000","0.2843","762.5223"
"8.7000","0.2876","768.4332"
"8.8000","0.2910","774.7914"
"8.9000","0.2942","779.2750"
"9.0000","0.2977","784.8810"
"9.1000","0.3007","788.2559"
"9.2000","0.3041","793.3761"
"9.3000","0.3076","797.6602"
"9.4000","0.3108","801.0390"
"9.5000","0.3144","806.6202"
"9.6000","0.3177","810.2294"
"9.7000","0.3210","814.2142"
"9.8000","0.3242","817.3579"
"9.9000","0.3274","820.9135"
"10.0000","0.3309","825.1518"
"10.1000","0.3341","827.8726"
"10.2000","0.3377","832.6494"
"10.3000","0.3411","488.3638"
"10.4000","0.3445","110.1262"
"10.5000","0.3475","110.5404"
"10.6000","0.3510","110.7001"
"10.7000","0.3541","110.7769"
"10.8000","0.3573","110.6382"
"10.9000","0.3610","110.5476"
"11.0000","0.3643","110.8226"
"11.1000","0.3677","110.6837"
"11.2000","0.3710","110.6858"
"11.3000","0.3742","110.7218"
"11.4000","0.3776","110.6397"
"11.5000","0.3807","110.5217"
"11.6000","0.3842","110.5271"
"11.7000","0.3876","110.5213"
"11.8000","0.3909","110.5469"
"11.9000","0.3944","110.6102"
"12.0000","0.3977","110.6557"
"12.1000","0.4009","110.7648"
"12.2000","0.4041","110.6956"
"12.3000","0.4075","110.7433"
"12.4000","0.4109","110.7827"
"12.5000","0.4141","110.6737"
"12.6000","0.4177","110.7677"
"12.7000","0.4210","110.6952"
"12.8000","0.4243","110.7713"
"12.9000","0.4275","110.7136"
"13.0000","0.4309","110.7409"
"13.1000","0.4342","110.8215"
"13.2000","0.4374","110.7500"
"13.3000","0.4410","110.7272"
"13.4000","0.4443","110.8047"
"13.5000","0.4477","110.6442"
"13.6000","0.4509","110.6876"
"13.7000","0.4542","110.8024"
"13.8000","0.4576","110.8744"
"13.9000","0.4606","110.7886"
"14.0000","0.4643","110.6170"
"14.1000","0.4677","110.7907"
"14.2000","0.4709","110.7507"
"14.3000","0.4743","110.6945"
"14.4000","0.4775","110.8081"
"14.5000","0.4809","110.7883"
"14.5300","0.4820","110.8294"

