
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1589"
"0.0500","0.0001","-0.2189"
"0.1000","0.0007","0.0407"
"0.1500","0.0010","0.0128"
"0.2000","0.0030","-0.0405"
"0.2500","0.0057","0.0019"
"0.3000","0.0077","0.1903"
"0.3500","0.0093","0.1018"
"0.4000","0.0111","0.2290"
"0.4500","0.0127","-0.0483"
"0.5000","0.0145","0.1388"
"0.5500","0.0159","0.0623"
"0.6000","0.0175","0.0054"
"0.6500","0.0195","-0.1431"
"0.7000","0.0210","0.0342"
"0.7500","0.0229","-0.0342"
"0.8000","0.0244","0.0995"
"0.8500","0.0261","0.0453"
"0.9000","0.0275","-0.0385"
"0.9500","0.0292","0.0567"
"1.0000","0.0312","-0.1308"
"1.0500","0.0327","-0.0923"
"1.1000","0.0344","0.0242"
"1.1500","0.0360","-0.1780"
"1.2000","0.0378","0.0746"
"1.2500","0.0392","-0.1251"
"1.3000","0.0410","-0.0496"
"1.3500","0.0428","0.0315"
"1.4000","0.0443","-0.0453"
"1.4500","0.0461","-0.0586"
"1.5000","0.0476","0.2333"
"1.5500","0.0495","0.0050"
"1.6000","0.0509","-0.0654"
"1.6500","0.0527","0.0138"
"1.7000","0.0545","0.0019"
"1.7500","0.0560","-0.0586"
"1.8000","0.0578","0.0246"
"1.8500","0.0594","0.0155"
"1.9000","0.0612","-0.0038"
"1.9500","0.0625","-0.0139"
"2.0000","0.0644","0.0611"
"2.0500","0.0661","0.0778"
"2.1000","0.0677","0.1134"
"2.1500","0.0695","0.0688"
"2.2000","0.0710","0.0688"
"2.2500","0.0728","-0.0625"
"2.3000","0.0742","-0.0190"
"2.3500","0.0762","-0.0005"
"2.4000","0.0778","0.1164"
"2.4500","0.0793","-0.0548"
"2.5000","0.0811","0.2462"
"2.5500","0.0827","-0.1775"
"2.6000","0.0845","-0.0157"
"2.6500","0.0858","-0.0589"
"2.7000","0.0878","-0.0064"
"2.7500","0.0893","0.0712"
"2.8000","0.0910","0.1195"
"2.8500","0.0927","0.0621"
"2.9000","0.0944","0.0857"
"2.9500","0.0961","-0.0513"
"3.0000","0.0975","-0.0074"
"3.0500","0.0995","-0.0479"
"3.1000","0.1010","-0.0054"
"3.1500","0.1028","0.0614"
"3.2000","0.1044","0.1600"
"3.2500","0.1061","-0.0231"
"3.3000","0.1077","-0.0799"
"3.3500","0.1092","0.0930"
"3.4000","0.1112","-0.0559"
"3.4500","0.1126","-0.0875"
"3.5000","0.1145","0.0093"
"3.5500","0.1160","-0.0873"
"3.6000","0.1178","0.0133"
"3.6500","0.1193","-0.2170"
"3.7000","0.1209","0.0444"
"3.7500","0.1229","-0.1079"
"3.8000","0.1243","-0.1664"
"3.8500","0.1261","-0.2585"
"3.9000","0.1277","0.0404"
"3.9500","0.1296","0.0074"
"4.0000","0.1309","-0.0350"
"4.0500","0.1326","0.0867"
"4.1000","0.1346","0.2397"
"4.1500","0.1360","0.0416"
"4.2000","0.1379","0.0888"
"4.2500","0.1393","0.0719"
"4.3000","0.1412","-0.0470"
"4.3500","0.1426","0.0113"
"4.4000","0.1443","0.0772"
"4.4500","0.1462","-0.0070"
"4.5000","0.1477","0.0443"
"4.5500","0.1495","0.0327"
"4.6000","0.1509","-0.1189"
"4.6500","0.1528","0.1668"
"4.7000","0.1541","-0.0704"
"4.7500","0.1560","0.1280"
"4.8000","0.1578","-0.0143"
"4.8500","0.1593","0.0316"
"4.9000","0.1611","-0.0554"
"4.9500","0.1626","-0.0014"
"5.0000","0.1645","0.0538"
"5.0500","0.1658","-0.1173"
"5.1000","0.1678","-0.0567"
"5.1500","0.1695","-0.0687"
"5.2000","0.1710","-0.1346"
"5.2500","0.1727","0.0499"
"5.3000","0.1744","0.0007"
"5.3500","0.1762","0.0591"
"5.4000","0.1775","0.0030"
"5.4500","0.1794","0.1372"
"5.5000","0.1811","0.0586"
"5.5500","0.1828","0.2550"
"5.6000","0.1844","0.0630"
"5.6500","0.1860","0.0014"
"5.7000","0.1878","-0.1601"
"5.7500","0.1892","0.0462"
"5.8000","0.1912","0.0271"
"5.8500","0.1927","0.1158"
"5.9000","0.1945","0.1976"
"5.9500","0.1961","0.1215"
"6.0000","0.1977","0.1004"
"6.0500","0.1994","0.0426"
"6.1000","0.2009","0.2958"
"6.1500","0.2029","0.1653"
"6.2000","0.2043","0.3063"
"6.2500","0.2061","0.0295"
"6.3000","0.2077","0.1072"
"6.3500","0.2095","-0.0270"
"6.4000","0.2110","0.2695"
"6.4500","0.2125","0.0139"
"6.5000","0.2145","0.0990"
"6.5500","0.2159","0.2201"
"6.6000","0.2178","-0.1149"
"6.6500","0.2194","0.0179"
"6.7000","0.2212","-0.0030"
"6.7500","0.2226","-0.0466"
"6.8000","0.2242","0.2307"
"6.8500","0.2261","-0.0476"
"6.9000","0.2277","-0.0075"
"6.9500","0.2296","0.1359"
"7.0000","0.2310","0.2161"
"7.0500","0.2328","0.0048"
"7.1000","0.2342","0.0993"
"7.1500","0.2360","0.1525"
"7.2000","0.2379","0.1117"
"7.2500","0.2393","0.0456"
"7.3000","0.2411","-0.0762"
"7.3500","0.2426","-0.0929"
"7.4000","0.2445","0.1243"
"7.4500","0.2459","0.0577"
"7.5000","0.2477","0.1529"
"7.5500","0.2495","0.3546"
"7.6000","0.2510","0.1655"
"7.6500","0.2528","0.0971"
"7.7000","0.2544","0.2022"
"7.7500","0.2562","-0.0667"
"7.8000","0.2575","0.1671"
"7.8500","0.2593","0.0341"
"7.9000","0.2611","0.0508"
"7.9500","0.2627","0.1323"
"8.0000","0.2645","0.0481"
"8.0500","0.2661","0.2270"
"8.1000","0.2678","0.0736"
"8.1500","0.2691","0.2513"
"8.2000","0.2710","-0.0563"
"8.2500","0.2728","0.3107"
"8.3000","0.2744","0.1210"
"8.3500","0.2761","0.1525"
"8.4000","0.2776","0.2197"
"8.4500","0.2794","0.1055"
"8.5000","0.2809","0.2106"
"8.5500","0.2828","-0.0010"
"8.6000","0.2844","0.1506"
"8.6500","0.2860","0.0737"
"8.7000","0.2877","0.2435"
"8.7500","0.2894","0.0002"
"8.8000","0.2912","0.1632"
"8.8500","0.2925","-0.0576"
"8.9000","0.2945","0.1890"
"8.9500","0.2960","0.1275"
"9.0000","0.2977","0.1815"
"9.0500","0.2995","0.1863"
"9.1000","0.3012","0.1708"
"9.1500","0.3027","0.1311"
"9.2000","0.3041","0.0344"
"9.2500","0.3061","0.0006"
"9.3000","0.3077","-0.0526"
"9.3500","0.3095","-0.0073"
"9.4000","0.3110","0.2101"
"9.4500","0.3127","0.1962"
"9.5000","0.3143","-0.0374"
"9.5500","0.3159","0.1012"
"9.6000","0.3179","0.0181"
"9.6500","0.3193","0.0710"
"9.7000","0.3211","-0.1386"
"9.7500","0.3227","0.2250"
"9.8000","0.3245","-0.0075"
"9.8500","0.3260","-0.0804"
"9.9000","0.3276","0.2351"
"9.9500","0.3295","0.1274"
"10.0000","0.3309","0.3143"
"10.0500","0.3327","0.2178"
"10.1000","0.3344","0.1083"
"10.1500","0.3362","0.1835"
"10.2000","0.3376","0.3040"
"10.2500","0.3392","-0.1233"
"10.3000","0.3411","0.1354"
"10.3500","0.3426","0.0111"
"10.4000","0.3445","0.0143"
"10.4500","0.3460","0.0412"
"10.5000","0.3478","0.2261"
"10.5500","0.3492","-0.0549"
"10.6000","0.3510","0.0375"
"10.6500","0.3529","-0.0170"
"10.7000","0.3543","0.1914"
"10.7500","0.3562","0.0364"
"10.8000","0.3577","-0.0355"
"10.8500","0.3595","0.3130"
"10.9000","0.3609","0.0606"
"10.9500","0.3628","-0.0086"
"11.0000","0.3645","-0.0197"
"11.0500","0.3660","0.0388"
"11.1000","0.3678","0.2142"
