
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0407"
"0.0500","0.0001","0.0125"
"0.1000","0.0005","0.0046"
"0.1500","0.0010","-0.0984"
"0.2000","0.0021","-0.0165"
"0.2500","0.0049","0.1994"
"0.3000","0.0071","0.1532"
"0.3500","0.0089","0.0847"
"0.4000","0.0102","0.1720"
"0.4500","0.0121","-0.0380"
"0.5000","0.0139","0.0773"
"0.5500","0.0156","0.1230"
"0.6000","0.0172","0.0609"
"0.6500","0.0187","0.1172"
"0.7000","0.0206","0.1097"
"0.7500","0.0219","-0.1132"
"0.8000","0.0239","0.0254"
"0.8500","0.0255","-0.1129"
"0.9000","0.0272","0.0011"
"0.9500","0.0288","0.0785"
"1.0000","0.0305","0.1161"
"1.0500","0.0323","0.1031"
"1.1000","0.0336","0.0482"
"1.1500","0.0356","0.1286"
"1.2000","0.0372","-0.0656"
"1.2500","0.0389","0.0900"
"1.3000","0.0405","0.1054"
"1.3500","0.0423","0.1666"
"1.4000","0.0439","-0.0204"
"1.4500","0.0453","-0.0152"
"1.5000","0.0473","-0.1198"
"1.5500","0.0488","0.1522"
"1.6000","0.0507","0.0921"
"1.6500","0.0522","-0.0308"
"1.7000","0.0539","0.0085"
"1.7500","0.0555","0.1202"
"1.8000","0.0570","-0.1633"
"1.8500","0.0590","-0.0272"
"1.9000","0.0605","0.0068"
"1.9500","0.0623","0.0411"
"2.0000","0.0638","-0.0225"
"2.0500","0.0656","0.0022"
"2.1000","0.0671","-0.0456"
"2.1500","0.0688","0.0859"
"2.2000","0.0706","-0.0740"
"2.2500","0.0721","-0.1132"
"2.3000","0.0739","0.1823"
"2.3500","0.0755","0.0132"
"2.4000","0.0773","0.0207"
"2.4500","0.0787","0.0102"
"2.5000","0.0804","-0.0503"
"2.5500","0.0822","0.0314"
"2.6000","0.0837","0.2298"
"2.6500","0.0856","0.0324"
"2.7000","0.0872","0.0660"
"2.7500","0.0890","0.1045"
"2.8000","0.0903","0.0544"
"2.8500","0.0922","-0.1611"
"2.9000","0.0939","0.0392"
"2.9500","0.0955","0.1985"
"3.0000","0.0973","0.0926"
"3.0500","0.0988","0.0776"
"3.1000","0.1006","-0.0114"
"3.1500","0.1020","-0.1521"
"3.2000","0.1039","0.0288"
"3.2500","0.1056","0.0937"
"3.3000","0.1071","-0.0293"
"3.3500","0.1089","0.0379"
"3.4000","0.1105","-0.0331"
"3.4500","0.1123","0.1111"
"3.5000","0.1137","0.0936"
"3.5500","0.1156","0.0659"
"3.6000","0.1172","0.1128"
"3.6500","0.1188","0.0370"
"3.7000","0.1206","-0.0633"
"3.7500","0.1223","0.1773"
"3.8000","0.1239","0.0814"
"3.8500","0.1253","-0.1197"
"3.9000","0.1272","0.1803"
"3.9500","0.1289","0.1597"
"4.0000","0.1306","-0.1864"
"4.0500","0.1322","-0.1978"
"4.1000","0.1338","0.1117"
"4.1500","0.1355","-0.1207"
"4.2000","0.1370","0.2179"
"4.2500","0.1390","0.1595"
"4.3000","0.1405","-0.0185"
"4.3500","0.1422","-0.1010"
"4.4000","0.1438","0.1494"
"4.4500","0.1455","-0.0343"
"4.5000","0.1472","0.0761"
"4.5500","0.1487","0.1743"
"4.6000","0.1506","0.0517"
"4.6500","0.1521","0.0097"
"4.7000","0.1539","0.1421"
"4.7500","0.1555","0.2707"
"4.8000","0.1573","0.0506"
"4.8500","0.1588","-0.0249"
"4.9000","0.1603","0.1134"
"4.9500","0.1623","-0.0984"
"5.0000","0.1638","-0.0078"
"5.0500","0.1656","0.0041"
"5.1000","0.1672","0.0059"
"5.1500","0.1690","0.0373"
"5.2000","0.1704","-0.0600"
"5.2500","0.1720","0.1255"
"5.3000","0.1740","0.1214"
"5.3500","0.1755","0.1152"
"5.4000","0.1773","-0.0451"
"5.4500","0.1788","-0.0578"
"5.5000","0.1806","0.0411"
"5.5500","0.1821","0.2391"
"5.6000","0.1838","0.0618"
"5.6500","0.1857","0.1421"
"5.7000","0.1871","0.1466"
"5.7500","0.1890","-0.1571"
"5.8000","0.1905","0.0558"
"5.8500","0.1923","0.1755"
