
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0319"
"0.0500","0.0001","-0.2778"
"0.1000","0.0007","0.1606"
"0.1500","0.0010","0.2231"
"0.2000","0.0030","0.5331"
"0.2500","0.0055","0.9409"
"0.3000","0.0076","1.1703"
"0.3500","0.0093","1.4141"
"0.4000","0.0111","2.1768"
"0.4500","0.0127","2.5085"
"0.5000","0.0145","2.6308"
"0.5500","0.0158","2.4373"
"0.6000","0.0177","2.6156"
"0.6500","0.0194","2.5333"
"0.7000","0.0210","2.5391"
"0.7500","0.0228","2.6642"
"0.8000","0.0243","2.4878"
"0.8500","0.0261","2.6548"
"0.9000","0.0275","2.4679"
"0.9500","0.0295","2.7578"
"1.0000","0.0310","2.7906"
"1.0500","0.0326","2.7787"
"1.1000","0.0344","2.6543"
"1.1500","0.0361","2.8518"
"1.2000","0.0378","2.5768"
"1.2500","0.0392","2.7439"
"1.3000","0.0412","2.6846"
"1.3500","0.0427","2.6837"
"1.4000","0.0444","2.7628"
"1.4500","0.0461","2.8108"
"1.5000","0.0478","2.6698"
"1.5500","0.0494","2.6833"
"1.6000","0.0507","2.7405"
"1.6500","0.0528","2.6281"
"1.7000","0.0543","2.5464"
"1.7500","0.0561","2.7403"
"1.8000","0.0577","2.6225"
"1.8500","0.0594","2.7605"
"1.9000","0.0610","2.8292"
"1.9500","0.0625","2.7320"
"2.0000","0.0645","2.8167"
"2.0500","0.0660","2.6135"
"2.1000","0.0678","2.6715"
"2.1500","0.0694","2.7806"
"2.2000","0.0711","2.7359"
"2.2500","0.0726","2.7080"
"2.3000","0.0742","2.6475"
"2.3500","0.0762","2.8423"
"2.4000","0.0776","2.7112"
"2.4500","0.0794","2.5145"
"2.5000","0.0810","2.8066"
"2.5500","0.0829","2.7958"
"2.6000","0.0842","2.7926"
"2.6500","0.0859","2.5950"
"2.7000","0.0879","2.6105"
"2.7500","0.0893","2.7606"
"2.8000","0.0912","2.6565"
"2.8500","0.0926","2.6776"
"2.9000","0.0945","2.6119"
"2.9500","0.0958","2.7666"
"3.0000","0.0976","2.6943"
