
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0187"
"0.0500","0.0001","-0.0463"
"0.1000","0.0008","0.2388"
"0.1500","0.0010","0.3991"
"0.2000","0.0029","0.5405"
"0.2500","0.0058","0.9598"
"0.3000","0.0077","1.0808"
"0.3500","0.0092","1.0435"
"0.4000","0.0112","0.9244"
"0.4500","0.0128","0.9423"
"0.5000","0.0145","1.2371"
"0.5500","0.0161","1.1472"
"0.6000","0.0178","1.0839"
"0.6500","0.0194","1.0571"
"0.7000","0.0209","1.1886"
"0.7500","0.0229","1.3093"
"0.8000","0.0243","1.4669"
"0.8500","0.0261","1.6621"
"0.9000","0.0277","2.0580"
"0.9500","0.0295","2.2384"
"1.0000","0.0310","2.1618"
"1.0500","0.0326","2.3917"
"1.1000","0.0346","2.5483"
"1.1500","0.0360","3.0996"
"1.2000","0.0378","3.4733"
"1.2500","0.0394","3.9983"
"1.3000","0.0412","5.0012"
"1.3500","0.0426","5.8047"
"1.4000","0.0443","6.8257"
"1.4500","0.0462","8.1593"
"1.5000","0.0477","8.9378"
"1.5500","0.0495","10.0018"
"1.6000","0.0511","10.7922"
"1.6500","0.0529","11.6912"
"1.7000","0.0542","12.0023"
"1.7500","0.0560","13.0899"
"1.8000","0.0579","14.1201"
"1.8500","0.0593","14.8758"
"1.9000","0.0612","15.9150"
"1.9500","0.0627","16.6621"
"2.0000","0.0646","17.8453"
"2.0500","0.0659","18.6604"
"2.1000","0.0678","20.5393"
"2.1500","0.0695","22.0282"
"2.2000","0.0710","23.6888"
"2.2500","0.0728","25.2481"
"2.3000","0.0744","26.5850"
"2.3500","0.0763","28.7064"
"2.4000","0.0775","29.9236"
"2.4500","0.0795","31.7965"
"2.5000","0.0811","33.5953"
"2.5500","0.0828","35.2944"
"2.6000","0.0845","37.0631"
"2.6500","0.0861","38.8553"
"2.7000","0.0879","40.7293"
"2.7500","0.0891","41.8507"
"2.8000","0.0912","44.2581"
"2.8500","0.0928","46.2174"
"2.9000","0.0946","47.8065"
"2.9500","0.0961","49.5564"
"3.0000","0.0977","51.4036"
"3.0500","0.0995","53.1855"
"3.1000","0.1008","54.6173"
"3.1500","0.1029","57.0481"
"3.2000","0.1044","58.8320"
"3.2500","0.1061","60.6219"
"3.3000","0.1077","62.2293"
"3.3500","0.1094","64.1790"
"3.4000","0.1111","66.1557"
"3.4500","0.1126","67.5059"
"3.5000","0.1146","69.8956"
"3.5500","0.1160","71.3329"
"3.6000","0.1178","73.3676"
"3.6500","0.1194","74.9885"
"3.7000","0.1213","77.1239"
"3.7500","0.1227","78.3966"
"3.8000","0.1242","80.1192"
"3.8500","0.1262","82.4106"
"3.9000","0.1277","84.0110"
"3.9500","0.1296","86.0233"
"4.0000","0.1311","87.4553"
"4.0500","0.1329","89.5887"
"4.1000","0.1343","90.9458"
"4.1500","0.1360","92.8557"
"4.2000","0.1379","94.7389"
"4.2500","0.1395","96.2752"
"4.3000","0.1413","98.2294"
"4.3500","0.1427","99.4089"
"4.4000","0.1445","101.2315"
"4.4500","0.1459","102.9205"
"4.5000","0.1478","104.7464"
"4.5500","0.1496","106.5421"
"4.6000","0.1510","107.9501"
"4.6500","0.1528","109.6904"
"4.7000","0.1544","111.4660"
"4.7500","0.1562","113.2384"
"4.8000","0.1576","114.2779"
"4.8500","0.1594","116.4020"
"4.9000","0.1611","118.0231"
"4.9500","0.1627","119.4604"
"5.0000","0.1645","121.1695"
"5.0500","0.1661","122.7740"
"5.1000","0.1679","124.4920"
"5.1500","0.1691","125.3833"
"5.2000","0.1711","127.5727"
"5.2500","0.1728","129.1807"
"5.3000","0.1744","130.6924"
"5.3500","0.1762","132.4766"
"5.4000","0.1777","133.6202"
"5.4500","0.1794","135.2335"
"5.5000","0.1809","136.3611"
"5.5500","0.1829","138.4577"
"5.6000","0.1845","139.8197"
"5.6500","0.1861","141.3242"
"5.7000","0.1878","142.9490"
"5.7500","0.1894","144.4587"
"5.8000","0.1912","145.8547"
"5.8500","0.1926","147.0003"
"5.9000","0.1946","148.9902"
"5.9500","0.1961","149.9519"
"6.0000","0.1978","151.5733"
"6.0500","0.1995","153.1912"
"6.1000","0.2012","154.5275"
"6.1500","0.2028","155.8412"
"6.2000","0.2042","156.8543"
"6.2500","0.2061","158.7678"
"6.3000","0.2078","159.8878"
"6.3500","0.2095","161.2680"
"6.4000","0.2111","162.5143"
"6.4500","0.2128","163.7771"
"6.5000","0.2144","165.0214"
"6.5500","0.2159","166.0076"
"6.6000","0.2179","167.8920"
"6.6500","0.2194","168.9498"
"6.7000","0.2211","170.2334"
"6.7500","0.2227","171.3794"
"6.8000","0.2245","172.8914"
"6.8500","0.2260","173.8979"
"6.9000","0.2276","174.9586"
"6.9500","0.2295","176.6224"
"7.0000","0.2310","177.6682"
"7.0500","0.2328","178.9784"
"7.1000","0.2344","180.1571"
"7.1500","0.2362","181.4420"
"7.2000","0.2377","182.4079"
"7.2500","0.2393","183.3073"
"7.3000","0.2412","184.8140"
"7.3500","0.2427","185.8428"
"7.4000","0.2445","187.1682"
"7.4500","0.2461","187.9307"
"7.5000","0.2479","189.3450"
"7.5500","0.2492","189.7406"
"7.6000","0.2509","191.2163"
"7.6500","0.2529","193.0154"
"7.7000","0.2544","193.6830"
"7.7500","0.2562","195.4562"
"7.8000","0.2577","196.2618"
"7.8500","0.2596","197.8452"
"7.9000","0.2609","198.3390"
"7.9500","0.2627","199.8079"
"8.0000","0.2645","201.1302"
"8.0500","0.2660","201.7653"
"8.1000","0.2678","203.1694"
"8.1500","0.2694","204.3964"
"8.2000","0.2712","205.6329"
"8.2500","0.2726","205.8734"
"8.3000","0.2744","207.5724"
"8.3500","0.2761","208.5298"
"8.4000","0.2777","209.3933"
"8.4500","0.2795","210.5781"
"8.5000","0.2811","211.3698"
"8.5500","0.2829","212.8149"
"8.6000","0.2842","212.9139"
"8.6500","0.2861","214.6513"
"8.7000","0.2878","215.5295"
"8.7500","0.2894","216.2002"
"8.8000","0.2912","217.3495"
"8.8500","0.2927","218.0526"
"8.9000","0.2945","219.5322"
"8.9500","0.2958","219.7182"
"9.0000","0.2979","221.5672"
"9.0500","0.2995","222.3551"
"9.1000","0.3011","223.4316"
"9.1500","0.3028","224.4599"
"9.2000","0.3044","225.2238"
"9.2500","0.3062","226.2191"
"9.3000","0.3076","226.7640"
"9.3500","0.3096","228.3229"
"9.4000","0.3110","228.9963"
"9.4500","0.3127","230.0519"
"9.5000","0.3144","230.9035"
"9.5500","0.3162","232.0359"
"9.6000","0.3178","232.9878"
"9.6500","0.3192","233.4554"
"9.7000","0.3213","234.6690"
"9.7500","0.3227","235.3497"
"9.8000","0.3245","236.5465"
"9.8500","0.3261","237.2882"
"9.9000","0.3279","238.2070"
"9.9500","0.3294","239.0820"
"10.0000","0.3309","239.5928"
"10.0500","0.3329","241.1989"
"10.1000","0.3345","241.7450"
"10.1500","0.3362","243.0802"
"10.2000","0.3376","243.2688"
"10.2500","0.3395","244.6155"
"10.3000","0.3410","245.2577"
"10.3500","0.3426","245.9990"
"10.4000","0.3446","247.4687"
"10.4500","0.3460","247.9295"
"10.5000","0.3478","248.9165"
"10.5500","0.3493","249.5022"
"10.6000","0.3512","250.7193"
"10.6500","0.3526","251.2403"
"10.7000","0.3544","252.2029"
"10.7500","0.3562","253.3081"
"10.8000","0.3577","253.7558"
"10.8500","0.3595","254.7971"
"10.9000","0.3610","255.1482"
"10.9500","0.3630","256.2239"
"11.0000","0.3642","256.2681"
"11.0500","0.3661","257.4759"
"11.1000","0.3679","258.1501"
"11.1500","0.3695","258.8324"
"11.2000","0.3712","259.8545"
"11.2500","0.3727","260.2524"
"11.3000","0.3746","261.3939"
"11.3500","0.3759","261.4048"
"11.4000","0.3778","262.8439"
"11.4500","0.3795","263.4776"
"11.5000","0.3811","264.0417"
"11.5500","0.3828","264.9722"
"11.6000","0.3844","265.4317"
"11.6500","0.3862","265.9975"
"11.7000","0.3876","266.4451"
"11.7500","0.3896","263.5952"
"11.8000","0.3911","259.6371"
"11.8500","0.3927","260.4742"
"11.9000","0.3945","261.4591"
"11.9500","0.3961","262.3195"
"12.0000","0.3978","263.2665"
"12.0500","0.3991","264.0257"
"12.1000","0.4011","265.4575"
"12.1500","0.4027","266.2351"
"12.2000","0.4045","267.3321"
"12.2500","0.4061","268.3557"
"12.3000","0.4078","269.4282"
"12.3500","0.4094","269.7412"
"12.4000","0.4109","270.0389"
"12.4500","0.4129","271.2306"
"12.5000","0.4144","271.6662"
"12.5500","0.4161","272.4326"
"12.6000","0.4178","273.3170"
"12.6500","0.4195","274.1544"
"12.7000","0.4211","274.6814"
"12.7500","0.4227","275.1543"
"12.8000","0.4246","276.0417"
"12.8500","0.4260","276.3383"
"12.9000","0.4278","277.5697"
"12.9500","0.4294","278.0834"
"13.0000","0.4312","278.9042"
"13.0500","0.4327","279.2880"
"13.1000","0.4343","279.8092"
"13.1500","0.4362","281.0386"
"13.2000","0.4377","281.2498"
"13.2500","0.4396","281.9077"
"13.3000","0.4411","282.6079"
"13.3500","0.4429","283.6729"
"13.4000","0.4443","283.8771"
"13.4500","0.4459","284.5758"
"13.5000","0.4479","285.6055"
"13.5500","0.4495","286.0964"
"13.6000","0.4512","287.3177"
"13.6500","0.4527","287.5470"
"13.7000","0.4545","288.3473"
"13.7500","0.4559","288.7001"
"13.8000","0.4577","289.7506"
"13.8500","0.4596","290.3968"
"13.9000","0.4610","290.7356"
"13.9500","0.4628","291.5608"
"14.0000","0.4644","292.1881"
"14.0500","0.4662","293.1302"
"14.1000","0.4676","293.4464"
"14.1500","0.4694","294.3851"
"14.2000","0.4711","294.9746"
"14.2500","0.4727","295.2450"
"14.3000","0.4745","295.8273"
"14.3500","0.4760","296.5159"
"14.4000","0.4779","297.5413"
"14.4500","0.4793","47.6041"
"14.4700","0.4800","-0.4739"

