
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0784"
"0.0500","0.0001","-0.0356"
"0.1000","0.0008","0.1018"
"0.1500","0.0011","0.1757"
"0.2000","0.0028","-0.0343"
"0.2500","0.0057","0.0284"
"0.3000","0.0078","0.0951"
"0.3500","0.0091","-0.0441"
"0.4000","0.0110","-0.0685"
"0.4500","0.0128","0.1296"
"0.5000","0.0142","-0.0062"
"0.5500","0.0161","0.1146"
"0.6000","0.0177","0.1952"
"0.6500","0.0195","0.0640"
"0.7000","0.0208","-0.0924"
"0.7500","0.0228","0.0111"
"0.8000","0.0244","0.0738"
"0.8500","0.0260","0.0304"
"0.9000","0.0278","0.1893"
"0.9500","0.0294","0.1413"
"1.0000","0.0311","-0.0704"
"1.0500","0.0324","-0.0372"
"1.1000","0.0344","0.1996"
"1.1500","0.0360","-0.0190"
"1.2000","0.0377","0.0396"
"1.2500","0.0394","0.1526"
"1.3000","0.0410","-0.1592"
"1.3500","0.0428","-0.0820"
"1.4000","0.0441","0.0337"
"1.4500","0.0462","0.0793"
"1.5000","0.0477","0.0186"
"1.5500","0.0494","0.0119"
"1.6000","0.0511","0.0127"
"1.6500","0.0527","0.0255"
"1.7000","0.0544","-0.0927"
"1.7500","0.0559","0.1266"
"1.8000","0.0579","-0.1668"
"1.8500","0.0593","0.1693"
"1.9000","0.0611","0.0297"
"1.9500","0.0627","0.0062"
"2.0000","0.0645","0.0330"
"2.0500","0.0660","0.0853"
"2.1000","0.0675","-0.1183"
"2.1500","0.0696","0.0455"
"2.2000","0.0710","-0.0984"
"2.2500","0.0728","0.0314"
"2.3000","0.0743","-0.1259"
"2.3500","0.0762","0.1665"
"2.4000","0.0776","0.0196"
"2.4500","0.0792","0.1066"
"2.5000","0.0812","-0.0216"
"2.5500","0.0827","0.2107"
"2.6000","0.0845","0.0003"
"2.6500","0.0859","0.0377"
"2.7000","0.0878","0.1614"
"2.7500","0.0892","-0.0640"
"2.8000","0.0909","0.0171"
"2.8500","0.0929","0.1354"
"2.9000","0.0943","0.1263"
"2.9500","0.0961","0.0805"
"3.0000","0.0976","0.0815"
"3.0500","0.0995","0.1565"
"3.1000","0.1009","0.2600"
"3.1500","0.1027","0.0222"
