
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2193"
"0.0500","0.0001","-0.1045"
"0.1000","0.0008","-0.0156"
"0.1500","0.0010","0.0103"
"0.2000","0.0027","0.0807"
"0.2500","0.0056","0.1182"
"0.3000","0.0076","0.0156"
"0.3500","0.0091","0.1219"
"0.4000","0.0111","0.0303"
"0.4500","0.0126","0.1907"
"0.5000","0.0143","0.3587"
"0.5500","0.0161","0.2175"
"0.6000","0.0178","-0.0011"
"0.6500","0.0193","0.0621"
"0.7000","0.0208","0.0521"
"0.7500","0.0228","0.0827"
"0.8000","0.0243","0.0520"
"0.8500","0.0261","0.0998"
"0.9000","0.0277","-0.0188"
"0.9500","0.0295","0.0209"
"1.0000","0.0309","-0.0883"
"1.0500","0.0325","0.0059"
"1.1000","0.0345","-0.1213"
"1.1500","0.0359","-0.0305"
"1.2000","0.0378","0.1040"
"1.2500","0.0393","0.0816"
"1.3000","0.0411","0.2136"
"1.3500","0.0426","0.0695"
"1.4000","0.0442","0.1917"
"1.4500","0.0462","0.1286"
"1.5000","0.0476","0.0479"
"1.5500","0.0495","0.0309"
"1.6000","0.0510","0.2512"
"1.6500","0.0528","0.1629"
"1.7000","0.0542","0.0888"
"1.7500","0.0560","0.1202"
"1.8000","0.0578","0.0583"
"1.8500","0.0593","0.0371"
"1.9000","0.0611","0.0523"
"1.9500","0.0627","0.0611"
"2.0000","0.0646","0.0515"
"2.0500","0.0658","0.0809"
"2.1000","0.0677","0.2574"
"2.1500","0.0695","0.2431"
"2.2000","0.0710","0.2668"
"2.2500","0.0728","0.2282"
"2.3000","0.0743","0.0525"
"2.3500","0.0762","0.0326"
"2.4000","0.0774","0.1584"
"2.4500","0.0794","0.0407"
"2.5000","0.0811","0.1185"
"2.5500","0.0828","-0.1097"
"2.6000","0.0844","0.3569"
"2.6500","0.0859","-0.0555"
"2.7000","0.0878","-0.0681"
"2.7500","0.0891","-0.0791"
"2.8000","0.0911","0.1805"
"2.8500","0.0928","0.2169"
"2.9000","0.0944","0.0927"
"2.9500","0.0960","-0.0276"
"3.0000","0.0976","0.0138"
"3.0500","0.0995","0.1462"
"3.1000","0.1008","0.0809"
"3.1500","0.1028","-0.0362"
"3.2000","0.1043","0.1622"
"3.2500","0.1061","0.0358"
"3.3000","0.1077","0.0003"
"3.3500","0.1095","0.2299"
"3.4000","0.1111","0.1481"
"3.4500","0.1124","0.1442"
"3.5000","0.1144","-0.0590"
"3.5500","0.1160","-0.0523"
"3.6000","0.1178","0.1967"
"3.6500","0.1194","0.1010"
"3.7000","0.1211","0.1132"
"3.7500","0.1226","0.1150"
"3.8000","0.1242","0.1229"
"3.8500","0.1262","0.0100"
"3.9000","0.1277","-0.0186"
"3.9500","0.1295","0.2204"
"4.0000","0.1310","0.1805"
"4.0500","0.1328","0.1382"
"4.1000","0.1342","-0.0693"
"4.1500","0.1360","0.1585"
"4.2000","0.1379","0.2243"
"4.2500","0.1393","0.0399"
"4.3000","0.1411","0.0308"
"4.3500","0.1426","0.1369"
"4.4000","0.1445","0.2232"
"4.4500","0.1459","0.2202"
"4.5000","0.1476","0.1752"
"4.5500","0.1494","0.1422"
"4.6000","0.1509","0.2746"
"4.6500","0.1528","0.1028"
"4.7000","0.1544","0.0939"
"4.7500","0.1561","0.1008"
"4.8000","0.1574","0.3144"
"4.8500","0.1593","0.0055"
"4.9000","0.1611","0.1248"
"4.9500","0.1627","0.1272"
"5.0000","0.1645","0.2048"
"5.0500","0.1660","0.1863"
"5.1000","0.1677","0.0033"
"5.1500","0.1691","0.0554"
"5.2000","0.1711","0.2255"
"5.2500","0.1728","0.2448"
"5.3000","0.1743","0.0377"
"5.3500","0.1761","0.1938"
"5.4000","0.1777","0.0194"
"5.4500","0.1795","0.1545"
"5.5000","0.1808","0.1313"
"5.5500","0.1827","0.1954"
"5.6000","0.1844","-0.0640"
"5.6500","0.1860","0.1466"
"5.7000","0.1878","0.1497"
"5.7500","0.1894","0.1990"
"5.8000","0.1911","0.1985"
"5.8500","0.1924","0.0302"
"5.9000","0.1944","0.1442"
"5.9500","0.1960","0.1680"
"6.0000","0.1978","0.1892"
"6.0500","0.1994","0.0975"
"6.1000","0.2010","0.3097"
"6.1500","0.2027","0.2612"
"6.2000","0.2041","0.1815"
"6.2500","0.2061","0.1091"
"6.3000","0.2077","0.2325"
"6.3500","0.2093","0.1841"
"6.4000","0.2110","0.0591"
"6.4500","0.2127","0.3105"
"6.5000","0.2144","0.2452"
"6.5500","0.2159","0.1077"
"6.6000","0.2178","0.0311"
"6.6500","0.2193","0.1211"
"6.7000","0.2210","0.2582"
"6.7500","0.2227","0.0702"
"6.8000","0.2245","-0.0220"
"6.8500","0.2260","0.0339"
"6.9000","0.2275","0.0721"
"6.9500","0.2294","0.2673"
"7.0000","0.2310","0.1677"
"7.0500","0.2328","0.4197"
"7.1000","0.2344","0.0414"
"7.1500","0.2361","0.1275"
"7.2000","0.2376","0.2355"
"7.2500","0.2392","0.1768"
"7.3000","0.2411","0.1585"
"7.3500","0.2427","0.3150"
"7.4000","0.2445","0.2333"
"7.4500","0.2460","0.1027"
"7.5000","0.2478","0.2527"
"7.5500","0.2493","0.0702"
"7.6000","0.2510","0.1534"
"7.6500","0.2529","0.0203"
"7.7000","0.2542","0.0780"
"7.7500","0.2561","-0.0551"
"7.8000","0.2577","0.0271"
"7.8500","0.2595","0.0427"
"7.9000","0.2609","0.3154"
"7.9500","0.2626","0.2471"
"8.0000","0.2644","0.0216"
"8.0500","0.2659","0.0097"
"8.1000","0.2678","0.1620"
"8.1500","0.2694","0.3063"
"8.2000","0.2712","0.1654"
"8.2500","0.2725","0.2213"
"8.3000","0.2743","0.2195"
"8.3500","0.2761","0.0774"
"8.4000","0.2776","0.1232"
"8.4500","0.2795","0.0615"
"8.5000","0.2810","0.2104"
"8.5500","0.2828","0.2034"
"8.6000","0.2841","0.1518"
"8.6500","0.2861","0.1288"
"8.7000","0.2878","0.2441"
"8.7500","0.2893","0.1459"
"8.8000","0.2911","0.0121"
"8.8500","0.2927","0.0940"
"8.9000","0.2944","0.1558"
"8.9500","0.2958","0.1735"
"9.0000","0.2978","0.1174"
"9.0500","0.2994","0.1140"
"9.1000","0.3010","0.0494"
"9.1500","0.3027","0.1068"
"9.2000","0.3044","0.2852"
"9.2500","0.3061","0.1691"
"9.3000","0.3074","-0.1217"
"9.3500","0.3095","0.0157"
"9.4000","0.3110","0.1374"
"9.4500","0.3127","0.2719"
"9.5000","0.3144","0.1888"
"9.5500","0.3160","0.2677"
"9.6000","0.3177","0.0253"
"9.6500","0.3191","0.1261"
"9.7000","0.3212","0.1475"
"9.7500","0.3227","0.2223"
"9.8000","0.3245","0.0705"
"9.8500","0.3259","0.1214"
"9.9000","0.3277","0.1611"
"9.9500","0.3293","0.3813"
"10.0000","0.3308","0.2485"
"10.0500","0.3328","0.0985"
"10.1000","0.3343","0.0724"
"10.1500","0.3361","0.1450"
"10.2000","0.3376","0.1857"
"10.2500","0.3395","0.2430"
"10.3000","0.3410","0.3237"
"10.3500","0.3425","0.1361"
"10.4000","0.3445","0.0952"
"10.4500","0.3460","0.0128"
"10.5000","0.3478","0.0823"
"10.5500","0.3493","0.0075"
"10.6000","0.3512","0.2009"
"10.6500","0.3526","0.2371"
"10.7000","0.3543","0.2266"
"10.7500","0.3561","0.0935"
"10.8000","0.3577","0.3476"
"10.8500","0.3595","0.1908"
"10.9000","0.3609","0.3448"
"10.9500","0.3628","0.1298"
"11.0000","0.3642","0.1434"
"11.0500","0.3660","0.1018"
"11.1000","0.3678","0.1236"
"11.1500","0.3693","0.1270"
"11.2000","0.3711","0.2289"
"11.2500","0.3726","0.3023"
"11.3000","0.3744","0.2178"
"11.3500","0.3758","0.3016"
"11.4000","0.3777","0.2656"
"11.4500","0.3794","0.0868"
"11.5000","0.3810","0.2726"
"11.5500","0.3828","0.0516"
"11.6000","0.3844","0.3282"
"11.6500","0.3861","0.1994"
"11.7000","0.3874","0.1056"
"11.7500","0.3894","0.0929"
"11.8000","0.3910","0.1643"
"11.8500","0.3927","0.1177"
"11.9000","0.3944","0.3145"
"11.9500","0.3960","0.0823"
"12.0000","0.3977","0.1544"
"12.0500","0.3991","0.1054"
"12.1000","0.4011","0.1345"
"12.1500","0.4027","0.3331"
"12.2000","0.4044","0.1129"
"12.2500","0.4061","0.1934"
"12.3000","0.4077","0.2990"
"12.3500","0.4094","0.3634"
"12.4000","0.4108","0.2025"
"12.4500","0.4128","0.1777"
"12.5000","0.4143","0.1874"
"12.5500","0.4161","0.3211"
"12.6000","0.4178","0.0569"
"12.6500","0.4195","0.0777"
"12.7000","0.4210","0.1265"
"12.7500","0.4225","-0.0253"
"12.8000","0.4245","0.3343"
"12.8500","0.4260","0.2014"
"12.9000","0.4278","0.1049"
"12.9500","0.4294","0.2287"
"13.0000","0.4311","0.2944"
"13.0500","0.4326","0.2554"
"13.1000","0.4342","0.2522"
"13.1500","0.4362","0.2414"
"13.2000","0.4377","0.2778"
"13.2500","0.4395","0.1836"
"13.3000","0.4410","0.3023"
"13.3500","0.4428","0.1639"
"13.4000","0.4442","0.3770"
"13.4500","0.4459","0.4089"
"13.5000","0.4478","0.2630"
"13.5500","0.4493","0.3011"
"13.6000","0.4511","0.3837"
"13.6500","0.4527","0.2183"
"13.7000","0.4545","0.3071"
"13.7500","0.4559","0.3176"
"13.8000","0.4576","0.3836"
"13.8500","0.4594","0.1379"
"13.9000","0.4609","0.0468"
"13.9500","0.4628","0.0836"
"14.0000","0.4643","0.1619"
"14.0500","0.4662","0.4340"
"14.1000","0.4675","-0.0423"
"14.1500","0.4693","0.2285"
"14.2000","0.4712","0.4511"
"14.2500","0.4727","0.2748"
"14.3000","0.4745","0.2344"
"14.3500","0.4760","0.3594"
"14.4000","0.4778","0.2571"
"14.4500","0.4792","0.2375"
"14.5000","0.4810","0.2628"
"14.5500","0.4828","0.0689"
"14.6000","0.4843","0.1408"
"14.6500","0.4861","0.4623"
"14.7000","0.4877","0.2415"
"14.7500","0.4895","0.4265"
