
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0141"
"0.0500","0.0001","-0.0134"
"0.1000","0.0008","0.0228"
"0.1500","0.0010","0.0282"
"0.2000","0.0028","0.0500"
"0.2500","0.0054","0.0580"
"0.3000","0.0076","0.0722"
"0.3500","0.0092","0.0603"
"0.4000","0.0110","0.0907"
"0.4500","0.0125","0.0752"
"0.5000","0.0144","0.0533"
"0.5500","0.0159","0.0820"
"0.6000","0.0175","0.0903"
"0.6500","0.0195","0.1091"
"0.7000","0.0209","0.1326"
"0.7500","0.0227","0.1758"
"0.8000","0.0242","0.2119"
"0.8500","0.0261","0.2678"
"0.9000","0.0275","0.2693"
"0.9500","0.0292","0.2882"
"1.0000","0.0311","0.3037"
"1.0500","0.0326","0.2881"
"1.1000","0.0345","0.3064"
"1.1500","0.0359","0.3152"
"1.2000","0.0378","0.3529"
"1.2500","0.0391","0.3944"
"1.3000","0.0410","0.4081"
"1.3500","0.0427","0.4502"
"1.4000","0.0443","0.4707"
"1.4500","0.0461","0.4822"
"1.5000","0.0476","0.5826"
"1.5500","0.0494","0.6396"
"1.6000","0.0508","0.6877"
"1.6500","0.0528","0.8579"
"1.7000","0.0544","0.9428"
"1.7500","0.0560","1.1938"
"1.8000","0.0578","1.3324"
"1.8500","0.0594","1.2772"
"1.9000","0.0611","1.3024"
"1.9500","0.0624","1.2927"
"2.0000","0.0644","1.3348"
"2.0500","0.0660","1.3227"
"2.1000","0.0676","1.3387"
"2.1500","0.0694","1.3593"
"2.2000","0.0710","1.3662"
"2.2500","0.0727","1.3843"
"2.3000","0.0741","1.4162"
"2.3500","0.0761","1.6121"
"2.4000","0.0776","1.7475"
"2.4500","0.0794","1.8944"
"2.5000","0.0810","2.0227"
"2.5500","0.0827","2.0432"
"2.6000","0.0843","2.1068"
"2.6500","0.0858","2.1997"
"2.7000","0.0878","2.3154"
"2.7500","0.0893","2.3952"
"2.8000","0.0910","2.5001"
"2.8500","0.0927","2.5293"
"2.9000","0.0944","2.5402"
"2.9500","0.0960","2.5511"
"3.0000","0.0975","2.5321"
"3.0500","0.0995","2.5520"
"3.1000","0.1010","2.5351"
"3.1500","0.1027","2.5453"
"3.2000","0.1044","2.5302"
"3.2500","0.1061","2.5451"
"3.3000","0.1075","2.5343"
"3.3500","0.1091","2.5264"
"3.4000","0.1111","2.5548"
