
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0135"
"0.2500","0.0162","6.8579"
"0.5000","0.0372","26.5267"
"0.7500","0.0579","76.0244"
"1.0000","0.0786","165.5846"
"1.2500","0.0995","294.7572"
"1.5000","0.1204","459.1758"
"1.7500","0.1412","647.5311"
"2.0000","0.1622","850.1619"
"2.2500","0.1829","1060.1903"
"2.5000","0.2036","1278.7588"
"2.7500","0.2245","1503.8146"
"3.0000","0.2454","1727.8615"
"3.2500","0.2663","1950.5410"
"3.5000","0.2871","2167.2458"
"3.7500","0.3078","2377.3066"
"4.0000","0.3287","2583.1372"
"4.2500","0.3496","2783.8462"
"4.5000","0.3704","2976.5444"
"4.7500","0.3912","3162.5901"
"5.0000","0.4120","3342.3645"
"5.2500","0.4328","3517.6750"
"5.5000","0.4537","3690.8167"
"5.7500","0.4746","3862.5400"
"6.0000","0.4954","4027.5471"
"6.2500","0.5162","4190.5029"
"6.5000","0.5371","4351.0039"
"6.7500","0.5578","4508.3101"
"7.0000","0.5788","4666.4541"
"7.2500","0.5996","4821.0859"
"7.5000","0.6204","4970.7271"
"7.7500","0.6412","5118.4668"
"8.0000","0.6620","5263.2036"
"8.2500","0.6828","5405.9155"
"8.5000","0.7038","5549.2002"
"8.7500","0.7246","5686.1211"
"9.0000","0.7454","5818.7036"
"9.2500","0.7662","5948.8213"
"9.5000","0.7871","6077.9292"
"9.7500","0.8080","6205.7539"
"10.0000","0.8288","6329.2324"
"10.2500","0.8496","6448.4106"
"10.5000","0.8704","6565.3789"
"10.7500","0.8912","6680.2954"
"11.0000","0.9121","6793.3906"
"11.2500","0.9330","6906.5625"
"11.5000","0.9538","7012.5562"
"11.7500","0.9746","7117.3936"
"12.0000","0.9953","7217.5933"
"12.2500","1.0162","7318.8125"
"12.5000","1.0372","7418.6348"
"12.7500","1.0580","7513.5039"
"13.0000","1.0787","7603.8945"
"13.2500","1.0995","7692.8384"
"13.5000","1.1204","7781.5654"
"13.7500","1.1413","7867.2505"
"14.0000","1.1622","7951.9624"
"14.2500","1.1830","8032.1709"
"14.5000","1.2037","8108.1636"
"14.7500","1.2245","8183.6064"
"15.0000","1.2454","8258.9531"
"15.2500","1.2663","8331.2949"
"15.5000","1.2871","8400.0371"
"15.7500","1.3079","8466.6787"
"16.0000","1.3287","8529.4229"
"16.2500","1.3495","8592.7500"
"16.5000","1.3705","8655.7637"
"16.7500","1.3913","8714.2900"
"17.0000","1.4121","8771.5400"
"17.2500","1.4329","8824.6436"
"17.5000","1.4536","8875.9814"
"17.7500","1.4746","8931.4570"
"18.0000","1.4955","8982.0254"
"18.2500","1.5162","9028.2314"
"18.5000","1.5371","9073.7852"
"18.7500","1.5579","9117.0059"
"19.0000","1.5787","9159.6436"
"19.2500","1.5997","9203.6582"
"19.5000","1.6205","9242.7568"
"19.7500","1.6412","9279.5781"
"20.0000","1.6620","9315.9434"
"20.2500","1.6829","9351.6553"
"20.5000","1.7038","9386.8633"
"20.7500","1.7247","9422.7432"
"21.0000","1.7455","9452.6699"
