
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1467"
"0.0500","0.0001","-0.1784"
"0.1000","0.0007","-0.1049"
"0.1500","0.0010","-0.1256"
"0.2000","0.0023","-0.0765"
"0.2500","0.0053","-0.0468"
"0.3000","0.0075","-0.2329"
"0.3500","0.0089","0.1249"
"0.4000","0.0107","0.0642"
"0.4500","0.0126","0.1077"
"0.5000","0.0140","-0.0651"
"0.5500","0.0159","0.0774"
"0.6000","0.0174","-0.0984"
"0.6500","0.0193","-0.1260"
"0.7000","0.0206","-0.0514"
"0.7500","0.0225","0.0105"
"0.8000","0.0242","0.0850"
"0.8500","0.0257","0.0712"
"0.9000","0.0276","-0.0636"
"0.9500","0.0292","0.1267"
"1.0000","0.0309","-0.2283"
"1.0500","0.0322","0.0884"
"1.1000","0.0341","-0.0729"
"1.1500","0.0359","-0.0233"
"1.2000","0.0375","-0.0211"
"1.2500","0.0392","-0.0267"
"1.3000","0.0408","-0.0498"
"1.3500","0.0425","0.0143"
"1.4000","0.0439","-0.0501"
"1.4500","0.0458","0.0294"
"1.5000","0.0476","-0.1033"
"1.5500","0.0491","0.0408"
"1.6000","0.0509","0.0725"
"1.6500","0.0525","0.2141"
"1.7000","0.0542","-0.0857"
"1.7500","0.0556","-0.0897"
"1.8000","0.0576","0.0447"
"1.8500","0.0591","0.1967"
"1.9000","0.0607","-0.1639"
"1.9500","0.0625","0.1442"
"2.0000","0.0642","0.0787"
"2.0500","0.0659","-0.0244"
"2.1000","0.0672","0.0334"
"2.1500","0.0693","-0.1784"
"2.2000","0.0708","-0.0630"
"2.2500","0.0725","0.1039"
"2.3000","0.0742","-0.2084"
"2.3500","0.0758","0.0293"
"2.4000","0.0775","0.0150"
"2.4500","0.0789","0.0475"
"2.5000","0.0809","-0.0192"
"2.5500","0.0825","-0.1736"
"2.6000","0.0842","0.1351"
"2.6500","0.0858","0.0433"
"2.7000","0.0875","-0.0314"
"2.7500","0.0891","0.2320"
"2.8000","0.0906","0.1432"
"2.8500","0.0927","-0.0571"
"2.9000","0.0940","0.1344"
"2.9500","0.0958","-0.0516"
"3.0000","0.0975","0.0073"
"3.0500","0.0993","-0.0472"
"3.1000","0.1007","-0.1301"
"3.1500","0.1023","-0.0441"
"3.2000","0.1043","-0.0810"
"3.2500","0.1057","-0.0256"
"3.3000","0.1075","0.0426"
"3.3500","0.1091","-0.0553"
"3.4000","0.1110","0.0009"
"3.4500","0.1123","-0.0999"
"3.5000","0.1140","-0.0111"
"3.5500","0.1159","-0.1050"
"3.6000","0.1173","0.0207"
"3.6500","0.1192","0.0366"
"3.7000","0.1208","0.0163"
"3.7500","0.1226","0.0103"
"3.8000","0.1239","0.0673"
"3.8500","0.1257","0.0046"
"3.9000","0.1276","0.1290"
"3.9500","0.1290","-0.1419"
"4.0000","0.1310","-0.0433"
"4.0500","0.1324","-0.1325"
"4.1000","0.1343","0.0620"
"4.1500","0.1356","-0.1307"
"4.2000","0.1375","0.1140"
"4.2500","0.1393","-0.0718"
"4.3000","0.1407","0.0315"
"4.3500","0.1426","0.0242"
"4.4000","0.1441","-0.0227"
"4.4500","0.1460","-0.0050"
"4.5000","0.1472","-0.1512"
"4.5500","0.1492","-0.1714"
"4.6000","0.1509","0.0012"
"4.6500","0.1525","-0.1126"
"4.7000","0.1542","0.1711"
"4.7500","0.1557","0.0538"
"4.8000","0.1576","-0.0520"
"4.8500","0.1589","0.0527"
"4.9000","0.1609","-0.0846"
"4.9500","0.1625","-0.0762"
"5.0000","0.1642","0.0768"
"5.0500","0.1658","0.0488"
"5.1000","0.1674","0.0744"
"5.1500","0.1692","-0.0461"
"5.2000","0.1705","0.0058"
"5.2500","0.1726","0.0255"
"5.3000","0.1741","-0.0293"
"5.3500","0.1758","-0.0343"
"5.4000","0.1774","0.0466"
"5.4500","0.1791","0.1119"
"5.5000","0.1808","-0.1419"
"5.5500","0.1822","0.0876"
"5.6000","0.1843","-0.0022"
"5.6500","0.1858","-0.0822"
"5.7000","0.1875","-0.0861"
"5.7500","0.1891","0.0444"
"5.8000","0.1909","0.1825"
"5.8500","0.1924","-0.0807"
"5.9000","0.1939","0.0824"
"5.9500","0.1960","-0.1262"
"6.0000","0.1974","0.2468"
"6.0500","0.1993","0.0884"
"6.1000","0.2008","-0.0987"
"6.1500","0.2026","-0.1301"
"6.2000","0.2040","0.1235"
"6.2500","0.2057","0.1259"
"6.3000","0.2076","-0.2340"
"6.3500","0.2091","0.0603"
"6.4000","0.2109","0.1780"
"6.4500","0.2124","0.0953"
"6.5000","0.2142","0.0812"
"6.5500","0.2156","0.1018"
"6.6000","0.2174","0.0574"
"6.6500","0.2193","-0.0661"
"6.7000","0.2207","-0.0052"
"6.7500","0.2226","-0.0028"
"6.8000","0.2241","0.0133"
"6.8500","0.2259","0.0412"
"6.9000","0.2273","-0.0359"
"6.9500","0.2291","0.1354"
"7.0000","0.2309","-0.1314"
"7.0500","0.2323","0.0549"
"7.1000","0.2342","0.2765"
"7.1500","0.2358","-0.0056"
"7.2000","0.2376","0.1652"
"7.2500","0.2389","0.1068"
"7.3000","0.2408","-0.1746"
"7.3500","0.2425","0.0334"
"7.4000","0.2441","-0.0052"
"7.4500","0.2459","0.1830"
"7.5000","0.2474","0.0331"
"7.5500","0.2492","0.1279"
"7.6000","0.2506","0.0918"
"7.6500","0.2526","-0.0679"
"7.7000","0.2542","0.1044"
"7.7500","0.2558","-0.0537"
"7.8000","0.2575","0.3210"
"7.8500","0.2592","0.2016"
"7.9000","0.2609","-0.0554"
"7.9500","0.2623","-0.0689"
"8.0000","0.2642","0.3053"
"8.0500","0.2658","0.1355"
"8.1000","0.2674","0.2190"
"8.1500","0.2692","-0.0110"
"8.2000","0.2709","-0.0185"
"8.2500","0.2725","0.1607"
"8.3000","0.2739","-0.1045"
"8.3500","0.2759","0.0634"
"8.4000","0.2775","-0.0807"
"8.4500","0.2792","-0.0191"
"8.5000","0.2808","0.0277"
"8.5500","0.2825","0.1274"
"8.6000","0.2841","0.2641"
"8.6500","0.2856","0.1270"
"8.7000","0.2876","0.0985"
"8.7500","0.2891","0.0968"
"8.8000","0.2908","0.1082"
"8.8500","0.2924","0.0250"
"8.9000","0.2942","0.0812"
"8.9500","0.2957","-0.0382"
"9.0000","0.2973","-0.0697"
"9.0500","0.2993","0.0146"
"9.1000","0.3007","0.0970"
"9.1500","0.3025","0.0699"
"9.2000","0.3041","0.1452"
"9.2500","0.3060","0.0671"
"9.3000","0.3074","0.0803"
"9.3500","0.3090","-0.1170"
"9.4000","0.3110","-0.0542"
"9.4500","0.3124","0.1825"
"9.5000","0.3142","0.0846"
"9.5500","0.3158","0.1556"
"9.6000","0.3176","0.0107"
"9.6500","0.3190","0.0055"
"9.7000","0.3207","0.1585"
"9.7500","0.3226","0.1732"
"9.8000","0.3241","0.2985"
"9.8500","0.3259","0.0039"
"9.9000","0.3275","0.1847"
"9.9500","0.3293","0.0682"
"10.0000","0.3306","0.1875"
"10.0500","0.3324","-0.1292"
"10.1000","0.3343","0.2199"
"10.1500","0.3357","0.2658"
"10.2000","0.3376","0.0196"
"10.2500","0.3391","0.1068"
"10.3000","0.3409","-0.0455"
"10.3500","0.3422","0.0187"
"10.4000","0.3441","-0.0066"
"10.4500","0.3459","0.0757"
"10.5000","0.3474","-0.0703"
"10.5500","0.3492","0.0577"
"10.6000","0.3508","0.0817"
"10.6500","0.3526","0.1246"
"10.7000","0.3539","0.0991"
"10.7500","0.3558","-0.0543"
"10.8000","0.3575","0.2854"
"10.8500","0.3590","0.0758"
"10.9000","0.3609","0.0950"
"10.9500","0.3625","0.0054"
"11.0000","0.3642","0.1589"
"11.0500","0.3656","0.1585"
"11.1000","0.3676","0.0988"
"11.1500","0.3691","0.2027"
"11.2000","0.3708","-0.0121"
"11.2500","0.3726","0.0889"
"11.3000","0.3742","0.0861"
"11.3500","0.3759","0.0277"
"11.4000","0.3772","0.0393"
"11.4500","0.3793","0.2168"
"11.5000","0.3808","0.1845"
"11.5500","0.3825","0.2393"
"11.6000","0.3842","-0.0203"
"11.6500","0.3859","0.0453"
"11.7000","0.3875","0.0646"
"11.7500","0.3889","0.0657"
"11.8000","0.3910","0.0187"
"11.8500","0.3925","0.2842"
"11.9000","0.3942","0.1187"
"11.9500","0.3957","0.0396"
"12.0000","0.3975","-0.0324"
"12.0500","0.3992","0.0678"
"12.1000","0.4006","0.1350"
"12.1500","0.4026","0.1459"
"12.2000","0.4041","0.1904"
"12.2500","0.4059","0.1741"
"12.3000","0.4074","0.1832"
"12.3500","0.4092","0.2177"
"12.4000","0.4107","0.1798"
"12.4500","0.4123","0.1399"
"12.5000","0.4143","0.1823"
"12.5500","0.4157","-0.1800"
"12.6000","0.4176","0.1422"
"12.6500","0.4190","0.1127"
"12.7000","0.4209","0.1125"
"12.7500","0.4223","0.2301"
"12.8000","0.4240","0.2733"
"12.8500","0.4260","0.2529"
"12.9000","0.4274","0.1185"
"12.9500","0.4292","-0.0340"
"13.0000","0.4307","0.1569"
"13.0500","0.4327","0.1847"
"13.1000","0.4339","0.1463"
"13.1500","0.4358","-0.0289"
"13.2000","0.4376","0.2331"
"13.2500","0.4391","0.0118"
"13.3000","0.4409","0.2574"
"13.3500","0.4424","0.2438"
"13.4000","0.4443","0.1941"
"13.4500","0.4456","0.0665"
"13.5000","0.4475","-0.1053"
"13.5500","0.4492","0.0400"
"13.6000","0.4508","-0.0170"
"13.6500","0.4526","0.1198"
"13.7000","0.4541","0.0456"
"13.7500","0.4559","0.2213"
"13.8000","0.4572","0.1973"
"13.8500","0.4593","0.1489"
"13.9000","0.4608","0.0432"
"13.9500","0.4624","0.1954"
"14.0000","0.4642","-0.1317"
"14.0500","0.4659","0.1121"
"14.1000","0.4675","0.1500"
"14.1500","0.4689","0.0592"
"14.2000","0.4709","0.0416"
"14.2500","0.4724","0.1796"
"14.3000","0.4741","-0.0681"
"14.3500","0.4758","0.1085"
"14.4000","0.4775","0.1748"
"14.4500","0.4791","0.2130"
"14.5000","0.4805","-0.0285"
"14.5500","0.4826","0.1464"
"14.6000","0.4841","0.1499"
"14.6500","0.4859","0.0328"
"14.7000","0.4875","0.0606"
"14.7500","0.4891","0.1647"
"14.8000","0.4907","0.0101"
"14.8500","0.4923","0.1029"
"14.9000","0.4944","0.1229"
"14.9500","0.4958","0.1297"
"15.0000","0.4975","-0.1458"
"15.0500","0.4991","0.0169"
"15.1000","0.5009","0.1272"
"15.1500","0.5024","0.1759"
"15.2000","0.5041","0.1802"
"15.2500","0.5060","0.1449"
"15.3000","0.5074","0.0869"
"15.3500","0.5092","0.1595"
"15.4000","0.5108","0.0636"
"15.4500","0.5127","0.1119"
"15.5000","0.5140","0.0168"
"15.5500","0.5156","0.1145"
"15.6000","0.5176","0.2368"
"15.6500","0.5191","0.0759"
"15.7000","0.5209","0.1388"
"15.7500","0.5225","-0.1534"
"15.8000","0.5242","0.1627"
"15.8500","0.5256","-0.0606"
"15.9000","0.5273","0.0869"
"15.9500","0.5293","0.1361"
"16.0000","0.5307","0.1519"
"16.0500","0.5325","0.0139"
"16.1000","0.5340","0.1248"
"16.1500","0.5359","-0.0122"
"16.2000","0.5373","0.0995"
"16.2500","0.5392","-0.1867"
"16.3000","0.5409","0.1111"
"16.3500","0.5423","0.1068"
"16.4000","0.5442","0.1311"
"16.4500","0.5458","-0.0208"
"16.5000","0.5476","0.2393"
"16.5500","0.5489","-0.0979"
"16.6000","0.5508","0.1328"
"16.6500","0.5525","0.1899"
"16.7000","0.5541","0.1378"
"16.7500","0.5559","0.0046"
"16.8000","0.5575","0.1707"
"16.8500","0.5592","-0.0327"
"16.9000","0.5605","0.1384"
"16.9500","0.5625","-0.0550"
"17.0000","0.5642","0.1683"
"17.0500","0.5658","0.1302"
"17.1000","0.5676","-0.0405"
"17.1500","0.5691","0.0590"
"17.2000","0.5708","0.1146"
"17.2500","0.5722","-0.0140"
"17.3000","0.5743","-0.0669"
"17.3500","0.5759","0.1137"
"17.4000","0.5774","0.1466"
"17.4500","0.5792","0.0796"
"17.5000","0.5808","0.2191"
"17.5500","0.5825","0.0916"
"17.6000","0.5840","0.1934"
"17.6500","0.5859","0.1578"
"17.7000","0.5874","0.1492"
"17.7500","0.5891","0.2023"
"17.8000","0.5908","0.0872"
"17.8500","0.5926","-0.0571"
"17.9000","0.5941","0.1037"
"17.9500","0.5955","0.1713"
"18.0000","0.5976","0.1766"
"18.0500","0.5990","0.2374"
"18.1000","0.6008","0.2507"
"18.1500","0.6025","0.1602"
"18.2000","0.6042","0.0762"
"18.2500","0.6057","-0.0323"
"18.3000","0.6072","0.1777"
"18.3500","0.6093","0.1339"
"18.4000","0.6107","0.2126"
"18.4500","0.6126","0.1162"
"18.5000","0.6141","-0.0093"
"18.5500","0.6159","0.0107"
"18.6000","0.6174","0.0294"
"18.6500","0.6190","0.0187"
"18.7000","0.6210","0.1750"
"18.7500","0.6223","0.0902"
"18.8000","0.6242","0.1570"
"18.8500","0.6258","0.1387"
"18.9000","0.6277","-0.0161"
"18.9500","0.6290","0.1577"
"19.0000","0.6307","0.1968"
"19.0500","0.6326","0.0462"
"19.1000","0.6340","0.0983"
"19.1500","0.6359","-0.1292"
"19.2000","0.6374","0.1941"
"19.2500","0.6393","-0.0026"
"19.3000","0.6406","0.1801"
"19.3500","0.6424","0.0650"
"19.4000","0.6443","0.2697"
"19.4500","0.6458","0.2029"
"19.5000","0.6476","-0.0402"
"19.5500","0.6490","0.1768"
"19.6000","0.6509","0.1008"
"19.6500","0.6522","0.1942"
"19.7000","0.6542","0.1056"
"19.7500","0.6559","0.2362"
"19.8000","0.6574","-0.0669"
"19.8500","0.6592","0.1461"
"19.9000","0.6607","0.1003"
"19.9500","0.6626","0.1354"
"20.0000","0.6639","-0.1493"
"20.0500","0.6659","0.1850"
"20.1000","0.6675","0.0139"
"20.1500","0.6691","0.3582"
"20.2000","0.6708","0.2118"
"20.2500","0.6725","0.1803"
"20.3000","0.6743","0.0794"
"20.3500","0.6756","0.1564"
"20.4000","0.6776","0.1581"
"20.4500","0.6791","0.2927"
"20.5000","0.6809","0.0978"
"20.5500","0.6825","0.0603"
"20.6000","0.6842","0.1455"
