
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0267"
"0.0500","0.0001","-0.1238"
"0.1000","0.0008","-0.0185"
"0.1500","0.0012","0.0498"
"0.2000","0.0027","-0.1149"
"0.2500","0.0053","0.0078"
"0.3000","0.0074","0.0247"
"0.3500","0.0091","0.0475"
"0.4000","0.0109","0.0785"
"0.4500","0.0126","0.1193"
"0.5000","0.0143","0.0833"
"0.5500","0.0160","0.1405"
"0.6000","0.0174","0.1461"
"0.6500","0.0194","0.0406"
"0.7000","0.0209","0.1037"
"0.7500","0.0227","0.0519"
"0.8000","0.0242","0.1547"
"0.8500","0.0260","0.2772"
"0.9000","0.0276","0.2341"
"0.9500","0.0291","0.1857"
"1.0000","0.0311","0.0238"
"1.0500","0.0325","0.2205"
"1.1000","0.0344","0.1467"
"1.1500","0.0359","0.3850"
"1.2000","0.0377","0.0549"
"1.2500","0.0392","0.2103"
"1.3000","0.0408","0.3022"
"1.3500","0.0428","0.1555"
"1.4000","0.0442","0.1087"
"1.4500","0.0461","0.2045"
"1.5000","0.0475","0.3425"
"1.5500","0.0494","-0.0154"
"1.6000","0.0508","0.2881"
"1.6500","0.0526","0.1571"
"1.7000","0.0544","0.3300"
"1.7500","0.0559","0.2798"
"1.8000","0.0577","0.2886"
"1.8500","0.0592","0.2153"
"1.9000","0.0612","0.1971"
"1.9500","0.0624","0.3598"
"2.0000","0.0643","0.0588"
"2.0500","0.0661","0.2713"
"2.1000","0.0676","0.1512"
"2.1500","0.0694","0.0945"
"2.2000","0.0708","0.1529"
"2.2500","0.0728","0.3223"
"2.3000","0.0741","0.2632"
"2.3500","0.0760","0.2126"
"2.4000","0.0777","0.2195"
"2.4500","0.0793","0.3006"
"2.5000","0.0810","0.1656"
"2.5500","0.0825","0.2599"
"2.6000","0.0844","0.2493"
"2.6500","0.0857","0.0949"
"2.7000","0.0877","0.2231"
"2.7500","0.0893","0.2787"
"2.8000","0.0910","0.2470"
"2.8500","0.0926","0.4759"
"2.9000","0.0942","0.5643"
"2.9500","0.0961","0.7721"
"3.0000","0.0974","0.8960"
"3.0500","0.0994","0.7341"
"3.1000","0.1009","1.0302"
"3.1500","0.1027","0.9386"
"3.2000","0.1042","1.0867"
"3.2500","0.1060","1.2831"
"3.3000","0.1077","1.3182"
"3.3500","0.1091","1.4023"
"3.4000","0.1111","1.4750"
"3.4500","0.1126","1.6476"
"3.5000","0.1144","2.1703"
"3.5500","0.1159","2.2613"
"3.6000","0.1177","2.9389"
"3.6500","0.1193","3.5260"
"3.7000","0.1208","3.9415"
"3.7500","0.1228","4.3470"
"3.8000","0.1242","4.9298"
"3.8500","0.1261","5.3226"
"3.9000","0.1276","5.7848"
"3.9500","0.1293","6.8999"
"4.0000","0.1308","7.7243"
"4.0500","0.1325","8.9168"
"4.1000","0.1344","10.0892"
"4.1500","0.1359","11.0194"
"4.2000","0.1377","12.1305"
"4.2500","0.1392","13.2602"
"4.3000","0.1411","14.2856"
"4.3500","0.1425","15.2224"
"4.4000","0.1442","16.6359"
"4.4500","0.1460","18.0794"
"4.5000","0.1475","19.2133"
"4.5500","0.1494","21.0169"
"4.6000","0.1509","22.5090"
"4.6500","0.1527","24.2998"
"4.7000","0.1541","25.2579"
"4.7500","0.1559","27.0844"
"4.8000","0.1577","29.0109"
"4.8500","0.1592","30.4722"
"4.9000","0.1611","32.2236"
"4.9500","0.1626","33.7034"
"5.0000","0.1644","35.3306"
"5.0500","0.1658","36.9304"
"5.1000","0.1677","39.0202"
"5.1500","0.1693","40.6951"
"5.2000","0.1709","42.4605"
"5.2500","0.1727","44.4784"
"5.3000","0.1742","45.8879"
"5.3500","0.1760","47.9096"
"5.4000","0.1774","49.6456"
"5.4500","0.1793","51.8556"
"5.5000","0.1810","53.6276"
"5.5500","0.1826","55.4929"
"5.6000","0.1844","57.6645"
"5.6500","0.1860","59.3418"
"5.7000","0.1877","61.3577"
"5.7500","0.1890","63.0567"
"5.8000","0.1910","65.2245"
"5.8500","0.1926","67.2882"
"5.9000","0.1944","69.4677"
"5.9500","0.1960","71.2521"
"6.0000","0.1976","72.9292"
"6.0500","0.1993","75.1800"
"6.1000","0.2007","76.6950"
"6.1500","0.2027","79.2788"
"6.2000","0.2042","81.0768"
"6.2500","0.2059","83.0442"
