
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.4586","3255.7622"
"0.2500","0.4737","3562.2520"
"0.5000","0.4947","3906.0850"
"0.7500","0.5157","4164.6147"
"1.0000","0.5366","4380.0933"
"1.2500","0.5573","4573.2173"
"1.5000","0.5780","4750.0542"
"1.7500","0.5989","4920.4126"
"2.0000","0.6198","5085.4756"
"2.2500","0.6408","5243.7427"
"2.5000","0.6615","5391.9863"
"2.7500","0.6823","5535.2720"
"3.0000","0.7031","5675.8643"
"3.2500","0.7239","5813.7124"
"3.5000","0.7449","5949.4761"
"3.7500","0.7658","6080.7515"
"4.0000","0.7865","6205.0796"
"4.2500","0.8072","6324.4307"
"4.5000","0.8281","6445.4844"
"4.7500","0.8491","6562.9883"
"5.0000","0.8699","6675.9526"
"5.2500","0.8907","6782.7173"
"5.5000","0.9114","6883.7891"
"5.7500","0.9322","6984.9409"
"6.0000","0.9531","7084.9033"
"6.2500","0.9740","7182.4736"
"6.5000","0.9949","7275.1753"
"6.7500","1.0157","7363.0361"
"7.0000","1.0363","7445.3779"
"7.2500","1.0573","7530.8994"
"7.5000","1.0782","7611.4775"
"7.7500","1.0990","7688.2720"
"8.0000","1.1198","7760.2788"
"8.2500","1.1406","7826.8730"
"8.5000","1.1614","7893.8926"
"8.7500","1.1823","7960.5825"
"9.0000","1.2033","8024.5786"
"9.2500","1.2240","8083.3076"
"9.5000","1.2448","8140.1899"
"9.7500","1.2655","8190.8838"
"10.0000","1.2864","8244.7471"
"10.2500","1.3075","8300.0918"
"10.5000","1.3282","8345.7432"
"10.7500","1.3489","8387.6699"
"11.0000","1.3698","8432.0967"
"11.2500","1.3906","8471.9111"
"11.5000","1.4115","8511.6670"
"11.7500","1.4325","8552.0127"
"12.0000","1.4532","8584.5898"
"12.2500","1.4739","8614.7080"
"12.5000","1.4947","8644.3047"
"12.7500","1.5156","8673.8418"
"13.0000","1.5366","8704.9082"
"13.2500","1.5574","8729.6992"
"13.5000","1.5781","8749.6602"
"13.7500","1.5989","8771.5488"
"14.0000","1.6198","8793.5322"
"14.2500","1.6407","8815.9883"
"14.5000","1.6616","8836.3184"
"14.7500","1.6824","8852.9658"
"15.0000","1.7030","8865.8359"
"15.2500","1.7238","8879.2832"
"15.5000","1.7449","8896.6553"
"15.7500","1.7658","8911.5381"
"16.0000","1.7865","8921.0596"
"16.2500","1.8073","8912.0049"
"16.5000","1.8280","8913.0742"
"16.7500","1.8490","8925.6611"
"17.0000","1.8699","8936.0576"
"17.2500","1.8907","8943.9043"
"17.5000","1.9116","8953.6572"
"17.7500","1.9322","8956.8506"
"18.0000","1.9530","8962.8906"
"18.2500","1.9741","8974.6777"
"18.5000","1.9949","8980.4453"
"18.7500","2.0156","8983.8359"
"19.0000","2.0365","8987.3955"
"19.2500","2.0572","8989.6953"
"19.5000","2.0782","8996.3936"
"19.7500","2.0991","9002.3018"
"20.0000","2.1199","9003.4131"
"20.2500","2.1406","9005.0449"
"20.5000","2.1614","9001.7031"
"20.7500","2.1823","9003.9209"
"21.0000","2.2032","9002.4902"
"21.2500","2.2241","9001.3164"
"21.5000","2.2449","8999.1895"
"21.7500","2.2655","8971.3320"
"22.0000","2.2864","8935.6729"
"22.2500","2.3074","8799.2012"
"22.5000","2.3283","8767.1133"
"22.7500","2.3491","8756.7695"
"23.0000","2.3698","8752.2666"
"23.2500","2.3906","8747.2412"
"23.5000","2.4115","8751.0703"
"23.7500","2.4324","8759.1338"
"24.0000","2.4533","8767.7930"
"24.2500","2.4740","8770.9551"
"24.5000","2.4947","8773.2422"
"24.7500","2.5156","8781.3369"
"25.0000","2.5366","8789.7178"
"25.2500","2.5574","8794.2256"
"25.5000","2.5782","8795.7803"
"25.7500","2.5989","8792.6934"
"26.0000","2.6197","8788.4463"
"26.2500","2.6407","8773.9277"
"26.5000","2.6616","8757.5049"
"26.7500","2.6824","8742.6885"
"27.0000","2.7031","8731.6064"
"27.2500","2.7238","8720.2344"
"27.5000","2.7448","8716.9277"
"27.7500","2.7658","8712.5879"
"28.0000","2.7865","8703.5918"
"28.2500","2.8073","8690.3516"
"28.5000","2.8280","8675.1758"
"28.7500","2.8489","8662.9414"
"29.0000","2.8698","8655.3135"
"29.2500","2.8908","8654.9248"
"29.5000","2.9115","8651.8516"
"29.7500","2.9323","8652.8750"
"30.0000","2.9531","8652.7568"
"30.2500","2.9739","8658.2803"
"30.5000","2.9950","8667.7969"
"30.7500","3.0157","8673.4756"
"31.0000","3.0364","8678.2490"
"31.2500","3.0573","8685.8701"
"31.5000","3.0781","8693.7305"
"31.7500","3.0990","8704.0732"
"32.0000","3.1200","8717.3936"
"32.2500","3.1407","8721.4385"
"32.5000","3.1614","8728.1865"
"32.7500","3.1822","8736.7881"
"33.0000","3.2031","8746.9023"
"33.2500","3.2241","8760.0996"
"33.5000","3.2449","8768.1328"
"33.7500","3.2656","8772.6953"
"34.0000","3.2864","8779.9580"
"34.2500","3.3073","8786.5215"
"34.5000","3.3282","8793.2236"
"34.7500","3.3491","8786.6875"
"35.0000","3.3699","8785.4971"
"35.2500","3.3906","8781.5000"
"35.5000","3.4114","8777.1152"
"35.7500","3.4324","8777.4268"
"36.0000","3.4533","8770.4658"
"36.2500","3.4740","8757.4209"
"36.5000","3.4948","8727.1045"
"36.7500","3.5155","8667.9180"
"37.0000","3.5365","8484.2373"
"37.2500","3.5574","8320.0635"
"37.5000","3.5783","8002.9263"
"37.7500","3.5991","7677.4292"
"38.0000","3.6198","7469.7993"
"38.2500","3.6405","7356.9937"
"38.5000","3.6616","7233.1133"
"38.7500","3.6824","7159.6660"
"39.0000","3.7032","7095.9150"
"39.2500","3.7240","7030.5610"
"39.5000","3.7448","6892.6128"
"39.7500","3.7657","6790.3521"
"40.0000","3.7866","6738.2305"
"40.2500","3.8073","6708.6221"
"40.5000","3.8282","6694.6426"
"40.7500","3.8489","6688.2432"
"41.0000","3.8697","6681.1738"
"41.2500","3.8907","6688.8184"
"41.5000","3.9116","6705.1636"
"41.7500","3.9323","6722.0591"
"42.0000","3.9531","6744.3423"
"42.2500","3.9739","6770.5483"
"42.5000","3.9949","6790.0054"
"42.7500","4.0158","6806.6211"
"43.0000","4.0365","6812.4985"
"43.2500","4.0573","6799.5229"
"43.5000","4.0781","6798.9917"
"43.7500","4.0990","6792.3516"
"44.0000","4.1199","6771.2427"
"44.2500","4.1408","6731.5332"
"44.5000","4.1615","6707.7720"
"44.7500","4.1822","6664.8843"
"45.0000","4.2032","6411.0815"
"45.2500","4.2241","6323.1909"
"45.5000","4.2449","6256.3188"
"45.7500","4.2657","6155.3281"
"46.0000","4.2865","6040.2734"
"46.2500","4.3072","5889.4966"
"46.5000","4.3282","5638.1997"
"46.7500","4.3491","5318.5732"
"47.0000","4.3699","4978.4409"
"47.2500","4.3906","4792.6230"
"47.5000","4.4114","4649.8496"
"47.7500","4.4323","4436.6494"
"48.0000","4.4533","4070.5457"
"48.2500","4.4741","3653.9255"
"48.5000","4.4949","3613.2183"
"48.7500","4.5156","3594.3181"
"49.0000","4.5364","3579.4036"
"49.2500","4.5573","3600.5710"
"49.5000","4.5783","3632.2280"
"49.7500","4.5990","3660.3999"
"50.0000","4.6198","3684.3408"
"50.2500","4.6406","3700.2725"
"50.5000","4.6614","3663.1785"
"50.7500","4.6825","3668.2297"
"51.0000","4.7032","3674.9980"
"51.2500","4.7239","3685.2908"
"51.5000","4.7448","3703.2471"
"51.7500","4.7656","3718.2136"
"52.0000","4.7865","3733.9612"
"52.2500","4.8075","3753.9951"
"52.5000","4.8282","3767.6841"
"52.7500","4.8489","3778.6960"
"53.0000","4.8698","3788.4336"
"53.2500","4.8906","3789.5208"
"53.5000","4.9116","3794.1426"
"53.7500","4.9324","3799.1064"
"54.0000","4.9531","3801.0549"
"54.2500","4.9739","3804.5886"
"54.5000","4.9948","3809.5503"
"54.7500","5.0157","3818.2903"
"55.0000","5.0366","3828.0286"
"55.2500","5.0573","3831.2866"
"55.5000","5.0781","3841.9482"
"55.7500","5.0989","3851.2141"
"56.0000","5.1199","3859.4165"
"56.2500","5.1407","3860.2871"
"56.5000","5.1615","3845.1545"
"56.7500","5.1823","3835.4446"
"57.0000","5.2030","3829.0691"
"57.2500","5.2240","3824.1599"
"57.5000","5.2449","3809.4084"
