
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1296"
"0.2500","0.0150","3.3469"
"0.5000","0.0360","6.7877"
"0.7500","0.0569","13.4805"
"1.0000","0.0777","24.0849"
"1.2500","0.0985","40.5103"
"1.5000","0.1192","61.8392"
"1.7500","0.1401","93.3304"
"2.0000","0.1611","144.2717"
"2.2500","0.1819","211.5746"
"2.5000","0.2027","302.0565"
"2.7500","0.2235","406.3190"
"3.0000","0.2443","523.6209"
"3.2500","0.2652","653.6644"
"3.5000","0.2861","790.0231"
"3.7500","0.3068","929.4731"
"4.0000","0.3276","1070.5469"
"4.2500","0.3484","1214.5701"
"4.5000","0.3693","1359.7351"
"4.7500","0.3903","1506.9783"
"5.0000","0.4111","1650.4297"
"5.2500","0.4318","1790.1382"
"5.5000","0.4526","1928.4751"
"5.7500","0.4735","2064.9929"
"6.0000","0.4944","2197.0215"
"6.2500","0.5153","2321.9380"
"6.5000","0.5360","2441.1753"
"6.7500","0.5568","2556.3386"
"7.0000","0.5776","2665.8657"
"7.2500","0.5985","2771.5132"
"7.5000","0.6195","2874.2744"
"7.7500","0.6402","2967.7739"
"8.0000","0.6609","3058.1670"
"8.2500","0.6817","3143.9639"
"8.5000","0.7026","3228.4685"
"8.7500","0.7236","3310.6045"
"9.0000","0.7444","3387.2791"
"9.2500","0.7652","3459.0508"
"9.5000","0.7859","3527.5920"
"9.7500","0.8068","3594.3638"
"10.0000","0.8277","3654.5784"
"10.2500","0.8486","3714.4858"
"10.5000","0.8694","3772.2368"
"10.7500","0.8901","3824.0049"
"11.0000","0.9109","3875.7861"
"11.2500","0.9319","3928.0637"
"11.5000","0.9528","3976.5269"
"11.7500","0.9735","4019.8301"
"12.0000","0.9944","4062.7290"
"12.2500","1.0151","4103.8809"
"12.5000","1.0360","4146.8438"
"12.7500","1.0569","4189.1465"
"13.0000","1.0777","4229.8374"
"13.2500","1.0985","4269.7773"
"13.5000","1.1193","4306.7705"
"13.7500","1.1400","4343.6318"
"14.0000","1.1610","4383.3574"
"14.2500","1.1819","4420.6230"
"14.5000","1.2027","4454.4111"
"14.7500","1.2235","4488.9839"
"15.0000","1.2443","4521.8354"
"15.2500","1.2651","4556.2065"
"15.5000","1.2861","4593.5391"
"15.7500","1.3069","4630.0093"
"16.0000","1.3276","4665.2764"
"16.2500","1.3484","4700.5859"
"16.5000","1.3693","4737.2993"
"16.7500","1.3902","4774.2964"
"17.0000","1.4112","4813.6377"
"17.2500","1.4319","4848.1963"
"17.5000","1.4525","4881.4102"
"17.7500","1.4735","4917.9810"
"18.0000","1.4943","4952.0532"
"18.2500","1.5152","4986.6616"
"18.5000","1.5361","5019.0376"
"18.7500","1.5569","5050.2915"
"19.0000","1.5776","5081.0791"
"19.2500","1.5985","5114.1162"
"19.5000","1.6194","5148.2173"
"19.7500","1.6402","5181.9028"
"20.0000","1.6610","5212.9668"
"20.2500","1.6817","5244.1982"
"20.5000","1.7026","5277.3691"
"20.7500","1.7235","5309.9209"
"21.0000","1.7444","5290.9399"
"21.2500","1.7652","5317.4771"
"21.5000","1.7860","5349.8101"
"21.7500","1.8067","5380.0234"
"22.0000","1.8276","5412.1416"
"22.2500","1.8486","5444.6187"
"22.5000","1.8694","5473.8735"
"22.7500","1.8901","5499.3955"
"23.0000","1.9110","5526.4380"
"23.2500","1.9318","5552.7944"
"23.5000","1.9527","5581.7749"
"23.7500","1.9736","5608.4546"
"24.0000","1.9943","5631.9932"
"24.2500","2.0152","5656.3315"
"24.5000","2.0359","5678.2471"
"24.7500","2.0568","5701.3208"
"25.0000","2.0778","5727.3130"
"25.2500","2.0986","5747.8428"
"25.5000","2.1193","5766.7021"
"25.7500","2.1401","5786.3843"
"26.0000","2.1610","5805.9541"
"26.2500","2.1819","5827.5249"
"26.5000","2.2028","5846.0503"
"26.7500","2.2235","5861.8350"
"27.0000","2.2443","5878.2959"
"27.2500","2.2651","5894.8447"
"27.5000","2.2860","5911.6763"
"27.7500","2.3070","5930.2539"
"28.0000","2.3277","5943.9663"
"28.2500","2.3485","5957.8789"
"28.5000","2.3692","5970.7847"
"28.7500","2.3902","5984.0298"
"29.0000","2.4111","5997.3394"
"29.2500","2.4319","6007.9751"
"29.5000","2.4527","6017.8867"
"29.7500","2.4734","6026.2739"
"30.0000","2.4943","6035.8916"
"30.2500","2.5152","6044.0205"
"30.5000","2.5361","6054.2979"
"30.7500","2.5569","6062.6260"
"31.0000","2.5777","6069.1865"
"31.2500","2.5984","6074.6738"
"31.5000","2.6194","6084.1245"
"31.7500","2.6403","6091.2695"
"32.0000","2.6610","6094.5088"
"32.2500","2.6819","6098.4810"
"32.5000","2.7026","6098.8379"
"32.7500","2.7234","6101.7754"
"33.0000","2.7444","6104.8818"
"33.2500","2.7652","6104.2046"
"33.5000","2.7860","6100.7764"
"33.7500","2.8068","6036.3496"
"34.0000","2.8275","6023.3032"
"34.2500","2.8486","6022.1914"
"34.5000","2.8695","6019.5762"
"34.7500","2.8902","6015.6377"
