
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.3301"
"0.1000","0.0006","1.5852"
"0.2000","0.0019","5.2488"
"0.3000","0.0071","21.0443"
"0.4000","0.0105","29.3661"
"0.5000","0.0139","37.9352"
"0.6000","0.0171","46.4788"
"0.7000","0.0207","55.7414"
"0.8000","0.0241","64.0810"
"0.9000","0.0274","72.1691"
"1.0000","0.0306","79.7073"
"1.1000","0.0339","87.6306"
"1.2000","0.0372","95.5382"
"1.3000","0.0404","103.1022"
"1.4000","0.0440","111.5814"
"1.5000","0.0474","119.4675"
"1.6000","0.0507","127.1131"
"1.7000","0.0541","135.0017"
"1.8000","0.0573","142.1699"
"1.9000","0.0607","149.8307"
"2.0000","0.0637","156.2723"
"2.1000","0.0673","164.2998"
"2.2000","0.0706","171.0491"
"2.3000","0.0740","177.9727"
"2.4000","0.0774","185.0030"
"2.5000","0.0806","191.2073"
"2.6000","0.0840","196.6107"
"2.7000","0.0871","199.4407"
"2.8000","0.0906","202.6889"
"2.9000","0.0939","206.2706"
"3.0000","0.0973","210.3725"
"3.1000","0.1008","215.9057"
"3.2000","0.1041","221.4508"
"3.3000","0.1074","227.6959"
"3.4000","0.1105","233.3827"
"3.5000","0.1139","240.2487"
"3.6000","0.1172","246.4727"
"3.7000","0.1205","252.8575"
"3.8000","0.1241","259.9959"
"3.9000","0.1274","266.1840"
"4.0000","0.1308","272.7039"
"4.1000","0.1339","278.2537"
"4.2000","0.1372","284.3042"
"4.3000","0.1406","290.4107"
"4.4000","0.1437","295.7216"
"4.5000","0.1473","302.7194"
"4.6000","0.1507","308.6228"
"4.7000","0.1541","314.5522"
"4.8000","0.1574","320.5369"
"4.9000","0.1606","326.0492"
"5.0000","0.1640","331.7862"
"5.1000","0.1671","336.6315"
"5.2000","0.1706","343.1338"
"5.3000","0.1740","349.3059"
"5.4000","0.1774","355.9966"
"5.5000","0.1808","363.2447"
"5.6000","0.1841","369.7885"
"5.7000","0.1874","376.5822"
"5.8000","0.1904","382.5409"
"5.9000","0.1939","389.8259"
"6.0000","0.1972","396.5419"
"6.1000","0.2005","403.2196"
"6.2000","0.2041","410.7867"
"6.3000","0.2074","417.2353"
"6.4000","0.2107","423.9687"
"6.5000","0.2139","429.4778"
"6.6000","0.2172","435.8300"
"6.7000","0.2206","441.8641"
"6.8000","0.2238","447.5400"
"6.9000","0.2274","454.2590"
"7.0000","0.2308","460.1181"
"7.1000","0.2341","465.9779"
"7.2000","0.2373","471.5023"
"7.3000","0.2406","476.6500"
"7.4000","0.2439","482.2871"
"7.5000","0.2471","487.3326"
"7.6000","0.2506","493.3842"
"7.7000","0.2540","499.0504"
"7.8000","0.2574","504.3290"
"7.9000","0.2607","510.0514"
"8.0000","0.2640","514.9341"
"8.1000","0.2673","520.4384"
"8.2000","0.2704","524.9686"
"8.3000","0.2740","531.1381"
"8.4000","0.2773","536.8903"
"8.5000","0.2806","542.6517"
"8.6000","0.2841","548.6107"
"8.7000","0.2874","554.1240"
"8.8000","0.2907","560.4106"
"8.9000","0.2938","565.3632"
"9.0000","0.2973","571.7062"
"9.1000","0.3006","577.5515"
"9.2000","0.3039","583.1320"
"9.3000","0.3074","590.0234"
"9.4000","0.3108","595.7891"
"9.5000","0.3141","601.5493"
"9.6000","0.3172","606.5538"
"9.7000","0.3206","612.5796"
"9.8000","0.3239","618.3096"
"9.9000","0.3271","623.7908"
"10.0000","0.3307","630.1520"
"10.1000","0.3340","635.6296"
"10.2000","0.3375","641.4987"
"10.3000","0.3406","646.5475"
"10.4000","0.3440","652.0351"
"10.5000","0.3472","657.0945"
"10.6000","0.3504","661.9828"
"10.7000","0.3540","668.2844"
"10.8000","0.3574","673.6818"
"10.9000","0.3608","678.8114"
"11.0000","0.3641","684.1712"
"11.1000","0.3673","688.8092"
"11.2000","0.3706","693.9153"
"11.3000","0.3737","698.3441"
"11.4000","0.3772","704.1357"
"11.5000","0.3807","709.3196"
"11.6000","0.3840","714.3075"
"11.7000","0.3874","719.6481"
"11.8000","0.3907","724.4019"
"11.9000","0.3940","729.3209"
"12.0000","0.3971","732.9168"
"12.1000","0.4005","738.0198"
"12.2000","0.4040","743.0935"
"12.3000","0.4072","747.6466"
"12.4000","0.4108","752.9767"
"12.5000","0.4141","757.5304"
"12.6000","0.4175","761.9856"
"12.7000","0.4205","765.5345"
"12.8000","0.4239","769.9068"
"12.9000","0.4272","774.0583"
"13.0000","0.4305","778.2218"
"13.1000","0.4341","783.4219"
"13.2000","0.4374","787.6923"
"13.3000","0.4408","791.9637"
"13.4000","0.4440","795.7352"
"13.5000","0.4473","799.7575"
"13.6000","0.4505","803.5272"
"13.7000","0.4538","807.2278"
"13.8000","0.4574","812.2589"
"13.9000","0.4607","816.3395"
"14.0000","0.4641","820.6564"
"14.1000","0.4674","824.6230"
"14.2000","0.4707","828.5166"
"14.3000","0.4740","832.3384"
"14.4000","0.4771","835.5615"
"14.5000","0.4806","840.0895"
"14.6000","0.4840","844.0034"
"14.7000","0.4873","847.4915"
"14.8000","0.4908","852.1603"
"14.9000","0.4941","855.6138"
"15.0000","0.4974","859.1906"
"15.1000","0.5005","862.2904"
"15.2000","0.5038","866.0422"
"15.3000","0.5073","870.0930"
"15.4000","0.5105","873.4006"
"15.5000","0.5141","878.0261"
"15.6000","0.5174","881.5562"
"15.7000","0.5207","884.8069"
"15.8000","0.5239","888.2859"
"15.9000","0.5272","891.4897"
"16.0000","0.5306","895.0718"
"16.1000","0.5338","898.1653"
"16.2000","0.5374","902.5693"
"16.3000","0.5407","905.8844"
"16.4000","0.5441","909.1219"
"16.5000","0.5473","912.1484"
"16.6000","0.5507","915.5458"
"16.7000","0.5539","918.7373"
"16.8000","0.5571","921.3439"
"16.9000","0.5607","925.2792"
"17.0000","0.5640","928.5696"
"17.1000","0.5674","931.8332"
"17.2000","0.5707","935.1232"
"17.3000","0.5740","937.6769"
"17.4000","0.5773","940.8997"
"17.5000","0.5804","943.1193"
"17.6000","0.5840","946.8635"
"17.7000","0.5873","949.9110"
"17.8000","0.5906","952.7733"
"17.9000","0.5941","955.9301"
"18.0000","0.5974","958.8408"
"18.1000","0.6007","961.5425"
"18.1620","0.6028","-11.7203"

