
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1261"
"0.0500","0.0001","-0.0188"
"0.1000","0.0008","0.1134"
"0.1500","0.0011","0.0456"
"0.2000","0.0030","0.1800"
"0.2500","0.0058","0.1874"
"0.3000","0.0076","0.1090"
"0.3500","0.0093","0.0906"
"0.4000","0.0112","0.1924"
"0.4500","0.0127","0.0661"
"0.5000","0.0145","0.2118"
"0.5500","0.0160","-0.0358"
"0.6000","0.0179","0.4490"
"0.6500","0.0192","0.3930"
"0.7000","0.0211","0.4284"
"0.7500","0.0229","0.7644"
"0.8000","0.0244","0.5639"
"0.8500","0.0262","0.6804"
"0.9000","0.0277","0.8032"
"0.9500","0.0295","0.6517"
"1.0000","0.0309","0.6467"
"1.0500","0.0328","0.7095"
"1.1000","0.0345","0.5236"
"1.1500","0.0360","0.5956"
"1.2000","0.0378","0.8255"
"1.2500","0.0394","0.7127"
"1.3000","0.0412","0.6763"
"1.3500","0.0425","0.7181"
"1.4000","0.0445","0.7094"
"1.4500","0.0462","0.7240"
"1.5000","0.0478","0.7914"
"1.5500","0.0495","0.5977"
"1.6000","0.0511","0.7829"
"1.6500","0.0528","0.6157"
"1.7000","0.0542","0.7343"
"1.7500","0.0562","0.7558"
"1.8000","0.0578","0.7023"
"1.8500","0.0595","0.7229"
"1.9000","0.0611","0.8125"
"1.9500","0.0628","0.9251"
"2.0000","0.0645","0.6513"
"2.0500","0.0659","0.7909"
"2.1000","0.0679","0.6626"
"2.1500","0.0694","0.6873"
"2.2000","0.0711","0.7391"
"2.2500","0.0728","0.8081"
"2.3000","0.0745","0.7295"
"2.3500","0.0761","0.8589"
"2.4000","0.0776","0.8043"
"2.4500","0.0796","0.7094"
"2.5000","0.0810","0.9563"
"2.5500","0.0828","0.6835"
"2.6000","0.0844","0.7734"
"2.6500","0.0862","0.6133"
"2.7000","0.0877","0.8071"
"2.7500","0.0892","0.7366"
"2.8000","0.0912","0.5596"
"2.8500","0.0927","0.5409"
"2.9000","0.0945","0.5191"
"2.9500","0.0961","0.8664"
"3.0000","0.0979","0.9539"
"3.0500","0.0993","0.9175"
"3.1000","0.1010","1.1643"
"3.1500","0.1030","1.3367"
"3.2000","0.1044","1.3849"
"3.2500","0.1062","1.0740"
"3.3000","0.1077","1.3823"
"3.3500","0.1096","1.3755"
"3.4000","0.1109","1.6268"
"3.4500","0.1127","1.8336"
"3.5000","0.1146","2.0622"
"3.5500","0.1160","2.4416"
"3.6000","0.1179","2.4463"
"3.6500","0.1194","2.5840"
"3.7000","0.1213","2.9653"
"3.7500","0.1226","3.1168"
"3.8000","0.1244","3.1415"
"3.8500","0.1262","3.1842"
"3.9000","0.1277","3.1827"
"3.9500","0.1295","3.0398"
"4.0000","0.1310","3.4235"
"4.0500","0.1329","3.2798"
"4.1000","0.1342","3.2394"
"4.1500","0.1361","3.2857"
"4.2000","0.1379","3.3124"
"4.2500","0.1395","3.3103"
"4.3000","0.1411","3.2287"
"4.3500","0.1427","3.2982"
"4.4000","0.1445","3.2823"
"4.4500","0.1458","3.3706"
"4.5000","0.1479","3.3050"
"4.5500","0.1495","3.1815"
"4.6000","0.1511","3.1767"
"4.6500","0.1528","3.3388"
"4.7000","0.1544","3.3095"
"4.7500","0.1562","3.2529"
"4.8000","0.1575","3.3601"
"4.8500","0.1596","3.1614"
"4.9000","0.1611","3.2469"
"4.9500","0.1628","3.1114"
"5.0000","0.1644","3.2254"
"5.0500","0.1662","3.3400"
"5.1000","0.1678","3.0822"
"5.1500","0.1692","3.2973"
"5.2000","0.1712","3.1362"
