
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1295"
"0.0500","0.0000","0.0699"
"0.1000","0.0004","-0.0030"
"0.1500","0.0009","-0.0480"
"0.2000","0.0013","0.1122"
"0.2500","0.0036","0.0892"
"0.3000","0.0064","-0.1711"
"0.3500","0.0083","-0.0996"
"0.4000","0.0102","-0.1604"
"0.4500","0.0117","0.0873"
"0.5000","0.0133","-0.0466"
"0.5500","0.0153","0.1375"
"0.6000","0.0167","0.0404"
"0.6500","0.0186","0.0860"
"0.7000","0.0200","-0.0905"
"0.7500","0.0220","0.1035"
"0.8000","0.0233","-0.0500"
"0.8500","0.0250","-0.2199"
"0.9000","0.0269","-0.1811"
"0.9500","0.0284","0.0540"
"1.0000","0.0303","0.0587"
"1.0500","0.0317","-0.0535"
"1.1000","0.0336","-0.0755"
"1.1500","0.0349","0.1328"
"1.2000","0.0367","0.1222"
"1.2500","0.0386","0.1381"
"1.3000","0.0402","0.1139"
"1.3500","0.0418","-0.0744"
"1.4000","0.0432","0.0172"
"1.4500","0.0452","-0.0610"
"1.5000","0.0465","-0.0876"
"1.5500","0.0485","0.0907"
"1.6000","0.0501","0.0309"
"1.6500","0.0518","-0.0927"
"1.7000","0.0535","-0.1749"
"1.7500","0.0550","-0.1551"
"1.8000","0.0569","-0.0029"
"1.8500","0.0582","-0.2014"
"1.9000","0.0602","-0.1145"
"1.9500","0.0618","0.0028"
"2.0000","0.0635","0.0419"
"2.0500","0.0651","0.1193"
"2.1000","0.0668","0.0266"
"2.1500","0.0686","-0.0664"
"2.2000","0.0699","-0.0391"
"2.2500","0.0719","0.0309"
"2.3000","0.0734","-0.0033"
"2.3500","0.0752","0.0648"
"2.4000","0.0768","0.0726"
"2.4500","0.0784","-0.0332"
"2.5000","0.0801","-0.1036"
"2.5500","0.0816","0.2088"
"2.6000","0.0836","0.1072"
"2.6500","0.0851","0.0333"
"2.7000","0.0869","0.1509"
"2.7500","0.0884","0.0188"
"2.8000","0.0901","-0.0123"
"2.8500","0.0917","-0.0112"
"2.9000","0.0933","0.1800"
"2.9500","0.0953","-0.1358"
"3.0000","0.0967","0.0988"
"3.0500","0.0985","0.0046"
"3.1000","0.1001","0.1907"
"3.1500","0.1019","0.2134"
"3.2000","0.1033","0.1211"
"3.2500","0.1050","0.0521"
"3.3000","0.1069","0.1265"
"3.3500","0.1083","-0.0649"
"3.4000","0.1102","0.0854"
"3.4500","0.1118","-0.2351"
"3.5000","0.1136","0.0546"
"3.5500","0.1149","0.0161"
"3.6000","0.1167","0.2161"
"3.6500","0.1185","0.1781"
"3.7000","0.1201","0.1635"
"3.7500","0.1219","0.1374"
"3.8000","0.1234","0.0466"
