
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.5716"
"0.1000","0.0006","1.8640"
"0.2000","0.0021","6.8319"
"0.3000","0.0070","24.6977"
"0.4000","0.0103","37.0656"
"0.5000","0.0139","49.7204"
"0.6000","0.0172","61.5582"
"0.7000","0.0206","73.5961"
"0.8000","0.0237","84.1850"
"0.9000","0.0271","95.6942"
"1.0000","0.0304","107.0864"
"1.1000","0.0336","117.9483"
"1.2000","0.0372","130.2547"
"1.3000","0.0406","141.1558"
"1.4000","0.0439","152.3380"
"1.5000","0.0472","163.3029"
"1.6000","0.0505","173.5759"
"1.7000","0.0538","184.6544"
"1.8000","0.0569","194.0473"
"1.9000","0.0605","205.7267"
"2.0000","0.0638","216.2123"
"2.1000","0.0672","227.0399"
"2.2000","0.0706","237.4808"
"2.3000","0.0739","247.2555"
"2.4000","0.0772","257.4515"
"2.5000","0.0802","266.6923"
"2.6000","0.0837","277.0277"
"2.7000","0.0870","286.9513"
"2.8000","0.0904","296.8713"
"2.9000","0.0940","307.6096"
"3.0000","0.0972","317.2107"
"3.1000","0.1006","326.8058"
"3.2000","0.1037","335.4658"
"3.3000","0.1071","344.8173"
"3.4000","0.1104","354.1758"
"3.5000","0.1137","363.5291"
"3.6000","0.1173","373.4619"
"3.7000","0.1206","382.4494"
"3.8000","0.1239","391.4019"
"3.9000","0.1272","400.1405"
"4.0000","0.1304","408.5883"
"4.1000","0.1338","417.4197"
"4.2000","0.1369","425.2839"
"4.3000","0.1404","434.4596"
"4.4000","0.1439","443.1417"
"4.5000","0.1472","451.4604"
"4.6000","0.1505","459.6418"
"4.7000","0.1539","467.5398"
"4.8000","0.1571","475.3442"
"4.9000","0.1603","482.7017"
"5.0000","0.1638","491.0078"
"5.1000","0.1671","498.2076"
"5.2000","0.1705","506.0472"
"5.3000","0.1739","513.6598"
"5.4000","0.1772","520.5731"
"5.5000","0.1806","527.7333"
"5.6000","0.1836","533.6462"
"5.7000","0.1871","540.7817"
"5.8000","0.1905","547.4172"
"5.9000","0.1936","553.3054"
"6.0000","0.1973","560.9152"
"6.1000","0.2005","566.6641"
"6.2000","0.2039","573.0804"
"6.3000","0.2071","578.8093"
"6.4000","0.2104","584.8009"
"6.5000","0.2137","590.6058"
"6.6000","0.2170","596.2571"
"6.7000","0.2206","602.7963"
"6.8000","0.2239","608.4793"
"6.9000","0.2273","614.0974"
"7.0000","0.2304","619.0396"
"7.1000","0.2338","624.3144"
"7.2000","0.2371","629.1042"
"7.3000","0.2403","633.8649"
"7.4000","0.2439","639.8879"
"7.5000","0.2472","644.6927"
"7.6000","0.2506","649.6942"
"7.7000","0.2539","654.4712"
"7.8000","0.2570","658.7083"
"7.9000","0.2605","663.5859"
"8.0000","0.2635","667.3363"
"8.1000","0.2671","672.3888"
"8.2000","0.2705","677.0133"
"8.3000","0.2738","681.3172"
