
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0859"
"0.0500","0.0001","0.0296"
"0.1000","0.0008","0.0320"
"0.1500","0.0011","-0.0677"
"0.2000","0.0028","0.0984"
"0.2500","0.0057","-0.0789"
"0.3000","0.0077","0.1673"
"0.3500","0.0093","0.1177"
"0.4000","0.0112","0.1837"
"0.4500","0.0126","-0.0235"
"0.5000","0.0145","0.2033"
"0.5500","0.0161","-0.0632"
"0.6000","0.0177","-0.0126"
"0.6500","0.0195","-0.0820"
"0.7000","0.0211","0.0640"
"0.7500","0.0228","0.1273"
"0.8000","0.0242","0.0637"
"0.8500","0.0262","-0.1520"
"0.9000","0.0277","-0.0171"
"0.9500","0.0295","-0.0740"
"1.0000","0.0311","0.0916"
"1.0500","0.0328","0.0751"
"1.1000","0.0344","0.0607"
"1.1500","0.0359","0.1616"
"1.2000","0.0379","0.0414"
"1.2500","0.0394","-0.0828"
"1.3000","0.0412","0.2186"
"1.3500","0.0428","0.0929"
"1.4000","0.0445","0.0890"
"1.4500","0.0461","0.1051"
"1.5000","0.0476","-0.0235"
"1.5500","0.0496","0.1851"
"1.6000","0.0510","0.0436"
"1.6500","0.0529","0.0391"
"1.7000","0.0544","0.0526"
"1.7500","0.0562","0.1098"
"1.8000","0.0577","0.3170"
"1.8500","0.0593","0.2072"
"1.9000","0.0613","0.0148"
"1.9500","0.0626","0.0357"
"2.0000","0.0645","0.0014"
"2.0500","0.0661","-0.0351"
"2.1000","0.0680","0.1050"
"2.1500","0.0693","0.0154"
"2.2000","0.0710","0.0290"
"2.2500","0.0729","0.0503"
"2.3000","0.0744","-0.2005"
"2.3500","0.0762","-0.0681"
"2.4000","0.0777","0.0628"
"2.4500","0.0796","0.0404"
"2.5000","0.0809","0.0865"
"2.5500","0.0827","0.0001"
"2.6000","0.0845","0.1287"
"2.6500","0.0861","-0.0108"
"2.7000","0.0878","0.2223"
"2.7500","0.0893","0.1404"
"2.8000","0.0912","0.0094"
"2.8500","0.0925","-0.0933"
"2.9000","0.0945","0.1352"
"2.9500","0.0962","0.2344"
"3.0000","0.0977","0.1157"
"3.0500","0.0995","-0.1594"
"3.1000","0.1010","0.0236"
"3.1500","0.1029","0.1615"
"3.2000","0.1042","0.1528"
"3.2500","0.1062","-0.0150"
"3.3000","0.1078","0.1108"
"3.3500","0.1094","0.0930"
"3.4000","0.1111","0.0073"
"3.4500","0.1128","0.0030"
"3.5000","0.1145","-0.2598"
"3.5500","0.1159","-0.0651"
"3.6000","0.1179","0.1388"
"3.6500","0.1194","0.1486"
"3.7000","0.1212","0.0569"
"3.7500","0.1228","0.0440"
"3.8000","0.1245","0.1153"
"3.8500","0.1261","0.1553"
"3.9000","0.1276","-0.0265"
"3.9500","0.1296","0.0966"
"4.0000","0.1311","0.1279"
"4.0500","0.1329","-0.0983"
"4.1000","0.1344","0.0411"
"4.1500","0.1362","0.2939"
"4.2000","0.1377","0.0304"
"4.2500","0.1393","0.0105"
"4.3000","0.1412","0.1579"
"4.3500","0.1427","0.1079"
"4.4000","0.1445","-0.0692"
"4.4500","0.1460","0.0634"
"4.5000","0.1479","-0.0598"
"4.5500","0.1494","0.0802"
"4.6000","0.1510","0.0147"
"4.6500","0.1528","0.0606"
"4.7000","0.1543","0.0560"
"4.7500","0.1562","-0.1344"
"4.8000","0.1578","0.0655"
"4.8500","0.1595","0.0233"
"4.9000","0.1609","-0.1395"
"4.9500","0.1627","0.2871"
"5.0000","0.1645","-0.1833"
"5.0500","0.1661","-0.0158"
"5.1000","0.1679","0.1423"
"5.1500","0.1694","-0.0024"
"5.2000","0.1712","0.0027"
"5.2500","0.1726","0.0841"
"5.3000","0.1744","0.0999"
"5.3500","0.1762","0.1938"
"5.4000","0.1777","0.1545"
"5.4500","0.1795","0.0269"
"5.5000","0.1810","0.1533"
"5.5500","0.1829","0.0146"
"5.6000","0.1843","-0.0172"
"5.6500","0.1861","-0.0685"
"5.7000","0.1878","0.1165"
"5.7500","0.1894","0.0447"
"5.8000","0.1912","0.0606"
"5.8500","0.1928","0.0535"
"5.9000","0.1945","0.1257"
"5.9500","0.1958","0.1034"
"6.0000","0.1977","-0.0057"
"6.0500","0.1995","-0.1611"
"6.1000","0.2011","0.0506"
"6.1500","0.2029","-0.1529"
"6.2000","0.2044","-0.1008"
"6.2500","0.2062","0.0298"
"6.3000","0.2075","0.0546"
"6.3500","0.2095","-0.0781"
"6.4000","0.2112","0.1776"
"6.4500","0.2127","-0.0513"
"6.5000","0.2144","-0.0423"
"6.5500","0.2160","0.3376"
"6.6000","0.2178","-0.0785"
"6.6500","0.2192","0.0814"
"6.7000","0.2212","-0.0687"
"6.7500","0.2227","-0.0125"
"6.8000","0.2244","0.1666"
"6.8500","0.2261","0.1153"
"6.9000","0.2278","-0.0833"
"6.9500","0.2295","-0.1097"
"7.0000","0.2309","0.0438"
"7.0500","0.2329","-0.0761"
"7.1000","0.2344","0.0736"
"7.1500","0.2361","-0.0392"
"7.2000","0.2378","0.1105"
"7.2500","0.2395","0.1381"
"7.3000","0.2411","0.0464"
"7.3500","0.2425","-0.0425"
"7.4000","0.2446","-0.0198"
"7.4500","0.2461","0.0507"
"7.5000","0.2479","-0.1871"
"7.5500","0.2494","-0.1739"
"7.6000","0.2512","0.0466"
"7.6500","0.2527","0.0597"
"7.7000","0.2543","0.0317"
"7.7500","0.2563","0.1049"
"7.8000","0.2577","0.0896"
"7.8500","0.2595","-0.0572"
"7.9000","0.2611","-0.0547"
"7.9500","0.2629","0.2119"
"8.0000","0.2643","0.0755"
"8.0500","0.2660","0.0561"
"8.1000","0.2679","-0.1173"
"8.1500","0.2693","0.0139"
"8.2000","0.2712","0.0197"
"8.2500","0.2727","-0.0454"
"8.3000","0.2746","-0.0283"
"8.3500","0.2759","0.1789"
"8.4000","0.2777","-0.0884"
"8.4500","0.2795","0.1141"
"8.5000","0.2810","0.0102"
"8.5500","0.2829","0.0704"
"8.6000","0.2844","0.0134"
"8.6500","0.2862","-0.0236"
"8.7000","0.2876","-0.0350"
"8.7500","0.2894","0.0200"
"8.8000","0.2912","-0.0741"
"8.8500","0.2927","-0.1011"
"8.9000","0.2946","0.1791"
"8.9500","0.2960","0.2104"
"9.0000","0.2979","0.1564"
"9.0500","0.2992","-0.0279"
"9.1000","0.3011","-0.0641"
"9.1500","0.3028","-0.0543"
"9.2000","0.3044","0.0225"
"9.2500","0.3062","0.0404"
"9.3000","0.3078","-0.0155"
"9.3500","0.3096","0.0768"
"9.4000","0.3108","-0.0581"
"9.4500","0.3128","0.0311"
"9.5000","0.3145","0.1646"
"9.5500","0.3161","0.1277"
"9.6000","0.3178","0.1162"
"9.6500","0.3194","-0.1842"
"9.7000","0.3212","0.3111"
"9.7500","0.3225","0.2565"
"9.8000","0.3245","0.2998"
"9.8500","0.3261","0.1381"
"9.9000","0.3279","-0.0792"
"9.9500","0.3294","0.0955"
"10.0000","0.3311","0.0903"
"10.0500","0.3328","-0.0923"
"10.1000","0.3342","0.0446"
"10.1500","0.3362","0.1329"
"10.2000","0.3377","0.1545"
"10.2500","0.3395","0.1874"
"10.3000","0.3410","0.0408"
"10.3500","0.3428","-0.0673"
"10.4000","0.3444","0.0226"
"10.4500","0.3459","0.1485"
"10.5000","0.3479","-0.0464"
"10.5500","0.3494","0.0482"
"10.6000","0.3512","-0.0205"
"10.6500","0.3527","0.0742"
"10.7000","0.3546","-0.0235"
"10.7500","0.3560","-0.0323"
"10.8000","0.3576","0.1152"
"10.8500","0.3596","-0.1485"
"10.9000","0.3611","0.0516"
"10.9500","0.3629","-0.0545"
"11.0000","0.3643","-0.0694"
"11.0500","0.3662","0.0246"
"11.1000","0.3676","0.1532"
"11.1500","0.3693","0.0440"
"11.2000","0.3712","0.2882"
"11.2500","0.3727","0.0017"
"11.3000","0.3746","0.3277"
"11.3500","0.3760","0.0309"
"11.4000","0.3779","-0.1987"
"11.4500","0.3793","0.0522"
"11.5000","0.3811","0.0432"
"11.5500","0.3828","0.0018"
"11.6000","0.3844","-0.0574"
"11.6500","0.3862","0.0030"
"11.7000","0.3877","0.1276"
"11.7500","0.3896","-0.1377"
"11.8000","0.3909","-0.0275"
"11.8500","0.3928","-0.1544"
"11.9000","0.3945","-0.0811"
"11.9500","0.3960","0.0326"
"12.0000","0.3979","-0.0197"
"12.0500","0.3994","0.1200"
"12.1000","0.4012","-0.0843"
"12.1500","0.4026","0.1532"
"12.2000","0.4045","0.1177"
"12.2500","0.4061","0.0576"
"12.3000","0.4078","-0.0693"
"12.3500","0.4095","0.0486"
"12.4000","0.4110","-0.0829"
"12.4500","0.4128","0.0540"
"12.5000","0.4142","0.1059"
"12.5500","0.4162","0.0070"
"12.6000","0.4177","0.0268"
"12.6500","0.4194","0.2139"
"12.7000","0.4211","0.1272"
"12.7500","0.4228","-0.0019"
"12.8000","0.4245","-0.0195"
"12.8500","0.4259","-0.0212"
"12.9000","0.4279","0.0911"
"12.9500","0.4294","0.0638"
"13.0000","0.4311","-0.0782"
"13.0500","0.4328","0.1184"
"13.1000","0.4345","0.0378"
"13.1500","0.4361","0.1383"
"13.2000","0.4375","0.0776"
"13.2500","0.4395","0.0374"
"13.3000","0.4411","0.0312"
"13.3500","0.4429","0.0390"
"13.4000","0.4444","0.2045"
"13.4500","0.4461","-0.0077"
"13.5000","0.4477","0.0217"
"13.5500","0.4492","0.1372"
"13.6000","0.4513","0.1576"
"13.6500","0.4528","-0.0729"
"13.7000","0.4545","0.1357"
"13.7500","0.4560","0.0381"
"13.8000","0.4578","0.0445"
"13.8500","0.4593","0.1466"
"13.9000","0.4609","0.1926"
"13.9500","0.4629","0.0582"
"14.0000","0.4644","-0.2406"
"14.0500","0.4662","0.0937"
"14.1000","0.4677","-0.0621"
"14.1500","0.4696","0.0237"
"14.2000","0.4710","0.0712"
"14.2500","0.4726","-0.1200"
"14.3000","0.4746","0.0773"
"14.3500","0.4760","0.0098"
"14.4000","0.4779","0.0532"
"14.4500","0.4794","-0.1017"
"14.5000","0.4812","0.1378"
"14.5500","0.4826","0.0254"
"14.6000","0.4844","0.1954"
"14.6500","0.4862","0.0404"
"14.7000","0.4877","-0.0326"
"14.7500","0.4896","0.0790"
"14.8000","0.4911","0.0880"
"14.8500","0.4929","-0.1728"
"14.9000","0.4943","-0.1079"
"14.9500","0.4961","0.0885"
"15.0000","0.4979","0.0473"
"15.0500","0.4993","0.0116"
"15.1000","0.5012","0.1980"
"15.1500","0.5027","0.0490"
"15.2000","0.5046","0.0257"
"15.2500","0.5059","0.0326"
"15.3000","0.5078","0.0261"
"15.3500","0.5095","-0.0211"
"15.4000","0.5110","0.1595"
"15.4500","0.5129","-0.0987"
"15.5000","0.5144","-0.1689"
"15.5500","0.5162","-0.0785"
"15.6000","0.5175","-0.0015"
"15.6500","0.5195","-0.0255"
"15.7000","0.5211","-0.0257"
"15.7500","0.5227","0.0691"
"15.8000","0.5245","0.0960"
