
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1204"
"0.0500","0.0000","-0.1792"
"0.1000","0.0006","0.4033"
"0.1500","0.0012","1.3082"
"0.2000","0.0018","2.1488"
"0.2500","0.0045","6.2062"
"0.3000","0.0069","9.5240"
"0.3500","0.0087","12.4901"
"0.4000","0.0104","14.5740"
"0.4500","0.0121","17.4250"
"0.5000","0.0137","19.6219"
"0.5500","0.0154","22.3405"
"0.6000","0.0172","24.9327"
"0.6500","0.0185","26.6499"
"0.7000","0.0205","30.2377"
"0.7500","0.0221","32.5709"
"0.8000","0.0239","34.9395"
"0.8500","0.0254","37.7278"
"0.9000","0.0272","40.3023"
"0.9500","0.0288","42.8684"
"1.0000","0.0302","45.1000"
"1.0500","0.0323","48.0921"
"1.1000","0.0338","50.5180"
"1.1500","0.0355","53.5463"
"1.2000","0.0370","55.8908"
"1.2500","0.0388","58.6992"
"1.3000","0.0403","61.3742"
"1.3500","0.0419","64.0172"
"1.4000","0.0439","67.2809"
"1.4500","0.0453","69.6356"
"1.5000","0.0472","72.8492"
"1.5500","0.0487","75.3534"
"1.6000","0.0506","78.5582"
"1.6500","0.0520","81.0910"
"1.7000","0.0536","83.9629"
"1.7500","0.0555","87.1383"
"1.8000","0.0570","89.3165"
"1.8500","0.0588","92.7928"
"1.9000","0.0604","95.3546"
"1.9500","0.0622","98.5091"
"2.0000","0.0636","100.6282"
"2.0500","0.0653","103.6871"
"2.1000","0.0672","106.8798"
"2.1500","0.0687","109.4071"
"2.2000","0.0706","112.5135"
"2.2500","0.0721","114.9577"
"2.3000","0.0738","117.7569"
"2.3500","0.0752","119.9943"
"2.4000","0.0771","123.3769"
"2.4500","0.0789","126.1544"
"2.5000","0.0803","128.5385"
"2.5500","0.0822","131.5412"
"2.6000","0.0837","133.8882"
"2.6500","0.0855","136.8978"
"2.7000","0.0869","139.0483"
"2.7500","0.0888","142.3649"
"2.8000","0.0905","145.0238"
"2.8500","0.0921","147.4671"
"2.9000","0.0939","150.4784"
"2.9500","0.0955","152.9202"
"3.0000","0.0972","155.7635"
"3.0500","0.0985","157.4763"
