
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0167"
"0.0500","0.0000","-0.0070"
"0.1000","0.0006","-0.0060"
"0.1500","0.0009","-0.0023"
"0.2000","0.0021","0.0045"
"0.2500","0.0051","0.0229"
"0.3000","0.0072","0.0071"
"0.3500","0.0090","0.0065"
"0.4000","0.0106","0.0314"
"0.4500","0.0124","0.0352"
"0.5000","0.0140","0.0000"
"0.5500","0.0159","0.0141"
"0.6000","0.0171","0.0059"
"0.6500","0.0190","0.0065"
"0.7000","0.0209","0.0138"
"0.7500","0.0224","0.0192"
"0.8000","0.0241","0.0152"
"0.8500","0.0257","0.0302"
"0.9000","0.0275","0.0197"
"0.9500","0.0288","0.0199"
"1.0000","0.0308","0.0018"
"1.0500","0.0325","0.0232"
"1.1000","0.0341","0.0212"
"1.1500","0.0358","-0.0080"
"1.2000","0.0374","0.0176"
"1.2500","0.0392","0.0201"
"1.3000","0.0405","0.0323"
"1.3500","0.0425","0.0290"
"1.4000","0.0441","0.0160"
"1.4500","0.0457","0.0385"
"1.5000","0.0475","0.0535"
"1.5500","0.0491","0.0288"
"1.6000","0.0508","0.0173"
"1.6500","0.0522","0.0378"
"1.7000","0.0542","0.0217"
"1.7500","0.0557","0.0162"
"1.8000","0.0574","0.0234"
"1.8500","0.0591","0.0148"
"1.9000","0.0608","0.0244"
"1.9500","0.0624","0.0281"
"2.0000","0.0638","0.0181"
"2.0500","0.0659","0.0337"
"2.1000","0.0673","0.0598"
"2.1500","0.0691","0.0152"
"2.2000","0.0707","0.0308"
"2.2500","0.0725","0.0365"
"2.3000","0.0740","0.0480"
"2.3500","0.0755","0.0349"
"2.4000","0.0776","0.0360"
"2.4500","0.0790","0.0403"
"2.5000","0.0808","0.0534"
"2.5500","0.0824","0.0363"
"2.6000","0.0842","0.0323"
"2.6500","0.0856","0.0556"
"2.7000","0.0873","0.0537"
"2.7500","0.0893","0.0454"
"2.8000","0.0906","0.0411"
"2.8500","0.0925","0.0562"
"2.9000","0.0940","0.0476"
"2.9500","0.0959","0.0555"
"3.0000","0.0973","0.0523"
"3.0500","0.0989","0.0408"
"3.1000","0.1009","0.0508"
"3.1500","0.1023","0.0562"
"3.2000","0.1042","0.0562"
"3.2500","0.1057","0.0501"
"3.3000","0.1076","0.0407"
"3.3500","0.1089","0.0560"
"3.4000","0.1106","0.0533"
"3.4500","0.1125","0.0434"
"3.5000","0.1141","0.0743"
"3.5500","0.1158","0.0416"
"3.6000","0.1173","0.0568"
"3.6500","0.1192","0.0511"
"3.7000","0.1205","0.0532"
"3.7500","0.1224","0.0653"
"3.8000","0.1242","0.0431"
"3.8500","0.1257","0.0572"
"3.9000","0.1274","0.0410"
"3.9500","0.1289","0.0653"
"4.0000","0.1308","0.0624"
"4.0500","0.1322","0.0679"
"4.1000","0.1342","0.0452"
"4.1500","0.1358","0.0683"
"4.2000","0.1374","0.0562"
"4.2500","0.1391","0.0701"
"4.3000","0.1408","0.0723"
"4.3500","0.1425","0.0624"
"4.4000","0.1438","0.0525"
"4.4500","0.1458","0.0393"
"4.5000","0.1474","0.0622"
"4.5500","0.1492","0.0696"
"4.6000","0.1508","0.0806"
"4.6500","0.1524","0.0513"
"4.7000","0.1541","0.0655"
"4.7500","0.1555","0.0850"
"4.8000","0.1576","0.0752"
"4.8500","0.1591","0.0681"
"4.9000","0.1609","0.0825"
"4.9500","0.1624","0.0650"
"5.0000","0.1641","0.0474"
"5.0500","0.1657","0.0717"
"5.1000","0.1672","0.0771"
"5.1500","0.1693","0.0770"
"5.2000","0.1707","0.0619"
"5.2500","0.1724","0.0698"
"5.3000","0.1740","0.0728"
"5.3500","0.1759","0.0820"
"5.4000","0.1773","0.0568"
"5.4500","0.1789","0.0697"
"5.5000","0.1808","0.0922"
"5.5500","0.1823","0.0685"
"5.6000","0.1841","0.0656"
"5.6500","0.1858","0.0591"
"5.7000","0.1875","0.0554"
"5.7500","0.1889","0.0616"
"5.8000","0.1906","0.0707"
"5.8500","0.1925","0.0830"
"5.9000","0.1940","0.0390"
