
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0199"
"0.0500","0.0000","-0.0149"
"0.1000","0.0007","0.0046"
"0.1500","0.0010","0.0157"
"0.2000","0.0023","0.0248"
"0.2500","0.0053","0.0040"
"0.3000","0.0072","0.0147"
"0.3500","0.0091","-0.0083"
"0.4000","0.0107","0.0011"
"0.4500","0.0125","-0.0140"
"0.5000","0.0141","0.0111"
"0.5500","0.0159","0.0128"
"0.6000","0.0172","0.0161"
"0.6500","0.0191","0.0091"
"0.7000","0.0209","0.0151"
"0.7500","0.0224","0.0208"
"0.8000","0.0242","0.0134"
"0.8500","0.0258","0.0114"
"0.9000","0.0276","0.0267"
"0.9500","0.0289","0.0307"
"1.0000","0.0308","0.0222"
"1.0500","0.0325","0.0240"
"1.1000","0.0341","0.0267"
"1.1500","0.0358","0.0302"
"1.2000","0.0374","0.0124"
"1.2500","0.0392","0.0318"
"1.3000","0.0406","0.0033"
"1.3500","0.0426","0.0209"
"1.4000","0.0441","0.0321"
"1.4500","0.0457","0.0128"
"1.5000","0.0475","0.0488"
"1.5500","0.0492","0.0324"
"1.6000","0.0508","0.0278"
"1.6500","0.0522","0.0232"
"1.7000","0.0542","0.0398"
"1.7500","0.0557","0.0312"
"1.8000","0.0574","0.0324"
"1.8500","0.0591","0.0296"
"1.9000","0.0609","0.0607"
"1.9500","0.0624","0.0235"
"2.0000","0.0639","0.0561"
"2.0500","0.0659","0.0420"
"2.1000","0.0674","0.0343"
"2.1500","0.0691","0.0146"
"2.2000","0.0708","0.0316"
"2.2500","0.0725","0.0378"
"2.3000","0.0741","0.0555"
"2.3500","0.0756","0.0377"
"2.4000","0.0776","0.0228"
"2.4500","0.0790","0.0538"
"2.5000","0.0809","0.0421"
"2.5500","0.0824","0.0566"
"2.6000","0.0842","0.0617"
"2.6500","0.0857","0.0357"
"2.7000","0.0873","0.0693"
"2.7500","0.0893","0.0519"
"2.8000","0.0907","0.0398"
"2.8500","0.0925","0.0419"
"2.9000","0.0941","0.0559"
"2.9500","0.0960","0.0529"
"3.0000","0.0973","0.0580"
"3.0500","0.0990","0.0440"
"3.1000","0.1009","0.0476"
"3.1500","0.1024","0.0596"
"3.2000","0.1042","0.0400"
"3.2500","0.1057","0.0612"
"3.3000","0.1076","0.0480"
"3.3500","0.1089","0.0553"
"3.4000","0.1107","0.0486"
"3.4500","0.1126","0.0523"
"3.5000","0.1142","0.0532"
"3.5500","0.1159","0.0413"
"3.6000","0.1173","0.0604"
"3.6500","0.1192","0.0831"
"3.7000","0.1205","0.0506"
"3.7500","0.1225","0.0497"
"3.8000","0.1242","0.0737"
"3.8500","0.1257","0.0647"
"3.9000","0.1274","0.0588"
"3.9500","0.1290","0.0469"
"4.0000","0.1309","0.0654"
"4.0500","0.1323","0.0698"
"4.1000","0.1342","0.0799"
"4.1500","0.1358","0.0907"
"4.2000","0.1374","0.0911"
"4.2500","0.1391","0.0845"
"4.3000","0.1408","0.0759"
"4.3500","0.1426","0.0614"
"4.4000","0.1438","0.0918"
"4.4500","0.1459","0.0867"
"4.5000","0.1474","0.0894"
"4.5500","0.1492","0.1196"
"4.6000","0.1508","0.0989"
"4.6500","0.1525","0.1009"
"4.7000","0.1541","0.1194"
"4.7500","0.1555","0.1061"
"4.8000","0.1576","0.1008"
"4.8500","0.1591","0.0992"
"4.9000","0.1609","0.1056"
"4.9500","0.1624","0.1145"
"5.0000","0.1641","0.1075"
"5.0500","0.1657","0.1103"
"5.1000","0.1673","0.1130"
"5.1500","0.1693","0.1149"
"5.2000","0.1707","0.1259"
"5.2500","0.1725","0.1129"
"5.3000","0.1741","0.0950"
"5.3500","0.1759","0.1080"
"5.4000","0.1774","0.1267"
"5.4500","0.1790","0.1104"
"5.5000","0.1809","0.1125"
"5.5500","0.1823","0.1043"
"5.6000","0.1842","0.1180"
"5.6500","0.1858","0.1007"
"5.7000","0.1876","0.1189"
"5.7500","0.1889","0.0956"
"5.8000","0.1906","0.1349"
"5.8500","0.1926","0.1202"
"5.9000","0.1941","0.1417"
"5.9500","0.1959","0.1154"
"6.0000","0.1974","0.1079"
"6.0500","0.1992","0.1106"
"6.1000","0.2006","0.1141"
"6.1500","0.2025","0.1069"
"6.2000","0.2043","0.1230"
"6.2500","0.2057","0.1121"
"6.3000","0.2075","0.1349"
"6.3500","0.2091","0.1315"
"6.4000","0.2109","0.1232"
"6.4500","0.2123","0.1254"
"6.5000","0.2141","0.1429"
"6.5500","0.2159","0.1259"
"6.6000","0.2174","0.0887"
"6.6500","0.2192","0.1287"
"6.7000","0.2209","0.1291"
"6.7500","0.2226","0.1276"
"6.8000","0.2238","0.1316"
"6.8500","0.2257","0.1085"
"6.9000","0.2275","0.1209"
"6.9500","0.2291","0.1122"
"7.0000","0.2309","0.1325"
"7.0500","0.2324","0.1453"
"7.1000","0.2342","0.1165"
"7.1500","0.2355","0.1358"
"7.2000","0.2375","0.1178"
"7.2500","0.2392","0.1278"
"7.3000","0.2407","0.1229"
"7.3500","0.2425","0.1273"
"7.4000","0.2441","0.1308"
"7.4500","0.2458","0.1167"
"7.5000","0.2472","0.1363"
"7.5500","0.2492","0.1213"
"7.6000","0.2508","0.1364"
"7.6500","0.2524","0.1398"
"7.7000","0.2541","0.1270"
"7.7500","0.2559","0.1390"
"7.8000","0.2575","0.1144"
"7.8500","0.2589","0.1365"
"7.9000","0.2609","0.1514"
"7.9500","0.2624","0.1117"
"8.0000","0.2641","0.1317"
"8.0500","0.2658","0.1382"
"8.1000","0.2675","0.1344"
"8.1500","0.2691","0.1405"
"8.2000","0.2705","0.1252"
"8.2500","0.2726","0.1476"
"8.3000","0.2741","0.1448"
"8.3500","0.2759","0.1265"
"8.4000","0.2774","0.1140"
"8.4500","0.2792","0.1342"
"8.5000","0.2807","0.1514"
"8.5500","0.2823","0.1325"
"8.6000","0.2843","0.1366"
"8.6500","0.2857","0.1391"
"8.7000","0.2875","0.1440"
"8.7500","0.2891","0.1361"
"8.8000","0.2909","0.1352"
"8.8500","0.2924","0.1413"
"8.9000","0.2940","0.1463"
"8.9500","0.2959","0.1296"
"9.0000","0.2974","0.1469"
"9.0500","0.2992","0.1368"
"9.1000","0.3008","0.1204"
"9.1500","0.3026","0.1421"
"9.2000","0.3039","0.1357"
"9.2500","0.3057","0.1523"
"9.3000","0.3076","0.1419"
"9.3500","0.3090","0.1399"
"9.4000","0.3109","0.1341"
