
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0072"
"0.0500","0.0001","-0.0091"
"0.1000","0.0006","0.0274"
"0.1500","0.0010","-0.0093"
"0.2000","0.0024","0.0413"
"0.2500","0.0051","-0.0024"
"0.3000","0.0071","0.0490"
"0.3500","0.0089","0.0200"
"0.4000","0.0107","0.0206"
"0.4500","0.0123","0.0210"
"0.5000","0.0141","0.0085"
"0.5500","0.0156","0.0201"
"0.6000","0.0174","0.0265"
"0.6500","0.0188","0.0073"
"0.7000","0.0208","0.0309"
"0.7500","0.0224","0.0289"
"0.8000","0.0240","0.0352"
"0.8500","0.0258","0.0341"
"0.9000","0.0273","0.0090"
"0.9500","0.0291","0.0144"
"1.0000","0.0304","0.0509"
"1.0500","0.0324","0.0191"
"1.1000","0.0340","0.0456"
"1.1500","0.0356","0.0249"
"1.2000","0.0374","0.0286"
"1.2500","0.0390","0.0551"
"1.3000","0.0407","0.0147"
"1.3500","0.0421","0.0477"
"1.4000","0.0441","0.0097"
"1.4500","0.0457","0.0476"
"1.5000","0.0474","0.0330"
"1.5500","0.0490","0.0338"
"1.6000","0.0507","0.0468"
"1.6500","0.0523","0.0239"
"1.7000","0.0538","0.0506"
"1.7500","0.0559","0.0395"
"1.8000","0.0573","0.0247"
"1.8500","0.0590","0.0443"
"1.9000","0.0607","0.0635"
"1.9500","0.0624","0.0375"
"2.0000","0.0640","0.0416"
"2.0500","0.0655","0.0572"
"2.1000","0.0675","0.0531"
"2.1500","0.0690","0.0587"
"2.2000","0.0707","0.0566"
"2.2500","0.0724","0.0644"
"2.3000","0.0741","0.0539"
"2.3500","0.0756","0.0691"
"2.4000","0.0771","0.0716"
"2.4500","0.0791","0.0666"
"2.5000","0.0807","0.0699"
"2.5500","0.0825","0.0870"
"2.6000","0.0840","0.0817"
"2.6500","0.0858","0.0647"
"2.7000","0.0872","0.0585"
"2.7500","0.0889","0.0882"
"2.8000","0.0908","0.0689"
"2.8500","0.0922","0.0647"
"2.9000","0.0940","0.0799"
"2.9500","0.0956","0.0808"
"3.0000","0.0975","0.0767"
"3.0500","0.0988","0.0796"
"3.1000","0.1006","0.0716"
"3.1500","0.1024","0.0760"
"3.2000","0.1039","0.0782"
"3.2500","0.1058","0.0639"
"3.3000","0.1073","0.0791"
"3.3500","0.1092","0.0867"
"3.4000","0.1105","0.0757"
"3.4500","0.1123","0.0976"
"3.5000","0.1142","0.0919"
"3.5500","0.1157","0.0850"
"3.6000","0.1174","0.0862"
"3.6500","0.1190","0.0897"
"3.7000","0.1208","0.0869"
"3.7500","0.1221","0.0898"
"3.8000","0.1240","0.0928"
"3.8500","0.1258","0.0998"
"3.9000","0.1273","0.0763"
"3.9500","0.1291","0.0870"
"4.0000","0.1307","0.0559"
"4.0500","0.1325","0.0744"
"4.1000","0.1338","0.0916"
"4.1500","0.1358","0.0820"
"4.2000","0.1374","0.0970"
"4.2500","0.1389","0.1020"
"4.3000","0.1408","0.0979"
"4.3500","0.1424","0.0922"
"4.4000","0.1441","0.0706"
"4.4500","0.1454","0.0755"
"4.5000","0.1474","0.0888"
"4.5500","0.1490","0.0816"
"4.6000","0.1506","0.0867"
"4.6500","0.1524","0.1030"
"4.7000","0.1540","0.0815"
"4.7500","0.1557","0.0931"
"4.8000","0.1570","0.0955"
"4.8500","0.1591","0.1047"
"4.9000","0.1606","0.1025"
"4.9500","0.1623","0.0978"
"5.0000","0.1640","0.1004"
"5.0500","0.1657","0.1064"
"5.1000","0.1674","0.1146"
"5.1500","0.1688","0.0946"
"5.2000","0.1709","0.1027"
"5.2500","0.1723","0.0914"
"5.3000","0.1741","0.1208"
"5.3500","0.1757","0.1035"
"5.4000","0.1775","0.1266"
"5.4500","0.1789","0.1119"
"5.5000","0.1805","0.1020"
"5.5500","0.1825","0.1077"
"5.6000","0.1839","0.1029"
"5.6500","0.1857","0.1264"
"5.7000","0.1873","0.1126"
"5.7500","0.1892","0.1161"
"5.8000","0.1906","0.1325"
"5.8500","0.1922","0.0866"
"5.9000","0.1942","0.1062"
"5.9500","0.1956","0.1258"
"6.0000","0.1974","0.1336"
"6.0500","0.1989","0.1093"
"6.1000","0.2008","0.1252"
"6.1500","0.2022","0.1367"
"6.2000","0.2039","0.1298"
"6.2500","0.2058","0.1225"
"6.3000","0.2074","0.1216"
"6.3500","0.2091","0.1216"
"6.4000","0.2105","0.1225"
"6.4500","0.2125","0.1300"
"6.5000","0.2138","0.1328"
"6.5500","0.2156","0.1206"
"6.6000","0.2175","0.1219"
"6.6500","0.2189","0.1066"
"6.7000","0.2207","0.1354"
"6.7500","0.2222","0.1264"
"6.8000","0.2241","0.1115"
"6.8500","0.2255","0.1209"
"6.9000","0.2274","0.1372"
"6.9500","0.2291","0.1274"
"7.0000","0.2306","0.1526"
"7.0500","0.2324","0.1432"
"7.1000","0.2340","0.1482"
"7.1500","0.2358","0.1676"
"7.2000","0.2371","0.1320"
"7.2500","0.2390","0.1302"
"7.3000","0.2407","0.1438"
"7.3500","0.2424","0.1338"
"7.4000","0.2441","0.1294"
"7.4500","0.2457","0.1370"
"7.5000","0.2474","0.1336"
"7.5500","0.2487","0.1343"
"7.6000","0.2508","0.1456"
"7.6500","0.2524","0.1501"
"7.7000","0.2541","0.1403"
"7.7500","0.2557","0.1480"
"7.8000","0.2573","0.1516"
"7.8500","0.2590","0.1457"
"7.9000","0.2605","0.1276"
"7.9500","0.2626","0.1538"
"8.0000","0.2640","0.1342"
"8.0500","0.2657","0.1258"
"8.1000","0.2673","0.1472"
"8.1500","0.2691","0.1279"
"8.2000","0.2706","0.1492"
"8.2500","0.2721","0.1507"
