
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1115"
"0.0500","0.0001","0.1442"
"0.1000","0.0007","0.0310"
"0.1500","0.0010","-0.0158"
"0.2000","0.0025","0.0552"
"0.2500","0.0053","0.0163"
"0.3000","0.0074","0.0696"
"0.3500","0.0092","0.0353"
"0.4000","0.0108","-0.0356"
"0.4500","0.0123","0.2000"
"0.5000","0.0143","0.1048"
"0.5500","0.0158","0.0729"
"0.6000","0.0176","-0.0024"
"0.6500","0.0191","-0.0798"
"0.7000","0.0210","0.0896"
"0.7500","0.0225","0.0158"
"0.8000","0.0240","0.2478"
"0.8500","0.0260","0.0292"
"0.9000","0.0275","-0.0332"
"0.9500","0.0293","0.2344"
"1.0000","0.0307","0.1883"
"1.0500","0.0326","0.1032"
"1.1000","0.0340","0.0961"
"1.1500","0.0358","0.0728"
"1.2000","0.0376","0.0433"
"1.2500","0.0391","0.0780"
"1.3000","0.0409","0.0627"
"1.3500","0.0424","0.1471"
"1.4000","0.0443","0.2552"
"1.4500","0.0456","-0.0586"
"1.5000","0.0475","-0.0820"
"1.5500","0.0493","-0.0390"
"1.6000","0.0508","0.2251"
"1.6500","0.0526","-0.0119"
"1.7000","0.0541","0.0190"
"1.7500","0.0560","0.0814"
"1.8000","0.0573","-0.2373"
"1.8500","0.0592","-0.0358"
"1.9000","0.0609","0.1664"
"1.9500","0.0625","-0.1012"
"2.0000","0.0643","0.0087"
"2.0500","0.0658","0.0114"
"2.1000","0.0676","0.0387"
"2.1500","0.0690","0.2786"
"2.2000","0.0710","-0.0063"
"2.2500","0.0725","-0.0923"
"2.3000","0.0742","0.1999"
"2.3500","0.0759","0.1676"
"2.4000","0.0775","0.0989"
"2.4500","0.0792","-0.2913"
"2.5000","0.0806","-0.0241"
"2.5500","0.0826","0.0511"
"2.6000","0.0841","0.1716"
"2.6500","0.0859","0.0672"
"2.7000","0.0875","0.0427"
"2.7500","0.0892","0.0127"
"2.8000","0.0909","-0.0633"
"2.8500","0.0923","0.0219"
"2.9000","0.0943","0.1473"
"2.9500","0.0958","-0.0459"
"3.0000","0.0975","0.0112"
"3.0500","0.0992","0.2026"
"3.1000","0.1009","0.0812"
"3.1500","0.1025","-0.2376"
"3.2000","0.1040","0.1308"
"3.2500","0.1060","0.0871"
"3.3000","0.1075","0.0116"
"3.3500","0.1093","0.0640"
"3.4000","0.1108","0.0925"
"3.4500","0.1126","-0.1035"
"3.5000","0.1141","0.0250"
"3.5500","0.1157","0.0629"
"3.6000","0.1177","0.1554"
"3.6500","0.1191","-0.0331"
