
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0444"
"0.0500","0.0001","-0.1753"
"0.1000","0.0008","-0.2258"
"0.1500","0.0011","0.1374"
"0.2000","0.0028","0.0809"
"0.2500","0.0057","0.0656"
"0.3000","0.0076","0.1805"
"0.3500","0.0091","-0.0587"
"0.4000","0.0112","-0.0409"
"0.4500","0.0126","0.0670"
"0.5000","0.0144","0.2028"
"0.5500","0.0160","-0.0775"
"0.6000","0.0178","-0.0382"
"0.6500","0.0193","-0.0407"
"0.7000","0.0209","0.0937"
"0.7500","0.0228","0.0100"
"0.8000","0.0243","-0.2692"
"0.8500","0.0261","0.0830"
"0.9000","0.0277","0.0040"
"0.9500","0.0295","0.0173"
"1.0000","0.0309","-0.1312"
"1.0500","0.0326","0.0143"
"1.1000","0.0345","-0.0919"
"1.1500","0.0359","0.0280"
"1.2000","0.0378","-0.0327"
"1.2500","0.0393","-0.0495"
"1.3000","0.0412","0.0049"
"1.3500","0.0425","0.1051"
"1.4000","0.0443","-0.0635"
"1.4500","0.0462","-0.0654"
"1.5000","0.0476","0.0047"
"1.5500","0.0495","-0.1773"
"1.6000","0.0510","-0.2182"
"1.6500","0.0528","0.0837"
"1.7000","0.0542","0.0504"
"1.7500","0.0561","0.0598"
"1.8000","0.0578","0.1231"
"1.8500","0.0593","0.1185"
"1.9000","0.0611","-0.0834"
"1.9500","0.0627","-0.0148"
"2.0000","0.0646","-0.0753"
"2.0500","0.0658","0.1261"
"2.1000","0.0678","-0.1569"
"2.1500","0.0694","-0.0192"
"2.2000","0.0710","-0.0831"
"2.2500","0.0728","-0.0478"
"2.3000","0.0744","-0.0042"
"2.3500","0.0762","0.1161"
"2.4000","0.0774","-0.0734"
"2.4500","0.0794","-0.0475"
"2.5000","0.0811","-0.3221"
"2.5500","0.0828","0.1200"
"2.6000","0.0844","0.0410"
"2.6500","0.0860","0.0623"
"2.7000","0.0877","0.0352"
"2.7500","0.0891","0.0189"
"2.8000","0.0912","0.0512"
"2.8500","0.0927","0.0374"
"2.9000","0.0944","-0.0835"
"2.9500","0.0960","0.1380"
"3.0000","0.0977","0.1174"
"3.0500","0.0994","-0.0539"
"3.1000","0.1009","0.0103"
"3.1500","0.1029","0.0641"
"3.2000","0.1043","0.0006"
"3.2500","0.1061","0.1127"
"3.3000","0.1077","-0.0209"
"3.3500","0.1095","-0.1266"
"3.4000","0.1110","0.2028"
"3.4500","0.1125","0.0629"
"3.5000","0.1145","0.0001"
"3.5500","0.1160","0.1469"
"3.6000","0.1179","0.0113"
"3.6500","0.1193","0.1486"
"3.7000","0.1211","-0.0459"
"3.7500","0.1226","0.1906"
"3.8000","0.1243","0.0131"
"3.8500","0.1262","-0.1625"
"3.9000","0.1277","0.1978"
"3.9500","0.1295","0.1790"
"4.0000","0.1309","0.0602"
"4.0500","0.1328","0.2991"
"4.1000","0.1342","0.1608"
"4.1500","0.1361","0.0608"
"4.2000","0.1378","-0.0209"
"4.2500","0.1393","-0.0419"
"4.3000","0.1411","0.1183"
"4.3500","0.1427","0.0055"
"4.4000","0.1445","0.1849"
"4.4500","0.1458","0.0499"
"4.5000","0.1477","-0.0242"
"4.5500","0.1494","0.1222"
"4.6000","0.1509","0.0732"
"4.6500","0.1528","-0.0765"
"4.7000","0.1544","-0.0144"
"4.7500","0.1561","-0.1124"
"4.8000","0.1574","0.0036"
"4.8500","0.1594","0.1416"
"4.9000","0.1611","-0.0730"
"4.9500","0.1627","0.2373"
"5.0000","0.1645","0.1418"
"5.0500","0.1660","0.0879"
"5.1000","0.1677","-0.0699"
"5.1500","0.1691","-0.0082"
"5.2000","0.1712","0.1024"
"5.2500","0.1728","0.0764"
"5.3000","0.1744","-0.0010"
"5.3500","0.1761","0.0327"
"5.4000","0.1777","-0.0096"
"5.4500","0.1794","-0.0822"
"5.5000","0.1809","0.1141"
"5.5500","0.1828","-0.1050"
"5.6000","0.1843","0.0928"
"5.6500","0.1860","0.0622"
"5.7000","0.1878","-0.0296"
"5.7500","0.1895","0.0176"
"5.8000","0.1911","0.0994"
"5.8500","0.1924","0.0923"
"5.9000","0.1944","-0.1190"
"5.9500","0.1960","0.1972"
"6.0000","0.1978","0.1001"
"6.0500","0.1994","-0.1240"
"6.1000","0.2011","0.0890"
"6.1500","0.2026","0.0331"
"6.2000","0.2041","-0.0359"
"6.2500","0.2062","0.1110"
"6.3000","0.2077","-0.0660"
"6.3500","0.2094","0.0526"
"6.4000","0.2110","0.0238"
"6.4500","0.2128","-0.0853"
"6.5000","0.2143","-0.0932"
"6.5500","0.2159","-0.0451"
"6.6000","0.2178","0.0914"
"6.6500","0.2193","-0.0225"
"6.7000","0.2211","0.0281"
"6.7500","0.2227","0.1987"
"6.8000","0.2245","-0.0761"
"6.8500","0.2259","0.0442"
"6.9000","0.2275","0.1484"
"6.9500","0.2295","0.0645"
"7.0000","0.2310","-0.0883"
"7.0500","0.2328","0.0261"
"7.1000","0.2343","-0.0377"
"7.1500","0.2362","0.2200"
"7.2000","0.2375","0.1054"
"7.2500","0.2392","-0.0157"
"7.3000","0.2412","-0.1108"
"7.3500","0.2427","-0.1021"
"7.4000","0.2445","0.2617"
"7.4500","0.2460","-0.0287"
"7.5000","0.2478","0.1352"
"7.5500","0.2492","0.1462"
"7.6000","0.2510","-0.0979"
"7.6500","0.2528","0.1472"
"7.7000","0.2542","0.0705"
"7.7500","0.2561","-0.0784"
"7.8000","0.2577","0.0355"
"7.8500","0.2595","0.0629"
"7.9000","0.2609","-0.1652"
"7.9500","0.2627","0.0686"
"8.0000","0.2644","0.0230"
"8.0500","0.2659","0.0967"
"8.1000","0.2678","0.1084"
"8.1500","0.2694","0.1574"
"8.2000","0.2712","-0.0607"
"8.2500","0.2724","0.2769"
"8.3000","0.2744","0.0711"
"8.3500","0.2761","-0.0519"
"8.4000","0.2777","0.0016"
"8.4500","0.2794","0.1658"
"8.5000","0.2810","-0.1316"
"8.5500","0.2828","0.1127"
"8.6000","0.2841","0.0179"
"8.6500","0.2862","0.1950"
"8.7000","0.2877","0.0601"
"8.7500","0.2894","0.0411"
"8.8000","0.2911","0.0431"
"8.8500","0.2927","0.2911"
"8.9000","0.2944","0.1978"
"8.9500","0.2958","0.2017"
"9.0000","0.2979","0.1621"
"9.0500","0.2993","-0.0634"
"9.1000","0.3010","0.1020"
"9.1500","0.3027","0.2990"
"9.2000","0.3045","-0.0364"
"9.2500","0.3061","0.1458"
"9.3000","0.3075","0.0637"
"9.3500","0.3096","0.0677"
"9.4000","0.3110","0.1828"
"9.4500","0.3128","-0.0558"
"9.5000","0.3143","0.0237"
"9.5500","0.3161","0.0238"
"9.6000","0.3177","0.1750"
"9.6500","0.3192","0.0565"
