
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0351"
"0.0500","0.0001","-0.0167"
"0.1000","0.0008","0.1413"
"0.1500","0.0011","0.1675"
"0.2000","0.0028","0.3885"
"0.2500","0.0055","0.6665"
"0.3000","0.0076","0.9512"
"0.3500","0.0092","1.1223"
"0.4000","0.0111","1.3339"
"0.4500","0.0126","1.5508"
"0.5000","0.0144","1.7158"
"0.5500","0.0160","1.6257"
"0.6000","0.0175","1.6674"
"0.6500","0.0195","1.6923"
"0.7000","0.0210","1.7982"
"0.7500","0.0228","1.8220"
"0.8000","0.0243","1.8226"
"0.8500","0.0262","1.8289"
"0.9000","0.0276","1.8276"
"0.9500","0.0292","1.8307"
"1.0000","0.0312","1.8231"
"1.0500","0.0327","1.8181"
"1.1000","0.0345","1.8315"
"1.1500","0.0359","1.8271"
"1.2000","0.0378","1.8397"
"1.2500","0.0392","1.8258"
"1.3000","0.0410","1.8197"
"1.3500","0.0428","1.8479"
"1.4000","0.0443","1.8402"
"1.4500","0.0462","1.8302"
"1.5000","0.0476","1.8600"
"1.5500","0.0495","1.8326"
"1.6000","0.0508","1.8250"
"1.6500","0.0528","1.8315"
"1.7000","0.0544","1.8253"
"1.7500","0.0560","1.8411"
"1.8000","0.0578","1.8549"
"1.8500","0.0594","1.8310"
"1.9000","0.0611","1.8358"
"1.9500","0.0624","1.8383"
"2.0000","0.0644","1.8536"
"2.0500","0.0660","1.8411"
"2.1000","0.0676","1.8454"
"2.1500","0.0695","1.8186"
"2.2000","0.0710","1.8382"
"2.2500","0.0727","1.8290"
"2.3000","0.0741","1.8408"
"2.3500","0.0761","1.8106"
"2.4000","0.0777","1.8534"
"2.4500","0.0794","1.8256"
"2.5000","0.0811","1.8142"
"2.5500","0.0827","1.8301"
"2.6000","0.0844","1.8209"
"2.6500","0.0858","1.8438"
"2.7000","0.0879","1.8439"
"2.7500","0.0893","1.8277"
"2.8000","0.0911","1.8473"
"2.8500","0.0927","1.8355"
"2.9000","0.0944","1.8454"
"2.9500","0.0960","1.8639"
"3.0000","0.0975","1.8667"
"3.0500","0.0995","1.8402"
"3.1000","0.1010","1.8590"
"3.1500","0.1028","1.8808"
"3.2000","0.1044","1.8557"
"3.2500","0.1062","1.9045"
"3.3000","0.1076","1.9154"
"3.3500","0.1091","1.9136"
"3.4000","0.1112","1.9101"
"3.4500","0.1127","1.9619"
"3.5000","0.1145","2.0432"
"3.5500","0.1160","2.1459"
"3.6000","0.1178","2.2354"
"3.6500","0.1193","2.3277"
"3.7000","0.1209","2.3372"
"3.7500","0.1229","2.4073"
"3.8000","0.1243","2.4993"
"3.8500","0.1261","2.4859"
"3.9000","0.1277","2.5104"
"3.9500","0.1295","2.5140"
"4.0000","0.1309","2.5142"
"4.0500","0.1326","2.5521"
"4.1000","0.1345","2.5803"
"4.1500","0.1359","2.5762"
"4.2000","0.1378","2.6008"
"4.2500","0.1393","2.5913"
"4.3000","0.1412","2.6044"
"4.3500","0.1425","2.5900"
"4.4000","0.1443","2.5947"
"4.4500","0.1462","2.5907"
"4.5000","0.1477","2.5946"
"4.5500","0.1495","2.5965"
"4.6000","0.1510","2.5795"
"4.6500","0.1528","2.6030"
"4.7000","0.1541","2.5969"
"4.7500","0.1560","2.5589"
"4.8000","0.1578","2.5943"
"4.8500","0.1593","2.5936"
"4.9000","0.1611","2.5919"
"4.9500","0.1627","2.5716"
"5.0000","0.1645","2.5914"
"5.0500","0.1658","2.5972"
"5.1000","0.1677","2.5828"
"5.1500","0.1694","2.5926"
"5.2000","0.1709","2.5910"
"5.2500","0.1728","2.5876"
"5.3000","0.1744","2.5827"
"5.3500","0.1761","2.5946"
"5.4000","0.1775","2.5720"
"5.4500","0.1794","2.5958"
"5.5000","0.1811","2.5665"
"5.5500","0.1827","2.5849"
"5.6000","0.1844","2.5917"
"5.6500","0.1860","2.5942"
"5.7000","0.1878","2.5965"
"5.7500","0.1891","2.6110"
"5.8000","0.1911","2.5938"
"5.8500","0.1927","2.5834"
