
Time,Displacement,Force
(s),(mm),(N)
"0.0000","1.0423","5259.6851"
"0.2500","1.0569","5521.8613"
"0.5000","1.0782","5817.1421"
"0.7500","1.0992","6028.5747"
"1.0000","1.1199","6188.4141"
"1.2500","1.1406","6314.7622"
"1.5000","1.1615","6417.6602"
"1.7500","1.1824","6502.0103"
"2.0000","1.2033","6574.2427"
"2.2500","1.2241","6630.7734"
"2.5000","1.2448","6674.7837"
"2.7500","1.2657","6710.1357"
"3.0000","1.2866","6732.1445"
"3.2500","1.3075","6713.9741"
"3.5000","1.3284","6219.2646"
"3.7500","1.3491","6243.1621"
"4.0000","1.3698","6275.8491"
"4.2500","1.3906","6310.1519"
"4.5000","1.4116","6347.9409"
"4.7500","1.4325","6381.5542"
"5.0000","1.4533","6413.1035"
"5.2500","1.4741","6441.9253"
"5.5000","1.4948","6467.5312"
"5.7500","1.5158","6493.7339"
"6.0000","1.5367","6519.4497"
"6.2500","1.5574","6540.9727"
"6.5000","1.5783","6565.1597"
"6.7500","1.5990","6587.2871"
"7.0000","1.6198","6607.6099"
"7.2500","1.6409","6625.7959"
"7.5000","1.6617","6635.5776"
"7.7500","1.6825","6642.7827"
"8.0000","1.7032","6644.3105"
"8.2500","1.7240","6648.4492"
"8.5000","1.7449","6657.0947"
"8.7500","1.7659","6638.4609"
"9.0000","1.7866","6625.0801"
"9.2500","1.8074","6618.7437"
"9.5000","1.8282","6606.2163"
"9.7500","1.8490","6582.4180"
"10.0000","1.8700","6522.9585"
"10.2500","1.8909","6266.5601"
"10.5000","1.9117","5812.2207"
"10.7500","1.9323","5715.2690"
"11.0000","1.9532","5672.6948"
"11.2500","1.9741","5632.4951"
"11.5000","1.9950","5581.9307"
"11.7500","2.0158","5395.2651"
"12.0000","2.0366","5143.9810"
"12.2500","2.0574","4800.2075"
"12.5000","2.0783","4142.2324"
"12.7500","2.0992","3361.5583"
"13.0000","2.1201","3142.7837"
"13.2500","2.1407","3155.7644"
"13.5000","2.1614","3112.9370"
"13.7500","2.1824","3126.7639"
"14.0000","2.2034","3156.5857"
"14.2500","2.2241","3194.2427"
"14.3030","2.2284","3191.1423"

