
Time,Displacement,Force
(s),(mm),(N)
"0.0000","2.4284","5849.4663"
"0.2500","2.4435","6164.3408"
"0.5000","2.4647","6544.8691"
"0.7500","2.4856","6847.2744"
"1.0000","2.5066","7093.3159"
"1.2500","2.5273","7292.7148"
"1.5000","2.5480","7464.3262"
"1.7500","2.5689","7617.7920"
"2.0000","2.5898","7754.0288"
"2.2500","2.6108","7876.4658"
"2.5000","2.6315","7978.7612"
"2.7500","2.6522","8067.7061"
"3.0000","2.6730","8144.4702"
"3.2500","2.6939","8212.6631"
"3.5000","2.7149","8272.5938"
"3.7500","2.7357","8323.3037"
"4.0000","2.7565","8366.3115"
"4.2500","2.7772","8402.4443"
"4.5000","2.7980","8437.9053"
"4.7500","2.8191","8475.1924"
"5.0000","2.8399","8505.8652"
"5.2500","2.8606","8531.9951"
"5.5000","2.8815","8558.1572"
"5.7500","2.9022","8582.8145"
"6.0000","2.9231","8608.0049"
"6.2500","2.9441","8636.0752"
"6.5000","2.9648","8656.4648"
"6.7500","2.9856","8678.6133"
"7.0000","3.0064","8698.8916"
"7.2500","3.0272","8718.7764"
"7.5000","3.0482","8744.7617"
"7.7500","3.0691","8765.4980"
"8.0000","3.0897","8781.9160"
"8.2500","3.1106","8800.6455"
"8.5000","3.1314","8819.1631"
"8.7500","3.1523","8837.9189"
"9.0000","3.1732","8858.3516"
"9.2500","3.1940","8874.1211"
"9.5000","3.2148","8889.8643"
"9.7500","3.2355","8903.6123"
"10.0000","3.2565","8921.2988"
"10.2500","3.2774","8938.8174"
"10.5000","3.2983","8955.0059"
"10.7500","3.3190","8967.4170"
"11.0000","3.3397","8978.5205"
"11.2500","3.3606","8995.3848"
"11.5000","3.3815","9009.8271"
"11.7500","3.4023","9022.8896"
"12.0000","3.4232","9037.3486"
"12.2500","3.4439","9047.9521"
"12.5000","3.4647","9057.9961"
"12.7500","3.4857","9074.6035"
"13.0000","3.5066","9088.0762"
"13.2500","3.5273","9099.7148"
"13.5000","3.5481","9110.0947"
"13.7500","3.5688","9117.9658"
"14.0000","3.5897","9131.4844"
"14.2500","3.6107","9145.5381"
"14.5000","3.6315","9154.9492"
"14.7500","3.6523","9165.5791"
"15.0000","3.6731","9173.3311"
"15.2500","3.6939","9181.6279"
"15.5000","3.7148","9192.9932"
"15.7500","3.7357","9204.4756"
"16.0000","3.7565","9214.3037"
"16.2500","3.7772","9219.4150"
"16.5000","3.7980","9227.2549"
"16.7500","3.8190","9236.6807"
"17.0000","3.8399","9247.7803"
"17.2500","3.8607","9254.2197"
"17.5000","3.8814","9257.9844"
"17.7500","3.9023","9263.6465"
"18.0000","3.9231","9268.4814"
"18.2500","3.9440","9274.9893"
"18.5000","3.9649","9281.9873"
"18.7500","3.9857","9285.0508"
"19.0000","4.0064","9285.3281"
"19.2500","4.0272","9288.9336"
"19.5000","4.0482","9294.3193"
"19.7500","4.0691","9298.8232"
"20.0000","4.0898","9299.7188"
"20.2500","4.1106","9300.1631"
"20.5000","4.1314","9299.3096"
"20.7500","4.1523","9299.7871"
"21.0000","4.1731","9301.5674"
"21.2500","4.1941","9304.4229"
"21.5000","4.2148","9299.8486"
"21.7500","4.2355","9295.8330"
"22.0000","4.2564","9294.3428"
"22.2500","4.2773","9291.6279"
"22.5000","4.2983","9291.6787"
"22.7500","4.3190","9284.1836"
"23.0000","4.3398","9277.2129"
"23.2500","4.3605","9269.2510"
"23.5000","4.3815","9264.5039"
"23.7500","4.4024","9257.6201"
"24.0000","4.4232","9245.6807"
"24.2500","4.4440","9227.6367"
"24.5000","4.4647","9192.9150"
"24.7500","4.4855","9135.6895"
"25.0000","4.5066","9065.7607"
"25.2500","4.5274","8998.1299"
"25.5000","4.5481","8941.4492"
"25.7500","4.5690","8896.5439"
"26.0000","4.5897","8855.3242"
"26.2500","4.6106","8823.2012"
"26.5000","4.6316","8798.8506"
"26.7500","4.6523","8775.0830"
"27.0000","4.6731","8754.3174"
"27.2500","4.6939","8733.9736"
"27.5000","4.7147","8713.1094"
"27.7500","4.7357","8693.4414"
"28.0000","4.7566","8659.9180"
"28.2500","4.7772","8610.7529"
"28.5000","4.7981","8542.2363"
"28.7500","4.8189","8453.5898"
"29.0000","4.8398","8360.5430"
"29.2500","4.8607","8279.4639"
"29.5000","4.8815","8203.9482"
"29.7500","4.9022","8138.8564"
"30.0000","4.9230","8077.1138"
"30.2500","4.9439","8015.6899"
"30.5000","4.9649","7949.5005"
"30.7500","4.9858","7851.7832"
"31.0000","5.0065","7692.8594"
"31.2500","5.0272","7575.5400"
"31.5000","5.0481","7505.6992"
"31.7500","5.0690","7466.7686"
"32.0000","5.0899","7439.6558"
"32.2500","5.1107","7416.7979"
"32.5000","5.1314","7394.0205"
"32.7500","5.1521","7370.1401"
"33.0000","5.1732","7348.4165"
"33.2500","5.1941","7316.9263"
"33.5000","5.2148","7273.9702"
"33.7500","5.2356","7232.0513"
"34.0000","5.2563","7198.0459"
"34.2500","5.2773","7178.4180"
"34.5000","5.2982","7158.0308"
"34.7500","5.3190","7137.7378"
"34.8050","5.3234","7130.9839"

