
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0538"
"0.0500","0.0000","0.0161"
"0.1000","0.0006","-0.0514"
"0.1500","0.0009","0.0052"
"0.2000","0.0024","0.0157"
"0.2500","0.0052","0.0206"
"0.3000","0.0074","0.0811"
"0.3500","0.0092","-0.0563"
"0.4000","0.0108","0.0629"
"0.4500","0.0122","-0.0361"
"0.5000","0.0143","-0.0421"
"0.5500","0.0157","0.1040"
"0.6000","0.0175","-0.0103"
"0.6500","0.0190","0.0214"
"0.7000","0.0209","0.0987"
"0.7500","0.0224","-0.0911"
"0.8000","0.0239","0.0154"
"0.8500","0.0260","-0.0648"
"0.9000","0.0274","0.1905"
"0.9500","0.0292","0.2111"
"1.0000","0.0307","-0.0205"
"1.0500","0.0326","0.1356"
"1.1000","0.0340","-0.1154"
"1.1500","0.0357","-0.0030"
"1.2000","0.0376","-0.1135"
"1.2500","0.0390","0.0281"
"1.3000","0.0409","-0.0475"
"1.3500","0.0424","-0.0706"
"1.4000","0.0443","0.1067"
"1.4500","0.0456","-0.0448"
"1.5000","0.0474","0.0199"
"1.5500","0.0492","-0.0816"
"1.6000","0.0508","0.2185"
"1.6500","0.0525","0.0158"
"1.7000","0.0540","-0.0091"
"1.7500","0.0560","-0.1095"
"1.8000","0.0572","0.1480"
"1.8500","0.0591","0.1112"
"1.9000","0.0608","0.1173"
"1.9500","0.0624","0.0353"
"2.0000","0.0642","-0.1321"
"2.0500","0.0657","-0.0869"
"2.1000","0.0676","-0.1098"
"2.1500","0.0689","0.0648"
"2.2000","0.0709","-0.0638"
"2.2500","0.0725","-0.0239"
"2.3000","0.0742","-0.0592"
"2.3500","0.0759","0.0506"
"2.4000","0.0774","-0.0702"
"2.4500","0.0792","0.0221"
"2.5000","0.0805","0.0875"
"2.5500","0.0826","-0.1207"
"2.6000","0.0841","0.0918"
"2.6500","0.0858","0.0635"
"2.7000","0.0875","0.0272"
"2.7500","0.0892","-0.0426"
"2.8000","0.0908","-0.0435"
"2.8500","0.0922","-0.1309"
"2.9000","0.0942","0.0481"
"2.9500","0.0957","0.0415"
"3.0000","0.0975","0.0857"
"3.0500","0.0991","-0.1414"
"3.1000","0.1008","-0.0343"
"3.1500","0.1024","-0.1123"
"3.2000","0.1039","0.0596"
"3.2500","0.1059","0.1003"
"3.3000","0.1074","-0.1470"
"3.3500","0.1092","0.0126"
"3.4000","0.1108","-0.0215"
"3.4500","0.1125","0.2606"
"3.5000","0.1140","-0.1393"
"3.5500","0.1156","-0.0945"
"3.6000","0.1176","-0.0333"
"3.6500","0.1190","0.0261"
"3.7000","0.1209","-0.0207"
"3.7500","0.1225","0.1304"
"3.8000","0.1242","-0.0955"
"3.8500","0.1257","-0.0393"
"3.9000","0.1273","0.0424"
"3.9500","0.1292","-0.0753"
"4.0000","0.1307","0.0126"
"4.0500","0.1325","0.0121"
"4.1000","0.1341","0.2234"
"4.1500","0.1359","0.0338"
"4.2000","0.1373","-0.0245"
"4.2500","0.1390","-0.0446"
"4.3000","0.1409","0.0994"
"4.3500","0.1425","0.2485"
"4.4000","0.1442","0.0747"
"4.4500","0.1457","-0.0048"
"4.5000","0.1476","0.0601"
"4.5500","0.1489","0.1113"
"4.6000","0.1507","-0.0784"
"4.6500","0.1525","0.0054"
"4.7000","0.1540","0.1148"
"4.7500","0.1558","0.0025"
"4.8000","0.1574","0.2014"
"4.8500","0.1592","0.1213"
"4.9000","0.1606","0.1462"
"4.9500","0.1625","-0.0683"
"5.0000","0.1642","-0.0900"
"5.0500","0.1657","-0.1637"
"5.1000","0.1675","-0.0040"
"5.1500","0.1691","0.0922"
"5.2000","0.1709","0.1131"
"5.2500","0.1722","-0.1625"
"5.3000","0.1741","0.0060"
"5.3500","0.1759","-0.0733"
"5.4000","0.1774","0.1086"
"5.4500","0.1791","-0.0338"
"5.5000","0.1807","0.0116"
"5.5500","0.1825","-0.0520"
"5.6000","0.1839","0.0565"
"5.6500","0.1858","-0.1458"
"5.7000","0.1875","-0.1591"
"5.7500","0.1891","0.1081"
"5.8000","0.1908","-0.0468"
"5.8500","0.1925","0.0448"
"5.9000","0.1942","0.1506"
"5.9500","0.1956","-0.0431"
"6.0000","0.1976","-0.0542"
"6.0500","0.1991","0.0536"
"6.1000","0.2007","0.0035"
"6.1500","0.2025","-0.1436"
"6.2000","0.2042","0.0469"
"6.2500","0.2058","0.2977"
"6.3000","0.2072","-0.0486"
"6.3500","0.2093","0.1958"
"6.4000","0.2107","-0.0440"
"6.4500","0.2125","0.0485"
"6.5000","0.2141","-0.0460"
"6.5500","0.2159","0.0556"
"6.6000","0.2174","0.1672"
"6.6500","0.2189","0.0592"
"6.7000","0.2209","0.0466"
"6.7500","0.2224","0.1571"
"6.8000","0.2242","-0.0775"
"6.8500","0.2257","0.1231"
"6.9000","0.2276","-0.0828"
"6.9500","0.2290","-0.0490"
"7.0000","0.2306","-0.0082"
"7.0500","0.2326","0.0188"
"7.1000","0.2340","0.0366"
"7.1500","0.2359","0.0311"
"7.2000","0.2374","0.0236"
"7.2500","0.2392","0.0624"
"7.3000","0.2406","0.0336"
"7.3500","0.2423","0.0001"
"7.4000","0.2443","0.0706"
"7.4500","0.2457","0.2606"
"7.5000","0.2476","0.0004"
"7.5500","0.2491","-0.0569"
"7.6000","0.2510","0.1123"
"7.6500","0.2523","0.1113"
"7.7000","0.2541","0.0498"
"7.7500","0.2559","0.1180"
"7.8000","0.2574","0.2285"
"7.8500","0.2592","0.3099"
"7.9000","0.2607","-0.0191"
"7.9500","0.2626","0.1048"
"8.0000","0.2639","0.0918"
"8.0500","0.2658","0.2330"
"8.1000","0.2676","-0.0900"
"8.1500","0.2691","-0.0251"
"8.2000","0.2708","0.2329"
"8.2500","0.2723","0.0157"
"8.3000","0.2742","-0.0648"
"8.3500","0.2755","0.0902"
"8.4000","0.2775","0.1820"
"8.4500","0.2791","0.0511"
"8.5000","0.2807","-0.0426"
"8.5500","0.2825","0.1317"
"8.6000","0.2841","0.0763"
"8.6500","0.2859","0.3052"
"8.7000","0.2872","0.0416"
"8.7500","0.2892","0.0052"
"8.8000","0.2908","0.0628"
"8.8500","0.2925","0.1365"
"8.9000","0.2941","0.0375"
"8.9500","0.2958","0.0415"
"9.0000","0.2975","-0.1148"
"9.0500","0.2989","-0.2571"
"9.1000","0.3009","0.0561"
"9.1500","0.3024","0.1409"
"9.2000","0.3042","0.1058"
"9.2500","0.3058","0.0319"
"9.3000","0.3075","-0.0778"
"9.3500","0.3091","-0.0211"
"9.4000","0.3106","0.1107"
"9.4500","0.3126","0.1315"
"9.5000","0.3141","0.0548"
"9.5500","0.3159","-0.0487"
"9.6000","0.3174","0.0320"
"9.6500","0.3192","-0.0295"
"9.7000","0.3207","0.1128"
"9.7500","0.3223","0.0016"
"9.8000","0.3243","-0.1171"
"9.8500","0.3257","-0.1601"
"9.9000","0.3275","0.0275"
"9.9500","0.3291","0.0847"
"10.0000","0.3309","0.2015"
"10.0500","0.3323","0.1518"
"10.1000","0.3340","-0.0558"
"10.1500","0.3359","0.1383"
"10.2000","0.3373","0.1623"
"10.2500","0.3392","-0.0115"
"10.3000","0.3408","0.0567"
"10.3500","0.3426","-0.0099"
"10.4000","0.3439","0.0341"
"10.4500","0.3457","0.0822"
"10.5000","0.3475","-0.2158"
"10.5500","0.3491","0.0230"
"10.6000","0.3509","-0.1564"
"10.6500","0.3524","0.0884"
"10.7000","0.3542","0.1526"
"10.7500","0.3556","0.0169"
"10.8000","0.3575","0.2128"
"10.8500","0.3592","0.0494"
"10.9000","0.3607","-0.1016"
"10.9500","0.3625","-0.0340"
"11.0000","0.3641","0.0995"
"11.0500","0.3659","0.0255"
"11.1000","0.3673","0.0739"
"11.1500","0.3691","0.1460"
"11.2000","0.3708","-0.0484"
"11.2500","0.3724","0.2044"
"11.3000","0.3742","0.0171"
"11.3500","0.3758","0.1108"
"11.4000","0.3775","0.1492"
"11.4500","0.3789","0.0583"
"11.5000","0.3808","0.0105"
"11.5500","0.3825","0.1878"
"11.6000","0.3842","-0.1347"
"11.6500","0.3858","0.1164"
"11.7000","0.3874","0.0180"
"11.7500","0.3891","0.3564"
"11.8000","0.3905","0.1801"
"11.8500","0.3925","-0.0183"
"11.9000","0.3942","0.1292"
"11.9500","0.3957","0.1167"
"12.0000","0.3975","0.2079"
"12.0500","0.3992","0.1999"
"12.1000","0.4008","0.2884"
"12.1500","0.4023","0.2855"
"12.2000","0.4042","0.3132"
"12.2500","0.4057","0.1821"
"12.3000","0.4075","0.2325"
"12.3500","0.4091","0.2193"
"12.4000","0.4108","0.1189"
"12.4500","0.4125","0.1212"
"12.5000","0.4139","0.2022"
"12.5500","0.4159","0.2545"
"12.6000","0.4175","0.0509"
"12.6500","0.4192","-0.0328"
"12.7000","0.4208","0.1939"
"12.7500","0.4225","0.1164"
"12.8000","0.4241","0.0701"
"12.8500","0.4256","0.0712"
"12.9000","0.4276","0.0616"
"12.9500","0.4291","0.3651"
"13.0000","0.4309","0.2151"
"13.0500","0.4324","0.2377"
"13.1000","0.4342","0.1214"
"13.1500","0.4357","-0.0269"
"13.2000","0.4373","0.2933"
"13.2500","0.4393","0.2293"
"13.3000","0.4407","0.1602"
"13.3500","0.4425","0.1750"
"13.4000","0.4441","0.1157"
"13.4500","0.4459","0.2153"
"13.5000","0.4473","0.4360"
"13.5500","0.4490","0.2382"
"13.6000","0.4509","0.2307"
"13.6500","0.4523","0.1060"
"13.7000","0.4542","-0.1844"
"13.7500","0.4557","0.0864"
"13.8000","0.4576","0.2406"
"13.8500","0.4589","0.1050"
"13.9000","0.4607","0.1557"
"13.9500","0.4625","0.0532"
"14.0000","0.4640","0.2505"
"14.0500","0.4659","0.2801"
"14.1000","0.4674","0.1706"
"14.1500","0.4693","0.1950"
"14.2000","0.4706","0.0971"
"14.2500","0.4725","0.2916"
"14.3000","0.4742","0.2458"
"14.3500","0.4757","0.1421"
"14.4000","0.4775","-0.0105"
"14.4500","0.4791","0.2129"
"14.5000","0.4809","0.3481"
"14.5500","0.4822","0.2972"
"14.6000","0.4842","0.2605"
"14.6500","0.4858","0.1453"
"14.7000","0.4874","0.0628"
"14.7500","0.4892","0.2294"
"14.8000","0.4908","0.1612"
"14.8500","0.4926","0.2376"
"14.9000","0.4939","0.0415"
"14.9500","0.4959","0.2899"
"15.0000","0.4975","0.3491"
"15.0500","0.4991","0.1436"
"15.1000","0.5008","0.1812"
"15.1500","0.5024","0.0883"
"15.2000","0.5042","0.0787"
"15.2500","0.5055","0.1832"
"15.3000","0.5075","0.2655"
"15.3500","0.5091","0.1493"
"15.4000","0.5109","0.2064"
"15.4500","0.5124","0.2938"
"15.5000","0.5141","0.2092"
"15.5500","0.5158","0.3144"
"15.6000","0.5172","0.1507"
"15.6500","0.5193","-0.1901"
"15.7000","0.5207","0.0982"
"15.7500","0.5225","0.2200"
"15.8000","0.5241","-0.0208"
"15.8500","0.5259","0.2730"
"15.9000","0.5274","0.3450"
"15.9500","0.5289","0.3495"
"16.0000","0.5309","0.3630"
"16.0500","0.5324","0.2008"
"16.1000","0.5342","0.2752"
"16.1500","0.5357","0.3124"
"16.2000","0.5376","0.2322"
"16.2500","0.5390","0.2619"
"16.3000","0.5406","0.2488"
"16.3500","0.5426","0.1561"
"16.4000","0.5441","0.0931"
"16.4500","0.5459","0.0712"
"16.5000","0.5474","0.1391"
"16.5500","0.5493","0.1190"
"16.6000","0.5506","0.2105"
"16.6500","0.5524","0.1775"
"16.7000","0.5542","0.1576"
"16.7500","0.5558","0.2198"
"16.8000","0.5576","0.0879"
"16.8500","0.5591","0.2497"
"16.9000","0.5609","0.0336"
"16.9500","0.5622","0.1614"
"17.0000","0.5641","0.2780"
"17.0500","0.5658","0.1215"
"17.1000","0.5674","0.2831"
"17.1500","0.5692","0.2550"
"17.2000","0.5708","0.3356"
"17.2500","0.5726","0.2615"
"17.3000","0.5739","0.1045"
"17.3500","0.5758","0.3247"
"17.4000","0.5775","0.2136"
"17.4500","0.5791","0.0392"
"17.5000","0.5808","0.2535"
"17.5500","0.5824","0.0377"
"17.6000","0.5842","0.3105"
"17.6500","0.5855","0.0669"
"17.7000","0.5875","0.0479"
"17.7500","0.5891","0.2566"
"17.8000","0.5908","0.3188"
"17.8500","0.5925","0.2964"
"17.9000","0.5941","0.1986"
"17.9500","0.5958","0.2251"
"18.0000","0.5972","0.2850"
"18.0500","0.5993","0.2172"
"18.1000","0.6008","0.3536"
"18.1500","0.6024","0.3188"
"18.2000","0.6041","0.1840"
"18.2500","0.6058","0.4698"
"18.3000","0.6075","0.1826"
"18.3500","0.6089","0.1850"
"18.4000","0.6109","0.1267"
"18.4500","0.6124","0.1838"
"18.5000","0.6142","0.3269"
"18.5500","0.6158","0.1910"
"18.6000","0.6176","0.2377"
"18.6500","0.6191","0.2116"
"18.7000","0.6206","0.1147"
"18.7500","0.6226","0.2038"
"18.8000","0.6241","0.2506"
"18.8500","0.6259","0.2487"
"18.9000","0.6274","0.3828"
"18.9500","0.6292","0.3832"
"19.0000","0.6307","0.3478"
"19.0500","0.6323","0.2151"
"19.1000","0.6342","0.3515"
"19.1500","0.6357","0.1381"
"19.2000","0.6375","0.1753"
"19.2500","0.6391","0.3030"
"19.3000","0.6409","0.1339"
"19.3500","0.6423","0.2868"
"19.4000","0.6440","0.4368"
"19.4500","0.6459","0.1867"
"19.5000","0.6474","0.2105"
"19.5500","0.6492","0.1912"
"19.6000","0.6507","0.1513"
"19.6500","0.6526","0.2704"
"19.7000","0.6540","0.3564"
"19.7500","0.6557","0.1677"
"19.8000","0.6576","0.1748"
"19.8500","0.6591","0.3162"
"19.9000","0.6608","0.3524"
"19.9500","0.6624","0.4942"
"20.0000","0.6642","0.2735"
"20.0500","0.6656","0.3315"
"20.1000","0.6674","0.2633"
"20.1500","0.6692","0.4001"
"20.2000","0.6708","0.4210"
"20.2500","0.6726","0.3721"
"20.3000","0.6741","0.2592"
"20.3500","0.6759","0.4166"
"20.4000","0.6773","0.4271"
"20.4500","0.6792","0.5118"
"20.5000","0.6808","0.4235"
"20.5500","0.6824","0.3957"
"20.6000","0.6842","0.4398"
"20.6500","0.6858","0.4713"
"20.7000","0.6876","0.6912"
"20.7500","0.6889","0.4052"
"20.8000","0.6908","0.5178"
"20.8500","0.6925","0.4766"
"20.9000","0.6941","0.3486"
"20.9500","0.6958","0.5541"
"21.0000","0.6975","0.7215"
"21.0500","0.6992","0.7282"
"21.1000","0.7005","0.7021"
"21.1500","0.7025","0.6894"
"21.2000","0.7041","0.6167"
"21.2500","0.7057","0.7438"
"21.3000","0.7075","0.7912"
"21.3500","0.7091","0.6672"
"21.4000","0.7108","0.8377"
"21.4500","0.7122","0.7499"
"21.5000","0.7143","0.8007"
"21.5500","0.7158","0.7704"
"21.6000","0.7175","0.8394"
"21.6500","0.7192","0.7896"
"21.7000","0.7209","0.9451"
"21.7500","0.7224","1.0273"
"21.8000","0.7239","0.8460"
"21.8500","0.7260","1.2081"
"21.9000","0.7274","1.1054"
"21.9500","0.7292","1.1150"
"22.0000","0.7307","1.0844"
"22.0500","0.7326","1.1571"
"22.1000","0.7341","1.1281"
"22.1500","0.7356","1.2652"
"22.2000","0.7376","1.3581"
"22.2500","0.7390","1.3656"
"22.3000","0.7409","1.1102"
"22.3500","0.7423","1.3526"
"22.4000","0.7442","1.3363"
"22.4500","0.7457","1.4606"
"22.5000","0.7473","1.6419"
"22.5500","0.7493","1.4638"
"22.6000","0.7508","1.6349"
"22.6500","0.7526","1.6670"
"22.7000","0.7540","1.5907"
"22.7500","0.7559","1.6474"
"22.8000","0.7573","1.6531"
"22.8500","0.7590","1.5772"
"22.9000","0.7609","2.1960"
"22.9500","0.7624","1.9722"
"23.0000","0.7642","1.9126"
"23.0500","0.7656","2.2785"
"23.1000","0.7676","1.9915"
"23.1500","0.7689","2.0614"
"23.2000","0.7708","2.1239"
"23.2500","0.7726","2.2559"
"23.3000","0.7741","2.1525"
"23.3500","0.7758","2.3063"
"23.4000","0.7774","2.4769"
"23.4500","0.7793","2.3319"
"23.5000","0.7806","2.4784"
"23.5500","0.7825","2.6347"
"23.6000","0.7841","2.7033"
"23.6500","0.7858","2.6480"
"23.7000","0.7875","2.7585"
"23.7500","0.7891","2.9321"
"23.8000","0.7909","2.8943"
"23.8500","0.7922","2.9344"
"23.9000","0.7942","2.9802"
