
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0131"
"0.0500","0.0001","0.0254"
"0.1000","0.0008","0.0298"
"0.1500","0.0011","0.0265"
"0.2000","0.0029","0.0167"
"0.2500","0.0055","0.0450"
"0.3000","0.0076","0.0310"
"0.3500","0.0093","0.0415"
"0.4000","0.0111","0.0371"
"0.4500","0.0127","0.0375"
"0.5000","0.0145","0.0239"
"0.5500","0.0158","0.0373"
"0.6000","0.0177","0.0292"
"0.6500","0.0195","0.0303"
"0.7000","0.0210","0.0499"
"0.7500","0.0228","0.0135"
"0.8000","0.0244","0.0398"
"0.8500","0.0261","0.0285"
"0.9000","0.0275","0.0662"
"0.9500","0.0294","0.0491"
"1.0000","0.0311","0.0307"
"1.0500","0.0327","0.0278"
"1.1000","0.0345","0.0280"
"1.1500","0.0361","0.0189"
"1.2000","0.0378","0.0500"
"1.2500","0.0392","0.0290"
"1.3000","0.0412","0.0465"
"1.3500","0.0427","0.0474"
"1.4000","0.0443","0.0588"
"1.4500","0.0461","0.0267"
"1.5000","0.0478","0.0531"
"1.5500","0.0494","0.0535"
"1.6000","0.0508","0.0463"
"1.6500","0.0528","0.0442"
"1.7000","0.0543","0.0505"
"1.7500","0.0560","0.0307"
"1.8000","0.0577","0.0520"
"1.8500","0.0595","0.0496"
"1.9000","0.0610","0.0539"
"1.9500","0.0625","0.0573"
"2.0000","0.0645","0.0467"
"2.0500","0.0660","0.0539"
"2.1000","0.0678","0.0414"
"2.1500","0.0694","0.0452"
"2.2000","0.0711","0.0524"
"2.2500","0.0726","0.0531"
"2.3000","0.0742","0.0615"
"2.3500","0.0762","0.0749"
"2.4000","0.0776","0.0370"
"2.4500","0.0795","0.0292"
"2.5000","0.0810","0.0519"
"2.5500","0.0828","0.0422"
"2.6000","0.0843","0.0448"
"2.6500","0.0859","0.0496"
"2.7000","0.0879","0.0571"
"2.7500","0.0893","0.0384"
"2.8000","0.0911","0.0467"
"2.8500","0.0927","0.0654"
"2.9000","0.0946","0.0677"
"2.9500","0.0959","0.0645"
"3.0000","0.0976","0.0349"
"3.0500","0.0995","0.0500"
"3.1000","0.1010","0.0311"
"3.1500","0.1028","0.0488"
"3.2000","0.1043","0.0463"
"3.2500","0.1062","0.0769"
"3.3000","0.1075","0.0581"
"3.3500","0.1093","0.0811"
"3.4000","0.1112","0.0684"
"3.4500","0.1127","0.0689"
"3.5000","0.1145","0.0687"
"3.5500","0.1159","0.0672"
"3.6000","0.1178","0.0540"
"3.6500","0.1191","0.0725"
"3.7000","0.1211","0.0872"
"3.7500","0.1228","0.0730"
"3.8000","0.1243","0.0726"
"3.8500","0.1261","0.0829"
"3.9000","0.1276","0.0774"
"3.9500","0.1295","0.0658"
"4.0000","0.1308","0.1131"
"4.0500","0.1328","0.0839"
"4.1000","0.1344","0.0773"
"4.1500","0.1361","0.0710"
"4.2000","0.1377","0.0782"
"4.2500","0.1394","0.0751"
"4.3000","0.1411","0.0791"
"4.3500","0.1424","0.0737"
"4.4000","0.1445","0.0689"
"4.4500","0.1460","0.0914"
"4.5000","0.1478","0.0646"
"4.5500","0.1494","0.0838"
"4.6000","0.1511","0.0664"
"4.6500","0.1527","0.0731"
"4.7000","0.1542","0.0906"
"4.7500","0.1562","0.0621"
"4.8000","0.1577","0.0809"
"4.8500","0.1595","0.1166"
"4.9000","0.1610","0.1028"
"4.9500","0.1628","0.1053"
"5.0000","0.1643","0.1132"
"5.0500","0.1659","0.1003"
"5.1000","0.1679","0.0873"
"5.1500","0.1693","0.0939"
"5.2000","0.1711","0.0942"
"5.2500","0.1727","0.1070"
"5.3000","0.1745","0.1040"
"5.3500","0.1759","0.1165"
"5.4000","0.1775","0.1251"
"5.4500","0.1795","0.1032"
"5.5000","0.1809","0.1030"
"5.5500","0.1828","0.1019"
"5.6000","0.1844","0.1090"
"5.6500","0.1862","0.1242"
"5.7000","0.1876","0.1325"
"5.7500","0.1893","0.1121"
"5.8000","0.1911","0.1138"
"5.8500","0.1927","0.1428"
"5.9000","0.1945","0.1061"
"5.9500","0.1960","0.1287"
"6.0000","0.1978","0.1217"
"6.0500","0.1992","0.0975"
"6.1000","0.2010","0.1247"
"6.1500","0.2028","0.1112"
"6.2000","0.2043","0.1091"
"6.2500","0.2061","0.1252"
"6.3000","0.2077","0.1086"
"6.3500","0.2095","0.1216"
"6.4000","0.2108","0.1037"
"6.4500","0.2127","0.1176"
"6.5000","0.2145","0.1133"
"6.5500","0.2160","0.1247"
"6.6000","0.2178","0.1372"
"6.6500","0.2194","0.1330"
"6.7000","0.2211","0.1370"
"6.7500","0.2224","0.1168"
"6.8000","0.2244","0.1423"
"6.8500","0.2261","0.1159"
"6.9000","0.2277","0.1361"
"6.9500","0.2294","0.1473"
"7.0000","0.2310","0.1407"
"7.0500","0.2328","0.1145"
"7.1000","0.2341","0.1358"
"7.1500","0.2361","0.1563"
"7.2000","0.2377","0.1421"
"7.2500","0.2393","0.1543"
"7.3000","0.2411","0.1521"
"7.3500","0.2427","0.1459"
"7.4000","0.2444","0.1542"
"7.4500","0.2458","0.1448"
"7.5000","0.2478","0.1302"
"7.5500","0.2494","0.1544"
"7.6000","0.2511","0.1494"
"7.6500","0.2527","0.1336"
"7.7000","0.2544","0.1360"
"7.7500","0.2561","0.1348"
"7.8000","0.2574","0.1372"
"7.8500","0.2595","0.1464"
"7.9000","0.2611","0.1508"
"7.9500","0.2628","0.1685"
"8.0000","0.2644","0.1478"
"8.0500","0.2661","0.1719"
"8.1000","0.2677","0.1529"
"8.1500","0.2692","0.1641"
"8.2000","0.2712","0.1625"
"8.2500","0.2727","0.1578"
"8.3000","0.2744","0.2023"
"8.3500","0.2760","0.1841"
"8.4000","0.2778","0.1736"
"8.4500","0.2793","0.2040"
"8.5000","0.2809","0.1989"
"8.5500","0.2829","0.1943"
"8.6000","0.2843","0.2047"
"8.6500","0.2861","0.1932"
"8.7000","0.2877","0.1796"
"8.7500","0.2895","0.1882"
"8.8000","0.2909","0.1885"
"8.8500","0.2925","0.2389"
"8.9000","0.2945","0.2005"
"8.9500","0.2959","0.2224"
"9.0000","0.2978","0.2271"
"9.0500","0.2993","0.2249"
"9.1000","0.3012","0.2265"
"9.1500","0.3025","0.2280"
"9.2000","0.3043","0.2366"
"9.2500","0.3062","0.2451"
"9.3000","0.3076","0.2166"
"9.3500","0.3095","0.2316"
"9.4000","0.3110","0.2317"
"9.4500","0.3129","0.2546"
"9.5000","0.3142","0.2476"
"9.5500","0.3160","0.2372"
"9.6000","0.3178","0.2477"
"9.6500","0.3193","0.2644"
"9.7000","0.3212","0.2770"
"9.7500","0.3227","0.2918"
"9.8000","0.3245","0.3080"
"9.8500","0.3258","0.3042"
"9.9000","0.3278","0.3307"
"9.9500","0.3295","0.3157"
"10.0000","0.3309","0.3354"
"10.0500","0.3328","0.3180"
"10.1000","0.3344","0.3345"
"10.1500","0.3362","0.3236"
"10.2000","0.3375","0.3439"
"10.2500","0.3394","0.3910"
"10.3000","0.3411","0.3970"
"10.3500","0.3427","0.4136"
"10.4000","0.3444","0.4485"
"10.4500","0.3460","0.4740"
"10.5000","0.3478","0.5327"
"10.5500","0.3491","0.5685"
"10.6000","0.3511","0.6013"
"10.6500","0.3528","0.6334"
"10.7000","0.3545","0.6767"
"10.7500","0.3560","0.7035"
"10.8000","0.3576","0.7572"
"10.8500","0.3594","0.7655"
"10.9000","0.3608","0.8112"
"10.9500","0.3629","0.8582"
"11.0000","0.3644","0.9058"
"11.0500","0.3661","0.9075"
"11.1000","0.3676","0.9517"
"11.1500","0.3694","0.9996"
"11.2000","0.3711","1.0345"
"11.2500","0.3726","1.0800"
"11.3000","0.3745","1.1254"
"11.3500","0.3760","1.1658"
"11.4000","0.3778","1.2366"
"11.4500","0.3793","1.2947"
"11.5000","0.3812","1.3816"
"11.5500","0.3827","1.4253"
"11.6000","0.3842","1.5012"
"11.6500","0.3862","1.6023"
"11.7000","0.3877","1.6501"
"11.7500","0.3896","1.7405"
"11.8000","0.3910","1.8008"
"11.8500","0.3928","1.9217"
"11.9000","0.3942","1.9971"
"11.9500","0.3959","2.1553"
"12.0000","0.3979","2.2850"
"12.0500","0.3994","2.4372"
"12.1000","0.4012","2.6302"
"12.1500","0.4026","2.7156"
"12.2000","0.4045","2.6790"
"12.2500","0.4059","2.6935"
"12.3000","0.4077","2.7261"
"12.3500","0.4095","2.7164"
"12.4000","0.4109","2.7354"
"12.4500","0.4128","2.7309"
"12.5000","0.4143","2.7256"
"12.5500","0.4162","2.7289"
"12.6000","0.4175","2.7183"
"12.6500","0.4194","2.7130"
"12.7000","0.4211","2.7386"
"12.7500","0.4226","2.7115"
"12.8000","0.4245","2.7072"
"12.8500","0.4261","2.7140"
"12.9000","0.4278","2.7398"
"12.9500","0.4291","2.7100"
"13.0000","0.4310","2.7197"
"13.0500","0.4328","2.7355"
"13.1000","0.4344","2.7051"
"13.1500","0.4362","2.7252"
"13.2000","0.4377","2.7370"
"13.2500","0.4394","2.7067"
"13.3000","0.4408","2.7063"
"13.3500","0.4429","2.7367"
"13.4000","0.4444","2.7317"
"13.4500","0.4460","2.7207"
"13.5000","0.4477","2.7152"
"13.5500","0.4494","2.7421"
"13.6000","0.4511","2.7292"
"13.6500","0.4525","2.7512"
"13.7000","0.4545","2.7434"
"13.7500","0.4560","2.7401"
"13.8000","0.4577","2.7267"
"13.8500","0.4594","2.7337"
"13.9000","0.4612","2.7169"
"13.9500","0.4627","2.7225"
"14.0000","0.4641","2.7362"
