
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0118"
"0.0500","0.0001","-0.0238"
"0.1000","0.0008","0.2337"
"0.1500","0.0011","0.3276"
"0.2000","0.0025","0.5242"
"0.2500","0.0053","0.5801"
"0.3000","0.0075","0.5284"
"0.3500","0.0091","0.5811"
"0.4000","0.0109","0.6044"
"0.4500","0.0125","0.5516"
"0.5000","0.0143","0.5737"
"0.5500","0.0159","0.5421"
"0.6000","0.0174","0.5872"
"0.6500","0.0194","0.5504"
"0.7000","0.0209","0.5456"
"0.7500","0.0227","0.5625"
"0.8000","0.0242","0.5684"
"0.8500","0.0260","0.5728"
"0.9000","0.0275","0.5792"
"0.9500","0.0291","0.5828"
"1.0000","0.0311","0.5644"
"1.0500","0.0326","0.6024"
"1.1000","0.0344","0.5684"
"1.1500","0.0358","0.5996"
"1.2000","0.0377","0.5726"
"1.2500","0.0391","0.5937"
"1.3000","0.0408","0.6270"
"1.3500","0.0427","0.5679"
"1.4000","0.0442","0.6163"
"1.4500","0.0460","0.5941"
"1.5000","0.0475","0.5829"
"1.5500","0.0493","0.6075"
"1.6000","0.0507","0.5942"
"1.6500","0.0526","0.6384"
"1.7000","0.0543","0.6224"
"1.7500","0.0559","0.6477"
"1.8000","0.0577","0.6505"
"1.8500","0.0592","0.6549"
"1.9000","0.0610","0.6616"
"1.9500","0.0623","0.6472"
"2.0000","0.0642","0.6578"
"2.0500","0.0659","0.6500"
"2.1000","0.0675","0.6827"
"2.1500","0.0693","0.6753"
"2.2000","0.0709","0.6737"
"2.2500","0.0726","0.6702"
"2.3000","0.0740","0.6866"
"2.3500","0.0760","0.6735"
"2.4000","0.0776","0.6684"
"2.4500","0.0793","0.7003"
"2.5000","0.0810","0.6728"
"2.5500","0.0826","0.7136"
"2.6000","0.0843","0.7196"
"2.6500","0.0857","0.7384"
"2.7000","0.0877","0.8539"
"2.7500","0.0892","0.8843"
"2.8000","0.0909","0.9285"
"2.8500","0.0926","0.9712"
"2.9000","0.0943","1.0240"
"2.9500","0.0960","1.0351"
"3.0000","0.0974","1.0353"
"3.0500","0.0994","1.0580"
"3.1000","0.1009","1.0783"
"3.1500","0.1026","1.0524"
"3.2000","0.1043","1.0655"
"3.2500","0.1061","1.1078"
"3.3000","0.1075","1.0717"
"3.3500","0.1090","1.0824"
"3.4000","0.1110","1.0899"
"3.4500","0.1126","1.0767"
"3.5000","0.1143","1.1241"
"3.5500","0.1159","1.1195"
"3.6000","0.1176","1.2085"
"3.6500","0.1192","1.2002"
"3.7000","0.1207","1.2433"
"3.7500","0.1227","1.2517"
"3.8000","0.1242","1.3117"
"3.8500","0.1259","1.4461"
"3.9000","0.1275","1.5151"
"3.9500","0.1293","1.5598"
"4.0000","0.1308","1.6026"
"4.0500","0.1325","1.6665"
"4.1000","0.1344","1.6235"
"4.1500","0.1358","1.6328"
"4.2000","0.1376","1.7531"
"4.2500","0.1392","1.8050"
"4.3000","0.1411","1.8651"
"4.3500","0.1424","1.8765"
"4.4000","0.1441","1.9936"
"4.4500","0.1461","2.0088"
"4.5000","0.1476","2.0321"
"4.5500","0.1493","2.0442"
"4.6000","0.1509","2.0976"
"4.6500","0.1527","2.1263"
"4.7000","0.1541","2.1409"
"4.7500","0.1558","2.1969"
"4.8000","0.1577","2.2509"
"4.8500","0.1592","2.2924"
"4.9000","0.1610","2.3092"
"4.9500","0.1626","2.3820"
"5.0000","0.1644","2.4466"
"5.0500","0.1657","2.5255"
"5.1000","0.1676","2.5971"
"5.1500","0.1693","2.5915"
"5.2000","0.1708","2.7218"
"5.2500","0.1727","2.8071"
"5.3000","0.1743","2.8722"
"5.3500","0.1760","2.9491"
"5.4000","0.1774","2.9721"
"5.4500","0.1793","3.0587"
"5.5000","0.1810","3.1105"
"5.5500","0.1825","3.1866"
"5.6000","0.1843","3.2984"
"5.6500","0.1859","3.4185"
"5.7000","0.1877","3.4966"
"5.7500","0.1890","3.6164"
"5.8000","0.1910","3.8479"
"5.8500","0.1926","3.9217"
"5.9000","0.1942","4.1368"
"5.9500","0.1960","4.2214"
"6.0000","0.1976","4.4271"
"6.0500","0.1993","4.5306"
"6.1000","0.2007","4.6827"
"6.1500","0.2027","4.9798"
"6.2000","0.2042","5.0942"
"6.2500","0.2059","5.3964"
"6.3000","0.2076","5.6031"
"6.3500","0.2093","5.8164"
"6.4000","0.2109","5.9958"
"6.4500","0.2124","6.1808"
"6.5000","0.2144","6.4185"
"6.5500","0.2159","6.5089"
"6.6000","0.2176","6.7508"
"6.6500","0.2192","6.9258"
"6.7000","0.2210","7.1669"
"6.7500","0.2226","7.2853"
"6.8000","0.2240","7.5306"
"6.8500","0.2261","7.7863"
"6.9000","0.2275","8.0941"
"6.9500","0.2294","8.7599"
"7.0000","0.2309","9.1998"
"7.0500","0.2327","9.8132"
"7.1000","0.2342","10.2026"
"7.1500","0.2357","10.6778"
"7.2000","0.2377","11.3074"
"7.2500","0.2392","11.6815"
"7.3000","0.2410","12.2138"
"7.3500","0.2424","12.5253"
"7.4000","0.2443","13.1062"
"7.4500","0.2457","13.3766"
"7.5000","0.2475","13.9466"
"7.5500","0.2494","14.5603"
"7.6000","0.2508","14.9726"
"7.6500","0.2527","15.6228"
"7.7000","0.2541","16.0583"
"7.7500","0.2561","16.8187"
"7.8000","0.2574","17.1803"
"7.8500","0.2592","17.9376"
"7.9000","0.2610","18.6373"
"7.9500","0.2625","19.1853"
"8.0000","0.2643","19.9533"
"8.0500","0.2658","20.5400"
"8.1000","0.2677","21.3981"
"8.1500","0.2690","21.8238"
"8.2000","0.2709","22.7475"
"8.2500","0.2727","23.4521"
"8.3000","0.2743","24.1643"
"8.3500","0.2760","24.9118"
"8.4000","0.2775","25.5173"
"8.4500","0.2794","26.3645"
"8.5000","0.2807","26.8403"
"8.5500","0.2827","27.8593"
"8.6000","0.2843","28.5053"
"8.6500","0.2860","29.2277"
"8.7000","0.2876","29.9162"
"8.7500","0.2892","30.5973"
"8.8000","0.2910","31.3868"
"8.8500","0.2924","31.8817"
"8.9000","0.2944","32.9477"
"8.9500","0.2959","33.4608"
"9.0000","0.2976","34.2353"
"9.0500","0.2993","34.9442"
"9.1000","0.3010","35.6889"
"9.1500","0.3026","36.3172"
"9.2000","0.3040","36.9003"
"9.2500","0.3060","37.9479"
"9.3000","0.3075","38.5011"
"9.3500","0.3093","39.3643"
"9.4000","0.3109","40.1084"
"9.4500","0.3126","40.8726"
"9.5000","0.3142","41.5304"
"9.5500","0.3157","42.2246"
"9.6000","0.3177","43.3062"
"9.6500","0.3192","43.9274"
"9.7000","0.3210","44.8949"
"9.7500","0.3226","45.5397"
"9.8000","0.3243","46.4257"
"9.8500","0.3258","47.1084"
"9.9000","0.3275","47.9597"
"9.9500","0.3295","49.0533"
"10.0000","0.3308","49.6333"
"10.0500","0.3327","50.6630"
"10.1000","0.3342","51.4337"
"10.1500","0.3360","52.4580"
"10.2000","0.3375","53.1203"
"10.2500","0.3391","54.0354"
"10.3000","0.3410","55.1381"
"10.3500","0.3425","55.9002"
"10.4000","0.3443","56.9394"
"10.4500","0.3459","57.8192"
"10.5000","0.3477","58.8764"
"10.5500","0.3490","59.4374"
"10.6000","0.3507","60.4867"
"10.6500","0.3527","61.7069"
"10.7000","0.3543","62.5389"
"10.7500","0.3560","63.6063"
"10.8000","0.3575","64.4174"
"10.8500","0.3593","65.4661"
"10.9000","0.3607","66.1400"
"10.9500","0.3625","67.3014"
"11.0000","0.3644","68.4432"
"11.0500","0.3658","69.2180"
"11.1000","0.3676","70.3359"
"11.1500","0.3692","71.2521"
"11.2000","0.3710","72.3882"
"11.2500","0.3724","73.0463"
"11.3000","0.3743","74.3272"
"11.3500","0.3760","75.3321"
"11.4000","0.3775","76.2855"
"11.4500","0.3793","77.4153"
"11.5000","0.3809","78.3789"
"11.5500","0.3827","79.5225"
"11.6000","0.3840","80.1504"
"11.6500","0.3859","81.5058"
"11.7000","0.3877","82.6178"
"11.7500","0.3893","83.6041"
"11.8000","0.3910","84.7137"
"11.8500","0.3926","85.7100"
"11.9000","0.3943","86.8215"
"11.9500","0.3956","87.5414"
"12.0000","0.3976","88.9775"
"12.0500","0.3993","89.9929"
"12.1000","0.4009","91.0512"
"12.1500","0.4026","92.2254"
"12.2000","0.4043","93.2899"
"12.2500","0.4060","94.4466"
"12.3000","0.4074","95.2664"
"12.3500","0.4094","96.7870"
"12.4000","0.4109","97.6409"
"12.4500","0.4126","98.8200"
"12.5000","0.4143","100.0823"
"12.5500","0.4160","101.2090"
"12.6000","0.4176","102.2443"
"12.6500","0.4190","103.1613"
"12.7000","0.4211","104.6971"
"12.7500","0.4225","105.6490"
"12.8000","0.4243","106.9095"
"12.8500","0.4259","108.0327"
"12.9000","0.4277","109.3378"
"12.9500","0.4292","110.2862"
"13.0000","0.4307","111.3062"
"13.0500","0.4327","112.8862"
"13.1000","0.4342","113.7733"
"13.1500","0.4360","115.1188"
"13.2000","0.4375","116.1558"
"13.2500","0.4394","117.5119"
"13.3000","0.4408","118.4390"
"13.3500","0.4424","119.5773"
"13.4000","0.4444","121.1287"
"13.4500","0.4458","121.9481"
"13.5000","0.4477","123.4142"
"13.5500","0.4492","124.4355"
"13.6000","0.4511","125.7898"
"13.6500","0.4525","126.6406"
"13.7000","0.4542","127.9298"
"13.7500","0.4561","129.3559"
"13.8000","0.4575","130.2427"
"13.8500","0.4594","131.6940"
"13.9000","0.4609","132.7537"
"13.9500","0.4628","134.2115"
"14.0000","0.4641","134.9375"
"14.0500","0.4659","136.3448"
"14.1000","0.4677","137.7401"
"14.1500","0.4692","138.6900"
"14.2000","0.4710","140.1009"
"14.2500","0.4725","141.0664"
"14.3000","0.4744","142.5632"
"14.3500","0.4757","143.2541"
"14.4000","0.4776","144.7140"
"14.4500","0.4794","146.0496"
"14.5000","0.4810","147.1770"
"14.5500","0.4826","148.2800"
"14.6000","0.4841","149.2668"
"14.6500","0.4860","150.7176"
"14.7000","0.4873","151.4748"
"14.7500","0.4893","153.1283"
"14.8000","0.4909","154.2491"
