
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1934"
"0.1000","0.0005","1.4522"
"0.2000","0.0018","5.8969"
"0.3000","0.0071","23.5723"
"0.4000","0.0103","33.3282"
"0.5000","0.0139","44.0062"
"0.6000","0.0173","53.3233"
"0.7000","0.0206","61.8736"
"0.8000","0.0239","69.9922"
"0.9000","0.0272","77.5283"
"1.0000","0.0306","85.2635"
"1.1000","0.0337","92.0593"
"1.2000","0.0372","99.8386"
"1.3000","0.0406","107.4040"
"1.4000","0.0439","114.4030"
"1.5000","0.0474","121.9334"
"1.6000","0.0506","128.5271"
"1.7000","0.0539","135.2724"
"1.8000","0.0571","141.5091"
"1.9000","0.0605","148.4087"
"2.0000","0.0639","155.2795"
"2.1000","0.0671","161.5819"
"2.2000","0.0706","168.8293"
"2.3000","0.0740","175.4623"
"2.4000","0.0773","181.7581"
"2.5000","0.0804","187.7629"
"2.6000","0.0838","194.1895"
"2.7000","0.0871","200.5628"
"2.8000","0.0904","206.7094"
"2.9000","0.0940","213.5449"
"3.0000","0.0973","219.8304"
"3.1000","0.1007","225.9592"
"3.2000","0.1038","231.2909"
"3.3000","0.1072","237.2313"
"3.4000","0.1105","242.8013"
"3.5000","0.1137","248.0345"
"3.6000","0.1173","254.4870"
"3.7000","0.1207","260.0980"
"3.8000","0.1240","265.4631"
"3.9000","0.1273","270.8595"
"4.0000","0.1305","275.5786"
"4.1000","0.1339","280.9431"
"4.2000","0.1370","285.3924"
"4.3000","0.1405","291.1116"
"4.4000","0.1439","296.3089"
"4.5000","0.1473","301.2608"
"4.6000","0.1507","306.6256"
"4.7000","0.1539","311.3886"
"4.8000","0.1573","316.4616"
"4.9000","0.1604","320.8672"
"5.0000","0.1638","326.0798"
"5.1000","0.1672","331.4346"
"5.2000","0.1705","336.2750"
"5.3000","0.1741","341.8973"
"5.4000","0.1773","346.5026"
"5.5000","0.1807","351.5356"
"5.6000","0.1838","355.5212"
"5.7000","0.1871","360.2723"
"5.8000","0.1904","364.7615"
"5.9000","0.1938","369.5367"
"6.0000","0.1974","375.0696"
"6.1000","0.2007","379.5344"
"6.2000","0.2040","384.0691"
"6.3000","0.2072","388.1481"
"6.4000","0.2105","392.2245"
"6.5000","0.2138","396.4626"
"6.6000","0.2171","400.6023"
"6.7000","0.2207","405.6534"
"6.8000","0.2239","409.7438"
"6.9000","0.2274","414.1674"
"7.0000","0.2306","418.3166"
"7.1000","0.2340","422.3889"
