
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0234"
"0.0500","0.0001","0.0161"
"0.1000","0.0005","0.0033"
"0.1500","0.0009","0.0148"
"0.2000","0.0019","0.0162"
"0.2500","0.0045","0.0134"
"0.3000","0.0070","0.0097"
"0.3500","0.0088","-0.0041"
"0.4000","0.0104","-0.0150"
"0.4500","0.0121","0.0111"
"0.5000","0.0138","0.0089"
"0.5500","0.0152","0.0110"
"0.6000","0.0172","0.0255"
"0.6500","0.0187","-0.0132"
"0.7000","0.0205","0.0248"
"0.7500","0.0221","0.0146"
"0.8000","0.0238","-0.0152"
"0.8500","0.0254","-0.0001"
"0.9000","0.0269","-0.0001"
"0.9500","0.0289","0.0125"
"1.0000","0.0304","-0.0050"
"1.0500","0.0322","-0.0188"
"1.1000","0.0337","-0.0056"
"1.1500","0.0355","-0.0046"
"1.2000","0.0370","0.0176"
"1.2500","0.0386","0.0305"
"1.3000","0.0405","0.0222"
"1.3500","0.0420","0.0157"
"1.4000","0.0438","0.0131"
"1.4500","0.0454","0.0080"
"1.5000","0.0472","0.0133"
"1.5500","0.0486","0.0235"
"1.6000","0.0503","0.0054"
"1.6500","0.0522","0.0170"
"1.7000","0.0537","-0.0011"
"1.7500","0.0556","0.0066"
"1.8000","0.0571","0.0092"
"1.8500","0.0588","-0.0042"
"1.9000","0.0602","0.0174"
"1.9500","0.0621","-0.0041"
"2.0000","0.0639","0.0238"
"2.0500","0.0653","0.0149"
"2.1000","0.0672","0.0047"
"2.1500","0.0687","0.0245"
"2.2000","0.0705","0.0088"
"2.2500","0.0719","0.0107"
"2.3000","0.0738","-0.0065"
"2.3500","0.0755","-0.0033"
"2.4000","0.0771","0.0016"
"2.4500","0.0789","0.0012"
"2.5000","0.0805","0.0193"
"2.5500","0.0822","-0.0029"
"2.6000","0.0835","0.0059"
"2.6500","0.0854","0.0209"
"2.7000","0.0872","0.0244"
"2.7500","0.0888","0.0531"
"2.8000","0.0905","0.1260"
"2.8500","0.0921","0.2936"
"2.9000","0.0938","0.3884"
"2.9500","0.0952","0.4669"
"3.0000","0.0972","0.4790"
"3.0500","0.0988","0.5453"
"3.1000","0.1004","0.5828"
"3.1500","0.1021","0.5897"
"3.2000","0.1038","0.6256"
"3.2500","0.1055","0.6493"
"3.3000","0.1069","0.6914"
"3.3500","0.1089","0.7248"
"3.4000","0.1104","0.7401"
"3.4500","0.1121","0.7390"
"3.5000","0.1138","0.7367"
"3.5500","0.1155","0.7356"
"3.6000","0.1171","0.7539"
"3.6500","0.1185","0.7331"
"3.7000","0.1205","0.7526"
"3.7500","0.1221","0.7337"
"3.8000","0.1238","0.7438"
"3.8500","0.1254","0.7490"
"3.9000","0.1272","0.7731"
"3.9500","0.1287","0.7556"
"4.0000","0.1302","0.7640"
"4.0500","0.1322","0.7534"
"4.1000","0.1337","0.7500"
"4.1500","0.1355","0.7607"
"4.2000","0.1371","0.7521"
"4.2500","0.1389","0.7676"
"4.3000","0.1404","0.7572"
"4.3500","0.1419","0.7628"
"4.4000","0.1439","0.7652"
"4.4500","0.1453","0.7425"
"4.5000","0.1472","0.7491"
"4.5500","0.1488","0.7586"
"4.6000","0.1505","0.7445"
"4.6500","0.1520","0.7522"
"4.7000","0.1536","0.7693"
"4.7500","0.1556","0.7448"
"4.8000","0.1570","0.7430"
"4.8500","0.1588","0.7481"
"4.9000","0.1604","0.7491"
"4.9500","0.1622","0.7522"
"5.0000","0.1636","0.7608"
"5.0500","0.1653","0.7621"
"5.1000","0.1672","0.7607"
"5.1500","0.1687","0.7625"
"5.2000","0.1705","0.7312"
"5.2500","0.1720","0.7587"
"5.3000","0.1739","0.7766"
"5.3500","0.1752","0.7583"
"5.4000","0.1771","0.7538"
"5.4500","0.1789","0.7530"
"5.5000","0.1803","0.7488"
"5.5500","0.1822","0.7716"
"5.6000","0.1837","0.7601"
"5.6500","0.1855","0.7500"
"5.7000","0.1868","0.7672"
"5.7500","0.1888","0.7519"
"5.8000","0.1905","0.7797"
"5.8500","0.1920","0.7592"
"5.9000","0.1938","0.7320"
"5.9500","0.1954","0.7657"
"6.0000","0.1972","0.7625"
"6.0500","0.1985","0.7726"
"6.1000","0.2005","0.7391"
"6.1500","0.2021","0.7578"
"6.2000","0.2038","0.7743"
"6.2500","0.2055","0.7695"
"6.3000","0.2071","0.7561"
"6.3500","0.2089","0.7634"
"6.4000","0.2102","0.7751"
"6.4500","0.2122","0.7615"
"6.5000","0.2138","0.7484"
"6.5500","0.2155","0.7675"
"6.6000","0.2171","0.7560"
"6.6500","0.2187","0.7765"
"6.7000","0.2204","0.7637"
"6.7500","0.2218","0.7541"
"6.8000","0.2239","0.7772"
"6.8500","0.2254","0.7658"
"6.9000","0.2271","0.7631"
"6.9500","0.2287","0.7835"
"7.0000","0.2305","0.7809"
"7.0500","0.2321","0.7696"
"7.1000","0.2335","0.7767"
"7.1500","0.2356","0.7772"
"7.2000","0.2371","0.7825"
"7.2500","0.2388","0.7492"
"7.3000","0.2404","0.7622"
"7.3500","0.2422","0.7679"
"7.4000","0.2437","0.7634"
"7.4500","0.2453","0.7571"
"7.5000","0.2472","0.7707"
"7.5500","0.2487","0.7675"
"7.6000","0.2506","0.7551"
"7.6500","0.2520","0.7552"
"7.7000","0.2539","0.7699"
"7.7500","0.2553","0.8060"
"7.8000","0.2570","0.8346"
"7.8500","0.2589","0.8286"
"7.9000","0.2604","0.8466"
"7.9500","0.2622","0.9314"
"8.0000","0.2637","1.0127"
"8.0500","0.2655","1.1631"
"8.1000","0.2669","1.2848"
"8.1500","0.2688","1.5027"
"8.2000","0.2705","1.6715"
"8.2500","0.2720","1.7416"
"8.3000","0.2739","1.7823"
"8.3500","0.2754","1.9681"
"8.4000","0.2772","2.5937"
"8.4500","0.2785","3.1352"
"8.5000","0.2804","3.9534"
"8.5500","0.2821","4.7156"
"8.6000","0.2837","5.3963"
"8.6500","0.2855","6.2823"
"8.7000","0.2871","7.0168"
"8.7500","0.2888","7.8799"
"8.8000","0.2902","8.5307"
"8.8500","0.2921","9.6290"
"8.9000","0.2938","10.4816"
"8.9500","0.2954","11.4433"
"9.0000","0.2972","12.4207"
"9.0500","0.2987","13.3444"
"9.1000","0.3005","14.4353"
"9.1500","0.3019","15.2412"
"9.2000","0.3039","16.6441"
"9.2500","0.3054","17.5483"
"9.3000","0.3071","18.6699"
"9.3500","0.3088","19.8231"
"9.4000","0.3105","21.0298"
"9.4500","0.3121","22.2200"
"9.5000","0.3136","23.2209"
"9.5500","0.3155","24.7834"
"9.6000","0.3171","25.8892"
"9.6500","0.3188","27.2038"
"9.7000","0.3205","28.5275"
"9.7500","0.3222","29.8904"
"9.8000","0.3237","31.0420"
"9.8500","0.3252","32.1659"
"9.9000","0.3272","33.8879"
"9.9500","0.3288","35.1119"
"10.0000","0.3305","36.5946"
"10.0500","0.3321","37.8552"
"10.1000","0.3338","39.3315"
"10.1500","0.3354","40.6302"
"10.2000","0.3369","41.9003"
"10.2500","0.3389","43.7822"
"10.3000","0.3404","45.0253"
"10.3500","0.3421","46.5797"
"10.4000","0.3437","48.0091"
"10.4500","0.3455","49.6458"
"10.5000","0.3470","50.9584"
"10.5500","0.3486","52.4772"
"10.6000","0.3506","54.3706"
"10.6500","0.3520","55.6656"
"10.7000","0.3538","57.4191"
"10.7500","0.3554","58.8768"
"10.8000","0.3573","60.7329"
"10.8500","0.3586","61.9420"
"10.9000","0.3603","63.6024"
"10.9500","0.3622","65.5839"
"11.0000","0.3637","67.0248"
"11.0500","0.3655","68.8459"
