
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1393"
"0.0500","0.0001","-0.1477"
"0.1000","0.0006","0.0079"
"0.1500","0.0009","-0.0128"
"0.2000","0.0019","-0.1301"
"0.2500","0.0049","-0.1069"
"0.3000","0.0073","-0.0223"
"0.3500","0.0090","-0.0071"
"0.4000","0.0104","-0.1165"
"0.4500","0.0123","-0.0096"
"0.5000","0.0137","0.0690"
"0.5500","0.0155","0.0458"
"0.6000","0.0174","0.0390"
"0.6500","0.0188","0.2251"
"0.7000","0.0207","-0.0640"
"0.7500","0.0221","0.0084"
"0.8000","0.0241","0.0120"
"0.8500","0.0254","-0.1073"
"0.9000","0.0273","0.0246"
"0.9500","0.0290","0.0498"
"1.0000","0.0306","0.0497"
"1.0500","0.0323","0.0920"
"1.1000","0.0339","0.1547"
"1.1500","0.0357","0.0828"
"1.2000","0.0370","-0.1340"
"1.2500","0.0390","0.0817"
"1.3000","0.0406","0.2449"
"1.3500","0.0423","0.0685"
"1.4000","0.0440","0.1077"
"1.4500","0.0456","0.1381"
"1.5000","0.0473","-0.1771"
"1.5500","0.0487","0.0376"
"1.6000","0.0507","-0.0295"
"1.6500","0.0523","0.1656"
"1.7000","0.0540","0.0263"
"1.7500","0.0556","0.0334"
"1.8000","0.0573","-0.0516"
"1.8500","0.0589","0.2840"
"1.9000","0.0604","0.0293"
"1.9500","0.0625","0.1620"
"2.0000","0.0639","0.2308"
"2.0500","0.0656","0.1697"
"2.1000","0.0673","-0.0159"
"2.1500","0.0690","0.2145"
"2.2000","0.0705","0.0002"
"2.2500","0.0721","0.2139"
"2.3000","0.0740","0.0711"
"2.3500","0.0755","0.0802"
"2.4000","0.0773","0.1355"
"2.4500","0.0789","0.1548"
"2.5000","0.0807","0.0482"
"2.5500","0.0821","0.1421"
"2.6000","0.0838","-0.0232"
"2.6500","0.0857","0.1938"
"2.7000","0.0872","0.0340"
"2.7500","0.0891","0.1667"
"2.8000","0.0906","0.3217"
"2.8500","0.0923","0.3425"
"2.9000","0.0938","0.2519"
"2.9500","0.0955","0.3920"
"3.0000","0.0974","0.2783"
"3.0500","0.0988","0.6276"
"3.1000","0.1007","0.6096"
"3.1500","0.1022","0.5363"
"3.2000","0.1040","0.7845"
"3.2500","0.1054","0.9875"
"3.3000","0.1072","1.4496"
"3.3500","0.1091","1.7240"
"3.4000","0.1106","1.9915"
"3.4500","0.1124","2.9803"
"3.5000","0.1140","3.6091"
"3.5500","0.1157","4.2498"
"3.6000","0.1170","5.1241"
"3.6500","0.1189","6.0261"
"3.7000","0.1207","6.8766"
"3.7500","0.1223","7.6843"
"3.8000","0.1240","8.5605"
"3.8500","0.1256","9.2714"
"3.9000","0.1273","10.4540"
"3.9500","0.1287","11.1082"
"4.0000","0.1306","12.0940"
"4.0500","0.1323","13.1237"
"4.1000","0.1338","14.2034"
"4.1500","0.1356","15.2208"
"4.2000","0.1372","16.0350"
"4.2500","0.1390","17.3779"
"4.3000","0.1404","18.1133"
"4.3500","0.1423","19.4146"
"4.4000","0.1440","20.5265"
"4.4500","0.1456","21.7492"
"4.5000","0.1473","22.7167"
"4.5500","0.1489","23.7132"
"4.6000","0.1506","25.0963"
"4.6500","0.1520","25.7705"
"4.7000","0.1540","27.3162"
"4.7500","0.1556","28.4468"
"4.8000","0.1573","29.7275"
"4.8500","0.1590","30.8970"
"4.9000","0.1606","32.0776"
"4.9500","0.1623","33.3318"
"5.0000","0.1637","34.5591"
"5.0500","0.1657","36.1618"
"5.1000","0.1673","37.4171"
"5.1500","0.1690","38.7749"
"5.2000","0.1706","40.1398"
"5.2500","0.1723","41.5004"
"5.3000","0.1739","42.6570"
"5.3500","0.1754","44.0203"
"5.4000","0.1774","45.8737"
"5.4500","0.1788","47.0871"
"5.5000","0.1806","48.7448"
"5.5500","0.1823","49.9864"
"5.6000","0.1840","51.6924"
"5.6500","0.1855","53.0584"
"5.7000","0.1871","54.5918"
"5.7500","0.1891","56.4486"
"5.8000","0.1905","57.5724"
"5.8500","0.1923","59.3552"
"5.9000","0.1939","60.8662"
"5.9500","0.1957","62.4866"
"6.0000","0.1971","63.6817"
"6.0500","0.1987","65.1933"
"6.1000","0.2007","67.2790"
"6.1500","0.2021","68.1781"
"6.2000","0.2040","70.1522"
"6.2500","0.2056","71.8345"
"6.3000","0.2074","73.4386"
"6.3500","0.2088","74.8467"
"6.4000","0.2105","76.5481"
"6.4500","0.2124","78.4529"
"6.5000","0.2138","79.7802"
"6.5500","0.2157","81.7523"
"6.6000","0.2172","83.2860"
"6.6500","0.2191","85.0863"
"6.7000","0.2204","86.2879"
"6.7500","0.2223","88.4163"
"6.8000","0.2240","90.1283"
"6.8500","0.2255","91.2920"
"6.9000","0.2274","93.3383"
"6.9500","0.2289","95.0103"
"7.0000","0.2308","96.9544"
"7.0500","0.2320","97.8132"
"7.1000","0.2339","100.1328"
"7.1500","0.2357","101.7786"
"7.2000","0.2372","103.1810"
"7.2500","0.2390","105.0132"
"7.3000","0.2405","106.6247"
"7.3500","0.2424","108.4348"
"7.4000","0.2437","109.6752"
"7.4500","0.2456","111.5859"
"7.5000","0.2473","113.3080"
"7.5500","0.2490","114.9454"
"7.6000","0.2506","116.7051"
"7.6500","0.2522","118.2714"
"7.7000","0.2540","120.2359"
"7.7500","0.2553","121.4102"
"7.8000","0.2574","123.6442"
"7.8500","0.2589","125.0409"
"7.9000","0.2606","126.6780"
"7.9500","0.2622","128.5631"
"8.0000","0.2639","130.3311"
"8.0500","0.2657","132.1437"
"8.1000","0.2671","133.1985"
"8.1500","0.2691","135.6072"
"8.2000","0.2705","136.9962"
"8.2500","0.2723","138.7418"
"8.3000","0.2739","140.4224"
"8.3500","0.2758","142.4128"
"8.4000","0.2773","143.6488"
"8.4500","0.2787","145.1022"
"8.5000","0.2807","147.3507"
"8.5500","0.2822","148.6466"
"8.6000","0.2841","150.5649"
"8.6500","0.2856","152.2819"
"8.7000","0.2874","154.1006"
"8.7500","0.2888","155.2490"
"8.8000","0.2904","156.8778"
"8.8500","0.2924","159.1404"
"8.9000","0.2939","160.6521"
"8.9500","0.2957","162.4460"
"9.0000","0.2972","163.7523"
"9.0500","0.2990","165.4928"
"9.1000","0.3004","166.9210"
"9.1500","0.3022","168.7300"
"9.2000","0.3041","170.7276"
"9.2500","0.3055","172.0160"
"9.3000","0.3073","173.8329"
"9.3500","0.3089","175.2531"
"9.4000","0.3107","177.2591"
"9.4500","0.3121","178.5349"
"9.5000","0.3139","180.3819"
"9.5500","0.3156","181.9707"
"9.6000","0.3171","183.1734"
"9.6500","0.3190","185.5331"
"9.7000","0.3206","187.0491"
"9.7500","0.3224","188.7535"
"9.8000","0.3237","189.8326"
"9.8500","0.3256","191.4912"
"9.9000","0.3273","193.4478"
"9.9500","0.3289","194.8991"
"10.0000","0.3307","196.7404"
"10.0500","0.3322","198.0423"
"10.1000","0.3339","199.5914"
"10.1500","0.3354","200.8855"
"10.2000","0.3374","203.1394"
"10.2500","0.3390","204.6194"
"10.3000","0.3406","206.0551"
"10.3500","0.3423","207.5812"
"10.4000","0.3439","209.2808"
"10.4500","0.3457","211.1447"
"10.5000","0.3471","212.2568"
"10.5500","0.3490","214.2489"
"10.6000","0.3506","215.8100"
"10.6500","0.3522","217.4422"
"10.7000","0.3540","219.3393"
"10.7500","0.3557","220.9471"
"10.8000","0.3573","222.6297"
"10.8500","0.3587","223.7025"
"10.9000","0.3606","226.1098"
"10.9500","0.3623","227.7550"
"11.0000","0.3640","229.4420"
"11.0500","0.3657","231.3997"
"11.1000","0.3673","233.1199"
"11.1500","0.3689","234.7132"
"11.2000","0.3703","235.9275"
"11.2500","0.3724","238.2728"
"11.3000","0.3739","239.7403"
"11.3500","0.3756","241.4469"
"11.4000","0.3772","243.0074"
"11.4500","0.3790","245.0754"
"11.5000","0.3806","246.4812"
"11.5500","0.3821","248.2967"
"11.6000","0.3841","250.1868"
"11.6500","0.3855","251.6557"
"11.7000","0.3873","253.6114"
"11.7500","0.3889","255.1209"
"11.8000","0.3907","257.0492"
"11.8500","0.3922","258.5630"
"11.9000","0.3938","259.8647"
"11.9500","0.3957","262.1641"
"12.0000","0.3972","263.4904"
"12.0500","0.3990","265.4962"
"12.1000","0.4006","267.0531"
"12.1500","0.4024","268.9050"
"12.2000","0.4038","270.1768"
"12.2500","0.4055","271.9193"
"12.3000","0.4074","274.1172"
"12.3500","0.4089","275.4409"
"12.4000","0.4107","277.3412"
"12.4500","0.4122","278.6997"
"12.5000","0.4140","280.8987"
"12.5500","0.4154","281.9350"
"12.6000","0.4173","283.9334"
"12.6500","0.4191","285.8987"
"12.7000","0.4204","287.0317"
"12.7500","0.4224","289.1552"
"12.8000","0.4239","290.5090"
"12.8500","0.4257","292.4121"
"12.9000","0.4271","293.4032"
"12.9500","0.4289","295.5678"
"13.0000","0.4307","297.4623"
"13.0500","0.4321","298.8666"
"13.1000","0.4340","300.8984"
"13.1500","0.4356","302.3836"
"13.2000","0.4374","304.3459"
"13.2500","0.4387","305.0749"
"13.3000","0.4406","307.3253"
"13.3500","0.4423","309.0235"
"13.4000","0.4439","310.4974"
"13.4500","0.4457","312.5351"
"13.5000","0.4472","314.0670"
"13.5500","0.4490","315.5930"
"13.6000","0.4503","316.7418"
"13.6500","0.4524","319.0071"
"13.7000","0.4540","320.5847"
"13.7500","0.4556","322.1944"
"13.8000","0.4573","323.9677"
"13.8500","0.4589","325.4807"
"13.9000","0.4606","327.0952"
"13.9500","0.4620","328.2375"
"14.0000","0.4641","330.6620"
"14.0500","0.4656","331.8632"
"14.1000","0.4672","333.5820"
"14.1500","0.4690","335.2220"
"14.2000","0.4707","337.1861"
"14.2500","0.4723","338.5772"
"14.3000","0.4737","339.7503"
"14.3500","0.4758","342.1049"
"14.4000","0.4772","343.4014"
"14.4500","0.4790","344.9924"
"14.5000","0.4805","346.4062"
"14.5500","0.4823","348.2334"
"14.6000","0.4839","349.6386"
"14.6500","0.4854","350.7906"
"14.7000","0.4874","353.1941"
"14.7500","0.4889","354.5051"
"14.8000","0.4907","356.3716"
"14.8500","0.4922","357.4937"
"14.9000","0.4940","359.4314"
"14.9500","0.4955","360.4765"
"15.0000","0.4971","362.0881"
"15.0500","0.4991","364.2484"
"15.1000","0.5005","365.3789"
"15.1500","0.5024","367.1669"
"15.2000","0.5038","368.2687"
"15.2500","0.5057","370.2373"
"15.3000","0.5071","371.5204"
"15.3500","0.5088","373.0217"
"15.4000","0.5108","374.9207"
"15.4500","0.5122","376.0408"
"15.5000","0.5140","377.8362"
"15.5500","0.5156","379.4012"
"15.6000","0.5175","381.1069"
"15.6500","0.5187","381.9395"
"15.7000","0.5205","383.9096"
"15.7500","0.5224","385.4688"
"15.8000","0.5239","386.7117"
"15.8500","0.5257","388.3747"
"15.9000","0.5272","389.4674"
"15.9500","0.5291","391.3462"
"16.0000","0.5304","392.2343"
"16.0500","0.5323","394.1565"
"16.1000","0.5340","395.6646"
"16.1500","0.5356","397.0194"
"16.2000","0.5374","398.3053"
"16.2500","0.5389","399.8752"
"16.3000","0.5407","401.5650"
"16.3500","0.5420","402.4466"
"16.4000","0.5440","404.5889"
"16.4500","0.5456","405.8275"
"16.5000","0.5472","407.2804"
"16.5500","0.5490","408.7791"
"16.6000","0.5506","409.8213"
"16.6500","0.5523","411.1753"
"16.7000","0.5537","412.2070"
