
Time,Displacement,Force
(s),(mm),(N)
"0.0000","5.7114","5751.6069"
"0.2500","5.7122","5744.0610"
"0.5000","5.7201","5852.5312"
"0.7500","5.7251","5910.9429"
"1.0000","5.7310","5982.2529"
"1.2500","5.7359","6036.1177"
"1.5000","5.7418","6105.1050"
"1.7500","5.7469","6159.6401"
"2.0000","5.7525","6219.9673"
"2.2500","5.7581","6279.5474"
"2.5000","5.7632","6331.2046"
"2.7500","5.7690","6391.9917"
"3.0000","5.7741","6439.1294"
"3.2500","5.7796","6494.7739"
"3.5000","5.7851","6546.5503"
"3.7500","5.7903","6593.0908"
"4.0000","5.7960","6647.2114"
"4.2500","5.8011","6689.2437"
"4.5000","5.8067","6737.9756"
"4.7500","5.8121","6782.5273"
"5.0000","5.8173","6823.6182"
"5.2500","5.8230","6870.6021"
"5.5000","5.8280","6905.2705"
"5.7500","5.8339","6953.2065"
"6.0000","5.8390","6984.4814"
"6.2500","5.8447","7026.9131"
"6.5000","5.8500","7060.5947"
"6.7500","5.8554","7093.4512"
"7.0000","5.8611","7129.8257"
"7.2500","5.8662","7155.1553"
"7.5000","5.8718","7188.1948"
"7.7500","5.8771","7214.3130"
"8.0000","5.8824","7238.0244"
"8.2500","5.8881","7268.3027"
"8.5000","5.8931","7286.0020"
"8.7500","5.8988","7311.7085"
"9.0000","5.9041","7331.2446"
"9.2500","5.9094","7348.2192"
"9.5000","5.9152","7372.7183"
"9.7500","5.9201","7382.0269"
"10.0000","5.9261","7406.7974"
"10.2500","5.9310","7413.2876"
"10.5000","5.9368","7432.7046"
"10.7500","5.9421","7442.9116"
"11.0000","5.9475","7454.2036"
"11.2500","5.9531","7468.2305"
"11.5000","5.9581","7471.4004"
"11.7500","5.9640","7487.6865"
"12.0000","5.9691","7490.3555"
"12.2500","5.9746","7499.0830"
"12.5000","5.9801","7506.6211"
"12.7500","5.9853","7507.5088"
"13.0000","5.9910","7516.8369"
"13.2500","5.9961","7515.6787"
"13.5000","6.0016","7520.8828"
"13.7500","6.0070","7524.0625"
"14.0000","6.0122","7522.4272"
"14.2500","6.0181","7531.4263"
"14.5000","6.0230","7524.8936"
"14.7500","6.0289","7534.6479"
"15.0000","6.0340","7529.1177"
"15.2500","6.0397","7533.3589"
"15.5000","6.0451","7533.5576"
"15.7500","6.0503","7530.0337"
"16.0000","6.0560","7534.9531"
"16.2500","6.0612","7528.7305"
"16.5000","6.0667","7530.3257"
"16.7500","6.0722","7529.2788"
"17.0000","6.0774","7525.4800"
"17.2500","6.0830","7527.1987"
"17.5000","6.0882","7521.7729"
"17.7500","6.0938","7522.4116"
"18.0000","6.0991","7519.8369"
"18.2500","6.1044","7515.5972"
"18.5000","6.1101","7518.2266"
"18.7500","6.1151","7510.4258"
"19.0000","6.1211","7517.4102"
"19.2500","6.1260","7507.3501"
"19.5000","6.1318","7511.3164"
"19.7500","6.1371","7507.9053"
"20.0000","6.1425","7504.7188"
"20.2500","6.1482","7508.5498"
"20.5000","6.1532","7499.3647"
"20.7500","6.1589","7502.0454"
"21.0000","6.1642","7497.9297"
"21.2500","6.1695","7494.9595"
"21.5000","6.1752","7498.0786"
"21.7500","6.1803","7490.7695"
"22.0000","6.1859","7492.7554"
"22.2500","6.1912","7488.9585"
"22.5000","6.1965","7486.1216"
"22.7500","6.2022","7489.0786"
"23.0000","6.2072","7480.1079"
"23.2500","6.2131","7487.2881"
"23.5000","6.2181","7478.2998"
"23.7500","6.2239","7485.2603"
"24.0000","6.2291","7479.6289"
"24.2500","6.2346","7480.4873"
"24.5000","6.2402","7482.7759"
"24.7500","6.2453","7477.4854"
"25.0000","6.2511","7482.3760"
"25.2500","6.2562","7475.6587"
"25.5000","6.2617","7477.5522"
"25.7500","6.2672","7477.4473"
"26.0000","6.2724","7473.6245"
"26.2500","6.2781","7478.2886"
"26.5000","6.2832","7472.8271"
"26.7500","6.2887","7474.8457"
"27.0000","6.2941","7473.8794"
"27.2500","6.2994","7470.8628"
"27.5000","6.3051","7475.4268"
"27.7500","6.3101","7469.0439"
"28.0000","6.3160","7477.8208"
"28.2500","6.3211","7471.8379"
"28.5000","6.3268","7477.5220"
"28.7500","6.3321","7476.3901"
"29.0000","6.3375","7475.6987"
