
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0617"
"0.0500","0.0000","-0.0821"
"0.1000","0.0005","-0.0463"
"0.1500","0.0011","0.1253"
"0.2000","0.0018","-0.0253"
"0.2500","0.0044","0.1690"
"0.3000","0.0067","0.3351"
"0.3500","0.0086","0.2300"
"0.4000","0.0104","0.2747"
"0.4500","0.0120","0.2982"
"0.5000","0.0136","0.2994"
"0.5500","0.0154","0.2877"
"0.6000","0.0167","0.3413"
"0.6500","0.0188","0.3427"
"0.7000","0.0203","0.2402"
"0.7500","0.0220","0.2427"
"0.8000","0.0236","0.2867"
"0.8500","0.0253","0.2956"
"0.9000","0.0270","0.2375"
"0.9500","0.0285","0.2304"
"1.0000","0.0305","0.4647"
"1.0500","0.0320","0.4938"
"1.1000","0.0338","0.2423"
"1.1500","0.0353","0.3287"
"1.2000","0.0371","0.3284"
"1.2500","0.0387","0.4337"
"1.3000","0.0401","0.4804"
"1.3500","0.0421","0.4224"
"1.4000","0.0436","0.6519"
"1.4500","0.0455","0.6630"
"1.5000","0.0469","0.6698"
"1.5500","0.0488","0.5232"
"1.6000","0.0502","0.6049"
"1.6500","0.0519","0.5115"
"1.7000","0.0538","0.6112"
"1.7500","0.0553","0.6202"
"1.8000","0.0571","0.9285"
"1.8500","0.0586","0.7684"
"1.9000","0.0604","0.6756"
"1.9500","0.0618","0.8412"
"2.0000","0.0636","0.9058"
"2.0500","0.0654","0.8383"
"2.1000","0.0669","0.7999"
"2.1500","0.0688","0.9189"
"2.2000","0.0703","0.9441"
"2.2500","0.0721","1.0383"
"2.3000","0.0735","1.0708"
"2.3500","0.0753","1.1153"
"2.4000","0.0770","0.9668"
"2.4500","0.0786","1.0388"
"2.5000","0.0805","1.1279"
"2.5500","0.0820","1.2640"
"2.6000","0.0838","1.3736"
"2.6500","0.0851","1.2095"
"2.7000","0.0870","1.5348"
"2.7500","0.0887","1.3597"
"2.8000","0.0903","1.2908"
"2.8500","0.0921","1.2857"
"2.9000","0.0936","1.2773"
"2.9500","0.0954","1.3733"
"3.0000","0.0968","1.2933"
"3.0500","0.0988","1.5789"
"3.1000","0.1004","1.5289"
"3.1500","0.1020","1.4212"
"3.2000","0.1037","1.4849"
"3.2500","0.1053","1.4054"
"3.3000","0.1071","1.5471"
"3.3500","0.1085","1.5804"
"3.4000","0.1104","1.6032"
"3.4500","0.1120","1.6595"
"3.5000","0.1137","1.6924"
"3.5500","0.1154","1.7971"
"3.6000","0.1171","1.5532"
"3.6500","0.1187","1.6835"
"3.7000","0.1201","1.8855"
"3.7500","0.1221","1.9570"
"3.8000","0.1237","2.0170"
"3.8500","0.1254","2.3488"
"3.9000","0.1270","2.3134"
"3.9500","0.1287","2.7168"
"4.0000","0.1303","2.7268"
"4.0500","0.1318","2.7966"
"4.1000","0.1338","2.9418"
"4.1500","0.1353","2.9117"
"4.2000","0.1370","2.9606"
"4.2500","0.1386","2.8568"
"4.3000","0.1404","2.7788"
"4.3500","0.1420","3.0164"
"4.4000","0.1435","2.9215"
"4.4500","0.1454","3.0462"
"4.5000","0.1469","3.0033"
"4.5500","0.1487","1.8776"
"4.6000","0.1503","2.6858"
"4.6500","0.1521","2.9641"
"4.7000","0.1536","2.5518"
"4.7500","0.1552","2.8101"
"4.8000","0.1571","2.8823"
"4.8500","0.1586","2.6943"
"4.9000","0.1604","2.6895"
"4.9500","0.1620","2.9653"
"5.0000","0.1638","2.7897"
"5.0500","0.1652","2.9334"
"5.1000","0.1669","2.9154"
"5.1500","0.1688","2.9679"
"5.2000","0.1703","3.0018"
"5.2500","0.1721","2.7867"
"5.3000","0.1736","2.8214"
"5.3500","0.1755","2.9305"
"5.4000","0.1768","2.9870"
"5.4500","0.1787","3.0496"
"5.5000","0.1804","3.1240"
"5.5500","0.1819","2.9208"
"5.6000","0.1838","2.9575"
"5.6500","0.1853","2.9202"
"5.7000","0.1871","3.1942"
"5.7500","0.1885","2.8977"
"5.8000","0.1903","3.0663"
"5.8500","0.1921","3.1469"
"5.9000","0.1936","3.1788"
"5.9500","0.1954","3.1460"
"6.0000","0.1970","3.1864"
"6.0500","0.1988","3.2652"
"6.1000","0.2001","3.4011"
"6.1500","0.2020","3.4025"
"6.2000","0.2037","3.5024"
"6.2500","0.2053","3.1907"
"6.3000","0.2071","3.4122"
"6.3500","0.2086","3.2747"
"6.4000","0.2104","3.2514"
"6.4500","0.2117","3.4727"
"6.5000","0.2138","3.6094"
"6.5500","0.2153","3.3061"
"6.6000","0.2170","3.1959"
"6.6500","0.2187","3.2600"
"6.7000","0.2203","3.3595"
"6.7500","0.2221","3.3835"
"6.8000","0.2234","3.3088"
"6.8500","0.2255","3.2186"
"6.9000","0.2270","3.3759"
"6.9500","0.2287","3.3142"
"7.0000","0.2303","3.3040"
"7.0500","0.2321","3.2239"
"7.1000","0.2337","3.2908"
"7.1500","0.2351","3.4161"
"7.2000","0.2372","3.3314"
"7.2500","0.2386","3.2878"
"7.3000","0.2404","3.2609"
"7.3500","0.2420","3.5677"
"7.4000","0.2438","3.2980"
"7.4500","0.2453","3.4246"
"7.5000","0.2468","3.5821"
"7.5500","0.2488","3.3443"
"7.6000","0.2503","3.4110"
"7.6500","0.2521","3.3877"
"7.7000","0.2535","3.3877"
"7.7500","0.2554","3.1370"
"7.8000","0.2569","3.4037"
"7.8500","0.2585","3.4234"
"7.9000","0.2605","3.2186"
"7.9500","0.2619","3.4606"
"8.0000","0.2638","3.3059"
"8.0500","0.2652","3.5145"
"8.1000","0.2671","3.2690"
"8.1500","0.2685","3.4131"
"8.2000","0.2703","3.4711"
"8.2500","0.2721","3.3463"
"8.3000","0.2736","3.4440"
"8.3500","0.2754","3.5061"
"8.4000","0.2769","3.5605"
"8.4500","0.2788","3.2821"
"8.5000","0.2802","3.4485"
"8.5500","0.2820","3.4483"
"8.6000","0.2837","3.5878"
"8.6500","0.2853","3.3292"
"8.7000","0.2871","3.4850"
"8.7500","0.2886","3.6492"
"8.8000","0.2905","3.6277"
"8.8500","0.2918","3.4711"
"8.9000","0.2937","3.5106"
"8.9500","0.2954","3.4643"
"9.0000","0.2970","3.5228"
"9.0500","0.2988","3.5188"
"9.1000","0.3003","3.5448"
"9.1500","0.3021","3.7514"
"9.2000","0.3034","3.5848"
"9.2500","0.3055","3.9498"
"9.3000","0.3070","3.7064"
"9.3500","0.3087","3.7262"
"9.4000","0.3104","3.5948"
"9.4500","0.3120","3.7151"
"9.5000","0.3137","3.8492"
"9.5500","0.3151","3.8041"
"9.6000","0.3171","3.7997"
"9.6500","0.3186","3.8414"
"9.7000","0.3204","4.0855"
"9.7500","0.3221","3.8661"
"9.8000","0.3237","4.1676"
"9.8500","0.3253","4.1047"
"9.9000","0.3267","4.3605"
"9.9500","0.3288","4.0268"
"10.0000","0.3303","4.2024"
"10.0500","0.3321","4.1534"
"10.1000","0.3337","4.1298"
"10.1500","0.3353","4.0859"
"10.2000","0.3369","4.2252"
"10.2500","0.3385","4.3136"
"10.3000","0.3405","4.3461"
"10.3500","0.3419","4.4213"
"10.4000","0.3437","4.2450"
"10.4500","0.3453","4.5220"
"10.5000","0.3470","4.5180"
"10.5500","0.3486","4.6416"
"10.6000","0.3502","4.9281"
"10.6500","0.3522","4.8957"
"10.7000","0.3536","4.9261"
"10.7500","0.3554","5.4327"
"10.8000","0.3570","5.9438"
"10.8500","0.3588","6.3684"
"10.9000","0.3602","6.5336"
"10.9500","0.3619","7.0250"
"11.0000","0.3638","7.5993"
"11.0500","0.3653","8.1872"
"11.1000","0.3671","8.7589"
"11.1500","0.3686","9.1791"
"11.2000","0.3704","10.1562"
"11.2500","0.3718","10.4884"
"11.3000","0.3736","11.2022"
"11.3500","0.3755","12.0349"
"11.4000","0.3769","12.9721"
"11.4500","0.3787","13.6542"
"11.5000","0.3803","14.4153"
"11.5500","0.3821","15.3902"
"11.6000","0.3835","16.1459"
"11.6500","0.3853","17.1643"
"11.7000","0.3871","18.2142"
"11.7500","0.3886","18.9005"
"11.8000","0.3904","19.7538"
"11.8500","0.3919","20.5018"
"11.9000","0.3938","21.5616"
"11.9500","0.3951","22.2022"
"12.0000","0.3970","23.2903"
"12.0500","0.3988","24.1706"
"12.1000","0.4003","24.9195"
"12.1500","0.4021","26.1821"
"12.2000","0.4036","26.9489"
"12.2500","0.4054","27.9193"
"12.3000","0.4068","28.3800"
"12.3500","0.4087","29.7368"
"12.4000","0.4104","30.5014"
"12.4500","0.4120","31.3086"
"12.5000","0.4138","32.4584"
"12.5500","0.4153","33.3791"
"12.6000","0.4171","34.2690"
"12.6500","0.4185","34.9751"
"12.7000","0.4205","36.1994"
"12.7500","0.4220","37.0833"
"12.8000","0.4236","38.0320"
"12.8500","0.4254","39.3862"
"12.9000","0.4270","40.2625"
"12.9500","0.4287","40.9269"
"13.0000","0.4301","41.7736"
"13.0500","0.4321","43.0861"
"13.1000","0.4336","43.7767"
"13.1500","0.4354","44.8864"
"13.2000","0.4370","46.0905"
"13.2500","0.4387","46.9083"
"13.3000","0.4403","47.8375"
"13.3500","0.4418","48.4533"
"13.4000","0.4438","49.9744"
"13.4500","0.4453","50.7840"
"13.5000","0.4470","51.8302"
"13.5500","0.4486","52.8146"
"13.6000","0.4504","53.9209"
"13.6500","0.4520","54.7605"
"13.7000","0.4535","55.5183"
"13.7500","0.4555","56.9363"
"13.8000","0.4569","57.7724"
"13.8500","0.4588","59.0662"
"13.9000","0.4603","59.9460"
"13.9500","0.4621","61.0986"
"14.0000","0.4636","61.8198"
"14.0500","0.4652","62.9244"
"14.1000","0.4672","64.3487"
"14.1500","0.4686","65.0074"
"14.2000","0.4704","66.2902"
"14.2500","0.4720","66.9270"
"14.3000","0.4739","68.5311"
"14.3500","0.4752","69.2507"
"14.4000","0.4769","70.4070"
"14.4500","0.4788","71.7615"
"14.5000","0.4803","72.5580"
"14.5500","0.4821","74.0354"
"14.6000","0.4836","74.6908"
"14.6500","0.4855","76.0400"
"14.7000","0.4868","76.8570"
"14.7500","0.4886","78.3108"
"14.8000","0.4905","79.4422"
"14.8500","0.4920","80.3419"
"14.9000","0.4938","81.5518"
"14.9500","0.4951","82.4000"
"15.0000","0.4971","83.6500"
"15.0500","0.4984","84.5215"
"15.1000","0.5004","85.9686"
"15.1500","0.5021","87.2153"
"15.2000","0.5036","88.1232"
"15.2500","0.5054","89.4014"
"15.3000","0.5069","90.2892"
"15.3500","0.5088","91.6210"
"15.4000","0.5102","92.5187"
"15.4500","0.5121","93.7578"
"15.5000","0.5137","94.6256"
"15.5500","0.5153","96.0055"
"15.6000","0.5170","97.0202"
"15.6500","0.5187","98.0348"
"15.7000","0.5205","99.4710"
"15.7500","0.5217","100.0413"
"15.8000","0.5237","101.6071"
"15.8500","0.5253","102.6271"
"15.9000","0.5271","103.8576"
"15.9500","0.5287","104.9212"
"16.0000","0.5304","106.0296"
"16.0500","0.5320","107.0809"
