
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.7262"
"0.1000","0.0025","2.2854"
"0.2000","0.0097","8.1245"
"0.3000","0.0193","15.6372"
"0.4000","0.0278","22.5137"
"0.5000","0.0361","28.7848"
"0.6000","0.0444","35.4350"
"0.7000","0.0527","41.8089"
"0.8000","0.0610","48.3586"
"0.9000","0.0694","54.8060"
"1.0000","0.0777","61.1669"
"1.1000","0.0861","67.8829"
"1.2000","0.0945","74.1732"
"1.3000","0.1027","80.5815"
"1.4000","0.1110","86.7836"
"1.5000","0.1194","93.4824"
"1.6000","0.1277","99.6104"
"1.7000","0.1360","106.0121"
"1.8000","0.1444","112.2321"
"1.9000","0.1528","118.6219"
"2.0000","0.1610","124.9721"
"2.1000","0.1694","131.1164"
"2.2000","0.1778","137.5065"
"2.3000","0.1860","143.9701"
"2.4000","0.1944","149.8527"
"2.5000","0.2027","156.1347"
"2.6000","0.2112","162.4564"
"2.7000","0.2195","168.7975"
"2.8000","0.2277","174.7624"
"2.9000","0.2360","180.8517"
"3.0000","0.2444","187.2165"
"3.1000","0.2527","193.3829"
"3.2000","0.2611","199.3413"
"3.3000","0.2695","205.2994"
"3.4000","0.2778","211.5845"
"3.5000","0.2860","217.7342"
"3.6000","0.2943","223.7734"
"3.7000","0.3027","229.8644"
"3.8000","0.3111","235.8089"
"3.9000","0.3194","241.9948"
"4.0000","0.3278","247.8740"
"4.1000","0.3362","253.7752"
"4.2000","0.3444","260.0215"
"4.3000","0.3526","265.8753"
"4.4000","0.3611","271.8268"
"4.5000","0.3694","277.7677"
"4.6000","0.3777","283.6280"
"4.7000","0.3861","289.6933"
"4.8000","0.3945","295.6760"
"4.9000","0.4027","301.2232"
"5.0000","0.4111","307.1911"
"5.1000","0.4194","313.2346"
"5.2000","0.4278","319.0694"
"5.3000","0.4360","324.6060"
"5.4000","0.4444","330.5592"
"5.5000","0.4528","336.4639"
"5.6000","0.4611","342.1854"
"5.7000","0.4693","347.7272"
"5.8000","0.4777","353.6275"
"5.9000","0.4861","359.2513"
"6.0000","0.4944","365.0402"
"6.1000","0.5027","370.7026"
"6.2000","0.5111","376.3441"
"6.3000","0.5195","382.3555"
"6.4000","0.5277","387.5661"
"6.5000","0.5360","393.2936"
"6.6000","0.5444","399.1586"
"6.7000","0.5527","404.6035"
"6.8000","0.5610","410.1206"
"6.9000","0.5694","415.6245"
"7.0000","0.5779","421.1972"
"7.1000","0.5861","426.8038"
"7.2000","0.5943","432.2248"
"7.3000","0.6027","437.8253"
"7.4000","0.6111","443.3466"
"7.5000","0.6194","448.3738"
"7.6000","0.6277","454.0017"
"7.7000","0.6361","459.5023"
"7.8000","0.6444","464.6756"
"7.9000","0.6527","470.1736"
"8.0000","0.6611","475.5679"
"8.1000","0.6694","480.8647"
"8.2000","0.6777","486.2477"
"8.3000","0.6860","491.4791"
"8.4000","0.6945","496.7821"
"8.5000","0.7028","502.1880"
"8.6000","0.7110","507.2564"
"8.7000","0.7193","512.4061"
"8.8000","0.7277","517.6835"
"8.9000","0.7361","522.8062"
"9.0000","0.7444","527.9345"
"9.1000","0.7528","533.2449"
"9.2000","0.7611","538.1917"
"9.3000","0.7694","543.4102"
"9.4000","0.7777","548.3594"
"9.5000","0.7861","553.3168"
"9.6000","0.7944","558.4984"
"9.7000","0.8027","563.5208"
"9.8000","0.8110","568.3363"
"9.9000","0.8195","573.4889"
"10.0000","0.8278","578.1560"
"10.1000","0.8360","583.0051"
"10.2000","0.8444","587.9770"
"10.3000","0.8527","592.7608"
"10.4000","0.8610","597.4828"
"10.5000","0.8694","602.2122"
"10.6000","0.8778","607.1829"
"10.7000","0.8861","611.8978"
"10.8000","0.8944","616.2993"
"10.9000","0.9027","621.1747"
"11.0000","0.9111","625.9612"
"11.1000","0.9194","630.4073"
"11.2000","0.9277","634.9238"
"11.3000","0.9361","639.4444"
"11.4000","0.9445","643.8433"
"11.5000","0.9527","648.0189"
"11.6000","0.9610","652.5753"
"11.7000","0.9694","656.8996"
"11.8000","0.9778","661.1489"
"11.9000","0.9860","665.3817"
"12.0000","0.9944","669.4402"
"12.1000","1.0028","673.5861"
"12.2000","1.0111","677.8116"
"12.3000","1.0193","681.5564"
"12.4000","1.0277","685.4404"
"12.5000","1.0361","689.4974"
"12.6000","1.0444","693.2398"
"12.7000","1.0527","696.9109"
"12.8000","1.0612","700.7128"
"12.9000","1.0695","704.0021"
"13.0000","1.0777","707.5687"
"13.1000","1.0860","710.9903"
"13.2000","1.0944","714.2726"
"13.3000","1.1028","717.3834"
"13.4000","1.1110","720.7050"
"13.5000","1.1195","723.6369"
"13.6000","1.1277","726.4366"
"13.7000","1.1360","729.2037"
"13.8000","1.1443","731.8074"
"13.9000","1.1528","734.2135"
"14.0000","1.1611","736.8026"
"14.1000","1.1694","739.1459"
"14.2000","1.1778","741.5411"
"14.3000","1.1861","743.3849"
"14.4000","1.1944","745.1895"
"14.5000","1.2026","746.9480"
"14.6000","1.2110","748.6139"
"14.7000","1.2194","749.7986"
"14.8000","1.2277","750.8281"
"14.9000","1.2361","751.8928"
"15.0000","1.2445","752.5533"
"15.1000","1.2528","752.9341"
"15.2000","1.2610","753.2310"
"15.3000","1.2694","753.1199"
"15.4000","1.2778","752.8419"
"15.5000","1.2861","752.2778"
"15.6000","1.2944","751.6181"
"15.7000","1.3028","750.8687"
"15.8000","1.3111","749.7413"
"15.9000","1.3194","748.6017"
"16.0000","1.3277","747.3007"
"16.1000","1.3361","746.1064"
"16.2000","1.3444","744.5687"
"16.3000","1.3527","742.9501"
"16.4000","1.3611","741.4141"
"16.5000","1.3694","739.8531"
"16.6000","1.3777","737.7845"
"16.7000","1.3860","735.9504"
"16.8000","1.3945","732.4487"
"16.9000","1.4027","724.0713"
"16.9580","1.4077","-4.5610"

