
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2991"
"0.1000","0.0009","2.3839"
"0.2000","0.0023","7.1564"
"0.3000","0.0077","24.4658"
"0.4000","0.0111","34.6005"
"0.5000","0.0142","43.7167"
"0.6000","0.0176","52.8212"
"0.7000","0.0210","61.6645"
"0.8000","0.0242","69.7651"
"0.9000","0.0279","78.7510"
"1.0000","0.0311","86.1017"
"1.1000","0.0345","93.1265"
"1.2000","0.0375","99.3586"
"1.3000","0.0410","106.4448"
"1.4000","0.0442","113.2582"
"1.5000","0.0474","119.6536"
"1.6000","0.0511","127.2403"
"1.7000","0.0544","134.0106"
"1.8000","0.0578","140.8534"
"1.9000","0.0610","147.8807"
"2.0000","0.0643","154.6899"
"2.1000","0.0677","162.2638"
"2.2000","0.0708","168.5382"
"2.3000","0.0743","176.7891"
"2.4000","0.0777","184.1494"
"2.5000","0.0810","191.7645"
"2.6000","0.0845","200.0864"
"2.7000","0.0878","207.1559"
"2.8000","0.0910","214.7409"
"2.9000","0.0942","221.7053"
"3.0000","0.0976","229.4702"
"3.1000","0.1010","236.9800"
"3.2000","0.1043","244.0999"
"3.3000","0.1078","252.2239"
"3.4000","0.1111","259.2918"
"3.5000","0.1144","266.4864"
"3.6000","0.1175","272.7303"
"3.7000","0.1209","280.3205"
"3.8000","0.1243","287.0940"
"3.9000","0.1275","293.4687"
"4.0000","0.1311","301.2473"
"4.1000","0.1344","307.9464"
"4.2000","0.1378","314.5106"
"4.3000","0.1410","320.3424"
"4.4000","0.1443","326.5747"
"4.5000","0.1477","333.2985"
"4.6000","0.1508","338.6398"
"4.7000","0.1544","345.8905"
"4.8000","0.1578","352.0884"
"4.9000","0.1611","358.0575"
"5.0000","0.1644","363.8342"
"5.1000","0.1676","369.4062"
"5.2000","0.1710","375.2842"
"5.3000","0.1741","380.4827"
"5.4000","0.1776","386.4926"
"5.5000","0.1810","392.3898"
"5.6000","0.1844","397.8236"
"5.7000","0.1878","403.3764"
"5.8000","0.1911","408.7090"
"5.9000","0.1943","413.7706"
"6.0000","0.1974","418.3930"
"6.1000","0.2010","423.9757"
"6.2000","0.2044","428.9996"
"6.3000","0.2077","434.1364"
"6.4000","0.2112","439.5840"
"6.5000","0.2144","444.3738"
"6.6000","0.2178","449.6869"
"6.7000","0.2208","453.6200"
"6.8000","0.2242","458.3022"
"6.9000","0.2276","463.5706"
"7.0000","0.2309","468.0694"
"7.1000","0.2345","473.4285"
"7.2000","0.2378","478.2138"
"7.3000","0.2411","482.9442"
"7.4000","0.2443","487.0668"
"7.5000","0.2475","491.4188"
"7.6000","0.2510","496.2899"
"7.7000","0.2541","500.1497"
"7.8000","0.2578","505.9239"
"7.9000","0.2611","510.3284"
"8.0000","0.2645","514.6619"
"8.1000","0.2677","519.0222"
"8.2000","0.2710","523.1587"
"8.3000","0.2743","527.3922"
"8.4000","0.2774","531.2301"
"8.5000","0.2810","535.9940"
"8.6000","0.2843","540.2361"
"8.7000","0.2877","544.4371"
"8.8000","0.2911","549.0123"
"8.9000","0.2944","552.7330"
"9.0000","0.2977","556.7141"
"9.1000","0.3007","560.1201"
"9.2000","0.3043","564.8545"
"9.3000","0.3077","568.7396"
"9.4000","0.3110","572.6566"
"9.5000","0.3145","577.1626"
"9.6000","0.3178","580.9547"
"9.7000","0.3211","584.7723"
"9.8000","0.3243","588.3301"
"9.9000","0.3276","591.9391"
"10.0000","0.3310","595.8687"
"10.1000","0.3342","599.4143"
"10.2000","0.3378","603.9242"
"10.3000","0.3411","607.4681"
"10.4000","0.3445","611.2601"
"10.5000","0.3476","614.5120"
"10.6000","0.3509","617.9796"
"10.7000","0.3543","621.5977"
"10.8000","0.3574","624.6082"
"10.9000","0.3610","628.7055"
"11.0000","0.3644","632.5077"
"11.1000","0.3677","635.8058"
"11.2000","0.3711","639.5547"
"11.3000","0.3743","642.4811"
"11.4000","0.3776","645.8610"
"11.5000","0.3809","648.6567"
"11.6000","0.3843","652.2152"
"11.7000","0.3877","655.7606"
"11.8000","0.3910","658.8361"
"11.9000","0.3944","662.4003"
"12.0000","0.3978","665.8116"
"12.1000","0.4010","668.5422"
"12.2000","0.4041","671.1620"
"12.3000","0.4077","674.8868"
"12.4000","0.4110","677.7164"
"12.5000","0.4143","680.6375"
"12.6000","0.4178","684.0154"
"12.7000","0.4210","687.1115"
"12.8000","0.4245","690.2877"
"12.9000","0.4275","692.4288"
"13.0000","0.4309","695.4373"
"13.1000","0.4343","698.5220"
"13.2000","0.4375","700.9826"
"13.3000","0.4411","704.5443"
"13.4000","0.4445","707.3513"
"13.5000","0.4478","709.9306"
"13.6000","0.4510","712.6602"
"13.7000","0.4542","714.9759"
"13.8000","0.4576","718.0455"
"13.9000","0.4608","720.2151"
"14.0000","0.4643","723.3892"
"14.1000","0.4677","726.4489"
"14.2000","0.4711","729.0762"
"14.3000","0.4743","731.3178"
"14.4000","0.4776","733.6537"
"14.5000","0.4810","736.5948"
"14.6000","0.4841","738.3634"
"14.7000","0.4877","741.5834"
"14.8000","0.4911","744.1805"
"14.9000","0.4944","746.5287"
"15.0000","0.4978","749.4791"
"15.1000","0.5010","751.7435"
"15.2000","0.5044","754.2321"
"15.3000","0.5074","755.8170"
"15.4000","0.5109","758.8491"
"15.5000","0.5143","761.2052"
"15.6000","0.5176","763.6629"
"15.7000","0.5212","766.6913"
"15.8000","0.5245","768.7258"
"15.9000","0.5277","770.9225"
"16.0000","0.5308","772.6547"
"16.1000","0.5342","775.1678"
"16.2000","0.5375","777.3024"
"16.3000","0.5409","779.6384"
"16.4000","0.5445","782.4897"
"16.5000","0.5478","784.6487"
"16.6000","0.5512","787.0178"
"16.7000","0.5543","788.7930"
"16.8000","0.5576","791.0623"
"16.9000","0.5610","793.0328"
"17.0000","0.5641","794.7367"
"17.1000","0.5677","797.7673"
"17.2000","0.5711","799.9446"
"17.3000","0.5744","802.0031"
"17.4000","0.5778","804.1368"
"17.5000","0.5810","806.1514"
"17.6000","0.5844","808.2053"
"17.7000","0.5874","809.5184"
"17.8000","0.5909","811.9376"
"17.9000","0.5944","814.2841"
"18.0000","0.5976","816.2064"
"18.1000","0.6011","818.6628"
"18.2000","0.6044","820.5364"
"18.3000","0.6077","822.5820"
"18.4000","0.6109","824.2298"
"18.5000","0.6143","826.2305"
"18.6000","0.6176","828.0848"
