
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0073"
"0.0500","0.0001","-0.1495"
"0.1000","0.0007","-0.1361"
"0.1500","0.0012","0.2047"
"0.2000","0.0021","0.1817"
"0.2500","0.0047","0.4231"
"0.3000","0.0071","0.6352"
"0.3500","0.0089","0.6257"
"0.4000","0.0106","0.9827"
"0.4500","0.0123","1.0823"
"0.5000","0.0140","1.0470"
"0.5500","0.0156","1.1008"
"0.6000","0.0171","1.3955"
"0.6500","0.0191","1.6352"
"0.7000","0.0206","1.7184"
"0.7500","0.0223","1.9059"
"0.8000","0.0239","1.8442"
"0.8500","0.0257","2.1849"
"0.9000","0.0273","2.1645"
"0.9500","0.0288","2.2031"
"1.0000","0.0307","2.2999"
"1.0500","0.0323","2.5031"
"1.1000","0.0341","2.3489"
"1.1500","0.0356","2.3602"
"1.2000","0.0374","2.4469"
"1.2500","0.0389","2.5183"
"1.3000","0.0404","2.6043"
"1.3500","0.0424","2.5002"
"1.4000","0.0439","2.2468"
"1.4500","0.0457","2.6605"
"1.5000","0.0472","2.5473"
"1.5500","0.0491","2.5713"
"1.6000","0.0505","2.4645"
"1.6500","0.0522","2.5564"
"1.7000","0.0541","2.4836"
"1.7500","0.0555","2.5410"
"1.8000","0.0574","2.3812"
"1.8500","0.0589","2.5732"
"1.9000","0.0608","2.5580"
"1.9500","0.0622","2.4567"
"2.0000","0.0639","2.4603"
"2.0500","0.0657","2.5602"
"2.1000","0.0671","2.5961"
"2.1500","0.0690","2.5631"
"2.2000","0.0706","2.5185"
"2.2500","0.0724","2.3174"
"2.3000","0.0737","2.5356"
"2.3500","0.0756","2.5120"
"2.4000","0.0774","2.4827"
"2.4500","0.0789","2.2915"
"2.5000","0.0807","2.6789"
"2.5500","0.0823","2.2912"
"2.6000","0.0841","2.5048"
"2.6500","0.0854","2.4309"
"2.7000","0.0873","2.4096"
"2.7500","0.0890","2.5369"
"2.8000","0.0906","2.6258"
"2.8500","0.0924","2.4140"
"2.9000","0.0940","2.4908"
"2.9500","0.0958","2.4170"
"3.0000","0.0971","2.6886"
"3.0500","0.0991","2.3284"
"3.1000","0.1007","2.3557"
"3.1500","0.1022","2.4176"
