
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","8.3482"
"0.2500","0.0162","119.2935"
"0.5000","0.0371","267.3511"
"0.7500","0.0580","429.7295"
"1.0000","0.0788","607.0320"
"1.2500","0.0997","799.8184"
"1.5000","0.1204","1002.9061"
"1.7500","0.1412","1214.7944"
"2.0000","0.1621","1437.9736"
"2.2500","0.1830","1665.9257"
"2.5000","0.2037","1897.9132"
"2.7500","0.2246","2134.0796"
"3.0000","0.2454","2370.0271"
"3.2500","0.2662","2604.1423"
"3.5000","0.2872","2834.3518"
"3.7500","0.3079","3050.3916"
"4.0000","0.3287","3250.3574"
"4.2500","0.3496","3431.2285"
"4.5000","0.3703","3594.5576"
"4.7500","0.3913","3749.0908"
"5.0000","0.4122","3891.3086"
"5.2500","0.4329","4022.2529"
"5.5000","0.4538","4150.2285"
"5.7500","0.4746","4270.9326"
"6.0000","0.4954","4387.8877"
"6.2500","0.5163","4503.6069"
"6.5000","0.5372","4612.4756"
"6.7500","0.5579","4718.3516"
"7.0000","0.5787","4820.3008"
"7.2500","0.5996","4921.0596"
"7.5000","0.6205","5019.9502"
"7.7500","0.6414","5117.1030"
"8.0000","0.6621","5205.8687"
"8.2500","0.6828","5293.0059"
"8.5000","0.7038","5380.7510"
"8.7500","0.7246","5464.2407"
"9.0000","0.7455","5545.7300"
"9.2500","0.7664","5624.4683"
"9.5000","0.7871","5697.8984"
"9.7500","0.8078","5768.2563"
"10.0000","0.8288","5839.7705"
"10.2500","0.8496","5907.5894"
"10.5000","0.8705","5973.3438"
"10.7500","0.8913","6034.7529"
"11.0000","0.9120","6092.4292"
"11.2500","0.9329","6149.9580"
"11.5000","0.9539","6207.0000"
"11.7500","0.9747","6258.9155"
"12.0000","0.9955","6309.3149"
"12.2500","1.0163","6355.9897"
"12.5000","1.0370","6400.7700"
"12.7500","1.0579","6444.9580"
"13.0000","1.0789","6489.8467"
"13.2500","1.0997","6528.9707"
"13.5000","1.1205","6564.3555"
"13.7500","1.1412","6597.6367"
"14.0000","1.1621","6630.1226"
"14.2500","1.1830","6662.8101"
"14.5000","1.2039","6688.6416"
"14.7500","1.2246","6701.6021"
"15.0000","1.2454","6701.3340"
"15.2500","1.2663","6688.6841"
"15.5000","1.2871","6660.9526"
"15.7500","1.3081","6621.1187"
"16.0000","1.3289","6539.7925"
"16.2500","1.3496","6531.5991"
"16.5000","1.3704","6540.2759"
"16.7500","1.3913","6557.4058"
"17.0000","1.4122","6578.5454"
"17.2500","1.4330","6594.2407"
"17.5000","1.4537","6603.5732"
"17.7500","1.4746","6615.2485"
"18.0000","1.4954","6624.0469"
"18.2500","1.5163","6630.8223"
"18.5000","1.5372","6645.3843"
"18.7500","1.5580","6656.0273"
"19.0000","1.5787","6667.1470"
"19.2500","1.5995","6679.5034"
"19.5000","1.6204","6695.4941"
"19.7500","1.6414","6711.5552"
"20.0000","1.6621","6723.0396"
"20.2500","1.6830","6734.5952"
"20.5000","1.7037","6743.9595"
"20.7500","1.7246","6756.3184"
"21.0000","1.7455","6767.6343"
"21.2500","1.7664","6780.4946"
"21.5000","1.7872","6789.3843"
"21.7500","1.8079","6796.0610"
"22.0000","1.8287","6803.9453"
"22.2500","1.8497","6814.7056"
"22.5000","1.8706","6823.4756"
"22.7500","1.8913","6828.9355"
"23.0000","1.9121","6835.9800"
"23.2500","1.9329","6839.9556"
"23.5000","1.9538","6846.8125"
"23.7500","1.9747","6852.6509"
"24.0000","1.9954","6853.3740"
"24.2500","2.0163","6856.6108"
"24.5000","2.0371","6856.8237"
"24.7500","2.0578","6854.5283"
"25.0000","2.0789","6860.9722"
"25.2500","2.0998","6862.1084"
"25.5000","2.1204","6857.7705"
"25.7500","2.1412","6852.2842"
"26.0000","2.1621","6843.4438"
"26.2500","2.1829","6834.3110"
"26.5000","2.2039","6821.8374"
"26.7500","2.2247","6803.0747"
"27.0000","2.2454","6782.5059"
"27.2500","2.2662","6764.5396"
"27.5000","2.2871","6749.5801"
"27.7500","2.3080","6733.9668"
"28.0000","2.3289","6718.2510"
"28.2500","2.3497","6690.6387"
"28.5000","2.3703","6658.5166"
"28.7500","2.3913","6635.0459"
"29.0000","2.4121","6615.4922"
"29.2500","2.4330","6606.0059"
"29.5000","2.4539","6599.1694"
"29.7500","2.4746","6592.2686"
"30.0000","2.4953","6586.5176"
"30.2500","2.5163","6587.0962"
"30.5000","2.5372","6588.8145"
"30.7500","2.5580","6594.1343"
"31.0000","2.5788","6595.5386"
"31.2500","2.5995","6598.5254"
"31.5000","2.6204","6606.3047"
"31.7500","2.6414","6616.4502"
"32.0000","2.6622","6624.1309"
"32.2500","2.6830","6632.6143"
"32.5000","2.7038","6640.6821"
"32.7500","2.7245","6646.8828"
"33.0000","2.7454","6655.6836"
"33.2500","2.7664","6664.5322"
"33.5000","2.7872","6670.6807"
"33.7500","2.8079","6670.6895"
"34.0000","2.8287","6667.9009"
"34.2500","2.8496","6663.0005"
"34.5000","2.8705","6656.4238"
"34.7500","2.8914","6646.6553"
"35.0000","2.9121","6632.4131"
"35.2500","2.9329","6614.7471"
"35.5000","2.9537","6582.0737"
"35.7500","2.9746","6550.1221"
"36.0000","2.9956","6522.1802"
"36.2500","3.0163","6491.9346"
"36.5000","3.0370","6463.5850"
"36.7500","3.0579","6440.8145"
"37.0000","3.0788","6421.0518"
"37.2500","3.0997","6402.6245"
"37.5000","3.1206","6381.7593"
"37.7500","3.1412","6356.2339"
"38.0000","3.1621","6323.2676"
"38.2500","3.1829","6267.7930"
"38.5000","3.2038","6188.5249"
"38.7500","3.2248","6099.2168"
"39.0000","3.2455","5991.3760"
"39.2500","3.2662","5918.4824"
"39.5000","3.2870","5876.9849"
"39.7500","3.3080","5844.6094"
"40.0000","3.3289","5818.4385"
"40.2500","3.3497","5799.8535"
"40.5000","3.3705","5784.8999"
"40.7500","3.3912","5773.8433"
"41.0000","3.4121","5765.7466"
"41.2500","3.4330","5755.6040"
"41.5000","3.4539","5749.3184"
"41.7500","3.4747","5739.9136"
"42.0000","3.4954","5724.1982"
"42.2500","3.5162","5712.6021"
"42.5000","3.5372","5701.2646"
"42.7500","3.5580","5686.6733"
"43.0000","3.5788","5667.8525"
"43.2500","3.5997","5645.1108"
"43.5000","3.6204","5618.4404"
"43.7500","3.6413","5594.2842"
"44.0000","3.6622","5573.6470"
"44.2500","3.6830","5553.7007"
"44.5000","3.7038","5534.6543"
"44.7500","3.7246","5511.3535"
"45.0000","3.7454","5482.7915"
"45.2500","3.7664","5445.8389"
"45.5000","3.7873","5384.2783"
"45.7500","3.8080","5299.3149"
"46.0000","3.8288","5217.1567"
"46.2500","3.8496","5142.2656"
"46.5000","3.8704","5095.7402"
"46.7500","3.8914","5063.7837"
"47.0000","3.9122","5044.1187"
"47.2500","3.9329","5035.7930"
"47.5000","3.9537","5030.6177"
"47.7500","3.9746","5029.4106"
