
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.6438"
"0.0500","0.0001","-0.7544"
"0.1000","0.0008","0.0760"
"0.1500","0.0013","0.4624"
"0.2000","0.0027","2.0796"
"0.2500","0.0051","4.4032"
"0.3000","0.0073","7.0812"
"0.3500","0.0089","8.6156"
"0.4000","0.0110","10.9778"
"0.4500","0.0124","12.4608"
"0.5000","0.0143","14.4536"
"0.5500","0.0157","15.9145"
"0.6000","0.0176","17.7656"
"0.6500","0.0190","19.0402"
"0.7000","0.0207","21.1552"
"0.7500","0.0227","23.1333"
"0.8000","0.0242","24.7762"
"0.8500","0.0259","26.3821"
"0.9000","0.0273","27.7898"
"0.9500","0.0293","29.6257"
"1.0000","0.0306","30.9559"
"1.0500","0.0325","32.7770"
"1.1000","0.0343","34.8061"
"1.1500","0.0358","36.1712"
"1.2000","0.0376","37.9803"
"1.2500","0.0391","39.5768"
"1.3000","0.0410","41.1119"
"1.3500","0.0423","42.3908"
"1.4000","0.0443","44.3646"
"1.4500","0.0459","45.6613"
"1.5000","0.0475","47.0562"
"1.5500","0.0492","48.7491"
"1.6000","0.0509","50.0752"
"1.6500","0.0526","51.7948"
"1.7000","0.0539","52.7609"
"1.7500","0.0559","54.7350"
"1.8000","0.0575","56.0093"
"1.8500","0.0593","57.4794"
"1.9000","0.0609","59.2115"
"1.9500","0.0625","60.7293"
"2.0000","0.0642","62.0539"
"2.0500","0.0656","63.0262"
"2.1000","0.0677","65.0699"
"2.1500","0.0692","66.1701"
"2.2000","0.0710","67.6322"
"2.2500","0.0725","69.1347"
"2.3000","0.0742","70.4496"
"2.3500","0.0758","71.7534"
"2.4000","0.0774","72.9047"
"2.4500","0.0794","75.2009"
"2.5000","0.0807","76.0560"
"2.5500","0.0826","77.7420"
"2.6000","0.0842","78.9246"
"2.6500","0.0860","80.3213"
"2.7000","0.0875","81.7522"
"2.7500","0.0890","83.0001"
"2.8000","0.0909","84.6893"
"2.8500","0.0924","85.9018"
"2.9000","0.0943","87.4688"
"2.9500","0.0959","88.7107"
"3.0000","0.0976","90.2448"
"3.0500","0.0990","91.4086"
"3.1000","0.1007","92.7520"
"3.1500","0.1026","94.2215"
"3.2000","0.1041","95.5424"
"3.2500","0.1060","97.0231"
"3.3000","0.1075","98.3976"
"3.3500","0.1092","99.7580"
"3.4000","0.1106","100.7641"
"3.4500","0.1125","102.5375"
"3.5000","0.1144","104.0602"
"3.5500","0.1158","104.9177"
"3.6000","0.1176","106.2618"
"3.6500","0.1191","107.6645"
"3.7000","0.1210","109.0314"
"3.7500","0.1224","109.9248"
"3.8000","0.1242","111.7898"
"3.8500","0.1259","112.9516"
"3.9000","0.1274","114.2971"
"3.9500","0.1293","115.6838"
"4.0000","0.1309","117.0830"
"4.0500","0.1327","118.4251"
"4.1000","0.1339","119.2613"
"4.1500","0.1358","120.8611"
"4.2000","0.1376","122.1432"
"4.2500","0.1392","123.5526"
"4.3000","0.1410","124.9860"
"4.3500","0.1425","126.0315"
"4.4000","0.1442","127.2715"
"4.4500","0.1456","128.2500"
"4.5000","0.1476","129.9769"
"4.5500","0.1493","131.3560"
"4.6000","0.1508","132.2839"
"4.6500","0.1525","133.5779"
"4.7000","0.1541","134.5811"
"4.7500","0.1559","136.1843"
"4.8000","0.1573","137.1117"
"4.8500","0.1593","138.8872"
"4.9000","0.1608","139.8513"
"4.9500","0.1625","140.9972"
"5.0000","0.1642","142.3650"
"5.0500","0.1659","143.4247"
"5.1000","0.1676","144.8927"
"5.1500","0.1689","145.6900"
"5.2000","0.1709","147.5360"
"5.2500","0.1725","148.4584"
"5.3000","0.1743","149.8295"
"5.3500","0.1759","151.1061"
"5.4000","0.1776","152.2411"
"5.4500","0.1792","153.4310"
"5.5000","0.1806","154.4427"
"5.5500","0.1827","156.1452"
"5.6000","0.1842","156.9038"
"5.6500","0.1859","158.2325"
"5.7000","0.1875","159.2958"
"5.7500","0.1892","160.7207"
"5.8000","0.1908","161.7776"
"5.8500","0.1924","162.8506"
"5.9000","0.1944","164.5378"
"5.9500","0.1957","165.2150"
"6.0000","0.1976","166.6895"
"6.0500","0.1992","167.6805"
"6.1000","0.2010","169.1798"
"6.1500","0.2025","169.9700"
"6.2000","0.2040","171.2897"
"6.2500","0.2060","172.5129"
"6.3000","0.2074","173.4485"
"6.3500","0.2093","174.8390"
"6.4000","0.2109","175.8184"
"6.4500","0.2127","177.2539"
"6.5000","0.2140","178.1487"
"6.5500","0.2157","178.9657"
"6.6000","0.2176","180.7728"
"6.6500","0.2191","181.6245"
"6.7000","0.2210","182.9542"
"6.7500","0.2225","183.8231"
"6.8000","0.2243","185.1965"
"6.8500","0.2256","186.1181"
"6.9000","0.2275","187.3195"
"6.9500","0.2293","188.6743"
"7.0000","0.2307","189.3500"
"7.0500","0.2326","190.6319"
"7.1000","0.2341","191.5497"
"7.1500","0.2360","193.1019"
"7.2000","0.2373","193.8933"
"7.2500","0.2392","195.1553"
"7.3000","0.2409","196.1796"
"7.3500","0.2424","197.1415"
"7.4000","0.2443","198.4394"
"7.4500","0.2458","199.3749"
"7.5000","0.2477","200.7337"
"7.5500","0.2489","201.2197"
"7.6000","0.2510","202.8182"
"7.6500","0.2526","203.8555"
"7.7000","0.2542","204.8620"
"7.7500","0.2559","206.0816"
"7.8000","0.2575","206.9132"
"7.8500","0.2593","208.0772"
"7.9000","0.2606","208.9193"
"7.9500","0.2626","210.0532"
"8.0000","0.2642","211.3718"
"8.0500","0.2659","212.2341"
"8.1000","0.2675","213.2966"
"8.1500","0.2691","214.4587"
"8.2000","0.2709","215.4386"
"8.2500","0.2722","215.8764"
"8.3000","0.2743","217.7195"
"8.3500","0.2758","218.5210"
"8.4000","0.2776","219.6356"
"8.4500","0.2791","220.4265"
"8.5000","0.2809","221.3204"
"8.5500","0.2825","222.5759"
"8.6000","0.2840","223.2054"
"8.6500","0.2860","224.7921"
"8.7000","0.2875","225.3533"
"8.7500","0.2893","226.6746"
"8.8000","0.2908","227.3933"
"8.8500","0.2926","228.7892"
"8.9000","0.2941","229.4579"
"8.9500","0.2957","230.1355"
"9.0000","0.2977","231.6364"
"9.0500","0.2991","232.3203"
"9.1000","0.3010","233.6785"
"9.1500","0.3025","234.4255"
"9.2000","0.3043","235.3959"
"9.2500","0.3057","236.0983"
"9.3000","0.3074","237.0325"
"9.3500","0.3093","238.3800"
"9.4000","0.3108","238.9906"
"9.4500","0.3127","240.5432"
"9.5000","0.3141","240.9529"
"9.5500","0.3159","242.2594"
"9.6000","0.3173","242.7859"
"9.6500","0.3191","243.6295"
"9.7000","0.3209","245.2077"
"9.7500","0.3224","245.8030"
"9.8000","0.3243","246.9620"
"9.8500","0.3258","247.6600"
"9.9000","0.3276","248.6172"
"9.9500","0.3290","249.1558"
"10.0000","0.3309","250.3081"
"10.0500","0.3326","251.4020"
"10.1000","0.3341","252.4884"
"10.1500","0.3360","253.4534"
"10.2000","0.3374","253.8332"
"10.2500","0.3393","255.2084"
"10.3000","0.3406","255.6792"
"10.3500","0.3426","257.0072"
"10.4000","0.3442","257.7964"
"10.4500","0.3458","258.7742"
"10.5000","0.3476","259.8717"
"10.5500","0.3492","260.4733"
"10.6000","0.3509","261.6261"
"10.6500","0.3523","262.1538"
"10.7000","0.3543","263.4955"
"10.7500","0.3558","264.0386"
"10.8000","0.3575","265.1232"
"10.8500","0.3593","265.8759"
"10.9000","0.3609","266.8362"
"10.9500","0.3625","267.7901"
"11.0000","0.3639","268.2945"
"11.0500","0.3660","269.5181"
"11.1000","0.3675","270.3573"
"11.1500","0.3692","271.1713"
"11.2000","0.3709","271.9666"
"11.2500","0.3725","272.8431"
"11.3000","0.3742","273.8195"
"11.3500","0.3756","274.2254"
"11.4000","0.3776","275.5565"
"11.4500","0.3792","276.4265"
"11.5000","0.3809","277.0821"
"11.5500","0.3825","277.9022"
"11.6000","0.3842","278.9927"
"11.6500","0.3858","279.5243"
"11.7000","0.3873","280.3853"
"11.7500","0.3893","281.4546"
"11.8000","0.3908","282.0688"
"11.8500","0.3925","283.0229"
"11.9000","0.3942","283.8317"
"11.9500","0.3959","284.6506"
