
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0651"
"0.0500","0.0001","0.0207"
"0.1000","0.0006","0.2502"
"0.1500","0.0009","0.0069"
"0.2000","0.0023","0.1832"
"0.2500","0.0051","0.0942"
"0.3000","0.0071","0.1205"
"0.3500","0.0089","0.1682"
"0.4000","0.0107","0.2010"
"0.4500","0.0123","0.0754"
"0.5000","0.0141","0.1177"
"0.5500","0.0156","-0.2424"
"0.6000","0.0174","0.0445"
"0.6500","0.0188","-0.0634"
"0.7000","0.0208","0.0791"
"0.7500","0.0224","-0.1132"
"0.8000","0.0240","0.1249"
"0.8500","0.0257","0.0761"
"0.9000","0.0274","0.0811"
"0.9500","0.0291","0.1412"
"1.0000","0.0304","0.0389"
"1.0500","0.0325","0.0477"
"1.1000","0.0340","0.0712"
"1.1500","0.0357","0.2066"
"1.2000","0.0374","0.0479"
"1.2500","0.0391","0.1108"
"1.3000","0.0407","-0.0126"
"1.3500","0.0421","-0.0628"
"1.4000","0.0441","0.0544"
"1.4500","0.0457","-0.1168"
"1.5000","0.0475","0.1956"
"1.5500","0.0489","-0.1337"
"1.6000","0.0507","0.0587"
"1.6500","0.0523","0.0825"
"1.7000","0.0538","-0.0008"
"1.7500","0.0559","0.1042"
"1.8000","0.0573","-0.1695"
"1.8500","0.0591","-0.0210"
"1.9000","0.0606","0.0934"
"1.9500","0.0624","0.1901"
"2.0000","0.0640","0.1226"
"2.0500","0.0656","-0.0101"
"2.1000","0.0675","0.2018"
"2.1500","0.0690","0.0596"
"2.2000","0.0708","0.0342"
"2.2500","0.0723","0.1232"
"2.3000","0.0742","0.2125"
"2.3500","0.0755","0.1053"
"2.4000","0.0772","0.0793"
"2.4500","0.0791","0.1119"
"2.5000","0.0806","0.2270"
"2.5500","0.0825","0.1336"
"2.6000","0.0839","-0.0586"
"2.6500","0.0858","0.0962"
"2.7000","0.0872","0.0617"
"2.7500","0.0890","0.0216"
"2.8000","0.0908","0.0155"
"2.8500","0.0924","0.0270"
"2.9000","0.0941","-0.0325"
"2.9500","0.0956","-0.0350"
"3.0000","0.0974","-0.0079"
"3.0500","0.0988","0.0451"
"3.1000","0.1008","-0.0590"
"3.1500","0.1024","0.1624"
"3.2000","0.1040","0.2745"
"3.2500","0.1058","0.1471"
"3.3000","0.1073","-0.0585"
"3.3500","0.1091","0.0305"
"3.4000","0.1104","-0.0286"
"3.4500","0.1124","0.0517"
"3.5000","0.1140","0.1133"
"3.5500","0.1157","0.0890"
"3.6000","0.1174","0.0171"
"3.6500","0.1190","0.0489"
"3.7000","0.1207","0.0577"
"3.7500","0.1221","0.0713"
"3.8000","0.1241","0.1106"
"3.8500","0.1257","0.0464"
"3.9000","0.1274","0.1615"
"3.9500","0.1291","0.0370"
"4.0000","0.1307","0.1998"
"4.0500","0.1323","0.0859"
"4.1000","0.1338","0.1661"
"4.1500","0.1359","0.2173"
"4.2000","0.1373","0.0836"
"4.2500","0.1390","-0.0075"
"4.3000","0.1407","0.1743"
"4.3500","0.1424","-0.1493"
"4.4000","0.1440","-0.0970"
"4.4500","0.1455","0.1741"
"4.5000","0.1475","-0.1118"
"4.5500","0.1490","0.1202"
"4.6000","0.1507","-0.1164"
"4.6500","0.1524","0.0954"
"4.7000","0.1542","-0.1476"
"4.7500","0.1556","0.0479"
"4.8000","0.1571","0.0383"
"4.8500","0.1591","0.0621"
"4.9000","0.1607","0.0940"
"4.9500","0.1625","0.2268"
"5.0000","0.1640","0.0805"
"5.0500","0.1658","0.1776"
"5.1000","0.1672","0.0382"
"5.1500","0.1688","-0.0307"
"5.2000","0.1708","-0.0213"
"5.2500","0.1723","0.0871"
"5.3000","0.1741","-0.0028"
"5.3500","0.1756","0.0121"
"5.4000","0.1774","0.1431"
"5.4500","0.1789","0.0927"
"5.5000","0.1806","0.0133"
"5.5500","0.1824","0.0611"
"5.6000","0.1839","0.0185"
"5.6500","0.1857","0.1096"
"5.7000","0.1873","0.3044"
"5.7500","0.1892","0.0018"
"5.8000","0.1905","-0.0788"
"5.8500","0.1923","0.1770"
"5.9000","0.1941","-0.0070"
"5.9500","0.1957","0.2554"
"6.0000","0.1974","0.0061"
"6.0500","0.1989","0.1197"
"6.1000","0.2008","0.1515"
"6.1500","0.2022","0.0253"
"6.2000","0.2040","0.1126"
"6.2500","0.2057","0.1863"
"6.3000","0.2073","0.0892"
"6.3500","0.2091","0.0384"
"6.4000","0.2107","0.0431"
"6.4500","0.2125","0.0926"
"6.5000","0.2138","0.0053"
"6.5500","0.2157","0.2068"
"6.6000","0.2174","0.1605"
"6.6500","0.2190","0.0360"
"6.7000","0.2208","0.2122"
"6.7500","0.2224","0.0954"
"6.8000","0.2241","0.2136"
"6.8500","0.2254","0.2226"
"6.9000","0.2274","0.0307"
"6.9500","0.2290","0.0481"
"7.0000","0.2307","-0.0938"
"7.0500","0.2324","0.0048"
"7.1000","0.2340","0.0210"
"7.1500","0.2357","0.1513"
"7.2000","0.2371","0.0891"
"7.2500","0.2392","0.0641"
"7.3000","0.2407","0.0372"
"7.3500","0.2423","0.0287"
"7.4000","0.2440","0.1588"
"7.4500","0.2457","0.1497"
"7.5000","0.2474","-0.0532"
"7.5500","0.2488","0.0099"
"7.6000","0.2508","0.1142"
"7.6500","0.2522","0.2365"
"7.7000","0.2541","0.0364"
"7.7500","0.2557","0.2058"
"7.8000","0.2574","0.3481"
"7.8500","0.2590","0.0526"
"7.9000","0.2605","0.0191"
"7.9500","0.2625","0.0585"
"8.0000","0.2639","0.2601"
"8.0500","0.2658","0.0541"
"8.1000","0.2673","0.2066"
"8.1500","0.2692","0.1141"
"8.2000","0.2706","-0.0950"
"8.2500","0.2722","-0.0078"
"8.3000","0.2742","0.1652"
"8.3500","0.2756","0.0508"
"8.4000","0.2775","0.0833"
"8.4500","0.2789","0.0441"
"8.5000","0.2808","0.0982"
"8.5500","0.2822","0.4051"
"8.6000","0.2839","0.1927"
"8.6500","0.2858","0.0002"
"8.7000","0.2873","0.1458"
"8.7500","0.2891","0.2434"
"8.8000","0.2906","-0.0840"
"8.8500","0.2925","0.0363"
"8.9000","0.2938","0.0503"
"8.9500","0.2956","0.1019"
"9.0000","0.2974","0.1067"
"9.0500","0.2990","0.2252"
"9.1000","0.3008","0.1173"
"9.1500","0.3022","0.1061"
"9.2000","0.3041","0.0620"
"9.2500","0.3054","0.1206"
"9.3000","0.3073","0.3038"
"9.3500","0.3091","0.0133"
"9.4000","0.3107","-0.0818"
"9.4500","0.3124","0.1108"
"9.5000","0.3140","-0.0214"
"9.5500","0.3158","0.2411"
"9.6000","0.3171","0.2504"
"9.6500","0.3191","0.1456"
"9.7000","0.3207","0.1301"
"9.7500","0.3224","-0.0326"
"9.8000","0.3241","0.2171"
"9.8500","0.3256","0.0370"
"9.9000","0.3275","0.3013"
"9.9500","0.3288","0.3193"
"10.0000","0.3308","0.1132"
"10.0500","0.3323","0.1180"
"10.1000","0.3341","0.2275"
"10.1500","0.3357","0.1460"
"10.2000","0.3374","0.2128"
"10.2500","0.3390","0.3211"
"10.3000","0.3405","0.1016"
"10.3500","0.3425","0.0806"
"10.4000","0.3440","0.1114"
"10.4500","0.3457","0.1730"
"10.5000","0.3473","0.1110"
"10.5500","0.3491","0.1077"
"10.6000","0.3506","0.1244"
"10.6500","0.3521","0.2872"
"10.7000","0.3541","0.1879"
"10.7500","0.3556","0.1520"
"10.8000","0.3574","-0.1098"
"10.8500","0.3590","0.0615"
"10.9000","0.3607","0.2738"
"10.9500","0.3623","0.1413"
"11.0000","0.3639","0.2723"
"11.0500","0.3658","0.0951"
"11.1000","0.3673","0.0963"
"11.1500","0.3691","0.1900"
"11.2000","0.3707","0.0398"
"11.2500","0.3724","0.1543"
"11.3000","0.3739","0.1711"
"11.3500","0.3756","0.2040"
"11.4000","0.3775","0.1690"
"11.4500","0.3789","0.1574"
"11.5000","0.3808","0.1515"
"11.5500","0.3823","0.2486"
"11.6000","0.3841","0.2936"
"11.6500","0.3855","0.1916"
"11.7000","0.3873","0.2558"
"11.7500","0.3892","0.1554"
"11.8000","0.3906","0.3049"
"11.8500","0.3924","0.3088"
"11.9000","0.3940","0.0564"
"11.9500","0.3958","0.1075"
"12.0000","0.3971","0.2244"
