
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2506"
"0.0500","0.0001","0.1057"
"0.1000","0.0008","-0.3607"
"0.1500","0.0011","-0.1369"
"0.2000","0.0029","-0.0023"
"0.2500","0.0056","-0.1286"
"0.3000","0.0078","-0.1160"
"0.3500","0.0093","0.1124"
"0.4000","0.0111","-0.0553"
"0.4500","0.0127","0.0277"
"0.5000","0.0146","-0.0387"
"0.5500","0.0160","-0.2036"
"0.6000","0.0176","-0.1305"
"0.6500","0.0196","0.0556"
"0.7000","0.0210","0.1696"
"0.7500","0.0229","0.0476"
"0.8000","0.0244","-0.1061"
"0.8500","0.0263","-0.0093"
"0.9000","0.0276","0.1063"
"0.9500","0.0293","0.2079"
"1.0000","0.0312","0.0628"
"1.0500","0.0328","0.0214"
"1.1000","0.0346","-0.0358"
"1.1500","0.0360","0.0514"
"1.2000","0.0379","-0.2148"
"1.2500","0.0392","0.1878"
"1.3000","0.0410","0.1549"
"1.3500","0.0429","0.0614"
"1.4000","0.0444","-0.1199"
"1.4500","0.0462","-0.1232"
"1.5000","0.0476","0.0198"
"1.5500","0.0496","0.0450"
"1.6000","0.0509","0.0653"
"1.6500","0.0528","-0.0212"
"1.7000","0.0545","0.0398"
"1.7500","0.0561","-0.0144"
"1.8000","0.0578","0.0091"
"1.8500","0.0595","-0.0907"
"1.9000","0.0613","0.1152"
"1.9500","0.0625","0.0241"
"2.0000","0.0645","-0.1013"
"2.0500","0.0661","-0.0678"
"2.1000","0.0678","-0.1031"
"2.1500","0.0695","-0.0442"
"2.2000","0.0711","-0.1102"
"2.2500","0.0728","0.2527"
"2.3000","0.0742","-0.0130"
"2.3500","0.0762","-0.3043"
"2.4000","0.0778","0.1058"
"2.4500","0.0795","0.1875"
"2.5000","0.0811","0.1056"
"2.5500","0.0827","-0.0381"
"2.6000","0.0844","-0.1607"
"2.6500","0.0859","-0.0628"
"2.7000","0.0880","0.1400"
"2.7500","0.0894","0.0572"
"2.8000","0.0912","0.0653"
"2.8500","0.0928","0.0993"
"2.9000","0.0945","0.0142"
"2.9500","0.0961","0.0329"
"3.0000","0.0976","0.3478"
"3.0500","0.0996","0.0244"
"3.1000","0.1010","-0.0144"
"3.1500","0.1028","-0.0187"
"3.2000","0.1045","-0.0992"
"3.2500","0.1062","0.1427"
"3.3000","0.1076","0.1627"
"3.3500","0.1093","-0.0232"
"3.4000","0.1112","0.0359"
"3.4500","0.1127","0.0865"
"3.5000","0.1146","0.0784"
"3.5500","0.1161","0.0381"
"3.6000","0.1178","0.0996"
"3.6500","0.1193","-0.1566"
"3.7000","0.1211","0.1190"
"3.7500","0.1229","0.1148"
"3.8000","0.1243","0.3292"
"3.8500","0.1262","0.1980"
"3.9000","0.1277","0.1172"
"3.9500","0.1295","0.1137"
"4.0000","0.1310","0.0180"
"4.0500","0.1327","0.0772"
"4.1000","0.1345","0.0328"
"4.1500","0.1360","0.2641"
"4.2000","0.1379","0.1131"
"4.2500","0.1394","-0.2456"
"4.3000","0.1412","0.0253"
"4.3500","0.1425","0.0571"
"4.4000","0.1444","0.0183"
"4.4500","0.1462","0.0990"
"4.5000","0.1478","0.3217"
"4.5500","0.1496","-0.1410"
"4.6000","0.1510","0.1064"
"4.6500","0.1528","0.2662"
"4.7000","0.1542","0.4238"
"4.7500","0.1561","0.1071"
"4.8000","0.1578","-0.0063"
"4.8500","0.1594","0.0001"
"4.9000","0.1612","0.0799"
"4.9500","0.1627","0.0405"
"5.0000","0.1645","0.1150"
"5.0500","0.1659","0.1351"
"5.1000","0.1678","0.1103"
"5.1500","0.1694","0.0470"
"5.2000","0.1711","0.0326"
"5.2500","0.1728","-0.1000"
"5.3000","0.1744","0.0033"
"5.3500","0.1762","-0.0750"
"5.4000","0.1775","-0.0498"
"5.4500","0.1795","0.0355"
"5.5000","0.1811","-0.0005"
"5.5500","0.1828","0.0423"
"5.6000","0.1845","0.0969"
"5.6500","0.1861","-0.1885"
"5.7000","0.1878","-0.0137"
"5.7500","0.1892","0.1040"
"5.8000","0.1912","0.0441"
"5.8500","0.1927","0.2110"
"5.9000","0.1945","0.2643"
"5.9500","0.1961","0.0026"
"6.0000","0.1978","0.1927"
"6.0500","0.1995","0.2949"
"6.1000","0.2009","0.0891"
"6.1500","0.2029","0.1488"
