
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0638"
"0.0500","0.0001","0.0469"
"0.1000","0.0008","-0.0812"
"0.1500","0.0011","-0.0472"
"0.2000","0.0027","0.0765"
"0.2500","0.0056","-0.0587"
"0.3000","0.0077","0.0785"
"0.3500","0.0092","0.0651"
"0.4000","0.0111","-0.1628"
"0.4500","0.0127","-0.0115"
"0.5000","0.0144","0.1698"
"0.5500","0.0160","0.0799"
"0.6000","0.0175","-0.1068"
"0.6500","0.0196","-0.0616"
"0.7000","0.0210","0.0155"
"0.7500","0.0229","0.1124"
"0.8000","0.0244","0.1334"
"0.8500","0.0261","0.2283"
"0.9000","0.0276","0.0343"
"0.9500","0.0293","-0.0147"
"1.0000","0.0312","0.0996"
"1.0500","0.0326","-0.0044"
"1.1000","0.0345","0.0601"
"1.1500","0.0361","-0.0100"
"1.2000","0.0379","0.0644"
"1.2500","0.0392","-0.0051"
"1.3000","0.0409","0.1718"
"1.3500","0.0428","0.1544"
"1.4000","0.0443","0.0577"
"1.4500","0.0462","0.0507"
"1.5000","0.0477","0.1740"
"1.5500","0.0495","0.0318"
"1.6000","0.0509","0.1531"
"1.6500","0.0527","0.0993"
"1.7000","0.0545","0.0735"
"1.7500","0.0560","0.1098"
"1.8000","0.0579","-0.1736"
"1.8500","0.0593","-0.0084"
"1.9000","0.0611","-0.0433"
"1.9500","0.0625","0.0985"
"2.0000","0.0645","-0.0721"
"2.0500","0.0661","0.0465"
"2.1000","0.0677","0.1048"
"2.1500","0.0695","0.2287"
"2.2000","0.0710","0.0035"
"2.2500","0.0728","0.1476"
"2.3000","0.0742","0.2935"
"2.3500","0.0761","0.2211"
"2.4000","0.0778","-0.0364"
"2.4500","0.0794","0.0982"
"2.5000","0.0811","-0.0708"
"2.5500","0.0828","0.0250"
"2.6000","0.0845","0.1391"
"2.6500","0.0858","-0.0198"
"2.7000","0.0878","0.1329"
"2.7500","0.0894","0.1096"
"2.8000","0.0911","0.1871"
"2.8500","0.0928","0.1306"
"2.9000","0.0944","0.1057"
"2.9500","0.0961","0.2131"
"3.0000","0.0975","0.0068"
"3.0500","0.0995","-0.0521"
"3.1000","0.1011","-0.0411"
"3.1500","0.1027","0.2989"
"3.2000","0.1044","-0.0102"
"3.2500","0.1061","0.1357"
"3.3000","0.1077","-0.0129"
"3.3500","0.1092","0.1248"
"3.4000","0.1112","0.0945"
"3.4500","0.1127","-0.0012"
"3.5000","0.1144","0.1017"
"3.5500","0.1160","0.1479"
"3.6000","0.1178","0.2482"
