
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0839"
"0.0500","0.0001","0.2377"
"0.1000","0.0008","-0.0014"
"0.1500","0.0010","0.0405"
"0.2000","0.0026","0.0769"
"0.2500","0.0056","0.2320"
"0.3000","0.0077","0.1200"
"0.3500","0.0091","0.1475"
"0.4000","0.0111","0.1491"
"0.4500","0.0126","0.1945"
"0.5000","0.0143","0.0601"
"0.5500","0.0161","0.4245"
"0.6000","0.0177","0.4414"
"0.6500","0.0194","0.1494"
"0.7000","0.0208","0.1615"
"0.7500","0.0228","0.3111"
"0.8000","0.0243","0.2430"
"0.8500","0.0260","0.3458"
"0.9000","0.0277","0.3106"
"0.9500","0.0294","0.3202"
"1.0000","0.0310","0.2354"
"1.0500","0.0324","0.2358"
"1.1000","0.0345","0.2614"
"1.1500","0.0360","0.4268"
"1.2000","0.0377","0.1522"
"1.2500","0.0393","0.2182"
"1.3000","0.0411","0.2461"
"1.3500","0.0426","0.1365"
"1.4000","0.0442","0.2461"
"1.4500","0.0462","0.2719"
"1.5000","0.0476","0.4681"
"1.5500","0.0494","0.3178"
"1.6000","0.0510","0.2053"
"1.6500","0.0528","0.1179"
"1.7000","0.0543","0.1957"
"1.7500","0.0559","0.1390"
"1.8000","0.0579","0.3234"
"1.8500","0.0592","0.3602"
"1.9000","0.0611","0.2873"
"1.9500","0.0626","0.2944"
"2.0000","0.0646","0.3596"
"2.0500","0.0659","0.2993"
"2.1000","0.0676","0.4356"
"2.1500","0.0695","0.3213"
"2.2000","0.0709","0.4020"
"2.2500","0.0728","0.4480"
"2.3000","0.0742","0.5617"
"2.3500","0.0762","0.5839"
"2.4000","0.0775","0.4268"
"2.4500","0.0793","0.5561"
"2.5000","0.0811","0.5273"
"2.5500","0.0827","0.5777"
"2.6000","0.0845","0.4796"
"2.6500","0.0859","0.7329"
"2.7000","0.0878","0.4717"
"2.7500","0.0891","0.5995"
"2.8000","0.0910","0.8030"
"2.8500","0.0928","0.6938"
"2.9000","0.0943","0.9099"
"2.9500","0.0960","0.8470"
"3.0000","0.0976","0.8219"
"3.0500","0.0995","0.7945"
"3.1000","0.1009","0.9511"
"3.1500","0.1028","0.8733"
"3.2000","0.1043","0.7558"
"3.2500","0.1060","1.1313"
"3.3000","0.1077","0.7072"
"3.3500","0.1094","1.0134"
"3.4000","0.1112","0.9522"
"3.4500","0.1124","1.2966"
"3.5000","0.1144","1.2195"
"3.5500","0.1160","1.2000"
"3.6000","0.1178","1.2565"
"3.6500","0.1194","1.1564"
"3.7000","0.1210","1.2856"
"3.7500","0.1227","1.4136"
"3.8000","0.1241","1.7515"
"3.8500","0.1262","1.6055"
"3.9000","0.1277","1.9102"
"3.9500","0.1295","2.1566"
"4.0000","0.1310","2.0491"
"4.0500","0.1327","2.4592"
"4.1000","0.1343","2.8981"
"4.1500","0.1359","3.3487"
"4.2000","0.1379","3.5738"
"4.2500","0.1392","3.5382"
"4.3000","0.1411","4.0538"
"4.3500","0.1426","4.4775"
"4.4000","0.1445","4.6946"
"4.4500","0.1460","4.8099"
"4.5000","0.1475","5.1351"
"4.5500","0.1494","5.3454"
"4.6000","0.1508","5.6774"
"4.6500","0.1528","5.9706"
"4.7000","0.1543","5.9952"
"4.7500","0.1561","6.4012"
"4.8000","0.1575","6.4355"
"4.8500","0.1592","6.6965"
"4.9000","0.1611","6.9224"
"4.9500","0.1626","7.3307"
"5.0000","0.1645","7.4686"
"5.0500","0.1659","7.8355"
"5.1000","0.1677","8.0402"
"5.1500","0.1692","8.1457"
"5.2000","0.1710","8.1929"
"5.2500","0.1728","8.6395"
"5.3000","0.1743","8.8656"
"5.3500","0.1761","8.8247"
"5.4000","0.1776","9.3216"
"5.4500","0.1795","9.2809"
"5.5000","0.1809","9.6248"
"5.5500","0.1827","9.5411"
"5.6000","0.1844","9.5339"
"5.6500","0.1859","10.1177"
"5.7000","0.1878","10.3659"
"5.7500","0.1894","10.4426"
"5.8000","0.1912","10.6969"
"5.8500","0.1924","10.7660"
"5.9000","0.1943","11.0289"
"5.9500","0.1960","11.1655"
"6.0000","0.1977","11.6008"
"6.0500","0.1994","11.5788"
"6.1000","0.2009","11.8777"
"6.1500","0.2027","11.9281"
"6.2000","0.2040","12.3816"
"6.2500","0.2061","12.4115"
"6.3000","0.2078","12.5832"
"6.3500","0.2093","13.0240"
"6.4000","0.2110","13.3055"
"6.4500","0.2126","13.1693"
"6.5000","0.2144","13.6045"
"6.5500","0.2158","13.5613"
"6.6000","0.2178","13.7948"
"6.6500","0.2193","14.0687"
"6.7000","0.2210","14.1761"
"6.7500","0.2227","14.0843"
"6.8000","0.2244","14.4315"
"6.8500","0.2261","14.6368"
"6.9000","0.2274","14.7517"
"6.9500","0.2294","15.1361"
"7.0000","0.2310","15.2129"
"7.0500","0.2327","15.3849"
"7.1000","0.2344","15.4800"
"7.1500","0.2361","15.7744"
"7.2000","0.2377","15.8121"
"7.2500","0.2391","16.2977"
"7.3000","0.2411","16.4519"
"7.3500","0.2427","16.5545"
"7.4000","0.2444","16.6770"
"7.4500","0.2460","16.9418"
"7.5000","0.2477","17.1135"
"7.5500","0.2493","17.1407"
"7.6000","0.2509","17.2043"
"7.6500","0.2528","17.7684"
"7.7000","0.2542","17.9352"
"7.7500","0.2561","17.9559"
"7.8000","0.2576","18.1042"
"7.8500","0.2594","18.3522"
"7.9000","0.2609","18.5522"
"7.9500","0.2625","18.6589"
"8.0000","0.2645","18.8281"
"8.0500","0.2659","19.0283"
"8.1000","0.2678","19.0400"
"8.1500","0.2693","19.1860"
"8.2000","0.2712","19.6075"
"8.2500","0.2725","19.7349"
"8.3000","0.2742","19.8833"
"8.3500","0.2761","20.0211"
"8.4000","0.2776","20.2404"
"8.4500","0.2795","20.2690"
"8.5000","0.2809","20.4963"
"8.5500","0.2828","20.7546"
"8.6000","0.2841","20.9472"
"8.6500","0.2860","20.9507"
"8.7000","0.2878","21.2730"
"8.7500","0.2892","21.2999"
"8.8000","0.2911","21.5809"
"8.8500","0.2926","21.8335"
"8.9000","0.2945","21.8682"
"8.9500","0.2958","22.1886"
"9.0000","0.2977","22.4035"
"9.0500","0.2994","22.5107"
"9.1000","0.3009","22.7527"
"9.1500","0.3028","22.7728"
"9.2000","0.3043","23.0847"
"9.2500","0.3062","22.9834"
"9.3000","0.3074","23.1639"
"9.3500","0.3094","23.3543"
"9.4000","0.3111","23.3634"
"9.4500","0.3127","23.6423"
"9.5000","0.3144","24.0099"
"9.5500","0.3160","24.1344"
"9.6000","0.3178","24.4264"
"9.6500","0.3191","24.3986"
"9.7000","0.3211","24.5269"
"9.7500","0.3227","24.8550"
"9.8000","0.3244","24.9025"
"9.8500","0.3260","25.4165"
"9.9000","0.3276","25.2657"
"9.9500","0.3294","25.3112"
"10.0000","0.3308","25.5245"
"10.0500","0.3328","25.8907"
"10.1000","0.3343","25.8642"
"10.1500","0.3361","26.0087"
"10.2000","0.3376","26.3020"
"10.2500","0.3394","26.5056"
"10.3000","0.3410","26.5576"
"10.3500","0.3425","26.6353"
"10.4000","0.3445","26.6134"
"10.4500","0.3460","26.9730"
"10.5000","0.3478","27.2590"
"10.5500","0.3493","27.4315"
"10.6000","0.3511","27.6465"
"10.6500","0.3526","27.6487"
"10.7000","0.3542","27.6845"
"10.7500","0.3561","27.9425"
"10.8000","0.3576","27.9852"
"10.8500","0.3595","28.3058"
"10.9000","0.3609","28.3140"
"10.9500","0.3628","28.5775"
"11.0000","0.3642","28.5381"
"11.0500","0.3659","28.7010"
"11.1000","0.3678","28.8711"
"11.1500","0.3693","28.9809"
"11.2000","0.3712","28.9104"
"11.2500","0.3726","29.2789"
"11.3000","0.3744","29.5142"
