
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0489"
"0.2500","0.0163","12.3292"
"0.5000","0.0372","42.8065"
"0.7500","0.0580","79.6931"
"1.0000","0.0788","126.5793"
"1.2500","0.0995","186.9215"
"1.5000","0.1204","265.3499"
"1.7500","0.1413","363.4803"
"2.0000","0.1621","480.1430"
"2.2500","0.1829","613.9344"
"2.5000","0.2037","762.5726"
"2.7500","0.2245","925.6003"
"3.0000","0.2455","1104.9902"
"3.2500","0.2664","1295.7719"
"3.5000","0.2871","1496.7411"
"3.7500","0.3079","1709.0773"
"4.0000","0.3287","1930.2052"
"4.2500","0.3495","2160.8257"
"4.5000","0.3705","2398.0342"
"4.7500","0.3913","2635.2612"
"5.0000","0.4121","2866.7285"
"5.2500","0.4328","3094.1377"
"5.5000","0.4537","3317.6511"
"5.7500","0.4746","3535.8979"
"6.0000","0.4955","3746.0378"
"6.2500","0.5163","3947.1362"
"6.5000","0.5370","4140.4790"
"6.7500","0.5579","4331.2480"
"7.0000","0.5788","4514.3223"
"7.2500","0.5996","4692.9683"
"7.5000","0.6205","4865.2744"
"7.7500","0.6413","5030.3599"
"8.0000","0.6620","5190.4404"
"8.2500","0.6829","5349.8408"
"8.5000","0.7038","5505.2939"
"8.7500","0.7246","5655.0400"
"9.0000","0.7455","5797.9419"
"9.2500","0.7661","5934.5269"
"9.5000","0.7870","6072.1484"
"9.7500","0.8080","6207.4287"
"10.0000","0.8288","6336.0503"
"10.2500","0.8496","6458.4175"
"10.5000","0.8704","6577.7979"
"10.7500","0.8912","6693.2671"
"11.0000","0.9120","6806.5176"
"11.2500","0.9331","6921.7578"
"11.5000","0.9538","7025.6875"
"11.7500","0.9746","7126.9937"
"12.0000","0.9954","7225.7012"
"12.2500","1.0162","7322.0776"
"12.5000","1.0372","7418.6079"
"12.7500","1.0581","7508.3599"
"13.0000","1.0788","7593.7354"
"13.2500","1.0996","7676.7334"
"13.5000","1.1204","7756.0312"
"13.7500","1.1412","7836.0825"
"14.0000","1.1623","7916.5625"
"14.2500","1.1830","7987.9360"
"14.5000","1.2037","8056.1870"
"14.7500","1.2246","8123.0469"
"15.0000","1.2454","8189.8115"
"15.2500","1.2664","8256.9834"
"15.5000","1.2872","8316.1836"
"15.7500","1.3079","8373.3125"
"16.0000","1.3287","8429.0732"
"16.2500","1.3496","8482.1123"
"16.5000","1.3705","8536.0156"
"16.7500","1.3914","8588.9414"
"17.0000","1.4121","8635.1562"
"17.2500","1.4329","8679.8945"
"17.5000","1.4537","8724.4150"
"17.7500","1.4746","8767.5049"
"18.0000","1.4955","8811.9219"
"18.2500","1.5163","8850.8633"
"18.5000","1.5371","8887.9434"
"18.7500","1.5578","8921.2725"
"19.0000","1.5787","8959.5146"
"19.2500","1.5997","8994.1514"
"19.5000","1.6205","9028.1182"
"19.7500","1.6413","9059.7490"
"20.0000","1.6620","9085.9277"
"20.2500","1.6828","9114.4229"
"20.5000","1.7039","9147.5801"
"20.7500","1.7247","9175.4004"
"21.0000","1.7454","9199.5039"
"21.2500","1.7663","9224.2559"
"21.5000","1.7871","9247.0732"
"21.7500","1.8079","9272.1055"
"22.0000","1.8289","9297.2842"
"22.2500","1.8497","9318.7939"
"22.5000","1.8705","9340.4502"
"22.7500","1.8912","9357.9102"
"23.0000","1.9120","9377.9873"
"23.2500","1.9330","9402.9170"
"23.5000","1.9539","9423.9775"
"23.7500","1.9746","9438.4619"
"24.0000","1.9954","9457.3887"
"24.2500","2.0162","9472.4570"
"24.5000","2.0371","9493.4492"
"24.7500","2.0580","9513.2715"
"25.0000","2.0789","9529.8086"
"25.2500","2.0996","9544.4219"
"25.5000","2.1203","9559.1338"
"25.7500","2.1413","9576.5098"
"26.0000","2.1621","9593.8945"
"26.2500","2.1831","9612.6328"
"26.5000","2.2038","9624.3516"
"26.7500","2.2245","9636.9561"
"27.0000","2.2454","9653.7959"
"27.2500","2.2663","9668.1016"
"27.5000","2.2871","9684.1807"
"27.7500","2.3081","9701.3389"
"28.0000","2.3288","9711.9102"
"28.2500","2.3495","9724.0791"
"28.5000","2.3704","9740.4102"
"28.7500","2.3914","9757.9082"
"29.0000","2.4122","9772.1162"
"29.2500","2.4330","9784.1689"
"29.5000","2.4537","9794.0381"
"29.7500","2.4745","9808.8945"
"30.0000","2.4955","9826.0176"
"30.2500","2.5164","9839.7861"
"30.5000","2.5371","9851.9150"
"30.7500","2.5579","9862.9961"
"31.0000","2.5787","9874.4492"
"31.2500","2.5995","9888.3291"
"31.5000","2.6206","9906.9434"
"31.7500","2.6414","9919.0098"
"32.0000","2.6621","9929.7021"
"32.2500","2.6829","9940.2559"
"32.5000","2.7037","9953.8584"
"32.7500","2.7247","9970.1475"
"33.0000","2.7456","9982.8613"
"33.2500","2.7663","9993.5391"
"33.5000","2.7871","10004.1445"
"33.7500","2.8078","10014.6816"
"34.0000","2.8287","10028.0234"
"34.2500","2.8498","10045.5273"
"34.5000","2.8705","10055.8486"
"34.7500","2.8912","10064.7930"
"35.0000","2.9120","10075.5996"
"35.2500","2.9329","10089.7539"
"35.5000","2.9539","10104.1885"
"35.7500","2.9747","10115.8691"
"36.0000","2.9954","10124.8457"
"36.2500","3.0162","10134.3896"
"36.5000","3.0370","10144.2197"
"36.7500","3.0580","10158.4014"
"37.0000","3.0789","10171.6484"
"37.2500","3.0997","10179.3018"
"37.5000","3.1204","10185.5156"
"37.7500","3.1412","10195.7676"
"38.0000","3.1620","10203.4746"
"38.2500","3.1831","10219.2549"
"38.5000","3.2038","10226.4229"
"38.7500","3.2246","10232.9121"
"39.0000","3.2454","10239.5332"
"39.2500","3.2663","10247.8467"
"39.5000","3.2872","10258.1455"
"39.7500","3.3080","10266.5352"
"40.0000","3.3288","10273.3213"
"40.2500","3.3496","10276.6035"
"40.5000","3.3703","10282.1865"
"40.7500","3.3914","10293.6328"
"41.0000","3.4122","10300.3760"
"41.2500","3.4329","10303.3271"
"41.5000","3.4538","10308.0400"
"41.7500","3.4745","10309.7461"
"42.0000","3.4954","10314.2100"
"42.2500","3.5164","10321.6045"
"42.5000","3.5372","10322.3701"
"42.7500","3.5580","10324.3027"
"43.0000","3.5787","10321.4297"
"43.2500","3.5995","10321.3164"
"43.5000","3.6205","10324.9189"
"43.7500","3.6414","10326.7256"
"44.0000","3.6621","10322.5244"
"44.2500","3.6829","10319.7559"
"44.5000","3.7037","10315.6738"
"44.7500","3.7246","10314.8945"
"45.0000","3.7455","10314.3525"
"45.2500","3.7664","10309.7178"
"45.5000","3.7871","10302.8574"
"45.7500","3.8078","10293.0303"
"46.0000","3.8288","10287.3047"
"46.2500","3.8497","10281.5430"
"46.5000","3.8706","10274.2197"
"46.7500","3.8913","10261.2666"
"47.0000","3.9120","10245.8809"
"47.2500","3.9329","10235.6748"
"47.5000","3.9538","10220.4951"
"47.7500","3.9747","10206.3994"
"48.0000","3.9956","10190.4756"
"48.2500","4.0163","10164.4609"
"48.5000","4.0370","10135.9834"
"48.7500","4.0579","10110.9951"
"49.0000","4.0789","10086.0391"
"49.2500","4.0996","10058.8633"
"49.5000","4.1205","10030.8994"
"49.7500","4.1412","9999.8701"
"50.0000","4.1620","9971.0186"
"50.2500","4.1830","9947.0557"
"50.5000","4.2038","9916.8789"
"50.7500","4.2246","9883.7969"
"51.0000","4.2454","9844.3564"
"51.2500","4.2662","9801.1357"
"51.5000","4.2871","9751.4385"
"51.7500","4.3081","9695.8154"
"52.0000","4.3289","9618.3701"
"52.2500","4.3496","9519.8457"
"52.5000","4.3704","9416.1680"
"52.7500","4.3912","9321.6104"
"53.0000","4.4122","9248.8232"
"53.2500","4.4330","9183.7783"
"53.5000","4.4538","9119.4492"
"53.7500","4.4746","9050.8682"
"54.0000","4.4954","8986.3613"
"54.2500","4.5162","8929.7656"
"54.5000","4.5373","8880.1133"
"54.7500","4.5580","8828.4600"
"55.0000","4.5787","8781.5635"
"55.2500","4.5995","8735.9893"
"55.5000","4.6204","8689.7539"
"55.7500","4.6414","8641.4297"
"56.0000","4.6622","8586.2119"
"56.2500","4.6829","8530.9219"
"56.5000","4.7037","8472.3037"
"56.7500","4.7246","8409.3672"
"57.0000","4.7455","8343.7070"
"57.2500","4.7663","8280.1895"
"57.5000","4.7871","8216.9004"
"57.7500","4.8079","8156.5649"
"58.0000","4.8287","8085.2607"
"58.2500","4.8496","8016.0103"
"58.5000","4.8706","7943.7344"
"58.7500","4.8913","7862.0732"
"59.0000","4.9121","7776.1860"
"59.2500","4.9329","7681.5688"
"59.5000","4.9537","7574.3691"
"59.7500","4.9747","7457.0039"
"60.0000","4.9955","7289.7739"
"60.2500","5.0164","7093.4414"
"60.5000","5.0370","6946.4146"
"60.7500","5.0578","6810.5317"
"61.0000","5.0789","6703.5718"
"61.2500","5.0998","6613.9116"
"61.5000","5.1205","6523.5786"
"61.7500","5.1413","6431.1108"
"62.0000","5.1621","6324.6787"
"62.2500","5.1830","5627.3159"
"62.5000","5.2039","5078.1348"
"62.7500","5.2247","4494.7241"
"63.0000","5.2455","4233.9238"
"63.2500","5.2662","4176.4077"
"63.5000","5.2870","4137.1816"
"63.7500","5.3080","4111.0483"
"64.0000","5.3289","4086.4927"
"64.2500","5.3496","4070.9888"
"64.5000","5.3704","4070.0369"
"64.7500","5.3912","4073.0071"
"65.0000","5.4121","4078.6826"
"65.2500","5.4330","4085.4189"
"65.5000","5.4538","4088.1831"
"65.7500","5.4746","4088.2461"
"66.0000","5.4954","4083.3545"
"66.2500","5.5163","4074.5952"
"66.5000","5.5371","4063.0073"
"66.7500","5.5581","4049.7820"
"67.0000","5.5788","4032.5571"
"67.2500","5.5995","4012.0564"
"67.5000","5.6204","3995.2405"
"67.7500","5.6413","3979.5020"
"68.0000","5.6621","3966.1406"
"68.2500","5.6830","3954.1409"
"68.5000","5.7038","3936.5552"
"68.7500","5.7245","3920.3208"
"69.0000","5.7454","3907.1594"
"69.2500","5.7663","3893.6335"
"69.5000","5.7871","3876.4756"
"69.7500","5.8080","3849.8965"
"70.0000","5.8287","3821.2388"
"70.2500","5.8496","3798.6663"
"70.5000","5.8705","3772.3015"
"70.7500","5.8913","3741.2275"
"71.0000","5.9122","3707.9529"
"71.2500","5.9329","3663.9492"
"71.5000","5.9537","3611.3245"
"71.7500","5.9746","3547.0464"
"72.0000","5.9956","3478.5605"
"72.2500","6.0163","3410.4253"
"72.5000","6.0371","3345.0298"
"72.7500","6.0579","3281.2341"
"73.0000","6.0787","3210.0859"
"73.2500","6.0998","3104.0400"
"73.5000","6.1205","2913.9412"
"73.6200","6.1305","2578.6980"

