
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0633"
"0.0500","0.0001","-0.1107"
"0.1000","0.0008","-0.0464"
"0.1500","0.0011","-0.0571"
"0.2000","0.0030","0.3446"
"0.2500","0.0055","0.1040"
"0.3000","0.0076","-0.0346"
"0.3500","0.0094","0.0964"
"0.4000","0.0111","0.0258"
"0.4500","0.0125","0.0336"
"0.5000","0.0146","-0.0784"
"0.5500","0.0160","0.0914"
"0.6000","0.0178","0.0077"
"0.6500","0.0194","0.1386"
"0.7000","0.0212","0.0192"
"0.7500","0.0227","0.0027"
"0.8000","0.0242","0.0786"
"0.8500","0.0263","-0.0613"
"0.9000","0.0277","-0.0557"
"0.9500","0.0296","0.0023"
"1.0000","0.0310","-0.1240"
"1.0500","0.0329","-0.0280"
"1.1000","0.0343","0.0421"
"1.1500","0.0359","0.1730"
"1.2000","0.0379","-0.0280"
"1.2500","0.0394","0.1771"
"1.3000","0.0412","0.0395"
"1.3500","0.0426","0.0474"
"1.4000","0.0445","0.0895"
"1.4500","0.0459","0.1723"
"1.5000","0.0477","0.1208"
"1.5500","0.0495","0.2293"
"1.6000","0.0510","0.1143"
"1.6500","0.0528","-0.0038"
"1.7000","0.0543","0.0580"
"1.7500","0.0562","0.0089"
"1.8000","0.0576","-0.0646"
"1.8500","0.0594","0.0012"
"1.9000","0.0612","-0.0050"
"1.9500","0.0627","0.0703"
"2.0000","0.0645","-0.0271"
"2.0500","0.0660","-0.1443"
"2.1000","0.0679","0.0928"
"2.1500","0.0692","0.1548"
"2.2000","0.0711","0.0947"
"2.2500","0.0728","0.2456"
"2.3000","0.0745","0.0337"
"2.3500","0.0762","0.2141"
"2.4000","0.0777","-0.0268"
"2.4500","0.0795","0.1320"
"2.5000","0.0809","0.0066"
"2.5500","0.0829","0.0836"
"2.6000","0.0845","0.1708"
"2.6500","0.0862","0.1707"
"2.7000","0.0878","0.1686"
"2.7500","0.0894","0.0348"
"2.8000","0.0911","0.0713"
"2.8500","0.0926","0.0608"
"2.9000","0.0946","0.0967"
"2.9500","0.0960","0.0890"
"3.0000","0.0978","0.0328"
"3.0500","0.0994","0.2043"
"3.1000","0.1012","-0.0123"
"3.1500","0.1028","-0.1131"
"3.2000","0.1042","-0.0144"
"3.2500","0.1062","-0.0930"
"3.3000","0.1076","0.1391"
"3.3500","0.1095","0.0215"
"3.4000","0.1111","0.0009"
"3.4500","0.1128","-0.2694"
"3.5000","0.1144","0.0301"
"3.5500","0.1159","-0.1152"
"3.6000","0.1179","0.0414"
"3.6500","0.1194","0.3135"
"3.7000","0.1212","-0.0067"
"3.7500","0.1227","0.0761"
"3.8000","0.1245","0.0574"
"3.8500","0.1260","0.1882"
"3.9000","0.1277","0.0354"
"3.9500","0.1296","0.0786"
"4.0000","0.1310","0.0932"
"4.0500","0.1328","0.1053"
"4.1000","0.1343","-0.0543"
"4.1500","0.1362","0.0024"
"4.2000","0.1377","0.1885"
"4.2500","0.1393","0.0166"
"4.3000","0.1412","0.2004"
"4.3500","0.1427","0.1668"
"4.4000","0.1445","0.1888"
"4.4500","0.1461","-0.0248"
"4.5000","0.1479","-0.0876"
"4.5500","0.1493","0.1607"
"4.6000","0.1510","-0.0136"
"4.6500","0.1528","-0.0253"
"4.7000","0.1544","0.1332"
"4.7500","0.1562","0.0389"
"4.8000","0.1577","0.2870"
"4.8500","0.1595","0.1110"
"4.9000","0.1609","0.2202"
"4.9500","0.1627","0.0339"
"5.0000","0.1646","0.1269"
"5.0500","0.1661","0.2034"
"5.1000","0.1678","0.1936"
"5.1500","0.1693","0.0643"
"5.2000","0.1712","0.1388"
"5.2500","0.1726","0.2403"
"5.3000","0.1745","-0.0037"
"5.3500","0.1761","-0.0294"
"5.4000","0.1777","0.1561"
"5.4500","0.1795","0.0354"
"5.5000","0.1811","0.0282"
"5.5500","0.1829","0.0265"
"5.6000","0.1842","0.0749"
"5.6500","0.1861","0.1478"
"5.7000","0.1878","0.2850"
"5.7500","0.1894","-0.0460"
"5.8000","0.1911","-0.1072"
