
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0313"
"0.0500","0.0001","-0.0303"
"0.1000","0.0008","-0.1253"
"0.1500","0.0011","0.1445"
"0.2000","0.0029","0.0981"
"0.2500","0.0059","0.0979"
"0.3000","0.0078","0.1797"
"0.3500","0.0093","0.0750"
"0.4000","0.0110","0.3066"
"0.4500","0.0127","0.0983"
"0.5000","0.0142","0.3334"
"0.5500","0.0162","0.3725"
"0.6000","0.0177","0.3826"
"0.6500","0.0195","0.3393"
"0.7000","0.0210","0.3742"
"0.7500","0.0228","0.1509"
"0.8000","0.0244","0.2807"
"0.8500","0.0260","0.2104"
"0.9000","0.0279","0.1327"
"0.9500","0.0294","0.2501"
"1.0000","0.0312","0.3970"
"1.0500","0.0327","0.1615"
"1.1000","0.0346","0.2891"
"1.1500","0.0360","0.3364"
"1.2000","0.0377","0.4196"
"1.2500","0.0395","0.4940"
"1.3000","0.0411","0.5682"
"1.3500","0.0429","0.3328"
"1.4000","0.0443","0.3578"
"1.4500","0.0462","0.6346"
"1.5000","0.0476","0.6824"
"1.5500","0.0494","0.6697"
"1.6000","0.0512","0.5990"
"1.6500","0.0528","0.7084"
"1.7000","0.0546","0.9031"
"1.7500","0.0560","0.9782"
"1.8000","0.0579","1.1127"
"1.8500","0.0592","1.2455"
"1.9000","0.0612","1.3132"
"1.9500","0.0628","1.1033"
"2.0000","0.0644","1.4793"
"2.0500","0.0662","1.4212"
"2.1000","0.0677","1.6234"
"2.1500","0.0695","1.8135"
"2.2000","0.0708","2.0136"
"2.2500","0.0728","2.3744"
"2.3000","0.0744","2.2787"
"2.3500","0.0761","2.4471"
"2.4000","0.0778","2.4590"
"2.4500","0.0794","2.5575"
"2.5000","0.0812","2.6084"
"2.5500","0.0825","2.8819"
"2.6000","0.0845","2.6734"
"2.6500","0.0861","2.4789"
"2.7000","0.0878","2.4278"
"2.7500","0.0895","2.5387"
"2.8000","0.0911","2.5966"
"2.8500","0.0928","2.7101"
"2.9000","0.0942","2.6129"
"2.9500","0.0963","2.7887"
"3.0000","0.0977","2.7123"
"3.0500","0.0995","2.4312"
"3.1000","0.1011","2.6539"
"3.1500","0.1028","2.7920"
"3.2000","0.1044","2.9032"
"3.2500","0.1059","2.7376"
"3.3000","0.1079","2.8792"
"3.3500","0.1094","2.6199"
"3.4000","0.1112","2.7863"
"3.4500","0.1128","2.6689"
"3.5000","0.1146","2.7942"
"3.5500","0.1160","2.6468"
"3.6000","0.1176","2.8349"
"3.6500","0.1195","2.7350"
"3.7000","0.1211","2.6648"
"3.7500","0.1229","2.8493"
"3.8000","0.1244","2.8696"
"3.8500","0.1262","2.6957"
"3.9000","0.1277","2.6453"
"3.9500","0.1293","2.7166"
"4.0000","0.1312","2.7824"
"4.0500","0.1327","2.6495"
"4.1000","0.1345","2.9076"
"4.1500","0.1360","2.9077"
"4.2000","0.1379","2.8104"
"4.2500","0.1393","2.8098"
"4.3000","0.1410","2.8228"
"4.3500","0.1429","2.9596"
"4.4000","0.1444","2.8941"
"4.4500","0.1462","2.8888"
"4.5000","0.1477","2.9622"
"4.5500","0.1496","2.8389"
"4.6000","0.1509","2.9778"
"4.6500","0.1527","3.0137"
"4.7000","0.1546","2.8455"
"4.7500","0.1561","2.9634"
"4.8000","0.1579","3.1645"
"4.8500","0.1593","2.6742"
"4.9000","0.1612","2.9730"
"4.9500","0.1626","2.8597"
"5.0000","0.1644","3.0321"
"5.0500","0.1662","3.0048"
"5.1000","0.1677","3.0572"
"5.1500","0.1695","2.9208"
"5.2000","0.1711","2.9716"
"5.2500","0.1729","3.0283"
"5.3000","0.1742","3.0279"
"5.3500","0.1761","2.9024"
"5.4000","0.1778","3.0566"
"5.4500","0.1794","3.0096"
"5.5000","0.1812","2.9143"
"5.5500","0.1828","2.8543"
"5.6000","0.1845","3.0358"
"5.6500","0.1859","2.9875"
"5.7000","0.1878","3.0689"
"5.7500","0.1894","3.0712"
"5.8000","0.1911","3.0333"
"5.8500","0.1928","3.3142"
"5.9000","0.1944","3.1592"
"5.9500","0.1962","3.3542"
"6.0000","0.1975","3.4517"
"6.0500","0.1995","3.3929"
"6.1000","0.2011","3.4464"
"6.1500","0.2028","3.6567"
"6.2000","0.2044","3.5513"
"6.2500","0.2061","3.5058"
"6.3000","0.2078","3.2648"
"6.3500","0.2092","3.5205"
