
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.2970"
"0.1000","0.0007","2.2105"
"0.2000","0.0025","8.0919"
"0.3000","0.0071","24.8422"
"0.4000","0.0109","38.0260"
"0.5000","0.0142","49.2985"
"0.6000","0.0175","60.5850"
"0.7000","0.0207","71.4343"
"0.8000","0.0241","82.5568"
"0.9000","0.0275","93.8786"
"1.0000","0.0305","103.8543"
"1.1000","0.0342","115.8873"
"1.2000","0.0376","126.5481"
"1.3000","0.0408","136.9581"
"1.4000","0.0441","147.3641"
"1.5000","0.0473","157.4801"
"1.6000","0.0507","168.0589"
"1.7000","0.0539","177.9713"
"1.8000","0.0574","188.6152"
"1.9000","0.0608","198.7752"
"2.0000","0.0642","208.9070"
"2.1000","0.0675","218.6235"
"2.2000","0.0708","228.0005"
"2.3000","0.0741","237.5029"
"2.4000","0.0772","246.4688"
"2.5000","0.0807","256.4765"
"2.6000","0.0841","266.1805"
"2.7000","0.0875","275.2185"
"2.8000","0.0909","284.4738"
"2.9000","0.0942","293.6537"
"3.0000","0.0975","302.9905"
"3.1000","0.1006","310.7264"
"3.2000","0.1040","319.9628"
"3.3000","0.1074","328.8228"
"3.4000","0.1106","337.1476"
"3.5000","0.1143","346.7339"
"3.6000","0.1175","354.8896"
"3.7000","0.1209","363.4347"
"3.8000","0.1240","371.1673"
"3.9000","0.1273","379.1581"
"4.0000","0.1307","387.5725"
"4.1000","0.1339","394.9710"
"4.2000","0.1375","403.9938"
"4.3000","0.1409","412.1598"
"4.4000","0.1443","420.1971"
"4.5000","0.1475","427.3004"
"4.6000","0.1508","434.8535"
"4.7000","0.1540","442.3585"
"4.8000","0.1572","449.2334"
"4.9000","0.1608","457.9454"
"5.0000","0.1641","465.0867"
"5.1000","0.1675","472.6372"
"5.2000","0.1709","480.2525"
"5.3000","0.1741","487.1764"
"5.4000","0.1774","494.0610"
"5.5000","0.1805","500.3345"
"5.6000","0.1841","508.0685"
"5.7000","0.1874","514.8904"
"5.8000","0.1908","521.9800"
"5.9000","0.1942","529.2496"
"6.0000","0.1976","536.0650"
"6.1000","0.2008","542.4506"
"6.2000","0.2040","548.4628"
"6.3000","0.2074","555.0275"
"6.4000","0.2107","561.4943"
"6.5000","0.2139","567.7894"
"6.6000","0.2176","575.1561"
"6.7000","0.2209","581.3339"
"6.8000","0.2242","587.6635"
"6.9000","0.2274","593.2551"
"7.0000","0.2307","599.5179"
"7.1000","0.2341","605.4892"
"7.2000","0.2372","611.1117"
"7.3000","0.2408","618.1536"
"7.4000","0.2442","624.3950"
"7.5000","0.2475","630.1608"
"7.6000","0.2509","636.4600"
"7.7000","0.2541","641.7043"
"7.8000","0.2574","647.5091"
"7.9000","0.2606","652.9564"
"8.0000","0.2641","659.5202"
"8.1000","0.2675","665.3234"
"8.2000","0.2708","670.7441"
"8.3000","0.2742","676.6247"
"8.4000","0.2775","682.1660"
"8.5000","0.2808","687.4069"
"8.6000","0.2839","692.3500"
"8.7000","0.2874","698.3248"
"8.8000","0.2907","703.6558"
"8.9000","0.2941","709.1948"
"9.0000","0.2976","715.1968"
"9.1000","0.3008","720.2222"
"9.2000","0.3042","726.0768"
"9.3000","0.3073","730.3538"
"9.4000","0.3107","735.9717"
"9.5000","0.3141","741.0481"
"9.6000","0.3173","746.0841"
"9.7000","0.3209","752.1054"
"9.8000","0.3242","757.4081"
"9.9000","0.3276","762.2557"
"10.0000","0.3307","766.8859"
"10.1000","0.3340","771.6882"
"10.2000","0.3374","776.7969"
"10.3000","0.3406","781.3081"
"10.4000","0.3442","786.7728"
"10.5000","0.3475","791.9478"
"10.6000","0.3509","796.9836"
"10.7000","0.3541","801.2028"
"10.8000","0.3574","805.6820"
"10.9000","0.3607","810.4921"
"11.0000","0.3639","814.5781"
"11.1000","0.3675","820.0364"
"11.2000","0.3709","824.9347"
"11.3000","0.3742","829.2372"
"11.4000","0.3776","833.9876"
"11.5000","0.3808","838.2009"
"11.6000","0.3842","842.4916"
"11.7000","0.3872","846.0090"
"11.8000","0.3908","851.0349"
"11.9000","0.3941","855.0399"
"12.0000","0.3975","859.6254"
"12.1000","0.4009","864.3047"
"12.2000","0.4042","868.3047"
"12.3000","0.4075","872.5045"
"12.4000","0.4106","875.9657"
"12.5000","0.4140","879.9292"
"12.6000","0.4173","884.1271"
"12.7000","0.4207","888.0665"
"12.8000","0.4243","892.8189"
"12.9000","0.4275","896.7032"
"13.0000","0.4310","900.8574"
"13.1000","0.4341","903.7313"
"13.2000","0.4374","907.4619"
"13.3000","0.4407","911.0932"
"13.4000","0.4439","914.6011"
"13.5000","0.4475","919.1622"
"13.6000","0.4509","923.0375"
"13.7000","0.4542","926.4529"
"13.8000","0.4575","930.2527"
"13.9000","0.4608","933.2905"
"14.0000","0.4641","936.6273"
"14.1000","0.4672","939.3573"
"14.2000","0.4707","943.5059"
"14.3000","0.4742","947.3088"
"14.4000","0.4775","950.5137"
"14.5000","0.4809","954.3216"
"14.6000","0.4842","957.4141"
"14.7000","0.4875","960.4985"
"14.8000","0.4906","963.1310"
"14.9000","0.4940","966.5477"
"15.0000","0.4974","969.9918"
"15.1000","0.5007","972.8854"
"15.2000","0.5043","976.6168"
"15.3000","0.5075","979.0934"
"15.4000","0.5109","982.3738"
"15.5000","0.5140","984.5330"
"15.6000","0.5174","987.9282"
"15.7000","0.5207","990.5281"
"15.8000","0.5240","993.1809"
"15.9000","0.5276","996.9722"
"16.0000","0.5308","999.3846"
"16.1000","0.5342","1002.1943"
"16.2000","0.5374","1004.4679"
"16.3000","0.5407","1005.8735"
"16.4000","0.5440","1008.3188"
"16.5000","0.5473","1010.8204"
"16.6000","0.5509","1014.4410"
"16.7000","0.5542","1017.0549"
"16.8000","0.5575","1019.7357"
"16.9000","0.5608","1022.1127"
"17.0000","0.5641","1024.7473"
"17.1000","0.5674","1027.0294"
"17.2000","0.5706","1029.2056"
