
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0706"
"0.0500","0.0001","0.2776"
"0.1000","0.0007","0.0564"
"0.1500","0.0010","0.1960"
"0.2000","0.0027","-0.0384"
"0.2500","0.0055","0.0479"
"0.3000","0.0075","0.1025"
"0.3500","0.0091","-0.0399"
"0.4000","0.0107","0.0070"
"0.4500","0.0126","0.0401"
"0.5000","0.0141","-0.0482"
"0.5500","0.0159","-0.0328"
"0.6000","0.0175","0.0232"
"0.6500","0.0194","-0.1310"
"0.7000","0.0208","-0.0189"
"0.7500","0.0224","0.0230"
"0.8000","0.0243","0.0526"
"0.8500","0.0258","0.1615"
"0.9000","0.0277","0.3247"
"0.9500","0.0292","0.0735"
"1.0000","0.0310","0.1594"
"1.0500","0.0324","0.1788"
"1.1000","0.0341","0.0577"
"1.1500","0.0360","0.1023"
"1.2000","0.0375","0.0347"
"1.2500","0.0394","0.0801"
"1.3000","0.0408","0.0603"
"1.3500","0.0427","0.0027"
"1.4000","0.0440","0.1443"
"1.4500","0.0459","-0.0598"
"1.5000","0.0476","0.0561"
"1.5500","0.0491","0.0801"
"1.6000","0.0510","0.1531"
"1.6500","0.0525","-0.0137"
"1.7000","0.0544","0.2397"
"1.7500","0.0557","-0.0715"
"1.8000","0.0576","-0.1185"
"1.8500","0.0592","0.2604"
"1.9000","0.0608","0.0544"
"1.9500","0.0626","0.0602"
"2.0000","0.0642","0.1996"
"2.0500","0.0660","0.2126"
"2.1000","0.0673","0.1551"
"2.1500","0.0693","0.2263"
"2.2000","0.0709","-0.0212"
"2.2500","0.0725","0.0288"
"2.3000","0.0743","0.0795"
"2.3500","0.0759","0.0151"
"2.4000","0.0776","0.0752"
"2.4500","0.0790","0.2141"
"2.5000","0.0810","0.1591"
"2.5500","0.0825","0.0760"
"2.6000","0.0842","-0.0296"
"2.6500","0.0859","0.0872"
"2.7000","0.0876","0.2093"
"2.7500","0.0893","0.0466"
"2.8000","0.0907","0.2197"
"2.8500","0.0927","0.2813"
"2.9000","0.0942","0.1785"
"2.9500","0.0959","0.0354"
"3.0000","0.0975","0.1584"
"3.0500","0.0994","0.1828"
"3.1000","0.1009","0.2782"
"3.1500","0.1024","0.3078"
"3.2000","0.1044","0.4063"
"3.2500","0.1058","0.2623"
"3.3000","0.1077","0.0961"
"3.3500","0.1091","0.1920"
"3.4000","0.1110","0.3266"
"3.4500","0.1125","0.2685"
"3.5000","0.1140","0.2629"
"3.5500","0.1160","0.3087"
"3.6000","0.1176","0.0615"
"3.6500","0.1194","0.3921"
"3.7000","0.1207","0.3670"
"3.7500","0.1227","0.3180"
"3.8000","0.1241","0.2428"
"3.8500","0.1258","0.2110"
"3.9000","0.1277","0.4628"
"3.9500","0.1291","0.3965"
"4.0000","0.1310","0.3699"
"4.0500","0.1324","0.3426"
"4.1000","0.1344","0.1400"
"4.1500","0.1357","0.0105"
"4.2000","0.1375","0.2834"
"4.2500","0.1394","0.5606"
"4.3000","0.1408","0.3040"
"4.3500","0.1426","0.3120"
"4.4000","0.1441","0.2409"
"4.4500","0.1461","0.5349"
"4.5000","0.1474","0.2515"
"4.5500","0.1492","0.3002"
"4.6000","0.1509","0.2439"
"4.6500","0.1526","0.3253"
"4.7000","0.1543","0.2915"
"4.7500","0.1558","0.2631"
"4.8000","0.1577","0.3088"
"4.8500","0.1590","0.4015"
"4.9000","0.1610","0.1553"
"4.9500","0.1626","0.3410"
"5.0000","0.1643","0.2397"
"5.0500","0.1660","0.2649"
"5.1000","0.1675","0.2798"
"5.1500","0.1693","0.4990"
"5.2000","0.1707","0.2463"
"5.2500","0.1727","0.4116"
"5.3000","0.1742","0.4295"
"5.3500","0.1759","0.1792"
"5.4000","0.1776","0.4563"
"5.4500","0.1793","0.2006"
"5.5000","0.1809","0.2841"
"5.5500","0.1823","0.1223"
"5.6000","0.1843","0.4527"
"5.6500","0.1858","0.6311"
"5.7000","0.1876","0.5308"
"5.7500","0.1892","0.4690"
"5.8000","0.1909","0.4069"
"5.8500","0.1925","0.4705"
"5.9000","0.1940","0.4506"
"5.9500","0.1960","0.4560"
"6.0000","0.1975","0.5265"
"6.0500","0.1993","0.5020"
"6.1000","0.2009","0.4329"
"6.1500","0.2026","0.5733"
"6.2000","0.2042","0.6124"
"6.2500","0.2058","0.5955"
"6.3000","0.2077","0.7850"
"6.3500","0.2091","0.8275"
"6.4000","0.2110","0.8453"
"6.4500","0.2125","0.8283"
"6.5000","0.2143","0.7941"
"6.5500","0.2158","0.9209"
"6.6000","0.2174","0.9875"
"6.6500","0.2194","1.0732"
"6.7000","0.2209","1.2348"
"6.7500","0.2227","1.4138"
"6.8000","0.2242","1.4132"
"6.8500","0.2260","1.5549"
"6.9000","0.2274","1.8156"
"6.9500","0.2291","1.7367"
"7.0000","0.2310","1.9336"
"7.0500","0.2326","2.4849"
"7.1000","0.2344","2.4707"
"7.1500","0.2358","2.5179"
"7.2000","0.2377","2.6790"
"7.2500","0.2390","2.7380"
"7.3000","0.2408","2.6188"
"7.3500","0.2426","2.6036"
"7.4000","0.2441","2.7434"
"7.4500","0.2459","2.7692"
"7.5000","0.2475","2.7486"
"7.5500","0.2493","3.0780"
"7.6000","0.2507","2.9137"
"7.6500","0.2526","3.0347"
"7.7000","0.2543","2.8953"
"7.7500","0.2559","2.9758"
"7.8000","0.2576","2.9744"
"7.8500","0.2592","3.0704"
"7.9000","0.2610","3.0530"
"7.9500","0.2623","3.0092"
"8.0000","0.2643","2.9172"
"8.0500","0.2659","2.9977"
"8.1000","0.2676","3.0901"
"8.1500","0.2693","3.0258"
"8.2000","0.2709","2.9473"
"8.2500","0.2726","3.0515"
"8.3000","0.2740","3.1397"
"8.3500","0.2759","3.1350"
"8.4000","0.2776","2.9766"
"8.4500","0.2792","2.9208"
"8.5000","0.2810","2.9459"
"8.5500","0.2826","3.1515"
"8.6000","0.2843","2.8904"
"8.6500","0.2857","2.9105"
"8.7000","0.2877","2.9702"
"8.7500","0.2892","3.0622"
"8.8000","0.2909","2.9374"
"8.8500","0.2926","3.0043"
"8.9000","0.2943","3.1452"
"8.9500","0.2959","2.9789"
"9.0000","0.2973","3.0955"
"9.0500","0.2993","3.2499"
"9.1000","0.3008","3.0340"
"9.1500","0.3026","3.1668"
"9.2000","0.3042","2.9892"
"9.2500","0.3060","3.1561"
"9.3000","0.3075","3.1181"
"9.3500","0.3090","3.1734"
"9.4000","0.3110","2.9426"
"9.4500","0.3124","3.1334"
"9.5000","0.3143","3.1523"
"9.5500","0.3158","2.8892"
"9.6000","0.3176","3.0877"
"9.6500","0.3191","3.1090"
"9.7000","0.3207","3.0457"
"9.7500","0.3227","3.2120"
"9.8000","0.3241","2.9762"
"9.8500","0.3260","3.2347"
"9.9000","0.3275","3.0948"
"9.9500","0.3294","3.0927"
"10.0000","0.3308","3.2632"
"10.0500","0.3324","3.1927"
"10.1000","0.3344","3.1895"
"10.1500","0.3358","2.9403"
"10.2000","0.3377","3.1371"
"10.2500","0.3392","3.0090"
"10.3000","0.3411","3.1118"
"10.3500","0.3424","3.0665"
"10.4000","0.3442","3.2474"
"10.4500","0.3460","3.1633"
"10.5000","0.3475","3.0817"
"10.5500","0.3493","3.2204"
"10.6000","0.3508","3.2593"
"10.6500","0.3527","3.4380"
"10.7000","0.3540","3.6445"
"10.7500","0.3559","3.5933"
"10.8000","0.3577","3.6344"
"10.8500","0.3592","3.5508"
"10.9000","0.3610","3.4188"
"10.9500","0.3625","3.7313"
"11.0000","0.3643","3.4673"
"11.0500","0.3656","3.3586"
"11.1000","0.3676","3.7243"
"11.1500","0.3692","3.6908"
"11.2000","0.3709","3.7360"
"11.2500","0.3726","3.6780"
"11.3000","0.3741","3.4807"
"11.3500","0.3760","3.6086"
"11.4000","0.3773","3.5343"
"11.4500","0.3793","3.5295"
"11.5000","0.3809","3.6183"
"11.5500","0.3826","3.5214"
"11.6000","0.3842","3.7402"
"11.6500","0.3859","3.5751"
"11.7000","0.3877","3.7682"
"11.7500","0.3890","3.6734"
"11.8000","0.3910","3.5307"
"11.8500","0.3925","3.7390"
"11.9000","0.3943","3.8891"
"11.9500","0.3959","3.6556"
"12.0000","0.3976","3.6433"
"12.0500","0.3992","3.5266"
"12.1000","0.4007","3.8547"
"12.1500","0.4027","3.6862"
"12.2000","0.4042","3.5958"
"12.2500","0.4060","3.5302"
"12.3000","0.4075","3.6356"
"12.3500","0.4093","3.6142"
"12.4000","0.4108","3.6466"
"12.4500","0.4124","3.7635"
"12.5000","0.4144","3.6840"
"12.5500","0.4158","3.5123"
"12.6000","0.4177","3.7611"
"12.6500","0.4192","3.7536"
"12.7000","0.4210","3.6203"
"12.7500","0.4224","3.6845"
"12.8000","0.4241","3.4486"
"12.8500","0.4260","3.8242"
"12.9000","0.4274","3.7944"
"12.9500","0.4293","3.7009"
"13.0000","0.4308","3.7235"
"13.0500","0.4327","3.6514"
"13.1000","0.4341","3.6772"
"13.1500","0.4358","3.6470"
"13.2000","0.4377","3.6097"
"13.2500","0.4392","3.7047"
"13.3000","0.4410","3.6213"
"13.3500","0.4425","3.8303"
"13.4000","0.4443","3.5920"
"13.4500","0.4457","3.6183"
"13.5000","0.4476","3.7603"
"13.5500","0.4493","3.7162"
"13.6000","0.4508","3.7612"
"13.6500","0.4526","3.6899"
"13.7000","0.4542","3.7377"
"13.7500","0.4560","3.4288"
"13.8000","0.4574","3.7184"
"13.8500","0.4593","3.7252"
"13.9000","0.4610","3.6622"
"13.9500","0.4626","3.6145"
"14.0000","0.4643","3.7278"
"14.0500","0.4659","3.7855"
"14.1000","0.4676","3.7345"
"14.1500","0.4690","3.8732"
"14.2000","0.4709","3.7228"
"14.2500","0.4726","3.7940"
"14.3000","0.4743","3.7666"
"14.3500","0.4759","3.7078"
"14.4000","0.4775","3.5582"
"14.4500","0.4793","3.6979"
"14.5000","0.4806","3.7170"
"14.5500","0.4826","3.6875"
"14.6000","0.4842","3.7956"
"14.6500","0.4859","3.6945"
"14.7000","0.4876","3.6586"
"14.7500","0.4893","3.7374"
"14.8000","0.4909","3.7896"
"14.8500","0.4923","3.5701"
"14.9000","0.4943","3.8298"
"14.9500","0.4958","3.9867"
"15.0000","0.4976","3.8812"
"15.0500","0.4992","3.7670"
"15.1000","0.5009","3.8969"
"15.1500","0.5026","3.7421"
"15.2000","0.5040","3.9055"
"15.2500","0.5060","3.7652"
"15.3000","0.5075","3.7094"
"15.3500","0.5093","3.8152"
"15.4000","0.5109","3.8393"
"15.4500","0.5126","3.8670"
"15.5000","0.5142","3.8319"
"15.5500","0.5157","3.9660"
"15.6000","0.5177","4.1194"
"15.6500","0.5192","4.1434"
"15.7000","0.5210","3.9915"
"15.7500","0.5226","4.2138"
"15.8000","0.5244","4.3848"
"15.8500","0.5258","4.5904"
"15.9000","0.5274","5.1150"
"15.9500","0.5294","5.5702"
"16.0000","0.5308","5.8163"
"16.0500","0.5327","6.4292"
"16.1000","0.5342","6.5268"
"16.1500","0.5360","7.3735"
"16.2000","0.5374","7.7073"
"16.2500","0.5391","8.2545"
"16.3000","0.5410","8.7798"
"16.3500","0.5424","9.3405"
"16.4000","0.5443","10.0062"
"16.4500","0.5458","10.6033"
"16.5000","0.5477","11.2016"
"16.5500","0.5490","11.5157"
"16.6000","0.5508","12.4990"
"16.6500","0.5526","13.2563"
"16.7000","0.5541","13.9196"
"16.7500","0.5560","14.8851"
"16.8000","0.5575","15.6661"
"16.8500","0.5594","16.6550"
"16.9000","0.5607","17.1840"
"16.9500","0.5626","18.4957"
"17.0000","0.5643","19.4583"
"17.0500","0.5658","20.4198"
"17.1000","0.5677","21.3531"
"17.1500","0.5692","22.0831"
"17.2000","0.5710","23.5738"
"17.2500","0.5723","24.1879"
"17.3000","0.5743","25.6772"
"17.3500","0.5759","26.6386"
"17.4000","0.5775","27.7669"
"17.4500","0.5793","28.9578"
"17.5000","0.5809","30.0600"
"17.5500","0.5827","31.7174"
"17.6000","0.5840","32.7230"
"17.6500","0.5860","34.4836"
"17.7000","0.5876","35.7303"
"17.7500","0.5893","37.3127"
"17.8000","0.5909","38.7176"
"17.8500","0.5925","40.0740"
"17.9000","0.5943","41.8121"
"17.9500","0.5957","42.9072"
"18.0000","0.5977","44.8867"
"18.0500","0.5992","46.4391"
"18.1000","0.6010","48.0678"
"18.1500","0.6025","49.3065"
"18.2000","0.6042","51.3018"
"18.2500","0.6059","52.9179"
"18.3000","0.6073","54.3701"
"18.3500","0.6094","56.6456"
"18.4000","0.6108","57.6815"
"18.4500","0.6126","59.8979"
"18.5000","0.6141","61.4314"
"18.5500","0.6159","63.0486"
"18.6000","0.6175","64.7624"
"18.6500","0.6191","66.1585"
"18.7000","0.6211","68.6471"
"18.7500","0.6225","70.2741"
"18.8000","0.6243","72.0117"
"18.8500","0.6258","73.7382"
"18.9000","0.6277","76.0347"
"18.9500","0.6291","77.3412"
"19.0000","0.6308","78.9729"
"19.0500","0.6327","81.3847"
"19.1000","0.6342","82.8539"
"19.1500","0.6361","85.0502"
"19.2000","0.6374","86.7100"
"19.2500","0.6394","88.8765"
"19.3000","0.6407","90.4377"
"19.3500","0.6425","92.3757"
"19.4000","0.6443","94.6342"
"19.4500","0.6459","96.3715"
"19.5000","0.6477","98.7011"
"19.5500","0.6491","100.0686"
"19.6000","0.6510","102.2289"
"19.6500","0.6523","103.6753"
"19.7000","0.6542","106.1051"
"19.7500","0.6559","108.1773"
"19.8000","0.6575","109.8816"
"19.8500","0.6593","112.0354"
"19.9000","0.6609","113.8876"
"19.9500","0.6627","115.9619"
"20.0000","0.6640","117.4541"
"20.0500","0.6659","119.6899"
"20.1000","0.6675","121.6318"
"20.1500","0.6692","123.3974"
"20.2000","0.6710","125.6939"
"20.2500","0.6725","127.4829"
"20.3000","0.6743","129.5366"
"20.3500","0.6756","131.2326"
"20.4000","0.6776","133.6015"
"20.4500","0.6792","135.0969"
"20.5000","0.6809","137.2452"
"20.5500","0.6826","139.2132"
"20.6000","0.6842","140.9149"
"20.6500","0.6859","142.8269"
"20.7000","0.6874","144.7640"
"20.7500","0.6894","147.2792"
"20.8000","0.6908","148.7207"
"20.8500","0.6926","150.8972"
"20.9000","0.6942","152.6485"
"20.9500","0.6959","154.6179"
"21.0000","0.6976","156.6229"
"21.0500","0.6990","158.1324"
"21.1000","0.7010","160.6392"
"21.1500","0.7025","162.3327"
"21.2000","0.7043","164.4088"
"21.2500","0.7059","165.9884"
"21.3000","0.7077","168.1120"
"21.3500","0.7092","169.8867"
"21.4000","0.7107","171.5262"
"21.4500","0.7127","173.8558"
"21.5000","0.7142","175.5695"
"21.5500","0.7160","177.7374"
"21.6000","0.7175","179.2659"
"21.6500","0.7193","181.2514"
"21.7000","0.7208","183.2046"
"21.7500","0.7224","184.9782"
"21.8000","0.7243","186.9624"
"21.8500","0.7258","188.6378"
"21.9000","0.7276","190.6981"
"21.9500","0.7292","192.3002"
"22.0000","0.7310","194.6750"
"22.0500","0.7324","196.0066"
"22.1000","0.7341","197.7263"
"22.1500","0.7360","200.0087"
"22.2000","0.7375","201.6773"
"22.2500","0.7393","203.6456"
"22.3000","0.7408","205.2962"
"22.3500","0.7427","207.4250"
"22.4000","0.7441","208.7128"
"22.4500","0.7458","210.7405"
"22.5000","0.7477","212.9046"
"22.5500","0.7492","214.4570"
"22.6000","0.7510","216.4037"
"22.6500","0.7525","217.9571"
"22.7000","0.7544","220.0659"
"22.7500","0.7557","221.3657"
"22.8000","0.7575","223.3960"
"22.8500","0.7593","225.3858"
"22.9000","0.7608","227.0280"
"22.9500","0.7627","228.7459"
"23.0000","0.7642","230.4277"
"23.0500","0.7660","232.3313"
"23.1000","0.7674","233.7853"
"23.1500","0.7692","235.8642"
"23.2000","0.7709","237.6870"
"23.2500","0.7725","239.0587"
"23.3000","0.7743","241.2921"
"23.3500","0.7759","242.8164"
"23.4000","0.7777","244.7063"
"23.4500","0.7790","245.7764"
"23.5000","0.7809","248.2337"
"23.5500","0.7826","249.7232"
"23.6000","0.7842","251.2973"
"23.6500","0.7859","252.9522"
"23.7000","0.7875","254.6023"
"23.7500","0.7893","256.3479"
