
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0528"
"0.0500","0.0001","-0.0562"
"0.1000","0.0008","0.2283"
"0.1500","0.0011","-0.0522"
"0.2000","0.0028","-0.0022"
"0.2500","0.0058","0.0994"
"0.3000","0.0077","-0.1423"
"0.3500","0.0091","0.0473"
"0.4000","0.0111","-0.1159"
"0.4500","0.0127","0.1698"
"0.5000","0.0144","0.0091"
"0.5500","0.0161","0.0811"
"0.6000","0.0177","-0.0041"
"0.6500","0.0195","-0.0110"
"0.7000","0.0208","0.1530"
"0.7500","0.0228","-0.0381"
"0.8000","0.0243","-0.0276"
"0.8500","0.0260","0.1394"
"0.9000","0.0277","0.2623"
"0.9500","0.0294","0.2333"
"1.0000","0.0310","0.1416"
"1.0500","0.0324","0.0997"
"1.1000","0.0345","0.0190"
"1.1500","0.0360","0.0768"
"1.2000","0.0378","0.0120"
"1.2500","0.0394","0.0567"
"1.3000","0.0411","0.0688"
"1.3500","0.0427","0.2196"
"1.4000","0.0442","0.0728"
"1.4500","0.0462","0.2041"
"1.5000","0.0477","0.0715"
"1.5500","0.0495","0.0835"
"1.6000","0.0510","0.0600"
"1.6500","0.0528","0.1095"
"1.7000","0.0543","-0.0395"
"1.7500","0.0559","0.1591"
"1.8000","0.0579","0.0259"
"1.8500","0.0593","0.2692"
"1.9000","0.0611","0.1724"
"1.9500","0.0627","0.0206"
"2.0000","0.0646","0.0347"
"2.0500","0.0659","0.2240"
"2.1000","0.0676","0.2301"
"2.1500","0.0696","0.2396"
"2.2000","0.0710","0.2107"
"2.2500","0.0728","0.1272"
"2.3000","0.0743","0.1344"
"2.3500","0.0762","0.1700"
"2.4000","0.0775","0.0530"
"2.4500","0.0793","0.1983"
"2.5000","0.0812","0.1751"
"2.5500","0.0828","0.1170"
"2.6000","0.0845","0.1401"
"2.6500","0.0859","0.1282"
"2.7000","0.0878","0.1978"
"2.7500","0.0891","0.1139"
"2.8000","0.0911","0.0086"
"2.8500","0.0928","0.0591"
"2.9000","0.0944","-0.0397"
"2.9500","0.0961","-0.0134"
"3.0000","0.0976","0.0696"
"3.0500","0.0995","0.3408"
"3.1000","0.1008","0.0321"
"3.1500","0.1028","0.1821"
"3.2000","0.1045","-0.0549"
"3.2500","0.1061","0.0542"
"3.3000","0.1077","-0.0643"
"3.3500","0.1094","0.0242"
"3.4000","0.1112","0.0779"
"3.4500","0.1125","0.0659"
"3.5000","0.1145","-0.0219"
"3.5500","0.1160","0.1122"
"3.6000","0.1178","0.0630"
"3.6500","0.1194","0.2018"
"3.7000","0.1211","0.0545"
"3.7500","0.1228","0.1878"
"3.8000","0.1242","0.1506"
"3.8500","0.1262","0.1398"
"3.9000","0.1277","0.0966"
"3.9500","0.1295","-0.1055"
"4.0000","0.1310","0.2057"
"4.0500","0.1328","0.0090"
"4.1000","0.1344","0.1764"
"4.1500","0.1359","0.1208"
"4.2000","0.1379","0.1497"
"4.2500","0.1393","-0.0688"
"4.3000","0.1412","0.0713"
"4.3500","0.1427","0.1352"
"4.4000","0.1445","0.0580"
"4.4500","0.1460","-0.0459"
"4.5000","0.1475","0.2097"
"4.5500","0.1495","0.1867"
"4.6000","0.1509","0.0621"
"4.6500","0.1528","0.0140"
"4.7000","0.1543","-0.0270"
"4.7500","0.1561","0.1180"
"4.8000","0.1576","0.2104"
"4.8500","0.1593","0.2608"
"4.9000","0.1612","0.1298"
"4.9500","0.1627","0.0523"
"5.0000","0.1645","0.1353"
"5.0500","0.1660","0.1910"
"5.1000","0.1678","0.0926"
"5.1500","0.1692","-0.0166"
"5.2000","0.1711","0.2211"
"5.2500","0.1728","0.1791"
"5.3000","0.1743","0.1061"
"5.3500","0.1762","0.1274"
"5.4000","0.1777","-0.0962"
"5.4500","0.1795","0.0649"
"5.5000","0.1809","0.1081"
"5.5500","0.1827","0.2465"
"5.6000","0.1845","0.1920"
"5.6500","0.1861","0.1201"
"5.7000","0.1878","-0.0567"
"5.7500","0.1894","0.2173"
"5.8000","0.1912","-0.0027"
"5.8500","0.1925","0.2583"
"5.9000","0.1944","0.0530"
"5.9500","0.1961","0.1259"
"6.0000","0.1978","0.0800"
"6.0500","0.1995","0.0444"
"6.1000","0.2010","0.0198"
"6.1500","0.2028","0.1011"
"6.2000","0.2042","0.1824"
"6.2500","0.2061","0.1689"
"6.3000","0.2078","0.2181"
"6.3500","0.2094","0.3169"
"6.4000","0.2111","0.2619"
"6.4500","0.2127","0.2977"
"6.5000","0.2145","0.4916"
"6.5500","0.2159","0.1066"
"6.6000","0.2178","0.0419"
"6.6500","0.2194","0.2077"
"6.7000","0.2211","0.1845"
"6.7500","0.2227","0.3752"
"6.8000","0.2244","0.2573"
"6.8500","0.2261","0.1909"
"6.9000","0.2275","0.2717"
"6.9500","0.2295","0.0894"
"7.0000","0.2311","0.1804"
"7.0500","0.2328","0.1969"
"7.1000","0.2344","0.1991"
"7.1500","0.2361","0.1531"
"7.2000","0.2377","0.3093"
"7.2500","0.2392","0.2538"
"7.3000","0.2412","0.2845"
"7.3500","0.2427","0.1651"
"7.4000","0.2445","0.3398"
"7.4500","0.2460","0.4163"
"7.5000","0.2478","0.1506"
"7.5500","0.2494","0.2582"
"7.6000","0.2509","0.1364"
"7.6500","0.2529","0.2752"
"7.7000","0.2543","0.2766"
"7.7500","0.2561","0.2907"
"7.8000","0.2577","0.4269"
"7.8500","0.2595","0.2072"
"7.9000","0.2610","0.2366"
"7.9500","0.2626","0.3570"
"8.0000","0.2645","0.1622"
"8.0500","0.2659","0.1242"
"8.1000","0.2678","0.1918"
"8.1500","0.2693","0.2669"
"8.2000","0.2712","0.3764"
"8.2500","0.2726","0.2090"
"8.3000","0.2742","0.2401"
"8.3500","0.2762","0.4219"
"8.4000","0.2776","0.3108"
"8.4500","0.2795","0.2275"
"8.5000","0.2810","0.3669"
"8.5500","0.2829","0.3126"
"8.6000","0.2842","0.3859"
"8.6500","0.2860","0.2297"
"8.7000","0.2878","0.5078"
"8.7500","0.2893","0.4957"
"8.8000","0.2912","0.3003"
"8.8500","0.2927","0.5137"
"8.9000","0.2945","0.4164"
"8.9500","0.2958","0.5316"
"9.0000","0.2977","0.3796"
"9.0500","0.2995","0.4368"
"9.1000","0.3010","0.6609"
"9.1500","0.3028","0.5868"
"9.2000","0.3044","0.6674"
"9.2500","0.3062","0.7586"
"9.3000","0.3075","0.7259"
"9.3500","0.3095","0.8636"
"9.4000","0.3111","0.7106"
"9.4500","0.3127","0.7713"
"9.5000","0.3144","1.0617"
"9.5500","0.3160","0.9033"
"9.6000","0.3179","1.0600"
"9.6500","0.3191","1.0317"
"9.7000","0.3211","1.2267"
"9.7500","0.3228","1.4161"
"9.8000","0.3245","1.2601"
"9.8500","0.3260","1.2490"
"9.9000","0.3277","1.5876"
"9.9500","0.3294","1.7936"
"10.0000","0.3308","1.8256"
"10.0500","0.3328","2.0471"
"10.1000","0.3343","1.9084"
"10.1500","0.3361","2.1715"
"10.2000","0.3377","2.1763"
"10.2500","0.3394","2.5355"
"10.3000","0.3411","2.3930"
"10.3500","0.3425","2.4529"
"10.4000","0.3446","2.8732"
"10.4500","0.3460","2.8380"
"10.5000","0.3478","2.9210"
"10.5500","0.3493","2.7755"
"10.6000","0.3512","2.7550"
"10.6500","0.3527","2.9363"
"10.7000","0.3542","3.0233"
"10.7500","0.3562","3.0530"
"10.8000","0.3577","3.0381"
"10.8500","0.3595","3.1499"
"10.9000","0.3610","3.0278"
"10.9500","0.3628","2.8646"
"11.0000","0.3643","3.0684"
"11.0500","0.3660","3.1561"
"11.1000","0.3679","3.2519"
"11.1500","0.3694","3.2062"
"11.2000","0.3712","3.0423"
"11.2500","0.3726","3.2277"
"11.3000","0.3745","3.1213"
"11.3500","0.3759","3.0900"
"11.4000","0.3777","3.1086"
"11.4500","0.3795","3.2367"
"11.5000","0.3810","3.2012"
"11.5500","0.3828","3.0146"
"11.6000","0.3843","3.2487"
"11.6500","0.3862","3.1330"
"11.7000","0.3875","3.0867"
"11.7500","0.3893","3.2461"
"11.8000","0.3911","3.0880"
"11.8500","0.3926","3.2641"
"11.9000","0.3945","3.1925"
"11.9500","0.3960","2.9625"
"12.0000","0.3978","3.3253"
"12.0500","0.3992","3.0643"
"12.1000","0.4011","3.3069"
"12.1500","0.4028","3.0894"
"12.2000","0.4044","3.3098"
"12.2500","0.4061","3.1430"
"12.3000","0.4077","3.3013"
"12.3500","0.4095","3.0768"
"12.4000","0.4108","3.1142"
"12.4500","0.4129","3.0558"
"12.5000","0.4144","3.1496"
"12.5500","0.4160","3.1973"
"12.6000","0.4178","3.2206"
"12.6500","0.4194","3.1558"
"12.7000","0.4211","3.1177"
"12.7500","0.4225","3.1890"
"12.8000","0.4245","2.9929"
"12.8500","0.4261","3.2232"
"12.9000","0.4278","3.2851"
"12.9500","0.4294","3.1680"
"13.0000","0.4311","3.2706"
"13.0500","0.4327","3.2007"
"13.1000","0.4341","3.2687"
"13.1500","0.4362","3.2064"
"13.2000","0.4377","3.1234"
"13.2500","0.4395","3.2347"
"13.3000","0.4410","3.4416"
"13.3500","0.4428","3.3811"
"13.4000","0.4444","3.2449"
"13.4500","0.4458","3.2570"
"13.5000","0.4478","3.2291"
"13.5500","0.4493","3.2660"
"13.6000","0.4511","3.4349"
"13.6500","0.4527","3.3287"
"13.7000","0.4545","3.5505"
"13.7500","0.4560","3.3498"
"13.8000","0.4576","3.3231"
"13.8500","0.4595","3.5361"
"13.9000","0.4610","3.4623"
"13.9500","0.4628","3.5402"
"14.0000","0.4643","3.7407"
"14.0500","0.4662","3.6160"
"14.1000","0.4676","3.6502"
"14.1500","0.4693","3.5938"
"14.2000","0.4712","3.6652"
"14.2500","0.4727","3.3394"
"14.3000","0.4745","3.6854"
"14.3500","0.4760","3.4865"
"14.4000","0.4779","3.6475"
"14.4500","0.4793","3.4231"
"14.5000","0.4809","3.5679"
"14.5500","0.4828","3.5906"
"14.6000","0.4843","3.6175"
"14.6500","0.4862","3.6126"
"14.7000","0.4877","3.6294"
"14.7500","0.4895","3.7872"
"14.8000","0.4909","3.7363"
"14.8500","0.4927","3.4728"
"14.9000","0.4945","3.4422"
"14.9500","0.4960","3.4447"
"15.0000","0.4978","3.7354"
"15.0500","0.4994","3.6995"
"15.1000","0.5012","3.7280"
"15.1500","0.5025","3.7213"
"15.2000","0.5044","3.5732"
"15.2500","0.5061","3.6447"
"15.3000","0.5076","3.7799"
"15.3500","0.5095","3.5572"
"15.4000","0.5110","3.5650"
"15.4500","0.5128","3.6101"
"15.5000","0.5141","3.6377"
"15.5500","0.5161","3.8212"
"15.6000","0.5178","3.7480"
"15.6500","0.5194","3.7316"
"15.7000","0.5211","3.6830"
"15.7500","0.5227","3.7651"
"15.8000","0.5245","3.5457"
"15.8500","0.5258","3.5946"
"15.9000","0.5278","3.7178"
"15.9500","0.5294","3.7429"
"16.0000","0.5311","3.6840"
"16.0500","0.5328","3.5965"
"16.1000","0.5344","3.7626"
"16.1500","0.5361","3.6536"
"16.2000","0.5375","3.7350"
"16.2500","0.5395","3.6172"
"16.3000","0.5410","3.6025"
"16.3500","0.5428","3.6847"
"16.4000","0.5444","3.6445"
"16.4500","0.5462","3.7252"
"16.5000","0.5477","3.7256"
"16.5500","0.5492","3.7362"
"16.6000","0.5512","3.7644"
"16.6500","0.5527","3.9173"
"16.7000","0.5545","3.6289"
"16.7500","0.5560","3.5775"
"16.8000","0.5578","3.6675"
"16.8500","0.5594","3.6637"
"16.9000","0.5609","3.9021"
"16.9500","0.5629","3.8121"
"17.0000","0.5644","3.7713"
"17.0500","0.5662","3.6496"
"17.1000","0.5676","3.5319"
"17.1500","0.5695","3.7367"
"17.2000","0.5709","3.7372"
"17.2500","0.5726","3.6896"
"17.3000","0.5745","3.6179"
"17.3500","0.5760","3.7032"
"17.4000","0.5778","3.7494"
"17.4500","0.5793","3.7775"
"17.5000","0.5812","3.8334"
"17.5500","0.5826","3.7355"
"17.6000","0.5843","3.7166"
"17.6500","0.5862","3.9924"
"17.7000","0.5877","4.0097"
"17.7500","0.5895","3.8512"
"17.8000","0.5910","3.8939"
"17.8500","0.5929","4.0061"
"17.9000","0.5942","3.8299"
"17.9500","0.5960","3.7052"
"18.0000","0.5978","3.8500"
"18.0500","0.5994","4.0143"
"18.1000","0.6012","3.8237"
