
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0031"
"0.0500","0.0000","0.1439"
"0.1000","0.0005","-0.0509"
"0.1500","0.0013","0.0376"
"0.2000","0.0018","-0.0350"
"0.2500","0.0044","0.2119"
"0.3000","0.0067","0.1159"
"0.3500","0.0086","0.1129"
"0.4000","0.0102","0.0067"
"0.4500","0.0121","-0.0479"
"0.5000","0.0134","-0.0093"
"0.5500","0.0154","-0.1322"
"0.6000","0.0170","0.1697"
"0.6500","0.0187","-0.0407"
"0.7000","0.0203","0.0522"
"0.7500","0.0219","-0.0271"
"0.8000","0.0238","-0.0607"
"0.8500","0.0251","0.1458"
"0.9000","0.0271","0.2450"
"0.9500","0.0287","-0.0146"
"1.0000","0.0304","0.0000"
"1.0500","0.0320","0.2056"
"1.1000","0.0337","0.0819"
"1.1500","0.0353","0.1502"
"1.2000","0.0368","0.0201"
"1.2500","0.0388","-0.2752"
"1.3000","0.0403","-0.0470"
"1.3500","0.0421","0.1001"
"1.4000","0.0437","-0.1973"
"1.4500","0.0454","-0.0416"
"1.5000","0.0469","0.1283"
"1.5500","0.0484","-0.0011"
"1.6000","0.0504","-0.0837"
"1.6500","0.0519","-0.0376"
"1.7000","0.0537","0.2176"
"1.7500","0.0553","-0.0408"
"1.8000","0.0571","0.1750"
"1.8500","0.0586","0.2520"
"1.9000","0.0602","0.1864"
"1.9500","0.0621","-0.0281"
"2.0000","0.0636","-0.0712"
"2.0500","0.0654","0.0603"
"2.1000","0.0670","0.0013"
"2.1500","0.0688","0.1921"
"2.2000","0.0702","-0.0024"
"2.2500","0.0719","0.2488"
"2.3000","0.0738","-0.0755"
"2.3500","0.0753","-0.0284"
"2.4000","0.0771","0.0686"
"2.4500","0.0786","0.1101"
"2.5000","0.0805","0.0562"
"2.5500","0.0819","-0.0832"
"2.6000","0.0836","0.0466"
"2.6500","0.0855","0.1967"
"2.7000","0.0870","0.0630"
"2.7500","0.0888","-0.1907"
"2.8000","0.0904","-0.0369"
"2.8500","0.0921","0.2666"
"2.9000","0.0934","-0.0230"
"2.9500","0.0953","-0.0020"
"3.0000","0.0971","0.1078"
"3.0500","0.0987","-0.0329"
"3.1000","0.1004","0.1103"
"3.1500","0.1019","0.1265"
"3.2000","0.1037","-0.0401"
"3.2500","0.1051","0.1447"
"3.3000","0.1070","-0.0264"
"3.3500","0.1088","0.0844"
"3.4000","0.1103","-0.0182"
"3.4500","0.1120","-0.0940"
"3.5000","0.1136","0.1216"
"3.5500","0.1154","0.0958"
"3.6000","0.1168","0.1887"
"3.6500","0.1187","-0.0050"
"3.7000","0.1204","0.1059"
"3.7500","0.1220","-0.0395"
"3.8000","0.1237","-0.0074"
"3.8500","0.1253","-0.0066"
"3.9000","0.1271","0.0167"
"3.9500","0.1284","-0.0459"
"4.0000","0.1304","0.0031"
"4.0500","0.1320","0.0676"
"4.1000","0.1337","-0.0194"
"4.1500","0.1354","-0.1359"
"4.2000","0.1370","-0.0069"
"4.2500","0.1387","-0.0629"
"4.3000","0.1401","-0.0901"
"4.3500","0.1421","-0.1693"
"4.4000","0.1437","-0.1125"
"4.4500","0.1454","-0.0748"
"4.5000","0.1470","-0.0754"
"4.5500","0.1487","0.1573"
"4.6000","0.1503","0.0045"
"4.6500","0.1518","0.0544"
"4.7000","0.1538","0.0105"
"4.7500","0.1553","-0.0782"
"4.8000","0.1570","0.1136"
"4.8500","0.1587","0.0448"
"4.9000","0.1604","-0.0937"
"4.9500","0.1620","0.0657"
"5.0000","0.1635","0.2736"
"5.0500","0.1655","0.1784"
"5.1000","0.1669","-0.0887"
"5.1500","0.1687","-0.0265"
"5.2000","0.1703","0.0164"
"5.2500","0.1721","0.0677"
"5.3000","0.1735","-0.0983"
"5.3500","0.1752","0.1579"
"5.4000","0.1771","0.0486"
"5.4500","0.1786","0.0265"
"5.5000","0.1804","-0.0481"
"5.5500","0.1820","-0.1248"
"5.6000","0.1838","-0.0939"
"5.6500","0.1852","-0.0862"
"5.7000","0.1869","0.0479"
"5.7500","0.1888","-0.0382"
"5.8000","0.1903","-0.0465"
"5.8500","0.1921","0.0065"
"5.9000","0.1936","0.1185"
"5.9500","0.1955","0.2162"
"6.0000","0.1968","-0.0850"
"6.0500","0.1986","-0.2105"
"6.1000","0.2005","0.0718"
"6.1500","0.2019","0.0470"
"6.2000","0.2038","0.1623"
"6.2500","0.2053","0.0692"
"6.3000","0.2072","-0.0362"
"6.3500","0.2084","0.1355"
"6.4000","0.2104","-0.0047"
"6.4500","0.2121","0.1221"
"6.5000","0.2136","0.0030"
"6.5500","0.2154","-0.0659"
"6.6000","0.2169","-0.0170"
"6.6500","0.2188","0.1712"
"6.7000","0.2201","0.1525"
"6.7500","0.2220","0.0628"
"6.8000","0.2238","0.0332"
"6.8500","0.2254","0.0030"
"6.9000","0.2270","0.1068"
"6.9500","0.2286","0.0448"
"7.0000","0.2304","0.0446"
"7.0500","0.2317","-0.0785"
"7.1000","0.2338","-0.0395"
"7.1500","0.2353","0.0671"
"7.2000","0.2370","0.2080"
"7.2500","0.2386","0.0318"
"7.3000","0.2403","-0.0464"
"7.3500","0.2421","-0.0696"
"7.4000","0.2435","-0.0550"
"7.4500","0.2455","0.0746"
"7.5000","0.2470","0.1522"
"7.5500","0.2487","-0.0646"
"7.6000","0.2503","-0.0484"
"7.6500","0.2521","0.0831"
"7.7000","0.2537","-0.2906"
"7.7500","0.2551","-0.0348"
"7.8000","0.2571","-0.0176"
"7.8500","0.2586","0.2101"
"7.9000","0.2605","-0.0219"
"7.9500","0.2620","0.0669"
"8.0000","0.2638","-0.0315"
"8.0500","0.2653","0.1607"
"8.1000","0.2668","0.1802"
"8.1500","0.2688","0.0163"
"8.2000","0.2703","0.0443"
"8.2500","0.2721","0.0135"
"8.3000","0.2736","-0.0763"
"8.3500","0.2754","0.0275"
"8.4000","0.2769","0.1429"
"8.4500","0.2786","0.0834"
"8.5000","0.2805","0.0662"
"8.5500","0.2819","-0.1348"
"8.6000","0.2838","-0.1311"
"8.6500","0.2853","-0.0608"
"8.7000","0.2871","0.0472"
"8.7500","0.2885","-0.0078"
"8.8000","0.2903","-0.0060"
"8.8500","0.2921","0.1197"
"8.9000","0.2936","0.1283"
"8.9500","0.2954","-0.1374"
"9.0000","0.2970","0.0202"
"9.0500","0.2988","0.0784"
"9.1000","0.3001","-0.0433"
"9.1500","0.3020","-0.2253"
"9.2000","0.3037","-0.0639"
"9.2500","0.3053","-0.1094"
"9.3000","0.3071","0.1138"
"9.3500","0.3086","0.1585"
"9.4000","0.3104","-0.2184"
"9.4500","0.3118","-0.0002"
"9.5000","0.3138","0.1700"
"9.5500","0.3154","0.0454"
"9.6000","0.3170","-0.0537"
"9.6500","0.3187","0.1665"
"9.7000","0.3203","0.0666"
"9.7500","0.3221","-0.0491"
"9.8000","0.3235","-0.0292"
"9.8500","0.3254","0.0495"
"9.9000","0.3270","-0.0527"
"9.9500","0.3287","-0.1489"
"10.0000","0.3304","-0.1889"
"10.0500","0.3321","0.2457"
"10.1000","0.3337","0.1118"
"10.1500","0.3351","0.0124"
"10.2000","0.3371","-0.0312"
"10.2500","0.3387","-0.0768"
"10.3000","0.3404","0.1156"
"10.3500","0.3420","0.0468"
"10.4000","0.3437","-0.1161"
"10.4500","0.3453","0.0007"
"10.5000","0.3468","-0.0424"
"10.5500","0.3488","0.1045"
"10.6000","0.3503","0.1176"
"10.6500","0.3520","-0.1130"
"10.7000","0.3536","0.0269"
"10.7500","0.3554","-0.2504"
"10.8000","0.3570","0.0078"
"10.8500","0.3585","0.1612"
"10.9000","0.3605","0.0167"
"10.9500","0.3620","-0.0520"
"11.0000","0.3637","-0.1146"
"11.0500","0.3653","0.1198"
"11.1000","0.3671","0.0032"
"11.1500","0.3686","0.0159"
"11.2000","0.3702","0.0883"
"11.2500","0.3721","-0.2271"
"11.3000","0.3736","0.0079"
"11.3500","0.3754","-0.2039"
