
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0491"
"0.0500","0.0001","0.0817"
"0.1000","0.0007","0.1646"
"0.1500","0.0010","0.0241"
"0.2000","0.0026","0.0302"
"0.2500","0.0056","0.1868"
"0.3000","0.0076","0.0149"
"0.3500","0.0090","0.1525"
"0.4000","0.0110","-0.0018"
"0.4500","0.0126","0.1840"
"0.5000","0.0143","-0.0394"
"0.5500","0.0160","-0.1760"
"0.6000","0.0176","0.1161"
"0.6500","0.0193","0.0263"
"0.7000","0.0207","-0.1406"
"0.7500","0.0228","0.0974"
"0.8000","0.0243","0.1505"
"0.8500","0.0260","0.1509"
"0.9000","0.0276","0.0044"
"0.9500","0.0294","-0.1961"
"1.0000","0.0309","0.0226"
"1.0500","0.0325","-0.0467"
"1.1000","0.0345","0.1869"
"1.1500","0.0359","0.1226"
"1.2000","0.0377","0.1569"
"1.2500","0.0393","0.0881"
"1.3000","0.0411","0.2061"
"1.3500","0.0426","0.2198"
"1.4000","0.0441","0.1804"
"1.4500","0.0461","0.2183"
"1.5000","0.0476","0.0945"
"1.5500","0.0494","0.0310"
"1.6000","0.0509","0.2188"
"1.6500","0.0528","-0.0411"
"1.7000","0.0542","0.2121"
"1.7500","0.0558","-0.0513"
"1.8000","0.0578","0.1927"
"1.8500","0.0593","0.0378"
"1.9000","0.0611","0.2353"
"1.9500","0.0625","0.1549"
"2.0000","0.0644","0.2661"
"2.0500","0.0658","0.2896"
"2.1000","0.0676","0.3672"
"2.1500","0.0694","0.1264"
"2.2000","0.0709","0.1759"
"2.2500","0.0727","0.1734"
"2.3000","0.0742","0.2063"
"2.3500","0.0761","0.3291"
"2.4000","0.0775","0.6984"
"2.4500","0.0793","0.6353"
"2.5000","0.0810","0.6709"
"2.5500","0.0826","0.6675"
"2.6000","0.0843","0.9882"
"2.6500","0.0859","0.9764"
"2.7000","0.0878","1.2562"
"2.7500","0.0891","1.1569"
"2.8000","0.0910","1.3565"
"2.8500","0.0926","1.2503"
"2.9000","0.0944","1.3808"
"2.9500","0.0961","1.5009"
"3.0000","0.0976","1.3654"
"3.0500","0.0994","1.7705"
"3.1000","0.1007","1.5962"
"3.1500","0.1028","1.6193"
"3.2000","0.1043","1.7922"
"3.2500","0.1061","1.8349"
"3.3000","0.1077","1.9665"
"3.3500","0.1093","1.6767"
"3.4000","0.1110","1.9585"
"3.4500","0.1124","1.9623"
"3.5000","0.1145","2.0031"
"3.5500","0.1159","1.8829"
"3.6000","0.1177","2.0266"
"3.6500","0.1193","2.0561"
"3.7000","0.1211","2.3343"
"3.7500","0.1226","2.2626"
"3.8000","0.1241","2.3584"
"3.8500","0.1261","2.3482"
"3.9000","0.1275","2.4443"
"3.9500","0.1294","2.4131"
"4.0000","0.1310","2.5965"
"4.0500","0.1327","2.7217"
"4.1000","0.1342","2.4940"
"4.1500","0.1358","2.6844"
"4.2000","0.1377","2.5821"
"4.2500","0.1393","2.6263"
"4.3000","0.1411","2.8530"
"4.3500","0.1426","2.6967"
"4.4000","0.1444","2.8068"
"4.4500","0.1458","2.6851"
"4.5000","0.1476","2.7098"
"4.5500","0.1495","2.6508"
"4.6000","0.1509","2.7643"
"4.6500","0.1527","2.6092"
"4.7000","0.1543","2.8270"
"4.7500","0.1561","2.6935"
"4.8000","0.1575","2.8135"
"4.8500","0.1593","2.7016"
"4.9000","0.1611","2.8032"
"4.9500","0.1626","2.5458"
"5.0000","0.1644","2.6272"
"5.0500","0.1660","2.6048"
"5.1000","0.1678","2.8200"
"5.1500","0.1691","2.8449"
"5.2000","0.1709","2.7971"
"5.2500","0.1727","2.7975"
"5.3000","0.1743","2.8927"
"5.3500","0.1761","2.7408"
"5.4000","0.1776","2.9644"
"5.4500","0.1794","3.0359"
"5.5000","0.1807","2.9036"
"5.5500","0.1826","2.9094"
"5.6000","0.1844","2.8295"
"5.6500","0.1859","3.0329"
"5.7000","0.1877","3.0871"
"5.7500","0.1892","2.8408"
"5.8000","0.1910","2.8456"
"5.8500","0.1924","3.0048"
"5.9000","0.1943","3.2924"
"5.9500","0.1960","3.1064"
"6.0000","0.1976","3.2064"
"6.0500","0.1993","3.0782"
"6.1000","0.2010","3.1922"
"6.1500","0.2027","3.2987"
"6.2000","0.2041","3.1997"
"6.2500","0.2061","3.1762"
"6.3000","0.2077","3.1440"
"6.3500","0.2094","3.3024"
"6.4000","0.2110","3.4349"
"6.4500","0.2126","3.1219"
"6.5000","0.2144","3.2061"
"6.5500","0.2157","3.3279"
"6.6000","0.2178","3.3043"
"6.6500","0.2193","3.2139"
"6.7000","0.2210","3.1609"
"6.7500","0.2227","3.1625"
"6.8000","0.2243","3.2327"
"6.8500","0.2260","3.2771"
"6.9000","0.2274","3.1695"
"6.9500","0.2294","3.1590"
"7.0000","0.2309","3.3890"
"7.0500","0.2327","3.1959"
"7.1000","0.2343","3.1937"
"7.1500","0.2360","3.0961"
"7.2000","0.2376","3.3277"
"7.2500","0.2391","3.3736"
"7.3000","0.2411","3.3033"
"7.3500","0.2426","3.4495"
"7.4000","0.2444","3.2894"
"7.4500","0.2459","3.1770"
"7.5000","0.2477","3.4397"
"7.5500","0.2492","3.2182"
"7.6000","0.2508","3.2182"
"7.6500","0.2528","3.1939"
"7.7000","0.2542","3.3420"
"7.7500","0.2560","3.2025"
"7.8000","0.2576","3.1603"
"7.8500","0.2594","3.2073"
"7.9000","0.2608","3.3417"
"7.9500","0.2626","3.2243"
"8.0000","0.2645","3.2848"
"8.0500","0.2659","3.3364"
"8.1000","0.2678","3.2113"
"8.1500","0.2693","3.2891"
"8.2000","0.2711","3.4230"
"8.2500","0.2724","3.4159"
"8.3000","0.2743","3.5349"
"8.3500","0.2761","3.4591"
"8.4000","0.2775","3.3008"
"8.4500","0.2794","3.6637"
"8.5000","0.2809","3.3707"
"8.5500","0.2828","3.4359"
"8.6000","0.2841","3.4460"
"8.6500","0.2860","3.5667"
"8.7000","0.2877","3.4809"
"8.7500","0.2893","3.2955"
"8.8000","0.2910","3.5488"
"8.8500","0.2926","3.4371"
"8.9000","0.2944","3.3527"
"8.9500","0.2957","3.4971"
"9.0000","0.2977","3.4253"
"9.0500","0.2994","3.5627"
"9.1000","0.3011","3.3464"
"9.1500","0.3027","3.4989"
"9.2000","0.3042","3.4530"
"9.2500","0.3060","3.6338"
"9.3000","0.3074","3.3972"
"9.3500","0.3094","3.5531"
"9.4000","0.3110","3.5546"
"9.4500","0.3126","3.4685"
"9.5000","0.3143","3.4184"
"9.5500","0.3159","3.3368"
"9.6000","0.3177","3.5567"
"9.6500","0.3191","3.5530"
"9.7000","0.3211","3.4684"
"9.7500","0.3226","3.6095"
"9.8000","0.3243","3.3732"
"9.8500","0.3259","3.5875"
"9.9000","0.3278","3.7434"
"9.9500","0.3294","3.6173"
"10.0000","0.3307","3.7130"
"10.0500","0.3328","3.4514"
"10.1000","0.3343","3.6043"
"10.1500","0.3361","3.6386"
"10.2000","0.3376","3.7772"
"10.2500","0.3394","3.6793"
"10.3000","0.3409","3.9781"
"10.3500","0.3424","3.7862"
"10.4000","0.3445","3.8597"
"10.4500","0.3460","4.1667"
"10.5000","0.3478","4.1009"
"10.5500","0.3492","4.2587"
"10.6000","0.3510","4.0989"
"10.6500","0.3525","4.2191"
"10.7000","0.3542","4.1813"
"10.7500","0.3561","3.8910"
"10.8000","0.3575","4.1887"
"10.8500","0.3594","4.1450"
"10.9000","0.3609","4.2096"
"10.9500","0.3628","4.2648"
"11.0000","0.3641","4.4467"
"11.0500","0.3659","4.1377"
"11.1000","0.3677","4.2336"
"11.1500","0.3692","4.1894"
"11.2000","0.3711","4.4027"
"11.2500","0.3726","4.4946"
"11.3000","0.3744","4.5959"
"11.3500","0.3757","4.7906"
"11.4000","0.3776","5.0689"
"11.4500","0.3794","5.2744"
"11.5000","0.3810","5.3828"
"11.5500","0.3828","5.5152"
"11.6000","0.3842","5.6590"
"11.6500","0.3860","5.9036"
"11.7000","0.3874","5.8972"
"11.7500","0.3894","5.0808"
"11.8000","0.3911","5.1901"
"11.8500","0.3926","5.6780"
"11.9000","0.3944","5.9890"
"11.9500","0.3959","6.2516"
"12.0000","0.3977","6.5154"
"12.0500","0.3991","6.6742"
"12.1000","0.4010","7.4788"
"12.1500","0.4026","7.7462"
"12.2000","0.4042","7.8178"
"12.2500","0.4060","8.5468"
"12.3000","0.4077","9.1250"
"12.3500","0.4093","9.4086"
"12.4000","0.4107","9.7898"
"12.4500","0.4127","10.2962"
"12.5000","0.4143","10.8096"
"12.5500","0.4161","11.1774"
"12.6000","0.4177","11.6843"
"12.6500","0.4193","12.2667"
"12.7000","0.4209","12.7978"
"12.7500","0.4224","13.2505"
"12.8000","0.4244","14.1695"
"12.8500","0.4260","14.2560"
"12.9000","0.4276","14.9451"
"12.9500","0.4293","15.6413"
"13.0000","0.4310","16.1872"
"13.0500","0.4326","16.8469"
"13.1000","0.4341","17.2082"
"13.1500","0.4361","17.9268"
"13.2000","0.4375","18.6110"
"13.2500","0.4393","19.0477"
"13.3000","0.4409","19.8306"
"13.3500","0.4428","20.6930"
"13.4000","0.4442","20.9809"
"13.4500","0.4458","21.7726"
"13.5000","0.4478","22.7179"
"13.5500","0.4493","23.2351"
"13.6000","0.4511","24.0754"
"13.6500","0.4526","24.6795"
"13.7000","0.4544","25.5121"
"13.7500","0.4558","26.2837"
"13.8000","0.4575","26.9163"
"13.8500","0.4595","27.9399"
"13.9000","0.4610","28.4566"
"13.9500","0.4628","29.3084"
"14.0000","0.4642","29.8443"
"14.0500","0.4661","30.8151"
"14.1000","0.4675","31.4358"
"14.1500","0.4693","32.2816"
"14.2000","0.4711","33.0433"
"14.2500","0.4725","33.8576"
"14.3000","0.4744","34.9136"
"14.3500","0.4759","35.4589"
"14.4000","0.4778","36.4547"
"14.4500","0.4791","36.9552"
"14.5000","0.4809","38.1306"
"14.5500","0.4827","38.9604"
"14.6000","0.4842","39.5943"
"14.6500","0.4861","40.7029"
"14.7000","0.4876","41.6925"
"14.7500","0.4894","42.7357"
"14.8000","0.4907","43.4086"
"14.8500","0.4926","44.5303"
"14.9000","0.4944","45.4051"
"14.9500","0.4959","46.3453"
"15.0000","0.4977","47.2760"
"15.0500","0.4993","48.4134"
"15.1000","0.5011","49.4962"
"15.1500","0.5024","50.1800"
"15.2000","0.5044","51.6422"
"15.2500","0.5060","52.5483"
"15.3000","0.5076","53.6295"
"15.3500","0.5094","54.7198"
"15.4000","0.5109","56.0189"
"15.4500","0.5127","57.1885"
"15.5000","0.5141","57.8870"
"15.5500","0.5161","59.6097"
"15.6000","0.5176","60.5325"
"15.6500","0.5193","61.8310"
"15.7000","0.5210","63.0495"
"15.7500","0.5227","64.4913"
"15.8000","0.5244","65.7614"
"15.8500","0.5257","66.7035"
"15.9000","0.5278","68.5822"
"15.9500","0.5293","69.7963"
"16.0000","0.5311","71.3217"
"16.0500","0.5326","72.4243"
"16.1000","0.5344","74.0877"
"16.1500","0.5360","75.5398"
"16.2000","0.5374","76.7351"
"16.2500","0.5395","78.7248"
"16.3000","0.5410","80.0436"
"16.3500","0.5428","81.3863"
"16.4000","0.5442","82.6988"
"16.4500","0.5460","84.5413"
"16.5000","0.5476","85.9511"
"16.5500","0.5491","87.4814"
"16.6000","0.5511","89.5032"
"16.6500","0.5525","90.6212"
"16.7000","0.5544","92.7234"
"16.7500","0.5559","93.9100"
"16.8000","0.5577","95.9216"
"16.8500","0.5592","97.2544"
"16.9000","0.5608","98.9744"
"16.9500","0.5628","101.2533"
"17.0000","0.5642","102.6339"
"17.0500","0.5661","104.4457"
"17.1000","0.5676","105.9363"
"17.1500","0.5695","107.8501"
"17.2000","0.5708","109.4330"
"17.2500","0.5726","111.2675"
"17.3000","0.5744","113.1931"
"17.3500","0.5760","114.9113"
"17.4000","0.5778","117.0728"
"17.4500","0.5792","118.3195"
"17.5000","0.5811","120.4237"
"17.5500","0.5824","121.7144"
"17.6000","0.5843","123.9420"
"17.6500","0.5861","125.9105"
"17.7000","0.5876","127.5409"
"17.7500","0.5894","129.8433"
"17.8000","0.5909","131.4501"
"17.8500","0.5927","133.4661"
"17.9000","0.5941","134.8146"
"17.9500","0.5960","137.1861"
"18.0000","0.5977","138.9984"
"18.0500","0.5993","140.8899"
"18.1000","0.6011","142.8454"
"18.1500","0.6026","144.5639"
"18.2000","0.6043","146.5196"
"18.2500","0.6057","147.9305"
"18.3000","0.6077","150.0981"
"18.3500","0.6093","151.8863"
"18.4000","0.6110","153.7840"
"18.4500","0.6127","156.0411"
"18.5000","0.6143","157.8558"
"18.5500","0.6160","159.6710"
"18.6000","0.6174","161.3723"
"18.6500","0.6194","163.8521"
"18.7000","0.6209","165.2000"
"18.7500","0.6227","167.4092"
"18.8000","0.6243","169.4208"
"18.8500","0.6260","171.1465"
"18.9000","0.6276","173.1047"
"18.9500","0.6291","174.6221"
"19.0000","0.6311","177.0360"
"19.0500","0.6325","178.3524"
"19.1000","0.6343","180.6310"
"19.1500","0.6360","182.5317"
"19.2000","0.6377","184.4333"
"19.2500","0.6392","185.9937"
"19.3000","0.6408","188.0063"
"19.3500","0.6428","190.2202"
"19.4000","0.6443","191.8627"
"19.4500","0.6461","193.8525"
"19.5000","0.6477","195.5849"
"19.5500","0.6494","197.8168"
"19.6000","0.6508","199.1439"
"19.6500","0.6525","200.7425"
"19.7000","0.6544","203.4545"
"19.7500","0.6559","204.7687"
"19.8000","0.6577","206.9924"
"19.8500","0.6592","208.4191"
"19.9000","0.6611","210.4242"
"19.9500","0.6625","212.1332"
"20.0000","0.6642","214.1511"
"20.0500","0.6661","216.3173"
"20.1000","0.6675","217.9329"
"20.1500","0.6694","219.9649"
"20.2000","0.6709","221.4332"
"20.2500","0.6727","223.5314"
"20.3000","0.6741","224.8580"
"20.3500","0.6759","226.8604"
"20.4000","0.6777","228.9094"
"20.4500","0.6792","230.6599"
"20.5000","0.6810","232.3818"
"20.5500","0.6826","234.1479"
"20.6000","0.6844","236.0850"
"20.6500","0.6858","237.4077"
"20.7000","0.6876","239.6303"
"20.7500","0.6894","241.4842"
"20.8000","0.6910","243.0227"
"20.8500","0.6927","244.9702"
"20.9000","0.6942","246.4426"
"20.9500","0.6961","248.5095"
"21.0000","0.6974","249.8273"
"21.0500","0.6993","251.9189"
"21.1000","0.7010","253.7423"
"21.1500","0.7026","255.3551"
"21.2000","0.7044","257.2340"
"21.2500","0.7059","258.9943"
"21.3000","0.7078","260.8770"
"21.3500","0.7091","261.9446"
"21.4000","0.7111","264.0939"
"21.4500","0.7126","265.6225"
"21.5000","0.7143","267.3663"
"21.5500","0.7161","269.2308"
"21.6000","0.7176","270.7592"
"21.6500","0.7194","272.6252"
"21.7000","0.7207","273.8524"
"21.7500","0.7227","275.9951"
"21.8000","0.7243","277.7102"
"21.8500","0.7260","279.3093"
"21.9000","0.7276","281.0706"
"21.9500","0.7293","282.6570"
"22.0000","0.7310","284.3093"
"22.0500","0.7324","285.4922"
"22.1000","0.7344","287.9168"
"22.1500","0.7359","289.2671"
"22.2000","0.7377","291.0363"
"22.2500","0.7393","292.7065"
"22.3000","0.7410","294.3518"
"22.3500","0.7426","295.6484"
"22.4000","0.7441","297.1371"
"22.4500","0.7461","299.5417"
"22.5000","0.7475","300.5199"
"22.5500","0.7494","302.4202"
"22.6000","0.7510","303.6809"
"22.6500","0.7527","305.4640"
"22.7000","0.7542","306.6522"
"22.7500","0.7558","308.3602"
"22.8000","0.7578","310.5054"
"22.8500","0.7592","311.4689"
"22.9000","0.7610","313.2990"
"22.9500","0.7626","314.7097"
"23.0000","0.7645","316.7806"
"23.0500","0.7659","317.6802"
"23.1000","0.7675","319.0552"
"23.1500","0.7695","321.1578"
"23.2000","0.7709","322.4718"
"23.2500","0.7728","324.2791"
"23.3000","0.7742","325.2604"
"23.3500","0.7761","327.3037"
"23.4000","0.7775","328.2020"
"23.4500","0.7792","329.8696"
"23.5000","0.7811","331.5483"
"23.5500","0.7826","332.9952"
"23.6000","0.7844","334.8757"
"23.6500","0.7858","335.8651"
"23.7000","0.7878","337.4362"
"23.7500","0.7891","338.5842"
"23.8000","0.7910","340.3071"
"23.8500","0.7927","342.2756"
"23.9000","0.7942","343.1286"
"23.9500","0.7960","344.8812"
"24.0000","0.7975","345.9445"
"24.0500","0.7994","347.8547"
"24.1000","0.8008","348.5321"
"24.1500","0.8027","350.6453"
"24.2000","0.8044","352.0482"
"24.2500","0.8060","353.1487"
"24.3000","0.8077","354.4932"
"24.3500","0.8093","355.8145"
"24.4000","0.8111","357.5145"
"24.4500","0.8124","358.4437"
"24.5000","0.8144","360.2893"
"24.5500","0.8160","361.5963"
"24.6000","0.8177","363.1348"
"24.6500","0.8194","364.6609"
"24.7000","0.8210","365.7415"
"24.7500","0.8227","366.9873"
"24.8000","0.8241","368.0214"
"24.8500","0.8261","369.8634"
"24.9000","0.8276","371.0418"
"24.9500","0.8294","372.5715"
"25.0000","0.8310","373.9566"
"25.0500","0.8327","375.3098"
"25.1000","0.8343","376.3521"
"25.1500","0.8358","377.5431"
"25.2000","0.8378","379.3494"
"25.2500","0.8392","380.1968"
"25.3000","0.8411","381.9863"
"25.3500","0.8426","382.8714"
"25.4000","0.8444","384.5033"
"25.4500","0.8459","385.3771"
"25.5000","0.8474","386.4853"
"25.5500","0.8494","388.3288"
"25.6000","0.8509","389.2006"
"25.6500","0.8527","390.8174"
"25.7000","0.8543","391.8792"
"25.7500","0.8561","393.3246"
"25.8000","0.8575","394.2114"
"25.8500","0.8592","395.4404"
"25.9000","0.8611","397.1371"
"25.9500","0.8626","398.1102"
"26.0000","0.8644","399.6757"
"26.0500","0.8659","400.6302"
"26.1000","0.8677","401.8330"
"26.1500","0.8691","402.5440"
"26.2000","0.8709","404.1021"
"26.2500","0.8728","405.6429"
"26.3000","0.8742","406.2729"
"26.3500","0.8761","407.7305"
"26.4000","0.8776","408.9343"
"26.4500","0.8794","410.3963"
"26.5000","0.8808","411.0035"
"26.5500","0.8826","412.4055"
"26.6000","0.8844","413.8518"
"26.6500","0.8859","414.8434"
"26.7000","0.8877","416.0699"
"26.7500","0.8893","417.2392"
"26.8000","0.8911","418.4125"
"26.8500","0.8924","419.1018"
"26.9000","0.8943","420.7151"
"26.9500","0.8960","421.9866"
"27.0000","0.8976","422.9261"
"27.0500","0.8994","424.2095"
"27.1000","0.9009","425.1321"
"27.1500","0.9027","426.2784"
"27.2000","0.9041","426.9203"
"27.2500","0.9060","428.6022"
"27.3000","0.9077","429.5337"
"27.3500","0.9092","430.6016"
"27.4000","0.9110","431.7179"
"27.4500","0.9126","432.6141"
"27.5000","0.9143","434.0517"
"27.5500","0.9158","434.5289"
"27.6000","0.9177","436.0750"
"27.6500","0.9193","436.9921"
"27.7000","0.9210","438.2805"
"27.7500","0.9226","439.5597"
"27.8000","0.9243","440.3217"
"27.8500","0.9260","441.3737"
"27.9000","0.9274","442.1154"
"27.9500","0.9294","443.5514"
"28.0000","0.9310","444.4567"
"28.0500","0.9327","445.3511"
"28.1000","0.9343","446.3529"
"28.1500","0.9360","447.5147"
"28.2000","0.9376","448.2081"
"28.2500","0.9391","449.1584"
"28.3000","0.9411","450.5352"
"28.3500","0.9426","451.4316"
"28.4000","0.9444","452.5863"
"28.4500","0.9460","453.4489"
"28.5000","0.9477","454.5329"
"28.5500","0.9493","455.3893"
"28.6000","0.9508","456.2481"
"28.6500","0.9528","457.5359"
"28.7000","0.9542","458.2015"
"28.7500","0.9560","459.3104"
"28.8000","0.9576","460.1483"
"28.8500","0.9594","461.2454"
"28.9000","0.9609","462.0814"
"28.9500","0.9625","462.7159"
"29.0000","0.9644","464.2873"
"29.0500","0.9659","464.6325"
"29.1000","0.9677","466.1077"
"29.1500","0.9692","466.6529"
"29.2000","0.9711","467.9082"
"29.2500","0.9725","468.3048"
"29.3000","0.9741","469.4359"
"29.3500","0.9761","470.9147"
"29.4000","0.9775","471.4366"
"29.4500","0.9794","472.6777"
"29.5000","0.9809","473.1167"
"29.5500","0.9828","474.4017"
"29.6000","0.9841","474.7412"
"29.6500","0.9859","475.9906"
"29.7000","0.9878","477.2618"
"29.7500","0.9892","477.5706"
"29.8000","0.9911","478.7224"
"29.8500","0.9926","479.2992"
"29.9000","0.9944","480.4704"
"29.9500","0.9958","480.9047"
"30.0000","0.9977","482.1068"
"30.0500","0.9994","482.9527"
"30.1000","1.0009","483.5597"
"30.1500","1.0027","484.4985"
"30.2000","1.0042","485.1456"
"30.2500","1.0062","486.4615"
"30.3000","1.0074","486.5626"
"30.3500","1.0094","488.1148"
"30.4000","1.0111","488.8893"
"30.4500","1.0126","489.3064"
"30.5000","1.0144","490.1998"
"30.5500","1.0159","491.0917"
"30.6000","1.0178","492.0619"
"30.6500","1.0190","492.2520"
"30.7000","1.0210","493.6670"
"30.7500","1.0227","494.4347"
"30.8000","1.0244","495.3924"
"30.8500","1.0259","495.8013"
"30.9000","1.0276","496.6937"
"30.9500","1.0293","497.4715"
"31.0000","1.0307","498.0038"
"31.0500","1.0328","499.1331"
"31.1000","1.0343","499.6995"
"31.1500","1.0360","500.6537"
"31.2000","1.0376","501.2013"
"31.2500","1.0393","501.9127"
"31.3000","1.0410","502.9005"
"31.3500","1.0425","503.2173"
"31.4000","1.0445","504.3189"
"31.4500","1.0459","505.0347"
"31.5000","1.0477","505.6950"
