
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.0873"
"0.0500","0.0001","0.0492"
"0.1000","0.0008","0.0639"
"0.1500","0.0011","0.1078"
"0.2000","0.0031","0.1281"
"0.2500","0.0059","0.1365"
"0.3000","0.0077","-0.1467"
"0.3500","0.0092","-0.0269"
"0.4000","0.0112","0.1501"
"0.4500","0.0127","0.0367"
"0.5000","0.0145","-0.0925"
"0.5500","0.0161","0.1167"
"0.6000","0.0179","0.1855"
"0.6500","0.0193","0.0187"
"0.7000","0.0210","0.0108"
"0.7500","0.0229","0.0254"
"0.8000","0.0244","-0.0197"
"0.8500","0.0263","-0.1113"
"0.9000","0.0278","-0.0167"
"0.9500","0.0295","0.0310"
"1.0000","0.0310","-0.0246"
"1.0500","0.0327","0.1905"
"1.1000","0.0346","-0.0567"
"1.1500","0.0361","0.0045"
"1.2000","0.0378","0.0034"
"1.2500","0.0394","0.1203"
"1.3000","0.0412","0.0998"
"1.3500","0.0426","0.0246"
"1.4000","0.0445","-0.0932"
"1.4500","0.0462","-0.0617"
"1.5000","0.0477","-0.0078"
"1.5500","0.0496","0.1248"
"1.6000","0.0512","0.1187"
"1.6500","0.0530","-0.0466"
"1.7000","0.0542","0.1163"
"1.7500","0.0560","0.0313"
"1.8000","0.0578","-0.0627"
"1.8500","0.0594","0.0562"
"1.9000","0.0613","0.0998"
"1.9500","0.0628","-0.1951"
"2.0000","0.0645","-0.0130"
"2.0500","0.0659","0.1497"
"2.1000","0.0678","0.1373"
"2.1500","0.0696","0.1672"
"2.2000","0.0711","0.0762"
"2.2500","0.0728","-0.0020"
"2.3000","0.0744","0.1426"
"2.3500","0.0762","-0.0346"
"2.4000","0.0776","0.0039"
"2.4500","0.0796","-0.0203"
"2.5000","0.0812","0.0432"
"2.5500","0.0827","0.0588"
"2.6000","0.0844","0.0305"
"2.6500","0.0862","0.0861"
"2.7000","0.0879","0.1214"
"2.7500","0.0893","0.1818"
"2.8000","0.0912","-0.0727"
"2.8500","0.0928","0.1243"
"2.9000","0.0945","0.0628"
"2.9500","0.0962","-0.0639"
"3.0000","0.0979","0.1075"
"3.0500","0.0995","0.1011"
"3.1000","0.1008","0.1637"
"3.1500","0.1029","0.2618"
"3.2000","0.1045","0.1991"
"3.2500","0.1063","-0.0979"
"3.3000","0.1078","0.0174"
"3.3500","0.1095","0.1160"
"3.4000","0.1111","0.1152"
"3.4500","0.1126","0.0157"
"3.5000","0.1147","0.1896"
"3.5500","0.1161","0.0041"
"3.6000","0.1178","0.0125"
"3.6500","0.1194","0.0000"
"3.7000","0.1212","-0.1203"
"3.7500","0.1228","0.0418"
"3.8000","0.1243","0.1038"
"3.8500","0.1263","-0.1204"
"3.9000","0.1276","0.1507"
"3.9500","0.1295","0.0163"
"4.0000","0.1311","-0.1224"
"4.0500","0.1330","0.1310"
"4.1000","0.1343","0.0421"
"4.1500","0.1359","-0.0232"
"4.2000","0.1379","0.0357"
"4.2500","0.1394","0.1063"
"4.3000","0.1412","-0.1888"
"4.3500","0.1428","-0.0332"
"4.4000","0.1446","0.1205"
"4.4500","0.1459","-0.0724"
"4.5000","0.1477","0.1477"
"4.5500","0.1496","0.0680"
"4.6000","0.1511","0.0831"
"4.6500","0.1529","0.0391"
"4.7000","0.1544","0.0440"
"4.7500","0.1563","-0.1468"
"4.8000","0.1576","0.0011"
"4.8500","0.1595","0.0912"
"4.9000","0.1613","0.0009"
"4.9500","0.1627","0.0553"
"5.0000","0.1645","-0.0289"
"5.0500","0.1661","0.0084"
"5.1000","0.1680","0.1091"
"5.1500","0.1692","0.1425"
"5.2000","0.1712","-0.1265"
"5.2500","0.1729","0.1056"
"5.3000","0.1744","0.1497"
"5.3500","0.1762","0.0406"
"5.4000","0.1778","0.1761"
"5.4500","0.1796","-0.0153"
"5.5000","0.1808","0.0346"
"5.5500","0.1828","-0.0618"
"5.6000","0.1845","0.0106"
"5.6500","0.1862","-0.0517"
"5.7000","0.1878","0.1305"
"5.7500","0.1894","0.1582"
"5.8000","0.1912","-0.0170"
"5.8500","0.1925","-0.0779"
"5.9000","0.1946","0.0232"
"5.9500","0.1961","0.1507"
"6.0000","0.1978","0.0486"
"6.0500","0.1994","0.0608"
"6.1000","0.2011","-0.2271"
"6.1500","0.2029","0.0178"
"6.2000","0.2043","0.1315"
"6.2500","0.2063","-0.0887"
"6.3000","0.2078","-0.0017"
"6.3500","0.2095","0.0589"
"6.4000","0.2111","0.1522"
"6.4500","0.2129","-0.0917"
"6.5000","0.2144","-0.0446"
"6.5500","0.2159","-0.0115"
"6.6000","0.2179","-0.0575"
"6.6500","0.2194","-0.0115"
"6.7000","0.2213","0.2623"
"6.7500","0.2227","0.1676"
"6.8000","0.2246","0.1480"
"6.8500","0.2260","0.3213"
"6.9000","0.2276","0.1466"
"6.9500","0.2296","0.1265"
"7.0000","0.2311","0.1959"
"7.0500","0.2329","0.0350"
"7.1000","0.2344","0.1088"
"7.1500","0.2362","-0.0560"
"7.2000","0.2376","0.0050"
"7.2500","0.2394","0.1462"
"7.3000","0.2412","0.1735"
"7.3500","0.2427","-0.1133"
"7.4000","0.2446","-0.1282"
"7.4500","0.2461","0.1447"
"7.5000","0.2479","0.0898"
"7.5500","0.2492","0.0897"
"7.6000","0.2511","0.1342"
"7.6500","0.2528","0.1359"
"7.7000","0.2544","0.0905"
"7.7500","0.2562","0.0553"
