
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1445"
"0.0500","0.0001","-0.0304"
"0.1000","0.0007","0.1041"
"0.1500","0.0010","-0.1223"
"0.2000","0.0027","0.0702"
"0.2500","0.0053","0.0380"
"0.3000","0.0075","0.2139"
"0.3500","0.0091","0.2647"
"0.4000","0.0109","0.0855"
"0.4500","0.0125","0.1364"
"0.5000","0.0144","0.2355"
"0.5500","0.0156","0.2202"
"0.6000","0.0176","0.2242"
"0.6500","0.0193","0.0380"
"0.7000","0.0209","0.2670"
"0.7500","0.0226","0.0118"
"0.8000","0.0242","0.0492"
"0.8500","0.0260","0.0986"
"0.9000","0.0273","0.3391"
"0.9500","0.0293","0.2503"
"1.0000","0.0309","0.2968"
"1.0500","0.0326","0.3298"
"1.1000","0.0343","0.3038"
"1.1500","0.0359","0.4153"
"1.2000","0.0376","0.3481"
"1.2500","0.0390","0.3807"
"1.3000","0.0411","0.5096"
"1.3500","0.0425","0.5018"
"1.4000","0.0442","0.3710"
"1.4500","0.0459","0.5026"
"1.5000","0.0476","0.4910"
"1.5500","0.0492","0.6981"
"1.6000","0.0507","0.6125"
"1.6500","0.0527","0.4648"
"1.7000","0.0541","0.7769"
"1.7500","0.0559","0.7538"
"1.8000","0.0575","0.8757"
"1.8500","0.0593","1.1351"
"1.9000","0.0608","1.0042"
"1.9500","0.0623","0.7496"
"2.0000","0.0644","0.9002"
"2.0500","0.0658","0.8575"
"2.1000","0.0676","1.2811"
"2.1500","0.0692","1.7065"
"2.2000","0.0710","2.1754"
"2.2500","0.0724","2.5439"
"2.3000","0.0741","2.6442"
"2.3500","0.0761","2.9243"
"2.4000","0.0775","2.8197"
"2.4500","0.0793","2.6774"
"2.5000","0.0808","2.6740"
"2.5500","0.0827","2.7327"
"2.6000","0.0841","2.7153"
"2.6500","0.0858","2.6281"
"2.7000","0.0877","2.6928"
"2.7500","0.0891","2.7936"
"2.8000","0.0910","2.7894"
"2.8500","0.0925","2.6628"
"2.9000","0.0944","2.7024"
"2.9500","0.0957","2.6330"
"3.0000","0.0975","2.7900"
"3.0500","0.0994","2.7900"
"3.1000","0.1009","2.7043"
"3.1500","0.1027","2.8089"
"3.2000","0.1042","2.7596"
"3.2500","0.1061","2.7063"
"3.3000","0.1073","2.9280"
"3.3500","0.1092","2.8681"
"3.4000","0.1110","2.8478"
"3.4500","0.1126","2.8540"
"3.5000","0.1143","2.8173"
"3.5500","0.1158","2.6244"
"3.6000","0.1176","2.5929"
