
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0050"
"0.2500","0.0161","7.5629"
"0.5000","0.0369","22.4653"
"0.7500","0.0577","44.8154"
"1.0000","0.0786","81.1705"
"1.2500","0.0996","136.9781"
"1.5000","0.1204","216.5849"
"1.7500","0.1411","322.4839"
"2.0000","0.1619","451.1010"
"2.2500","0.1828","598.3096"
"2.5000","0.2037","753.6731"
"2.7500","0.2245","910.7430"
"3.0000","0.2453","1064.7443"
"3.2500","0.2661","1214.3623"
"3.5000","0.2869","1358.2783"
"3.7500","0.3078","1498.1094"
"4.0000","0.3287","1632.0040"
"4.2500","0.3495","1758.9053"
"4.5000","0.3703","1877.0099"
"4.7500","0.3910","1989.6906"
"5.0000","0.4120","2099.3804"
"5.2500","0.4329","2204.5928"
"5.5000","0.4537","2301.5144"
"5.7500","0.4745","2396.1829"
"6.0000","0.4953","2485.1533"
"6.2500","0.5161","2572.1292"
"6.5000","0.5370","2656.8491"
"6.7500","0.5578","2737.9937"
"7.0000","0.5787","2818.7859"
"7.2500","0.5994","2892.8899"
"7.5000","0.6202","2965.7778"
"7.7500","0.6412","3041.5291"
"8.0000","0.6622","3115.0486"
"8.2500","0.6828","3179.2524"
"8.5000","0.7036","3247.9827"
"8.7500","0.7245","3311.9661"
"9.0000","0.7452","3374.3552"
"9.2500","0.7662","3438.3748"
"9.5000","0.7871","3498.5540"
"9.7500","0.8078","3555.0327"
"10.0000","0.8286","3610.0042"
"10.2500","0.8494","3663.1296"
"10.5000","0.8703","3715.3259"
"10.7500","0.8913","3768.0417"
"11.0000","0.9120","3814.5491"
"11.2500","0.9328","3858.9426"
"11.5000","0.9537","3903.8550"
"11.7500","0.9745","3945.4531"
"12.0000","0.9954","3985.5410"
"12.2500","1.0162","4025.7539"
"12.5000","1.0370","4061.7336"
"12.7500","1.0577","4096.4780"
"13.0000","1.0787","4130.0977"
"13.2500","1.0995","4159.8604"
"13.5000","1.1204","4170.8218"
"13.7500","1.1412","4196.7407"
"14.0000","1.1619","4220.6875"
"14.2500","1.1828","4244.5620"
"14.5000","1.2037","4264.3735"
"14.7500","1.2245","4277.6704"
"15.0000","1.2454","4290.4927"
"15.2500","1.2662","4300.4023"
"15.5000","1.2869","4307.7026"
"15.7500","1.3078","4305.5630"
"16.0000","1.3287","4303.0352"
"16.2500","1.3495","4294.9209"
"16.5000","1.3704","4284.2471"
"16.7500","1.3911","4242.9702"
"17.0000","1.4119","4229.5566"
"17.2500","1.4329","4213.2368"
"17.5000","1.4537","4189.5229"
"17.7500","1.4745","4137.3564"
"18.0000","1.4953","4117.9634"
"18.2500","1.5161","4099.7324"
"18.5000","1.5370","4078.2869"
"18.7500","1.5579","4057.4255"
"19.0000","1.5787","4034.8250"
"19.2500","1.5995","4013.8201"
"19.5000","1.6203","3992.0330"
"19.7500","1.6411","3969.0312"
"20.0000","1.6620","3946.0952"
"20.2500","1.6829","3915.7812"
"20.5000","1.7037","3799.6311"
"20.7500","1.7245","3759.3450"
"21.0000","1.7453","3719.0608"
"21.2500","1.7661","3684.3777"
"21.5000","1.7871","3627.7358"
"21.7500","1.8078","3584.3115"
"22.0000","1.8286","3528.9050"
"22.2500","1.8494","3436.9089"
"22.5000","1.8703","3376.1113"
"22.7500","1.8912","3311.5193"
"23.0000","1.9121","3247.3496"
"23.2500","1.9328","3172.9470"
"23.5000","1.9537","3083.2563"
"23.7500","1.9745","3007.4565"
"24.0000","1.9953","2945.4546"
"24.2500","2.0162","2888.2668"
"24.5000","2.0371","2870.7634"
"24.7500","2.0578","2864.2251"
"25.0000","2.0785","2864.8257"
"25.2500","2.0995","2869.6741"
"25.5000","2.1204","2875.2534"
"25.7500","2.1412","2880.5376"
"26.0000","2.1620","2884.8960"
"26.2500","2.1828","2889.4060"
"26.5000","2.2036","2887.2957"
"26.7500","2.2246","2888.4460"
"27.0000","2.2453","2885.1711"
"27.2500","2.2662","2884.8040"
"27.5000","2.2870","2884.9424"
"27.7500","2.3077","2881.0342"
"28.0000","2.3287","2885.8904"
"28.2500","2.3496","2892.1904"
"28.5000","2.3703","2879.8657"
"28.7500","2.3911","2860.3821"
"29.0000","2.4120","2845.7537"
"29.2500","2.4328","2836.3643"
"29.5000","2.4537","2823.0696"
"29.7500","2.4746","2810.3562"
"30.0000","2.4953","2799.1921"
"30.2500","2.5161","2786.5415"
"30.5000","2.5370","2768.8342"
"30.7500","2.5578","2748.3613"
"31.0000","2.5788","2726.6277"
"31.2500","2.5995","2675.1536"
"31.5000","2.6202","2626.4197"
"31.7500","2.6411","2603.0007"
"32.0000","2.6620","2587.6313"
"32.2500","2.6828","2583.7458"
"32.5000","2.7037","2583.2087"
"32.7500","2.7245","2582.7021"
"33.0000","2.7452","2583.8162"
"33.2500","2.7661","2586.4163"
"33.5000","2.7870","2584.1208"
"33.7500","2.8079","2579.4617"
"34.0000","2.8287","2573.3059"
"34.2500","2.8494","2571.0725"
"34.5000","2.8703","2573.3022"
"34.7500","2.8912","2573.3577"
"35.0000","2.9120","2573.3850"
"35.2500","2.9329","2578.9678"
"35.5000","2.9537","2586.6816"
"35.7500","2.9744","2593.0364"
"36.0000","2.9953","2600.6985"
"36.2500","3.0162","2609.2776"
"36.5000","3.0371","2614.0981"
"36.7500","3.0578","2622.2178"
"37.0000","3.0786","2632.0479"
"37.2500","3.0994","2646.8643"
"37.5000","3.1204","2667.1157"
"37.7500","3.1413","2685.4207"
"38.0000","3.1620","2702.4363"
"38.2500","3.1828","2717.3472"
"38.5000","3.2037","2731.8682"
"38.7500","3.2244","2745.9675"
"39.0000","3.2455","2760.7288"
"39.2500","3.2662","2767.6782"
"39.5000","3.2870","2776.3401"
"39.7500","3.3078","2785.0195"
"40.0000","3.3287","2791.6394"
"40.2500","3.3495","2795.5962"
"40.5000","3.3704","2797.6836"
"40.7500","3.3912","2801.3735"
"41.0000","3.4120","2804.4490"
"41.2500","3.4328","2807.2554"
"41.5000","3.4536","2811.0146"
"41.7500","3.4746","2817.0967"
"42.0000","3.4954","2820.1785"
"42.2500","3.5162","2824.2180"
"42.5000","3.5369","2829.2815"
"42.7500","3.5578","2834.7639"
"43.0000","3.5788","2840.3123"
"43.2500","3.5996","2841.7385"
"43.4350","3.6149","2842.2573"

