
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","-0.1145"
"0.0500","0.0001","-0.1109"
"0.1000","0.0008","-0.1321"
"0.1500","0.0010","0.0891"
"0.2000","0.0027","0.1086"
"0.2500","0.0056","0.1222"
"0.3000","0.0076","-0.1423"
"0.3500","0.0091","0.4131"
"0.4000","0.0112","0.1882"
"0.4500","0.0126","-0.0750"
"0.5000","0.0144","0.2083"
"0.5500","0.0159","0.0963"
"0.6000","0.0178","0.0818"
"0.6500","0.0192","0.3420"
"0.7000","0.0208","0.0886"
"0.7500","0.0228","0.3732"
"0.8000","0.0243","0.1718"
"0.8500","0.0261","0.3657"
"0.9000","0.0276","0.4707"
"0.9500","0.0295","0.3708"
"1.0000","0.0308","0.2221"
"1.0500","0.0325","0.2008"
"1.1000","0.0345","0.2075"
"1.1500","0.0360","0.3454"
"1.2000","0.0378","0.2537"
"1.2500","0.0392","0.3644"
"1.3000","0.0411","0.1891"
"1.3500","0.0424","0.1596"
"1.4000","0.0443","0.3365"
"1.4500","0.0461","0.3478"
"1.5000","0.0476","0.2150"
"1.5500","0.0494","0.3542"
"1.6000","0.0509","0.2091"
"1.6500","0.0528","0.4005"
"1.7000","0.0541","0.2861"
"1.7500","0.0561","0.1686"
"1.8000","0.0577","0.3230"
"1.8500","0.0593","0.1459"
"1.9000","0.0610","0.4017"
"1.9500","0.0627","0.3346"
"2.0000","0.0645","0.4937"
"2.0500","0.0658","0.2715"
"2.1000","0.0677","0.3183"
"2.1500","0.0693","0.3953"
"2.2000","0.0710","0.2878"
"2.2500","0.0727","0.3313"
"2.3000","0.0743","0.2841"
"2.3500","0.0761","0.4896"
"2.4000","0.0774","0.2783"
"2.4500","0.0795","0.3349"
"2.5000","0.0810","0.2990"
"2.5500","0.0828","0.4003"
"2.6000","0.0843","0.5119"
"2.6500","0.0860","0.3266"
"2.7000","0.0876","0.2614"
"2.7500","0.0891","0.2335"
"2.8000","0.0912","0.3361"
"2.8500","0.0926","0.3239"
"2.9000","0.0944","0.1148"
"2.9500","0.0960","0.1855"
"3.0000","0.0978","0.2814"
"3.0500","0.0993","0.1454"
"3.1000","0.1008","0.2790"
"3.1500","0.1028","0.2956"
"3.2000","0.1042","0.4209"
"3.2500","0.1061","0.1512"
"3.3000","0.1077","0.2127"
"3.3500","0.1094","0.3497"
"3.4000","0.1109","0.0205"
"3.4500","0.1125","0.3773"
"3.5000","0.1145","0.5218"
"3.5500","0.1160","0.2985"
"3.6000","0.1178","0.3351"
"3.6500","0.1193","0.2858"
"3.7000","0.1211","0.2900"
"3.7500","0.1225","0.5191"
"3.8000","0.1243","0.3598"
"3.8500","0.1262","0.3314"
"3.9000","0.1276","0.2958"
"3.9500","0.1294","0.3286"
"4.0000","0.1309","0.3694"
"4.0500","0.1328","0.2322"
"4.1000","0.1342","0.2412"
"4.1500","0.1360","0.3310"
"4.2000","0.1378","0.4516"
"4.2500","0.1393","0.2948"
"4.3000","0.1411","0.3721"
"4.3500","0.1427","0.4827"
"4.4000","0.1445","0.4282"
"4.4500","0.1458","0.4614"
"4.5000","0.1476","0.3700"
"4.5500","0.1494","0.4963"
"4.6000","0.1510","0.3047"
"4.6500","0.1528","0.2605"
"4.7000","0.1543","0.3861"
"4.7500","0.1561","0.1650"
"4.8000","0.1574","0.4117"
"4.8500","0.1594","0.1782"
"4.9000","0.1611","0.2512"
"4.9500","0.1626","0.4239"
"5.0000","0.1644","0.4219"
"5.0500","0.1659","0.3078"
"5.1000","0.1677","0.3948"
"5.1500","0.1691","0.3974"
"5.2000","0.1711","0.4815"
"5.2500","0.1727","0.4397"
"5.3000","0.1743","0.2628"
"5.3500","0.1760","0.1467"
"5.4000","0.1777","0.3654"
"5.4500","0.1794","0.4383"
"5.5000","0.1807","0.2944"
"5.5500","0.1828","0.3268"
"5.6000","0.1844","0.3425"
"5.6500","0.1860","0.2944"
"5.7000","0.1877","0.1851"
"5.7500","0.1894","0.2589"
"5.8000","0.1910","0.3111"
"5.8500","0.1924","0.4080"
"5.9000","0.1945","0.1202"
"5.9500","0.1960","0.4642"
"6.0000","0.1977","0.2736"
"6.0500","0.1993","0.4502"
"6.1000","0.2011","0.4211"
"6.1500","0.2027","0.2722"
"6.2000","0.2042","0.3176"
"6.2500","0.2062","0.4699"
"6.3000","0.2076","0.3174"
"6.3500","0.2094","0.4326"
"6.4000","0.2110","0.2780"
"6.4500","0.2128","0.4264"
"6.5000","0.2143","0.3970"
"6.5500","0.2158","0.2085"
"6.6000","0.2178","0.4613"
"6.6500","0.2192","0.4554"
"6.7000","0.2211","0.3437"
"6.7500","0.2226","0.4657"
"6.8000","0.2245","0.4994"
"6.8500","0.2259","0.4904"
"6.9000","0.2275","0.3751"
"6.9500","0.2295","0.3641"
"7.0000","0.2309","0.4332"
"7.0500","0.2328","0.2689"
"7.1000","0.2343","0.4132"
"7.1500","0.2361","0.2174"
"7.2000","0.2375","0.3986"
"7.2500","0.2393","0.4114"
"7.3000","0.2411","0.3683"
"7.3500","0.2426","0.3700"
"7.4000","0.2445","0.4322"
"7.4500","0.2460","0.4743"
"7.5000","0.2478","0.2717"
"7.5500","0.2491","0.1869"
"7.6000","0.2510","0.2776"
"7.6500","0.2528","0.2343"
"7.7000","0.2542","0.2603"
"7.7500","0.2561","0.3113"
"7.8000","0.2576","0.3042"
"7.8500","0.2595","0.2801"
"7.9000","0.2607","0.2817"
"7.9500","0.2627","0.2456"
"8.0000","0.2644","0.3272"
"8.0500","0.2660","0.3667"
"8.1000","0.2677","0.4009"
"8.1500","0.2693","0.3532"
"8.2000","0.2711","0.0799"
"8.2500","0.2724","0.3057"
"8.3000","0.2744","0.4432"
"8.3500","0.2760","0.2950"
"8.4000","0.2777","0.2715"
"8.4500","0.2793","0.5188"
"8.5000","0.2810","0.3634"
"8.5500","0.2827","0.3202"
"8.6000","0.2841","0.3322"
"8.6500","0.2861","0.3025"
"8.7000","0.2876","0.3936"
"8.7500","0.2894","0.3599"
"8.8000","0.2910","0.4472"
"8.8500","0.2927","0.5211"
"8.9000","0.2943","0.3425"
"8.9500","0.2958","0.4084"
"9.0000","0.2978","0.2039"
"9.0500","0.2993","0.4733"
"9.1000","0.3011","0.3840"
"9.1500","0.3026","0.4876"
"9.2000","0.3044","0.3694"
"9.2500","0.3060","0.3264"
"9.3000","0.3075","0.2031"
"9.3500","0.3095","0.3201"
"9.4000","0.3110","0.1915"
"9.4500","0.3128","0.2412"
"9.5000","0.3143","0.3952"
"9.5500","0.3161","0.3784"
"9.6000","0.3176","0.3421"
"9.6500","0.3192","0.1951"
"9.7000","0.3211","0.2610"
"9.7500","0.3226","0.3117"
"9.8000","0.3245","0.3283"
"9.8500","0.3260","0.5833"
"9.9000","0.3278","0.5067"
"9.9500","0.3292","0.2819"
"10.0000","0.3310","0.4099"
"10.0500","0.3328","0.2096"
"10.1000","0.3343","0.3724"
"10.1500","0.3361","0.2116"
"10.2000","0.3376","0.2579"
"10.2500","0.3395","0.2190"
"10.3000","0.3408","0.3632"
"10.3500","0.3426","0.2004"
"10.4000","0.3444","0.3959"
"10.4500","0.3459","0.4494"
"10.5000","0.3478","0.2154"
"10.5500","0.3493","0.3517"
"10.6000","0.3511","0.1470"
"10.6500","0.3524","0.2405"
"10.7000","0.3544","0.1311"
"10.7500","0.3560","0.3557"
"10.8000","0.3576","0.2902"
"10.8500","0.3594","0.2512"
"10.9000","0.3610","0.2824"
"10.9500","0.3627","0.2792"
"11.0000","0.3641","0.4191"
"11.0500","0.3661","0.2415"
"11.1000","0.3677","0.4058"
"11.1500","0.3693","0.3359"
"11.2000","0.3711","0.2930"
"11.2500","0.3727","0.5775"
"11.3000","0.3744","0.3475"
"11.3500","0.3758","0.2148"
"11.4000","0.3778","0.4105"
"11.4500","0.3794","0.2881"
"11.5000","0.3810","0.0997"
"11.5500","0.3827","0.4512"
"11.6000","0.3844","0.1090"
"11.6500","0.3860","0.4667"
"11.7000","0.3874","0.1804"
"11.7500","0.3894","0.2832"
"11.8000","0.3910","0.4173"
"11.8500","0.3927","0.3467"
"11.9000","0.3943","0.4903"
"11.9500","0.3960","0.4113"
"12.0000","0.3976","0.3852"
"12.0500","0.3991","0.3798"
"12.1000","0.4011","0.2320"
"12.1500","0.4027","0.3505"
"12.2000","0.4043","0.2811"
"12.2500","0.4060","0.2261"
"12.3000","0.4077","0.3608"
"12.3500","0.4093","0.3873"
"12.4000","0.4108","0.3038"
"12.4500","0.4128","0.5658"
"12.5000","0.4143","0.3651"
"12.5500","0.4160","0.6248"
"12.6000","0.4176","0.3116"
"12.6500","0.4195","0.3035"
"12.7000","0.4209","0.4031"
"12.7500","0.4225","0.3761"
"12.8000","0.4245","0.2875"
"12.8500","0.4259","0.3187"
"12.9000","0.4278","0.3660"
"12.9500","0.4293","0.4299"
"13.0000","0.4311","0.4965"
"13.0500","0.4325","0.4080"
"13.1000","0.4342","0.2362"
"13.1500","0.4361","0.2882"
