
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.1460"
"0.0500","0.0001","-0.0495"
"0.1000","0.0008","0.5319"
"0.1500","0.0011","0.5983"
"0.2000","0.0027","1.3598"
"0.2500","0.0055","3.0071"
"0.3000","0.0076","3.9801"
"0.3500","0.0093","4.8050"
"0.4000","0.0111","5.6547"
"0.4500","0.0126","5.9186"
"0.5000","0.0144","6.7539"
"0.5500","0.0160","7.2782"
"0.6000","0.0175","7.2820"
"0.6500","0.0195","7.4235"
"0.7000","0.0210","7.3522"
"0.7500","0.0228","7.4702"
"0.8000","0.0244","7.3253"
"0.8500","0.0262","7.4961"
"0.9000","0.0276","7.5510"
"0.9500","0.0292","7.2868"
"1.0000","0.0311","7.3166"
"1.0500","0.0326","7.4310"
"1.1000","0.0345","7.2996"
"1.1500","0.0360","7.3586"
"1.2000","0.0378","7.3232"
"1.2500","0.0392","7.4353"
"1.3000","0.0409","7.3278"
"1.3500","0.0428","7.4283"
"1.4000","0.0443","7.6244"
"1.4500","0.0462","7.4801"
"1.5000","0.0476","7.3898"
"1.5500","0.0495","7.3024"
"1.6000","0.0509","7.3594"
"1.6500","0.0527","7.2999"
"1.7000","0.0545","7.5203"
"1.7500","0.0559","7.3608"
"1.8000","0.0578","7.3944"
"1.8500","0.0593","7.3450"
"1.9000","0.0612","7.4592"
"1.9500","0.0625","7.5217"
"2.0000","0.0644","7.5999"
"2.0500","0.0661","7.3270"
"2.1000","0.0677","7.0298"
"2.1500","0.0695","7.4969"
"2.2000","0.0711","7.3869"
"2.2500","0.0728","7.3720"
"2.3000","0.0741","7.4043"
"2.3500","0.0760","7.4368"
"2.4000","0.0778","7.3400"
"2.4500","0.0794","7.4539"
"2.5000","0.0811","7.4589"
"2.5500","0.0827","7.5265"
"2.6000","0.0845","7.3108"
"2.6500","0.0858","7.4097"
"2.7000","0.0877","7.1236"
"2.7500","0.0895","7.0585"
"2.8000","0.0910","7.3025"
"2.8500","0.0927","7.4944"
"2.9000","0.0943","7.3677"
"2.9500","0.0961","7.3795"
"3.0000","0.0975","7.3662"
"3.0500","0.0995","7.2147"
"3.1000","0.1010","7.3974"
"3.1500","0.1027","7.4211"
"3.2000","0.1043","7.2756"
"3.2500","0.1061","7.4395"
"3.3000","0.1078","7.4496"
"3.3500","0.1091","7.5192"
"3.4000","0.1112","7.2813"
"3.4500","0.1127","7.3384"
"3.5000","0.1144","7.5642"
"3.5500","0.1160","7.3039"
"3.6000","0.1178","7.4715"
"3.6500","0.1194","7.2692"
"3.7000","0.1208","7.1974"
"3.7500","0.1228","7.3070"
"3.8000","0.1244","7.4618"
"3.8500","0.1261","7.4031"
"3.9000","0.1277","7.5190"
"3.9500","0.1295","7.3641"
"4.0000","0.1310","7.1342"
"4.0500","0.1325","7.5229"
"4.1000","0.1345","7.4267"
"4.1500","0.1360","7.5904"
"4.2000","0.1378","7.4960"
"4.2500","0.1393","7.5090"
"4.3000","0.1411","7.5308"
"4.3500","0.1426","7.3626"
"4.4000","0.1442","7.3954"
"4.4500","0.1462","7.3147"
"4.5000","0.1476","7.5363"
"4.5500","0.1495","7.4524"
"4.6000","0.1510","7.5736"
"4.6500","0.1528","7.6396"
"4.7000","0.1542","7.4188"
"4.7500","0.1559","7.6369"
"4.8000","0.1578","7.5830"
"4.8500","0.1593","7.7221"
"4.9000","0.1611","7.7849"
"4.9500","0.1626","7.8608"
"5.0000","0.1645","7.8532"
"5.0500","0.1658","8.1222"
"5.1000","0.1677","8.2157"
"5.1500","0.1695","8.1683"
"5.2000","0.1709","8.1751"
"5.2500","0.1728","8.2576"
"5.3000","0.1743","8.1576"
"5.3500","0.1762","8.1573"
"5.4000","0.1775","8.0663"
"5.4500","0.1794","8.1001"
"5.5000","0.1811","8.1632"
"5.5500","0.1826","8.2947"
"5.6000","0.1844","8.0354"
"5.6500","0.1860","8.2220"
"5.7000","0.1879","8.1780"
"5.7500","0.1891","8.1061"
"5.8000","0.1911","8.3202"
"5.8500","0.1928","8.0174"
"5.9000","0.1944","8.2251"
"5.9500","0.1961","8.1797"
"6.0000","0.1976","8.1253"
"6.0500","0.1995","8.0996"
"6.1000","0.2008","8.2446"
"6.1500","0.2028","8.0768"
"6.2000","0.2044","7.9971"
