
Time,Displacement,Force
(s),(mm),(N)
"0.0000","0.0000","0.0467"
"0.2500","0.0152","6.5201"
"0.5000","0.0362","18.4422"
"0.7500","0.0570","33.1931"
"1.0000","0.0777","53.7701"
"1.2500","0.0986","80.7002"
"1.5000","0.1194","114.4401"
"1.7500","0.1403","154.1975"
"2.0000","0.1611","198.3959"
"2.2500","0.1820","247.5555"
"2.5000","0.2027","299.4076"
"2.7500","0.2235","355.2418"
"3.0000","0.2445","414.7724"
"3.2500","0.2654","476.0703"
"3.5000","0.2861","539.6983"
"3.7500","0.3069","605.4664"
"4.0000","0.3277","673.4410"
"4.2500","0.3485","744.4980"
"4.5000","0.3695","819.4262"
"4.7500","0.3903","895.3611"
"5.0000","0.4111","975.4082"
"5.2500","0.4319","1056.4301"
"5.5000","0.4526","1140.7871"
"5.7500","0.4737","1229.9545"
"6.0000","0.4945","1317.7164"
"6.2500","0.5152","1402.7418"
"6.5000","0.5361","1486.4573"
"6.7500","0.5569","1567.6396"
"7.0000","0.5778","1645.8987"
"7.2500","0.5987","1721.6423"
"7.5000","0.6195","1793.2279"
"7.7500","0.6402","1860.2787"
"8.0000","0.6610","1924.6254"
"8.2500","0.6819","1987.0107"
"8.5000","0.7028","2046.3896"
"8.7500","0.7237","2102.3040"
"9.0000","0.7445","2154.5281"
"9.2500","0.7652","2202.5571"
"9.5000","0.7861","2251.0486"
"9.7500","0.8070","2295.6421"
"10.0000","0.8278","2338.5193"
"10.2500","0.8487","2378.3293"
"10.5000","0.8694","2414.4702"
"10.7500","0.8902","2448.2637"
"11.0000","0.9111","2481.0864"
"11.2500","0.9320","2510.1028"
"11.5000","0.9528","2536.4331"
"11.7500","0.9736","2560.2380"
"12.0000","0.9944","2578.5449"
"12.2500","1.0152","2594.9507"
"12.5000","1.0362","2610.7588"
"12.7500","1.0570","2624.0862"
"13.0000","1.0778","2634.7322"
"13.2500","1.0986","2632.3184"
"13.5000","1.1194","2640.0935"
"13.7500","1.1403","2650.8972"
"14.0000","1.1612","2659.4353"
"14.2500","1.1820","2667.2029"
"14.5000","1.2027","2677.5222"
"14.7500","1.2235","2683.9009"
"15.0000","1.2444","2688.7068"
"15.2500","1.2654","2699.7676"
"15.5000","1.2862","2710.4666"
"15.7500","1.3069","2718.3909"
"16.0000","1.3278","2724.6890"
"16.2500","1.3486","2731.2126"
"16.5000","1.3694","2731.0923"
"16.7500","1.3904","2740.1235"
"17.0000","1.4112","2747.8796"
"17.2500","1.4319","2755.8284"
"17.5000","1.4528","2762.1006"
"17.7500","1.4736","2769.7070"
"18.0000","1.4945","2776.0630"
"18.2500","1.5153","2779.0476"
"18.5000","1.5361","2782.3406"
"18.7500","1.5569","2785.9119"
"19.0000","1.5777","2790.4512"
"19.2500","1.5986","2800.2078"
"19.5000","1.6196","2810.8225"
"19.7500","1.6403","2817.2292"
"20.0000","1.6611","2824.7717"
"20.2500","1.6819","2831.6370"
"20.5000","1.7028","2839.4124"
"20.7500","1.7237","2847.8486"
"21.0000","1.7445","2856.1211"
"21.2500","1.7653","2860.4690"
"21.5000","1.7861","2865.6174"
"21.7500","1.8069","2861.3147"
"22.0000","1.8278","2867.5371"
"22.2500","1.8486","2872.1074"
"22.5000","1.8695","2813.3184"
"22.7500","1.8902","2807.3394"
"23.0000","1.9110","2807.0632"
"23.2500","1.9321","2808.5283"
"23.5000","1.9529","2807.9177"
"23.7500","1.9736","2807.1516"
"24.0000","1.9945","2800.3328"
"24.2500","2.0152","2790.1965"
"24.5000","2.0361","2781.7280"
"24.7500","2.0570","2776.4517"
"25.0000","2.0778","2768.2087"
"25.2500","2.0986","2762.9829"
"25.5000","2.1194","2748.4973"
"25.7500","2.1402","2732.9751"
"26.0000","2.1612","2719.3381"
"26.2500","2.1820","2699.5481"
"26.5000","2.2027","2676.6428"
"26.7500","2.2236","2650.5862"
"27.0000","2.2444","2624.4871"
"27.2500","2.2653","2602.1709"
"27.5000","2.2862","2580.6953"
"27.7500","2.3070","2559.2395"
"28.0000","2.3277","2538.5093"
"28.2500","2.3485","2515.1553"
"28.5000","2.3695","2492.1521"
"28.7500","2.3903","2466.5117"
"29.0000","2.4112","2436.8125"
"29.2500","2.4320","2397.5432"
"29.5000","2.4527","2332.8013"
"29.7500","2.4736","2280.1025"
"30.0000","2.4945","2232.4500"
"30.2500","2.5153","2207.4116"
"30.5000","2.5362","2188.2075"
"30.7500","2.5569","2180.9373"
"31.0000","2.5777","2180.9929"
"31.2500","2.5986","2180.4153"
"31.5000","2.6195","2177.7388"
"31.7500","2.6403","2177.9663"
"32.0000","2.6611","2181.1311"
"32.2500","2.6819","2188.8342"
"32.5000","2.7027","2195.4788"
"32.7500","2.7237","2206.5808"
"33.0000","2.7445","2216.5454"
"33.2500","2.7653","2229.9797"
"33.5000","2.7861","2240.3818"
"33.7500","2.8068","2246.0464"
"34.0000","2.8277","2256.1506"
"34.2500","2.8487","2267.5686"
"34.5000","2.8695","2277.3503"
"34.7500","2.8902","2285.9619"
"35.0000","2.9110","2292.9092"
"35.2500","2.9319","2301.5420"
"35.5000","2.9528","2311.4307"
"35.7500","2.9737","2317.8081"
"36.0000","2.9944","2321.8577"
"36.1000","3.0028","2320.2043"

